{'短评内容': '还可以的的', '短评打分': 4}
{'短评内容': '整体来说不错，挑不出什么毛病。晚上10点以后周边的饭馆都关门了，酒店还提供送餐服务，就是种类少了点。自助早餐也不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '428的房价在河南焦作这个中等城市来说，不算便宜，房间还行，服务员服务还算热情。但美中不足的是：48一位的早餐确实太……反正下次宁愿到外面小吃摊吃，也不愿意在酒店吃了，早餐的性价比太差了！', '短评打分': 5}
{'短评内容': '应该算是焦作最好的酒店了，卫生服务都还好，配置硬件设施都还不错，但是没有五星级标准，性价比稍微有些偏高，位置很好市中心地段，可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还可以，房间里卫生打扫的比较干净，设施还可以，卫生间里的设施有些陈旧，房间窗户打不开， 通风不是很好，前台服务还可以，酒店的位置还可以，出行比较方便，整体感觉性价比还可以了。', '短评打分': 5}
{'短评内容': '这是第二次来这个饭店住宿，饭店外出办事很方便，就在市区里，本次听服务员介绍酒店新增加了淑女房，服务们还亲自带我参观了房间的设置，温馨浪漫美丽，就是有点可惜这次没有住上。', '短评打分': 5}
{'短评内容': '和朋友一起去焦作办事，从机场出来后得知有直达焦作的班车，上车后咨询此饭店的位置，班车司机告诉我就在饭店门口停车，上下车挺方便的，但是最近天气不好，班车也不太稳定。到饭店后正好赶上饭店店庆，在餐厅用餐后有靓汤送，中餐菜品还可以，汤做的味道不错吗！希望下次去会再有更多的促销活动。', '短评打分': 5}
{'短评内容': '588元的价格实在高的离谱，虽然是建国饭店的管理，但是硬件设施又旧又差，连个三星的标准都够不上，地毯又旧又脏，静电很厉害，上网的线还接在机顶盒上，接上本本，当即歇菜，显卡被打坏，虽然原因不能完全确定，只好自认倒霉，这种情况在别的酒店从没有遇到。', '短评打分': 1}
{'短评内容': '这是当地最好的宾馆了（ 没办法，差中选好） ，但价格有点高了，性价比不值， 卫生间设施很差；', '短评打分': 5}
{'短评内容': '太喜欢这里的自助餐了。。。很值光是蛋糕就有十几种，哇，还能自己做冰激凌和冰粥。。。推荐', '短评打分': 5}
{'短评内容': '次此来焦作旅游，因为有急事要回去，让酒店帮我订了一张回程机票，而且服务员还告知我酒店有直通机车的大巴车，这样一来也省了很多的不便，此酒店开通这项服务真的很不错。', '短评打分': 5}
