{'descr': '早餐需要再付钱，15元/位，菜品很家常的', 'star': 5}
{'descr': '总体来说，酒店还可以，比较干净，自助早餐12块/人，吃的很健康，清爽。酒店后面就是停车场，停车很方便，而且离恐龙园和恐龙谷都不远。唯一郁闷的是，酒店的梳子太差了。头发没梳完，梳子只剩3根齿，太雷了。。。', 'star': 5}
{'descr': '房间卫生都不错。就是窗子小了点。交通也比较方便。', 'star': 5}
{'descr': '酒店很干净，离高速出口和恐龙园都很近，不错的...下次去的话还会考虑入住', 'star': 5}
{'descr': '房间蛮干净卫生的，早餐品种也多，吃的不错，住的不错，就是常州的道路都不允许掉头，搞的每次回酒店都要绕一圈，不是很方便，不过不是酒店的错，酒店还是不错的，支持如家', 'star': 5}
{'descr': '住房环境比预想的要干净,价格适中,服务还好,周边有些特色饭店,价廉物美.', 'star': 5}
{'descr': '很不错!!!就相信如家!!干净.舒适!选择如家不会错!!', 'star': 5}
{'descr': '房间很干净设施很新，服务态度很好！\r\n梦', 'star': 3}
{'descr': '我订了两家，评语就一样吧！\n如家快捷酒店，真有如家的感觉。服务员热情，服务周到。每次出去，或者从外面回来，都可以听到服务员温馨的一声：您好！顿时让我们心旷神怡。如家加油！我住的房间空调冷气不是很足，其他的没有什么问题。一切都很好！厕所很干净，都像新的一样！如果还有机会来常州，必定去如家！如家加油加油加油！（非枪手，顾客真心评价！）\n', 'star': 5}
{'descr': '如家快捷酒店，真有如家的感觉。服务员热情，服务周到。每次出去，或者从外面回来，都可以听到服务员温馨的一声：您好！顿时让我们心旷神怡。如家加油！我住的房间空调冷气不是很足，其他的没有什么问题。一切都很好！厕所很干净，都像新的一样！如果还有机会来常州，必定去如家！如家加油加油加油！（非枪手，顾客真心评价！）', 'star': 5}
{'descr': '不错  服务蛮好的 环境很舒适 下次还会入住', 'star': 5}
{'descr': '不错，还好，就是性价比不高。涨得挺快的。。', 'star': 5}
{'descr': '还不错吧， 枕头蛮舒服，睡的不错。还算宽敞', 'star': 5}
{'descr': '还不错。离常州恐龙园真的很近，高架下来蛮好找。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '卫生挺干净的，但是感觉床比较小了~还有就是服务很热情的~', 'star': 5}
{'descr': '不错的酒店,还可以...........', 'star': 5}
{'descr': '很干净的酒店,去恐龙园坐出租10元.就是去的时候,有点蚊子.要注意.', 'star': 5}
{'descr': '还不错。离恐龙园10块钱的打的费。但是要市中心就得花上二十元。吃饭不是很方便的。但是，KFC可以宅急送到你房间。', 'star': 5}
{'descr': '环境很好，游览也很方便，如果下次还去旅行，应该会首选的旅馆。房间的隔音效果不是很理想~', 'star': 5}
{'descr': '还蛮干净，离恐龙园蛮近的', 'star': 3}
{'descr': '很好，很温馨，床很舒服----------------------------------', 'star': 5}
{'descr': '总体来说还行，可以打85分，不过相对我上次在南京住的酒店，价格稍贵了点', 'star': 5}
{'descr': '感觉还好，出差过来的，离工厂比较近，比较方便。', 'star': 5}
{'descr': '很干净。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '房间格局不错，卫生条件良好。隔音太差，隔壁有人聊天，一夜没睡着，睡眠不好的人建议不要选择', 'star': 5}
{'descr': '\u3000很满意', 'star': 3}
{'descr': '满意 ，  干净卫生，安静舒适。房间布局简洁明了，得体大方。\n', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '总体环境不错！ 干净卫生，就是卫生间里没吹风机不是很方便。\n', 'star': 5}
{'descr': '不错呀，房间整洁干净，柜台服务热情，但不足的是我在房间意见纸上写的话没有得到回复。总的来说我和我的同伴住得不错~', 'star': 5}
{'descr': '房间颜色挺喜欢的，总体满意！', 'star': 3}
{'descr': '常住。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '常住。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '交通方便，但餐饮不方便，建议酒店提供中晚餐服务', 'star': 5}
{'descr': '整体不错,可以加床的,价格也比较实惠,略为偏了点,但是到恐龙圆很方便.', 'star': 5}
{'descr': '比较干净,房间大小也还可以,唯一的不足是办理好入住,拿了房卡,进了房间,发现没有打扫,打电话给前台,立即进行了打扫,效率还可以,但是说明管理上还是有漏洞的.', 'star': 5}
{'descr': '淋浴间下水道堵塞，楼上马桶的冲水声非常大', 'star': 1}
{'descr': '挺好的，如家的感觉一向不错，除了比较小的房间外几乎都可以感受到家的感觉，送的肥皂也是不一样的是芦荟皂，服务生整理和换用具非常勤', 'star': 5}
{'descr': '房间不错，用具比较新，用餐不是很方便，但便于坐BRT', 'star': 5}
{'descr': '不错的性价比，值得出差', 'star': 3}
{'descr': '价格适中，干净整洁，还提供无线上网服务，真是人性化设计。另外，只需5分钟步行就可乘B1快速交通到达市中心，距离沪宁高速仅仅需5分钟，交通便利，如果你来常州，我推荐。', 'star': 5}
{'descr': '常州的酒店价格这样的价格都是差不多，但常州的环境不错。。。。', 'star': 5}
{'descr': '酒店不错，理恐龙园很近，服务人员很热情。', 'star': 5}
{'descr': '环境不错，感觉蛮舒适的，温馨的，下次还会去', 'star': 5}
{'descr': '这是一个新酒店，各方面环境真的都很不错。', 'star': 5}
{'descr': '还不错，就是吃饭的地方和购物中心没有，不太方便的', 'star': 5}
{'descr': '服务很好。', 'star': 3}
{'descr': '第二个晚上的感觉也不错！', 'star': 3}
{'descr': '新开的店，整洁，大床房挺舒服！就是上网速度慢了点。', 'star': 3}
{'descr': '感觉还不错...很干净,,,物有所值\n还会继续入住', 'star': 5}
{'descr': '房间东西都很新，也很干净，尤其是被子超级软，很舒服。服务态度也不错，出门就是BRT公交站。', 'star': 5}
{'descr': '房间设置还可以，比较干净，就是住的房间的空调出风口有点坏了！ 服务态度都还不错', 'star': 5}
{'descr': '卫生和服务都很好，超喜欢如家的被子和枕头，很软很舒服。\n就是房间隔音效果不好，晚上有点影响休息。', 'star': 5}
{'descr': '朋友感觉颜色也很舒服...\n黄色是如家的特色...暖色调..\n感觉很好....', 'star': 5}
{'descr': '非常干净...整洁...\n经济实惠...', 'star': 5}
{'descr': '此店卫生还可以我一共订了两间', 'star': 3}
{'descr': '那个地方就是有点偏僻.离什么超市什么都好远。.出租车也蛮少的..大堂的服务员服务态度很好....房间也很干净...就是隔音效果有点差，上厕所能听见隔壁人说话..哈哈...这个还是一家性价比比较高的酒店...推荐！！', 'star': 5}
{'descr': '+房间干净，很不错！网速也很快', 'star': 5}
{'descr': '性价比很好的，而且感觉很干净卫生，距离恐龙园打的要11元。', 'star': 5}
{'descr': '酒店很清爽，地理位置也很优越，性价比感觉非常高', 'star': 5}
{'descr': '+非常不错、交通便利', 'star': 5}
{'descr': '如家出差明智的选择！相同的装修，让经常出差的人，每每住进如家，就真有的回家的感觉，顶！', 'star': 5}
{'descr': '酒店里恐龙园很近，因为新建的所以设施比较新，就是离主干道近，有点吵！', 'star': 5}
{'descr': '服务很好 很干净 靠车站 我回家好方便 哈哈 才发现', 'star': 3}
{'descr': '服务卫生很不错  价格偏高点  附近还有车站 很好  卫生间洗澡的 \r\n小点 ', 'star': 5}
{'descr': '距离恐龙园很近，不过房间里感觉很潮，在窗户下发现一只已死的小强。。。。。。。。', 'star': 5}
{'descr': '很不错的酒店！！！！！！！！！！！！！！！！', 'star': 5}
