{'短评内容': '一分钱，一分货，不过我们要求也不高。', '短评打分': 4}
{'短评内容': '这店空调力度不够，商务房太冷，空调声音也太大了。太吵。', '短评打分': 1}
{'短评内容': '很舒适，我经常入住，服务态度很nice ，周围有西施故里景点', '短评打分': 3}
{'短评内容': '酒店服务非常周到！', '短评打分': 3}
{'短评内容': ' 非常不错的店', '短评打分': 3}
{'短评内容': '还可以 装修感觉一般 房间蛮大 洗澡很舒服 卫生间也大 早餐一般！', '短评打分': 5}
{'短评内容': '房间很宽敞，还不错！就是服务员的衣服有点让人无语', '短评打分': 3}
{'短评内容': '交通还算方便，就在西施故里旁边，就是房间差点，大床房网络不行，换了标房，竟然两张床大小不一样，晕死……', '短评打分': 5}
{'短评内容': '在西施故里旁边，就是早上不好打车。很干净，有免费早餐。', '短评打分': 5}
{'短评内容': '还是一贯的舒适,到了诸暨差不多都在这里入住', '短评打分': 3}
{'短评内容': '很干净，环境也不错，就在西施故居旁边，出游很方便', '短评打分': 5}
{'短评内容': '酒店太吵了！', '短评打分': 3}
{'短评内容': '尚可，经济实惠。符合大众消费，就是隔音有点不那么好，不过性价比还是挺高的。', '短评打分': 5}
{'短评内容': '性价比还是挺高的酒店，离西施故里很近，早餐也不错，服务也不错。', '短评打分': 5}
{'短评内容': '总体感觉不错，房间挺大的，也挺整洁，早餐也比较丰富', '短评打分': 5}
