{'短评内容': '非常好的酒店，性价比非常高', '短评打分': 5}
{'短评内容': '酒店硬件设施的确不错，软件服务也很好，值得推荐，酒店入住客人很多也是印证。', '短评打分': 5}
{'短评内容': '酒店硬件设施的确不错，软件服务也很好，值得推荐。', '短评打分': 5}
{'短评内容': '确实是宁波最好的酒店了，门童有待培训。。。', '短评打分': 5}
{'短评内容': ' 这家酒店真是不错，硬件软件均令人满意，下次来宁波还会作为首选。', '短评打分': 3}
{'短评内容': '很舒适的五星级酒店，服务很不错，地理位置也不错。', '短评打分': 5}
{'短评内容': '非常棒的酒店，超五星级。一切都非常满意，下次还住。', '短评打分': 5}
{'短评内容': '下次还会入住！极力推荐！而且离东钱湖不远', '短评打分': 5}
{'短评内容': '带着包包出行，酒店非常好！性价比很高！推荐！', '短评打分': 5}
{'短评内容': '地段没有索菲特好，服务员从门童到前台，都不象五星级的。房间比较陈旧。', '短评打分': 5}
{'短评内容': '还好，服务态度不错的，酒店也还可以。还是蛮推荐的一家酒店', '短评打分': 5}
{'短评内容': '家人说住得很舒心.\n非常方便,下次还继续住', '短评打分': 5}
{'短评内容': '新酒店，环境一流没得说，而且服务员态度也很好，下次还会去住。', '短评打分': 5}
{'短评内容': '挺豪华', '短评打分': 3}
{'短评内容': '好得很！舒适！', '短评打分': 3}
{'短评内容': '绝对优秀的白金五星酒店。日前从网上看到，还不是很相信，前日入住，才知从餐饮到客房，从硬件到软件，尤其是细节之处，让我感动。索菲特和香格里拉身为国际知名五星级酒店，但是绝对无法和南苑环球相比。', '短评打分': 5}
{'短评内容': '这里的床 还真的很不错， 很大 很舒服 可以睡个好觉', '短评打分': 5}
{'短评内容': '这个酒店 超级赞 用的 是欧舒丹的 沐浴用品，泡个澡 非常的舒服', '短评打分': 5}
{'短评内容': '作为5星级酒店的标准，房间绝对比很多旧的知名的酒店设备好的多，床舒服，隔音好，书桌工具齐全，灯光也非常好，洗手间的设备是我最喜欢的，干净，用的便利。很喜欢，而且价位也比同类酒店实惠很多。希望环球越做越好。', '短评打分': 5}
{'短评内容': '酒店服务态度很好。', '短评打分': 3}
{'短评内容': '硬件很好，软件一般。早点不错！！！！！！！！', '短评打分': 5}
{'短评内容': 'Really a nice hotel with very comfortable beds...I had a good sleep here', '短评打分': 5}
{'短评内容': '环境好，服务好，听说是宁波最好的酒店。以后去还是会作为首选。', '短评打分': 5}
{'短评内容': '不止一次让客户住这里了，虽然价格比附近的5星酒店要高，但房间档次也是更胜一筹，客户非常满意', '短评打分': 5}
{'短评内容': '每次客户来都选这里，我们放心，客人住的也非常满意', '短评打分': 5}
{'短评内容': '房间非常好  服务好  意大利餐厅的饭也好吃  物有所值', '短评打分': 3}
{'短评内容': '这是宁波现最好的酒店，设备相当齐全，服务非常到位，以后还会入住。', '短评打分': 5}
{'短评内容': '很新的酒店，且设计时尚人性化，服务挺好的。', '短评打分': 5}
{'短评内容': '宁波南苑环球酒店是我在宁波试过的5星级宾馆之一，宾馆环境和房间设施都很豪华。但是请大家注意在宾馆内有一家皇家洋服店，本来我想他们做一套手工洋服，但是他们都是机器做的，而且有假的面料，服务也不是很好，所以请大家注意不要上当受骗。', '短评打分': 5}
{'短评内容': '我经常在宁波尝试居住一些5星级酒店，宁波南苑环球酒店是我最近试住过的酒店。除了价格有点偏高，其余房间和环境都非常豪华，所以我还是推荐这家酒店。', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '软硬件都不错. 性价比比较合适,值得推荐', '短评打分': 5}
{'短评内容': '比一般五星级的房间好，房间大，而且是新装修的，听说南苑的月饼很好吃，家里有人送，实在懒得买。他们的服务员好像有销售任务，会碰见推销。', '短评打分': 5}
{'短评内容': '很不错态度也很好', '短评打分': 3}
{'短评内容': '物有所值，环境设施一流，服务也很好，离宁波市中心在合理距离内。', '短评打分': 5}
{'短评内容': '酒店外观晚上很漂亮，很多LED灯金光闪闪，变换很多图形。大堂外观很漂亮大气，服务也很到位。前台服务生英文水平有待提到！', '短评打分': 5}
{'短评内容': '第二次入住了，感觉非常好，服务特别棒，硬件设施也好', '短评打分': 5}
{'短评内容': '房间很大，是我住过的五星级酒店中最大的，配置很好，但不在市中心', '短评打分': 5}
{'短评内容': '酒店有五星酒店的感觉，服务不错，房间也舒适，住得很好', '短评打分': 5}
{'短评内容': '是个服务很好让我感觉很温馨的酒店~服务很到位，就是早餐味道不够好。但是下回还会选择入住。', '短评打分': 5}
{'短评内容': '酒店大气宽敞，服务温馨，符合五星标准，很适合出差居住。', '短评打分': 5}
{'短评内容': '在宁波很不错的酒店,各方面都挺满意,每次出差的选择', '短评打分': 5}
{'短评内容': '非常好的一家酒店，硬件没话说，服务也很好，客房免费提供水果、饮料。很周到，房间的设施也非常完美。早餐很好。\n不足之处：酒店没有醒目的标志，从远处看整幢大楼没有标志。根本看不出是环球酒店。住店客人停车要收费，很是不合理。', '短评打分': 5}
{'短评内容': '设施不错，住宿感觉相当棒，周边就有万达广场。不足在于公共场所不提供免费无线，自助餐到点了居然说北极贝还没有准备好，三文鱼、鲍鱼准备也不充分，水果倒是蛮丰富新鲜的。', '短评打分': 5}
{'短评内容': '应该说这个酒店的硬件设施和氛围是相当的不错，我过去住过几次，这次是第N次了，今天刚退宿。但我要说，该酒店的服务意识有，态度也好，但人员素质跟不上，错误频出。比如昨晚我们一行三位在2楼中餐吃饭结帐是1500多元，签单挂账。可是后来他们给我手机挂电话说少收了600多元××菜的费用，并要求我必须在24：00前重新签单，他们要当天结帐。我说明天可以吗？今天太晚了，我已休息了。最后还是由两名服务员但我房间签', '短评打分': 5}
{'短评内容': 'A very good hotel, updated facilities, not far from the airport, due to short history not well known yet so a bit quiet. In short, a good value for money hotel.', '短评打分': 5}
{'短评内容': '酒店非常新,设施很新,洗护用品是欧舒丹的产品,就是停车需收费,住了那么多五星酒店还第一次遇到住宿要收费,无语!', '短评打分': 5}
{'短评内容': '装修不错，夜里前台只有一个人，等候时间长', '短评打分': 3}
{'短评内容': '房间非常舒服又大又干净', '短评打分': 3}
{'短评内容': '酒店的硬件和环境是一流的。 但人员的素质还待提高。 同老南苑饭店的服务相比还有距离。 主要是服务人员缺乏笑容， 英文水平也很一般。我的几位外国客人都有同感。', '短评打分': 5}
{'短评内容': ' 酒店很好。', '短评打分': 3}
{'短评内容': '宁波南苑环球酒店智能化程度很高', '短评打分': 3}
{'短评内容': '服务态度很好 服务态度很好 服务态度很好 服务态度很好', '短评打分': 5}
{'短评内容': '目前是浙江最新的五星级酒店了，各方面的服务都很好，在新城区，到江北远一些，打车要30元', '短评打分': 5}
{'短评内容': '房间很大，床很舒服，下次还会入住，也会推荐给朋友。', '短评打分': 5}
{'短评内容': '除了宽带网速稍慢，只有300k／秒，其它软硬件方面无懈可击，亮点是布置在窗边的浴缸，洗澡时隐在百叶窗后还能欣赏到对面鄞州公园的风景，那种闲适的感觉不可复制', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '硬件不错，软件欠缺。离机场近，离市区远。', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次还住，就这么简单。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店硬件设施相当好~~可惜入住时游泳池暂未开放，比可惜', '短评打分': 5}
{'短评内容': '酒店位置：离市中心自驾约15分钟车程，周围是新区，最近的是一个万达广场，步行10分钟以内。\n硬件：五星++ 客房很满意，还要浴盐泡澡，整套欧舒丹产品，表扬！\n软件：服务很尽心，但可能是管理方法的问题，和国际连锁的五星酒店有差距：1.早餐工作人员太多了，在客人面前走来走去，但工作效率不高（不服务咖啡和茶水，还当着客人面大声讨论问题）2.入住的房间门铃是坏的，我们和走廊上的服务员说了，在她确认坏了以后', '短评打分': 5}
{'短评内容': '非常好...每次都帮客人订这里，所有的客户都很满意', '短评打分': 5}
{'短评内容': '房间很大很豪华，和老婆过纪念日很满意哈哈早饭不错', '短评打分': 5}
{'短评内容': '所有的点评都是正确的，我以前经常住喜来登，现在这里是我以后在宁波的酒店，超大，超豪华，非常值得。', '短评打分': 5}
{'短评内容': '住得不错才续住了2晚，值得推荐，下次还会订住。', '短评打分': 5}
{'短评内容': '酒店硬件很好，房间宽敞，早餐很丰盛，服务周到，性价比不错。', '短评打分': 5}
{'短评内容': '绝对超五星的品质！房间很大很舒适，洗澡最舒服。超大浴缸，被子枕头也很舒服！下次还要入住。窗外鄞州区政府，鄞州公园景色一览无遗。离万达广场很近，购物逛商场很方便。', '短评打分': 5}
{'短评内容': '酒店设施很好，非常满意，性价比很高！可推荐朋友入住。。', '短评打分': 5}
{'短评内容': '非常好的酒店，客户来都住这里，非常满意。。。', '短评打分': 5}
{'短评内容': '房间设施非常好，比上海香格里拉的房间还好.但价格只是1/3...', '短评打分': 5}
{'短评内容': '性价比非常高，房间设施非常好，非常满意！！', '短评打分': 5}
{'短评内容': '不错哦，给客户订的，客户很满意，卫浴设施很好，浴室很大很舒服。。。。', '短评打分': 5}
{'短评内容': '房间不错哦，卫浴设施很好，浴室很大很舒服。。。不过接待外宾时服务员的英语有待提高，呵呵', '短评打分': 5}
{'短评内容': '酒店房间不错，浴室很大很舒服。。环境也很好！不过只有一个入口处有酒店名称，所以客人找的时候不是很方便。。', '短评打分': 5}
{'短评内容': '酒店总的来说还是不错的，设施等算是齐全，值得推荐，价位有点小贵。', '短评打分': 5}
{'短评内容': '不错,起码硬件是区域内最高档次的;酒店营造的氛围也很好,不过服务水准还有待提高', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '酒店设施很豪华，没得说，客房面积大，硬件好....只是地理位置不佳，服务态度差..但也是个别的服务员（前台）不好...其余很不错', '短评打分': 5}
{'短评内容': '房间还不错环境还好，酒店出行还是没有在市中心的方便，态度还可以，价格还是比较可以接受的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间的设施卫生很不错的酒店的装修设施用的都是比较高档一些材料很不错，价格的话也还不错，服务也很好，位置倒是挺好找的。停车也很方便。不过价格要再便宜些就更好了。', '短评打分': 5}
{'短评内容': '酒店感觉很现代化 感觉很舒服 前台服务很好 下次还是会入住这家酒店的', '短评打分': 5}
{'短评内容': '装修的还是挺不错房间也是很干净，不过位置还是有些偏，前台服务挺周到的，不过酒店价格还是有些高了。', '短评打分': 3}
{'短评内容': '交通还是蛮方便的，价格的话还是蛮优惠的，里面环境还不错，性价比还是很好的。', '短评打分': 5}
{'短评内容': '酒店的硬件很好,好像比其他五星酒店都高级。但泳池的水温好像没有达标。', '短评打分': 5}
{'短评内容': '好!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '价格是稍微贵了些环境倒是不错，卫生设施还行，出行也很方便。', '短评打分': 5}
{'短评内容': '硬件和软件条件还不错,就是位置有些偏不太好找,其它各方面还可以.整体感觉不错.', '短评打分': 5}
{'短评内容': '位置挺好找，价格也很合适，卫生设施方面都很不错，算是物有所值了。服务态度也很好。', '短评打分': 5}
{'短评内容': '位置挺好找，价格也很合适，卫生设施方面都很不错，算是物有所值了。服务态度也很好。', '短评打分': 5}
{'短评内容': '总体来说感觉很不错，唯一让我不舒服的地方--因为我是一名设计师来到贵地想看一下贵地的装饰和设计，并且想拍点照片回去参考，但是要走的那天早上我看见我同楼层有保洁员再打算卫生，就敲门进入，并问了她我可不可以拍下照片，他说要问她师傅。刚要出去的时候碰到了他所谓的“师傅”，我同样的话，换来了她一句不可以。刚要走出门口的时候就开始说她所谓的“徒弟”，当中有些话我听了非常不舒服，甚至还怀疑我想偷东西。。。。我', '短评打分': 5}
{'短评内容': '综合水平很好.酒店和性价比比较高.服务都很周到.', '短评打分': 5}
{'短评内容': '很舒适的酒店，服务很热情，就是不在市中心。。。', '短评打分': 3}
{'短评内容': '首先，这是一家感觉很奢华的酒店，硬件方面用的都很顶级，酒店还有很多智能化的住宿体验，但是不满意的就是，我住行政楼层，但是他们的行政楼层餐饮服务还没有开业，早餐感觉要是多点宁波当地的特色会好点，还有就是早餐的取餐区和用餐区有点远，不是很有感觉。\r\n总的来说这是一家顶级的酒店，但还是缺少国际连锁酒店的感觉，那个感觉不是用钱可以搭起来的，就像你们的前台，不舒服。', '短评打分': 5}
