{'短评内容': '不行', '短评打分': 5}
{'短评内容': '信用卡担保了房间，到前台告诉我没房间。查询是因为前台保留错房型，给我安排了大床房，折腾了半天才入住。', '短评打分': 1}
{'短评内容': '屋里蟑螂多，半夜还停电到早上八点多，要求不高的可考虑', '短评打分': 5}
{'短评内容': '还不错，交通非常方便，距机场和火车站都非常近，下次来还住', '短评打分': 5}
{'短评内容': '性价比不错，位置离火车站很近，交通也很便利，无线网络不是很理想，离楼道远了，基本没有信号。', '短评打分': 3}
{'短评内容': '总体来说性价比不错，位置离火车站很近，坐火车比较方便。无线网络信号不强，比较糟糕，其他都还好。', '短评打分': 3}
{'短评内容': '总体来说性价比不错，位置离火车站很近，坐火车比较方便。无线网络信号不强，比较糟糕，其他都还好。', '短评打分': 3}
{'短评内容': '不能刷卡结账，门前地铁施工，不太方便。位置好。', '短评打分': 5}
{'短评内容': '还不错，依然是门的隔音效果不是很好。能听到外面的大部分声音~~~', '短评打分': 5}
{'短评内容': '商家很讲信誉,我去的时候已经给我留好房间了.房间也不错,这个价钱我觉得性价比非常高,我和妈妈很满意.', '短评打分': 5}
{'短评内容': '房间一般，性价比还行。', '短评打分': 5}
{'短评内容': '这里交通方便，价格也比较合适，是一个性价比还不错的地方', '短评打分': 5}
{'短评内容': '+北京路正在修路所以事先不看地图不好找。房间价格便宜但没有空调，通风比较差。住二楼，点电蚊香，没发现有蚊子', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，总体不错，唯独无线网络信号差', '短评打分': 5}
{'短评内容': '价格便宜，房间还算不错，就是没空调，性价比可以。', '短评打分': 3}
{'短评内容': '离火车站和中心区特别近，比较方便，价格也不贵，推荐', '短评打分': 5}
{'短评内容': '地方很隐蔽，但是服务态度还行，性价比可以', '短评打分': 3}
{'短评内容': '第二次也住了这里，再提一点就是电话不能打，连市内都不可以打，总之还是不错的啦', '短评打分': 3}
{'短评内容': '距离火车站很近，性价比合适，只是房间隔音稍差，隔壁那个人的电视声音很大。', '短评打分': 5}
{'短评内容': '位置倒是还行,就是晚上很不好找,招牌都没灯的!从门口来回走了两次都没发现酒店在那里!晚上睡觉的时候被蚊子咬死了,五楼居然还有这么多蚊子!', '短评打分': 1}
{'短评内容': '还有一点，这里的床太小了！明明见是两个人一起住，他还给设施只是为一个人住的房间给我们，还好后来叫服务员加枕头和拖鞋了。', '短评打分': 3}
{'短评内容': '虽然住这家酒店发生了一些不愉快的纠纷，但最后还是解决了，这里的服务员态度还不错', '短评打分': 1}
{'短评内容': '非常不错，性价比很NICE，地理位置很方便&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '特价房环境很好 物超所值 地理位置也不错 向大家推荐这家酒店', '短评打分': 5}
{'短评内容': '不错性价比合里。', '短评打分': 5}
{'短评内容': '离火车站近,也较安静,就是电话不能打.正在修地铁,车不能到门口,但可在马路边上看见', '短评打分': 5}
{'短评内容': '整体的环境不错，位置也很好。就是现在修地铁，比较难找。', '短评打分': 5}
{'短评内容': '一直住这家 感觉卫生条件不错，比较划算。', '短评打分': 5}
{'短评内容': '位置不错，设施简单', '短评打分': 5}
{'短评内容': '性价比还算高，', '短评打分': 5}
{'短评内容': '昆明性价比最高的还算舒适的酒店很适合 赶飞机 火车 及短暂停留的游客', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '酒店位置不错，从火车站步行一刻钟左右就到了。房间比较小，没有空调，不过其他还行。', '短评打分': 5}
{'短评内容': '由于飞机晚点了3个小时，到时已凌晨两点多！不过，睡觉时还能听见修路边机器嗡嗡的转动声，一晚睡眠质量不高！但是，LG说他什么都没听见，看来，这也是因人而异的！\n地理位置不错，出行方便！', '短评打分': 3}
{'短评内容': '由于飞机晚点了3个小时，到时已凌晨两点多！不过，睡觉时还能听见修路边机器嗡嗡的转动声，一晚睡眠质量不高！但是，LG说他什么都没听见，看来，这也是因人而异的！\n地理位置不错，出行方便！', '短评打分': 5}
{'短评内容': '交通非常方便。也很干净，床很大，总体来说不错，如果有机会下次还会去住的。', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，但是条件一般吧！服务态度不好，卫生条件也一般。如果仅仅只是路过的话是个不错的选择.', '短评打分': 3}
{'短评内容': '重点是离火车站近\r\n其他的还真不怎么样\r\n对于服务态度  太差劲了~\r\n怎么看我们是学生就这么欺负么？', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还算可以吧，对于差钱的朋友是个好选择', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '没有空调,硬件设备不够齐备.洗水间洗漱台很小.位置不好找.在巷子里面不起眼.不过距离火车站挺近的.这点还不错,其它各方面很一般.', '短评打分': 1}
{'短评内容': '房间宽敞，舒适，性价比很高。', '短评打分': 5}
{'短评内容': '离火车站挺近的，步行去火车站就十五至二十分钟，从机场打车就十五块钱，入住时北京路在修地铁，对环境的影响不太大。', '短评打分': 5}
{'短评内容': '我们是早上八点差十分入住的，当时负责打扫的人还没上班（他们八点上班），所以我们自己提行李进客房后还要等好一会才有工作人员来收拾房间（那间房估计刚退，乱乱的），速度还算快吧。\r\n没注意到该酒店是不是星级的，里面的拖鞋不是一次性的那种，住的216房，开窗对过去就是别人家的楼顶，有好些垃圾，感觉很不爽！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '总体还不错，就是晚上有些吵~~', '短评打分': 5}
{'短评内容': '酒店位置就在市中心，交通蛮方便的，性价比较高，下次还会住的。', '短评打分': 5}
{'短评内容': '这个价格，算很实惠的地方，房间也不差', '短评打分': 5}
{'短评内容': '酒店条件还不错，就是晚上比较吵.设施有些陈旧.其它各方面还不错，我个人还是比较喜欢这家酒店的.', '短评打分': 5}
{'短评内容': '这个价钱，在淡季可以住到更好条件的酒店', '短评打分': 1}
{'短评内容': '价位还可以，就是有点噪音', '短评打分': 5}
