{'短评内容': '位置不错，酒店设施一般', '短评打分': 4}
{'短评内容': '感觉不太安全 只是离火车站比较近 住的很方便 如果一个人的话不推荐住这个宾馆', '短评打分': 1}
{'短评内容': '总体来说就是方便，离火车站很近，但是早上太吵了，6：00就被吵醒啦！', '短评打分': 5}
{'短评内容': '离火车站很近，离栈桥和中山路也很近，门头不大，里面房间不少，房间较小，环境比较干净，服务不错！缺少一次性拖鞋、缺少衣橱、缺少吹风机、缺少洗手肥皂，房间里面居然有蚂蚁！也许是旺季的原因吧，我感觉价格不算低，综合打分70分！', '短评打分': 5}
{'短评内容': '一直忘了给予点评，下面就对人湶酒店作一下点评也是我的切身感受：酒店设施太旧，而且没有电梯。酒店竟然只有一个吹风机，得排队使用，在坚持要服务员送到房间的情况下等了老半天打了好几个电话，才送到房间，而且前台竟然要求我们客人自己用完之后自己送到前台去，真是不可思议！这家酒店不论是从设施还是从服务水平上性价比极低！', '短评打分': 1}
{'短评内容': '早上五点多就被服务人员给吵醒了，其他还行吧', '短评打分': 3}
{'短评内容': '今天来入住了,感觉不错,一是卫生较好,二是服务态度好.', '短评打分': 3}
{'短评内容': 'JIAOTONGFANGBIEIYOUHENANJINFUOWUHENHAOXINJIABIGAO', '短评打分': 5}
{'短评内容': '房间很干净，网络很好。离火车站很近。下次还会住。', '短评打分': 5}
{'短评内容': '房间很干净，特价房的面积和窗户有些小。很人性化，因在海边服务员还会告诉洗了衣服晾在哪，比较体贴房间里有提供好几个衣架。总体来说不错！', '短评打分': 3}
{'短评内容': '小巧，干净，离火车站近，出行方便，服务也不错。', '短评打分': 5}
{'短评内容': ' 还行 .干净;服务很温馨', '短评打分': 3}
{'短评内容': '服务态度优秀，位置佳。设施一般。性价比不是十分突出。不过，下次还会住这.', '短评打分': 5}
{'短评内容': '不错的环境。。挺实惠的，出去玩也方便。。', '短评打分': 5}
{'短评内容': '酒店挺干净，周围环境也不错，就是隔音效果一般。', '短评打分': 3}
{'短评内容': '优点：很干净，距离火车站、海边、及购物用餐地点都超近\n缺点：每个房间的窗外，不足一米处有一堵墙，看不到外面的风景，看不到阳光，屋里很暗', '短评打分': 5}
{'短评内容': '真的很不错,卫生干净整洁,服务超级好,以后出差我都会住人泉,太棒了', '短评打分': 3}
{'短评内容': '酒店距离火车站很近，服务热情，房间干净舒适，值得推荐。', '短评打分': 5}
{'短评内容': '位置挺好,服务态度很好,房间还行.', '短评打分': 3}
{'短评内容': '酒店距离海边不远，出行方便，晚上可以去海边溜溜湾，感觉很惬意', '短评打分': 5}
{'短评内容': '总体感觉比较舒服的酒店，前台服务员态度很好，周到热情，感觉素质蛮高的很规范，房间卫生条件很好，干净整洁，住宿环境很不错', '短评打分': 5}
