{'短评内容': '感覺有點鬱悶，沒以前的住的舒服。不過去西湖河坊街蠻近的', '短评打分': 5}
{'短评内容': '位置不错,非常方便,就是房间没窗,闷了点.', '短评打分': 3}
{'短评内容': '隔音太差了点，居然能听见隔壁房问的说话声！', '短评打分': 3}
{'短评内容': '到店很晚了，房间有发霉的味道，就凑合了几个小时', '短评打分': 1}
{'短评内容': ' 干净 舒适 好的 ！！好的的额的的额的 的~~', '短评打分': 5}
{'短评内容': '迷你的房间。位置好,步行可到武林广场，随意住住。价钱才是硬道理啊~', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '房间太小，卫生情况一般，空调制热效果差，房间隔音很差，就是离武林广场近点。', '短评打分': 1}
{'短评内容': '房间很小，感觉有点压抑，而且房门的缝隙很大，居然看的到外面，以后不会再选择这家店了', '短评打分': 1}
{'短评内容': '实在是好小好小，而且双休日的价格贵很多，不合算', '短评打分': 1}
{'短评内容': '交通方便,到武林路坐机场大巴的地方,打车只要十三块.到河坊街,打车只要起步价十一块钱.但是房间有点旧.春节期间房很难订到房间,我住的特价房,没窗户,气味比较难闻.', '短评打分': 5}
{'短评内容': '还不错,地段好', '短评打分': 3}
{'短评内容': '设施还可以，年末了工作人员少，服务欠佳！', '短评打分': 5}
{'短评内容': '房间小了点，隔音效果一般。不过网速很快，房间总体也算干净，地理位置也很好。对于这样的价格，是不错的酒店嗯。', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '还可以吧，市中心地段，就是房间太小，设施不是太好\n', '短评打分': 5}
{'短评内容': '住的是单人特惠房，地段不错，房间很小但还算精致，不像一般快捷酒店那么单调', '短评打分': 5}
{'短评内容': '酒店很有特色，比较适合带小孩子来。我们住的是主题房，整个房间里墙上，柜上都是白雪公主（老婆说画得还不错），女儿也很喜欢。尤其要赞电梯一个，运行起来很安静，都感觉不到动静。\n至于酒店设施略微简陋些，温馨感没有如家的感觉好。还有就是入住当天房间毛巾、浴巾一块都没放，等第二天退房前台问起才知道，原以为房间里本来就不放的。这点服务上需要提高。\n总的来说，作为个性化的经济型酒店，还是值得一住的。', '短评打分': 5}
{'短评内容': ' 很不错，很方便 ', '短评打分': 3}
{'短评内容': '房间小了点，隔音不是很好，其他的都很OK，地理位置好~性价比高', '短评打分': 5}
{'短评内容': '房间不错,很可爱就是袖珍了点', '短评打分': 3}
{'短评内容': '经济实惠，交通方便，性价比超高。经济实惠，交通方便，性价比还可以。', '短评打分': 5}
{'短评内容': '勉强住住咯，。，。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '设施还可以呀，但是就是隔音效果差，隔壁的电视一开，就别想睡觉了哈··', '短评打分': 5}
{'短评内容': '房间很可爱，就是隔音效果太差了。。。不过下次还是会去的', '短评打分': 5}
{'短评内容': '隔音效果实在是不敢恭维啊。。。300多这个价位，我是不会选择这里了下次', '短评打分': 1}
{'短评内容': ' 怎么说呢，看和什么样的酒店比，感觉一般般，走路到逛街的地方要10分钟。', '短评打分': 5}
{'短评内容': '离延安路很近，周围吃的地方也比较多哦。就是卫生间就在床边，很奇怪的感觉，房间有点小', '短评打分': 5}
{'短评内容': '该酒店性价比比较高，地段中心价格适中，房间还算比较干净，主题房比较有特色。', '短评打分': 5}
{'短评内容': '已经入住，就是房间太小，隔音差。', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '屋子布置的很不错，洗澡的条件也很好，自带吹风机加分，稍微欠缺点儿的是桌子太窄，笔记本勉强放上去不掉……另外希望能有早餐。', '短评打分': 5}
{'短评内容': '房间还算干净，就是小了点。还有，没有电脑办公的地方，这一点太不方便了。', '短评打分': 5}
{'短评内容': '很酷！位置比较中心，出门比较方便！闹中取静。。。\n', '短评打分': 5}
{'短评内容': '市区内，地点不错，周围繁华。酒店现在的舒适商务房太小。转身不方便。', '短评打分': 5}
{'短评内容': '地理位置不错，订的普通房，给免费升级到主题房，虽然主题房和普通房间基本长得一样。。。', '短评打分': 5}
{'短评内容': '酒店的价格和位置不成正比，房间比较小而且隔音相当差、位置也一般。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '价格是王道，地域也不错，旁边就是百井坊，杭州小吃\n', '短评打分': 5}
{'短评内容': '短信及地图标明的地址错误，明明是中山北路333号，短信发的是中山路333号，地图标的中山中路333号。', '短评打分': 1}
{'短评内容': '178的房间很大的霉味.房间设计有点问题的.178的房间很大的霉味.房间设计有点问题的.', '短评打分': 1}
{'短评内容': '挺好的 逛街挺方便 还很便宜 还带点动漫的风格很好哈', '短评打分': 5}
{'短评内容': '不错，很干净。但美中不足的是隔音不行，有点吵。', '短评打分': 5}
{'短评内容': '不错,小巧舒适.交通便利', '短评打分': 3}
{'短评内容': '住的米奇的主题房，感觉和一般的房间差不多，网站里主题房的照片还要好看得多。。。地理位置很好。电视机屏幕小了点。', '短评打分': 5}
{'短评内容': '非常卡通的主题房，电视很好，很温馨，淋浴及洗浴用品齐全～', '短评打分': 5}
{'短评内容': '1、订的精致单人房，结果入住的时候是无窗的，这个跟那种无窗的普通房有什么区别？\n2、宾馆管理太不给力，楼上的房客不知道哪个星球来的，纠集了一帮人从半夜三点一直闹腾到早上七点，又吵又叫又跳，跟他么搞举重比赛似的。投诉两次也不见改善，搞的我一整晚没睡着。隔音效果太差也就罢了，这帮人素质这么差，宾馆怎么就管不了呢？这样的管理谁敢入住。', '短评打分': 1}
{'短评内容': '位置虽然不错，但是房间太小。。。装修还有气味。。', '短评打分': 1}
{'短评内容': '这次比较经济一点，住的是特惠房，所以设施比其他房间要陈旧，房间下水不好，较潮，有点发霉了，住惯舒适型酒店人可能得忍忍，但至少停车不用担心，地段是绝对的好。', '短评打分': 5}
{'短评内容': '整体都不错，隔音效果稍微差了点。电视是数字点播电视，可以自己选择电影观看。', '短评打分': 5}
{'短评内容': '房间太小，位置偏，建议招牌做得明显点，方便顾客。', '短评打分': 5}
{'短评内容': '房间太小，不值这个价格~~~装饰的话也就那样，没很大的区别', '短评打分': 1}
{'短评内容': '以后再也不会去这家店了。里面的隔音效果不是一般的差，晚上睡觉我， 都可以听到旁边房间的人撒尿到马桶的声音，真的无语的，而且我住的是动漫主题大床房，给我的却是差不多商务大床房。而且我在这个店里还是第一次遇到向顾客拿洗床单的钱，真的无语了。', '短评打分': 1}
{'短评内容': '很不错老客户了', '短评打分': 3}
{'短评内容': '房间有点小，地方是还是很方便的。在市中心办事情是有必要的', '短评打分': 1}
{'短评内容': '一般吧 跟想象中还是有很大差距的！房间里并没有照片上的卡通主题风格', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '出行方便，卫生也不错                                ', '短评打分': 5}
{'短评内容': '还算满意', '短评打分': 3}
{'短评内容': '还不错，隔音不行，房间不大还不错，隔音不行，房间不大还不错，隔音不行，房间不大还不错，隔音不行，房间不大', '短评打分': 5}
{'短评内容': '好，很温馨 `````````````````````````', '短评打分': 5}
{'短评内容': '卫生太差，地点还可以。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店很卡通，还是不错的！支持下\n酒店很卡通，还是不错的！支持下\n', '短评打分': 5}
{'短评内容': '还算便捷的，就是自驾车的朋友不太方便，此处车位太少，不方便停车。', '短评打分': 5}
{'短评内容': '房间不错。唯一的大缺点就是房间根本就不隔音。晚上旁边2个房间的说话声音很清楚，墙壁就像一层纸糊的，这么差的隔音第一次碰到，正好碰到隔壁的一个房间一夜没睡在打牌。晕。我也一夜没睡听着他们的打牌声，以后不会再选择这家酒店了。人受不了。小孩就被吵醒2次。可想而知的隔音设施。', '短评打分': 1}
{'短评内容': '还算比较干净，经济实惠，不过就是隔音效果比较差一点，不过整体还可以', '短评打分': 5}
{'短评内容': '杭州酷漫居主题酒店订的商务大床房，但是房间很小，和照片上的房间大小差很多，房间有点潮，总体来说一般。\n', '短评打分': 1}
{'短评内容': '非常不错很干净很值就是隔音不是很好', '短评打分': 3}
{'短评内容': '卫生真的很好。、但是空间真的太小了。放东西是很麻烦', '短评打分': 3}
{'短评内容': '恩。因为看到网上的评价都非常的好。所以也很期待。我入住的是特惠单人房、虽然毛巾、电视。空调、淋浴的都非常棒！还有床单跟被套都很干净都是新换的。让我住的很安心。但是空间实在是太小了。比较压抑、而且隔音的确不是很好。可能是因为电视是液晶的挂在墙上的原因。隔壁房间的电视声音比较大。总体来说，还是有点贵。', '短评打分': 5}
{'短评内容': '总体感觉不错，还算有特色；主要是位置还不错，房间有点小，不过这价钱在杭州也就这样了，', '短评打分': 5}
{'短评内容': '订的商务大床房，但是房间很小，和照片上的房间大小差很多，房间有点潮，总体来说一般', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '&lt; 杭州酷漫居主题酒店 &gt;还可以吧。位子不错。房间一般。', '短评打分': 5}
{'短评内容': '床倒是很舒适，但隔音效果特别差，隔壁看电视完全听得清清楚楚，洗手间门设计特别不方便～', '短评打分': 5}
{'短评内容': '已经入住酒店很多次了,每次入住都选择不同的房间,特别是酒店的卡通房间,我女朋友特别喜欢,酒店位置非常好,吃的,玩的,离西湖也蛮近的.酒店的服务员也非常热情,去了都记得我了,所以我到杭州就会住这家酒店,性价比很高,不过有一个小小的建议,希望老顾客能稍微晚一点点退房.', '短评打分': 5}
{'短评内容': '还不错 性价比可以 交通也比较方便 下次有机会还会去', '短评打分': 5}
{'短评内容': '挺好的，服务态度非常好。房间也很满意！非常感谢！', '短评打分': 5}
{'短评内容': '＋服务态度好，位置不错', '短评打分': 5}
{'短评内容': '下次我还会选择这家，位置特别好，其它都还可以。', '短评打分': 5}
{'短评内容': '+还不错，周围吃饭方便。隔音不是很好。', '短评打分': 5}
{'短评内容': '适合年轻人，位置挺好！其他方面也都还不错！还是适合年轻人', '短评打分': 5}
{'短评内容': ':比较干净，空间太小，相比之下，较贵。', '短评打分': 5}
{'短评内容': '环境还好，就是空间小点,希望在这方面能有更多的改进', '短评打分': 5}
{'短评内容': '很卡通，服务人员很和气，地段也不错，周围很热闹，房间设施一般，不是很大', '短评打分': 5}
{'短评内容': '＋满意', '短评打分': 5}
{'短评内容': '房间不错就是有点小，没有衣柜。', '短评打分': 5}
{'短评内容': '首先 这家酒店很有特色 很喜欢一楼的氛围 那个穿白衬衫的男工作人员（不知道是不是经理）服务态度非常的好，非常的热情！在这里我感谢一下他。酒店床比较舒服，看见有许多夫妻带着孩子来住，感觉挺温馨的。。。唯一的缺点是我这间房间不知道为什么浴室下水有点堵，水稍微漫出浴室了，A313号房哦，总体来说很满意的！', '短评打分': 5}
{'短评内容': '服务不错，小了点，很温馨，地理位置好，逛街很方便', '短评打分': 5}
{'短评内容': '酒店很干净，设施也齐全，装修风格很喜欢，确实不错', '短评打分': 5}
{'短评内容': '酒店很不错，电视节目又多又好看，有很多电影可以选。房间很干净，床很舒服。期待下次可以住卡通主题房！', '短评打分': 5}
{'短评内容': '非常卡通的房间特色，在七楼！电视很好能看到许多大片，房间比较小，配套设施很全！比较方便出行', '短评打分': 5}
{'短评内容': '环境很好，服务态度也好，非常舒适。', '短评打分': 5}
{'短评内容': '酷漫居的地处闹事 环境和卫生不错 就是房间比较小隔音不好', '短评打分': 5}
{'短评内容': '地段还行 离市中心和西湖都不远 ，住的是商务大床房 就是房间小了点', '短评打分': 5}
{'短评内容': '房间太小，主题不错。', '短评打分': 5}
{'短评内容': '性价比高！就是比较难找一点～客房比较干净！我喜欢这样的感觉！', '短评打分': 5}
{'短评内容': '最后共住了5晚，还好吧，离西湖稍远了一些而已，隔音要改善！', '短评打分': 3}
{'短评内容': '房间很干净，蛮不错的，服务态度也好,唯一美中不足的是稍微有点潮', '短评打分': 5}
{'短评内容': '卫生很好，很安全，住的基本都是年轻人，唯一的缺点是隔音太差，你懂的。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的其他方面都还好，就是装修有点味道，闻着有点难过，第二天起来嗓子有点干', '短评打分': 5}
{'短评内容': '卡通装饰，感觉不错，地理位置，交通方便。\r\n就是房间稍微小了点。', '短评打分': 5}
{'短评内容': '看上去挺干净的，虽然小点，一个人就晚上住住也够了。', '短评打分': 5}
{'短评内容': '房间很干净，蛮不错的，服务态度也好，就是隔音差点，入住的时候隔壁住了小孩子，晚上闹，早上又在走廊里吵闹，不过打电话到前台都很快都解决了', '短评打分': 5}
{'短评内容': '交通方便，离西湖很近，租借自行车方便，单人间可以两个人住，', '短评打分': 5}
{'短评内容': '位置总体来说还是不错的，前台告诉走到西湖只需要走10分钟，结果足足走了20分钟。。。\r\n卫生和服务还是不错的，周边吃饭的地方也比较多\r\n下次来杭州还会考虑入住', '短评打分': 5}
{'短评内容': '已入住，房间有点小，很干净，前台服务员态度很好。', '短评打分': 5}
{'短评内容': '+环境不错，房间有点小', '短评打分': 5}
{'短评内容': '1、房间隔音效果差，连续2晚被隔壁吵醒。\r\n2、房间无窗，憋气。\r\n3、房间内有毒蚊子，胳膊和腿被咬起好大的包，四天未见消退。\r\n4、地理位置不错，出行、吃饭较方便', '短评打分': 5}
{'短评内容': '房间隔音确实差了点，，，其它一般般，位置还是不错的。武林广场附近', '短评打分': 5}
{'短评内容': '  还算干净  但是太局促了  性价比不太高', '短评打分': 5}
{'短评内容': '就是房间小了点。！~\r\n\r\n\r\n\r\n\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '半夜特价房还漏水~隔壁房间电视开了一夜爆响~也没人管，估计是他们自己人。', '短评打分': 1}
{'短评内容': '服务态度不错的。至于价格还是比较低的啊。比较比如家低。', '短评打分': 3}
{'短评内容': '狗日的杭州让我去了就长了皮肤炎症。昏死了。没窗户的房子，特别闷。', '短评打分': 1}
{'短评内容': '酒店房间很舒适,卫生很好,电视节目还可以点播想看的电影,价格也很合理,就是有点不隔音,下次还会选择入住', '短评打分': 5}
{'短评内容': '地址挺好好的，不环境还行吧！总的来说还行。', '短评打分': 5}
{'短评内容': '+干净又舒服价格实惠', '短评打分': 5}
{'短评内容': '+不错，还可以', '短评打分': 5}
{'短评内容': '前台服务质量太差,态度恶劣,\r\n所谓的主体套房也不过就是粉刷下颜色而已,\r\n内部设计不合理,没有桌子,电脑只能放在床上,更不能理解的是,要上网,电视就不能看,只有一根网线;\r\n不要被名字所欺骗,童话还是留在梦里好!\r\n太失望了.\r\n\r\n', '短评打分': 1}
{'短评内容': '酒店没有备用衣架，实在不理解既然已经有很多客人反应了这个问题为什么还不解决', '短评打分': 5}
{'短评内容': '装饰很可爱，就是有点小，电视节目很多，还有自己点播的，总体还是不错', '短评打分': 5}
{'短评内容': '+房子干净整洁,服务质量好,但隔音不太好。', '短评打分': 5}
{'短评内容': '房间没有想象中的大，太小了，隔音不好，夜里隔壁太吵了', '短评打分': 5}
{'短评内容': '总体觉得比较平淡，没有住主题房间，普通房没什么特色', '短评打分': 1}
{'短评内容': '酷漫居主题酒店设计布局很有特点!感觉新颖舒适很好!酒店位置在商业中心很方便!是个人旅游的好住宿!', '短评打分': 5}
{'短评内容': '酒店很新,有装修的味道,老公说熏的头有些晕,我们就一直打开一点窗,这样一来开空调就很浪费!还有隔音效果不好,隔壁房说话都听的很清楚.位置去哪里都要打的,很少公交车!不过床上用品还可以,睡着很舒服!', '短评打分': 1}
{'短评内容': '都不错   即使隔音效果差了点  隔壁电视声音听的一清二楚   需要努力   还是支持   下次去还是住那', '短评打分': 5}
{'短评内容': '我住的商务大床房，房间有点小，卫生间比较干净，住着挺舒服，空调位置不太好直吹床', '短评打分': 5}
{'短评内容': '很不错 很适合喜欢动漫的情侣 位置离西湖也不远', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '感觉比较简单干净，另外也没有噪音，睡了一个好觉~！总体还是不错的，尤其是近来好多玩偶哦~！超级喜欢的~！', '短评打分': 5}
{'短评内容': '床特别舒服，电视节目丰富，就是隔音不好&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '很满意 同上', '短评打分': 3}
{'短评内容': '很喜欢 主题房让女友很满意', '短评打分': 5}
{'短评内容': ' 酒店的水龙头绝对有问题，一会儿热一会儿冷，而且隔音很差，基本上睡在房间里，走廊里的一举一动都听的清清楚楚', '短评打分': 5}
{'短评内容': '住的还是蛮舒适的', '短评打分': 5}
{'短评内容': '交通便利,服务亲切,下次有机会再去', '短评打分': 5}
{'短评内容': '如果能住到主题房，还是很适合住一下的，房间太小，连个桌子都没有，连吃的东西，都只能堆在地上。卫生方面还行，中等水平吧，短途旅游还是可以考虑的，电视挺好，是华数的点播电视，打发时间不错，隔音是在太差，隔壁的电视机正好挂在我们的床头的背面，我陪隔壁的家伙，听电视听到半夜2点，诶。。。。。酒店服务不错，小姐都很热心。。以后还会考虑的', '短评打分': 5}
