{'短评内容': '住的很舒心', '短评打分': 4}
{'短评内容': '位置不错！::!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '如家很舒适，真的有种家一般的感觉，比较干净清爽～', '短评打分': 3}
{'短评内容': '在网上订购要比门店便宜好多，房间温馨，床很舒服，而且非常干净', '短评打分': 5}
{'短评内容': '还好，位置不错，出行方便。房间返潮，墙壁发霉，隔音不好，紧临马路晚上过往汽车声音如身临其境', '短评打分': 5}
{'短评内容': '房间不错，挺干净，就是小卡片很无语= =', '短评打分': 5}
{'短评内容': '酒店很温馨，不错啊', '短评打分': 3}
{'短评内容': '还好，临街的房间有点吵，房间内有点潮，服务周到', '短评打分': 5}
{'短评内容': '一晚上一直从门缝在塞那些色情广告单子，有一种很不安全的感觉！！！！', '短评打分': 1}
{'短评内容': ',大床房，条件挺好。', '短评打分': 3}
{'短评内容': '酒店新开张，还不错，就是没有有电脑的房间', '短评打分': 5}
{'短评内容': '，这家如家很新，不错', '短评打分': 3}
{'短评内容': '酒店虽小，却很细致，特别是床及盖被特别好，早餐服务及质量都很好!', '短评打分': 5}
{'短评内容': '不怎么好，不推荐。。。。交通不方便。。。。', '短评打分': 1}
{'短评内容': '地段还算不错，房间也干净，服务态度也好。唯一让人不满意的就是宽带，这网速。。。都什么年代了，网速跟电话拨号年代有的一拼。连部电影都看不起来。刚开始还以为网络出问题，致电前台，回答是他们酒店就这速度。只让客人聊聊QQ，看看网页用的。 结果只能跑出去找网吧上网。。。 不用电脑的朋友推荐，离不开网络的还是别去了。。。 ', '短评打分': 1}
{'短评内容': '如家很好、打折太少', '短评打分': 3}
