{'descr': '什么事呀我去了，说不能住房订了也不能住,回复我说电脑上不了网,这大雨天的不是害人吗?', 'star': 3}
{'descr': '酒店本身一般， 周边环境太差， 不宜居住。', 'star': 1}
{'descr': '出行很方便，交通挺便利的，房间比较简洁，服务很好。', 'star': 5}
{'descr': '房间硬件设施齐全，服务很好，卫生也不错，住着还算满意', 'star': 5}
{'descr': '位置一般，还是偏贵。', 'star': 5}
{'descr': '性价比不错的酒店。。。', 'star': 5}
{'descr': '比较不错', 'star': 5}
{'descr': '不错，性价比高，比较舒服。', 'star': 3}
{'descr': '不错，经济实惠，住起来还舒适。', 'star': 5}
{'descr': '暖气不太热，但人很热情～！', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度都比较达标，硬件设施舒适度也还不错。卫生服务比较达标，价格合理适中，整体来讲算是比较不错的酒店，值得推荐入住。', 'star': 3}
{'descr': '设施方面比较老，但服务方面还是不错的，很热情，位置也不错', 'star': 3}
{'descr': '房价不按照网价执行，房间内修补太多，窗户纱窗是坏的无法使用，房间门关闭费力，卫生间水龙头不好使。\r\n', 'star': 1}
