{'descr': '比某程要便宜点，房间还可以。', 'star': 5}
{'descr': '还可以老住 不绰的 ................................', 'star': 5}
{'descr': '非常满意 环境非常好 非常舒适 还会经常光顾的！', 'star': 5}
{'descr': '很不错的，很干净也很温馨，真的不愧是连锁的，要是价格能再低点就更好了', 'star': 5}
{'descr': '我这出差入住长治店902感到标间房间比较大.管理比较到位卧具非常干净；暖气特别好.价格比较公道.尤其称道的是高峰同志给于了家庭般的关心.让每位顾客都有种宾至如归的感觉.刘晓舟十七.十八号入住', 'star': 5}
{'descr': '不错第二次选择不错第二次选择不错第二次选择不错第二次选择不错第二次选择不错第二次选择不错第二次选择不错第二次选择', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '各方面还可以，经济性价比较高的酒店。\n就是早餐的东西太少了点。', 'star': 5}
{'descr': '当地不错的快捷连锁的；含早就好了，呵呵。干净，方便。', 'star': 5}
{'descr': '新装修店，很干净卫生，可惜只有早餐，再加上晚餐就更好了，采光很好旁边酒楼饭店很多，吃饭也很方便', 'star': 5}
{'descr': '总体还可以，就是房间墙上有个洞在外面糊了张白纸，有伤大雅', 'star': 3}
{'descr': '这个店不错啊，我的房很大，没有窗很安静，与世隔绝啦！只是：好多人把这家店与平阳路店搞混。。。', 'star': 3}
{'descr': '因为时间太晚临时住在太原，酒店没有停车场，要自己找停车场很不方便。', 'star': 1}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 酒店位置佳 早餐一般', 'star': 3}
{'descr': '电脑房好大!洗澡水时冷时热.晚上洗手池还是黄的', 'star': 3}
{'descr': '新装修店，很干净卫生，可惜只有早餐，再加上晚餐就更好了，采光很好旁边酒楼饭店很多，吃饭也很方便。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境好', 'star': 3}
{'descr': '作为快捷酒店挺不错的，就是位置有点偏，挺不好找的', 'star': 5}
{'descr': '网速还可以，就是不能玩网游，其他方面还行', 'star': 1}
{'descr': '环境还是可以的，就是赶上修路，绕了一大圈才找见', 'star': 5}
{'descr': '房间不错，因为在修路，怪不得当时比较便宜。', 'star': 5}
{'descr': '一般  服务也一般 没有浴帽  离店时被告知要浴帽就需缴纳1-2元费用 有偿使用', 'star': 1}
{'descr': '还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，还不错，', 'star': 5}
{'descr': '还好   对得起这个价钱。   就是修路有点不方便。  不过价位还是可以让我克服这些的！！！！', 'star': 5}
{'descr': '毛巾之类改换新的了还有床单被罩也是，价位虽然实惠但作为连锁酒店，也不能跟其他分店的落差太大了吧', 'star': 5}
{'descr': '卫生间喷头不好用，空调只能开关不能调温度', 'star': 3}
{'descr': '酒店地理位置优越 附近有沃尔玛超市，有购物中心。非常好', 'star': 5}
{'descr': '总的来说这个价位的还不错,下次如果去学府街附近还住这里', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': ' 金广做的还不错，房间蛮好，大床睡着很舒服，一觉到天亮！', 'star': 3}
{'descr': '虽然无窗，但是空间够大，开了排气扇，希望可以有作用。\n整体感觉不错，特价一般，还算合理，要是再便宜些恐怕会更好。', 'star': 5}
{'descr': '很好满意', 'star': 3}
{'descr': '环境还可以.比如家空间大.以后就住金广了', 'star': 3}
{'descr': '环境很好，不错...还会来...', 'star': 3}
{'descr': '环境不错，经济实惠~', 'star': 3}
{'descr': '干净，舒适，极具性价比，服务态度也很好不错。推荐！', 'star': 5}
{'descr': '比较满意', 'star': 3}
{'descr': '修路期间价格果然便宜。非常值得推荐的高性价比酒店。', 'star': 5}
{'descr': '住着不错，所以继续预订3天哈！', 'star': 3}
{'descr': '酒店不错，房间很干净也很安静，价格实惠。', 'star': 3}
{'descr': '比较安静、舒适，服务很好,下次来还准备住这里', 'star': 5}
{'descr': '网上预订比门店价格便宜很多。环境非常不错，性价比很高。只是安静房有的房间空调不好用，虽然有风扇，但还是有些不舒服。\n整体来看性价比非常高。', 'star': 5}
{'descr': '价格很实惠，房间也比较舒适房间也比较舒适', 'star': 5}
{'descr': '没有停车场，服务员让把车停在旁边的家居市场。停车过去了，家居市场的保安没说不让停，只是说车出了问题概不负责。假如有问题，责任是顾客自己的？', 'star': 1}
{'descr': '好很好很好好很好很好好很好很好好很好很好好很好很好好很好很好好很好很好好很好很好好很好很好好很好很好', 'star': 5}
{'descr': '没有停车的地方，跟前有个卖家具的，金广的服务员让在那儿停车。把车停过去，保安还说：出了问题不负责。一般是没问题，假如车有问题，谁负责呢！', 'star': 1}
{'descr': '服务挺好的·························', 'star': 5}
{'descr': '酒店位置不错，但是有窗户的房间都是朝北的，冬天有点美中不足。', 'star': 3}
{'descr': '价格很实惠，房间也比较舒适，出差住住还不错。', 'star': 5}
{'descr': '挺干净的，价格也适中。不过晚上有水流的声音 比较大', 'star': 5}
{'descr': '退房的时候，说了好几遍都没有人搭理，就算和同行的经济型酒店，eg 如家， 比服务也差的太多了，以后再也不会住了', 'star': 1}
{'descr': '我住的是有窗的大床房，算的上是乾净了，可能是因为有点潮湿吧，墙底处有一部分掉漆了，卫浴是淋浴的，用个帘子隔开，写的是24小时热水，但是水温很低，还好当天不是太冷，不然就受不了了，总的来说，还行吧。', 'star': 5}
{'descr': '被品很干净，但没有停车位不好，自驾游不是很适合。非自驾游入住还是不错的\n', 'star': 1}
{'descr': '第二次入住，服务卫生房间都不错。第二次入住，服务卫生房间都不错。', 'star': 3}
{'descr': '第二次入住，还行。第二次入住，还行。第二次入住，还行。第二次入住，还行。', 'star': 5}
{'descr': '比旁边的汉庭贵十多块钱，服务一般（可能山西的酒店服务都这样吧），离居然之家几步之遥，因工作原因以后还会入住吧。里面没有免费浴帽，很不方便，要收费的，比较郁闷。', 'star': 5}
{'descr': '还可以，环境安静幽雅！还可以，环境安静幽雅！还可以，环境安静幽雅！', 'star': 5}
{'descr': '房间空调不是很舒服，安静房太潮湿了', 'star': 5}
{'descr': '价格不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '这个酒店还不错 我们住的没有窗户的房间 稍微有点潮', 'star': 3}
{'descr': '酒店还行 态度不错', 'star': 5}
{'descr': '总体还可以，不错', 'star': 1}
{'descr': '此酒店比较干净，位置较好，出行较方便。', 'star': 5}
{'descr': '酒店卫生挺干净，服务挺好，就是空调制热功能不好，不热。卫生间暖气不热，洗澡时感觉很凉', 'star': 1}
{'descr': '除位置外其他一般。', 'star': 1}
{'descr': '房间挺干净的,倒是晚上睡觉空调开了有点冷.', 'star': 5}
{'descr': '我觉得房间环境还可以，位置挺方便的，就是空调不太好用，房间里有点冷', 'star': 3}
{'descr': '很好，只是空调暖风没感觉到，晚上有点凉', 'star': 5}
{'descr': '地理位置还是挺好找的,房间卫生和设施都还不错,服务态度也还可以,位置还是挺好找的,性价比还不错.', 'star': 3}
{'descr': '很干净，也还舒适，地理位置也还好。这个价位能住上这个已经很不错了。', 'star': 5}
{'descr': '不错，干净，服务也好', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的.设施方面也比较齐全的,周边交通也蛮方便的,就是停车场比较小,感觉很不方便.价格方面还是比较合适的.', 'star': 3}
{'descr': '停车位置比较少', 'star': 5}
{'descr': '感觉酒店还可以，房间比较干净，服务也还可以，就是房间有点小', 'star': 5}
{'descr': 'good in price', 'star': 5}
