{'短评内容': '免费升的行政，整体不错，就是热水出的慢', '短评打分': 5}
{'短评内容': '订了豪华房，入住时免费升级为豪华套房了，赞一个！ 房间的硬件达到准5星的标准，布草很新很柔软，吹风机、熨衣板、雨伞等一应俱全，洗澡水也很大，....唯一遗憾的是早餐，虽然品种不算少，但档次不够，适合接待旅行团的水准，用圆台面很多人一起早餐，服务员也很少，不能及时收拾，满桌狼藉.....', '短评打分': 5}
{'短评内容': '硬件设施挺好，出行也很方便。500多元的价位，不错。', '短评打分': 5}
{'短评内容': '酒店还可以，就是电梯要刷卡，比较麻烦.。。', '短评打分': 5}
{'短评内容': '条件不错，卫生间全透明的，感觉很好！就是电视机太旧了，不是液晶的。', '短评打分': 3}
{'短评内容': '还不错\n\n就是房间小了点，不过房间设施还是很让人满意的', '短评打分': 5}
{'短评内容': '我实在受不了，这酒店，比原来挂豪生差多了，网上定了高级间，到了说没有，换大床也没有只能行政，房间之查，服务员未敲门就进入，以后不住了', '短评打分': 1}
{'短评内容': '高档商务酒店,一切很舒适.唯一不足,早餐质量有所下降,标准降低.在松江价格偏贵.', '短评打分': 1}
{'短评内容': '还是不错的，住的挺满意，下次去的话还会选择这家酒店。', '短评打分': 5}
{'短评内容': '此酒店服务质量很好，每次出差都会选择此酒店，强力推荐。', '短评打分': 3}
{'短评内容': '价格涨的块还偏高。', '短评打分': 1}
{'短评内容': '设施条件还不错，服务也很周到.价位比较适中.总体感觉还是挺不错的.', '短评打分': 5}
{'短评内容': '房间的卫生整理不行，其他一般', '短评打分': 5}
{'短评内容': '酒店环境非常不错，在泰晤士小镇里。房间还行，就是床蛮硬了，就薄薄一层床单。', '短评打分': 5}
{'短评内容': '性价比较高~', '短评打分': 5}
{'短评内容': '超棒的飯店～！', '短评打分': 5}
{'短评内容': '性价比还是可以', '短评打分': 5}
{'短评内容': '房间当时给做了个免费升级，房间的卫生和设施都还不错，服务也很好，这边出行还是很方便的 性价比还是比较高的', '短评打分': 3}
{'短评内容': '酒店的设施还不错，豪华房感觉挺好。就是前台的结帐系统太慢，客人有抱怨。', '短评打分': 5}
{'短评内容': '酒店的总体感觉不错，环境不错，价格也合适', '短评打分': 5}
{'短评内容': '设施齐全，保险柜正好能放进笔记本电脑，房间不大，盥洗室很大，内景房还备有小闹钟，拿起来就亮，对于没有窗户的房间很实用。早餐可选品种不多，感觉餐厅卫生稍差。', '短评打分': 3}
