{'短评内容': 'zon总体还不错，就是有的房间没有热水，希望改进', '短评打分': 5}
{'短评内容': '大堂很漂亮，位置也不错，但这个价格在同样的准四酒店里有点贵了，要是每个房间的价格可以便宜到300元就完美了！', '短评打分': 1}
{'短评内容': '位置不错挺方便出行的,服务室内条件也很好.房间住起来挺舒服的.', '短评打分': 5}
{'短评内容': '总体感觉还是不错.', '短评打分': 5}
{'短评内容': '酒店里面都不错，就是停车的地方小了一些，位置倒是挺好旁边逛街购物餐饮都很方便，价格也很适中。', '短评打分': 5}
{'短评内容': '9点到的东胜，打车等了1个半小时才遇到车。\r\n心情极度郁闷。\r\n在酒店前台，接待很礼貌。\r\n只是到了房间，半天没有找到网线，服务电话一个都打不通，火了，穿上衣服要找人，半路遇到客房服务，说是电话系统调整，内线都拨不通，说是前台已经将电话写在门牌卡上了，最后一看，还真是，那也不说，谁还专门看看门牌卡。\r\n有了网线就好办了，心情好点了，看看房间，环境还是不错的。\r\n推荐来。\r\n只不过要提醒大家，到了东', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店，下次出差鄂尔多斯，我还会选择他。而且这里也发生了一件让我很难忘的事情，总的来说，超值', '短评打分': 5}
{'短评内容': '大堂服务生的服务很周到。房间比较大。', '短评打分': 5}
{'短评内容': '住的是300元的特价房，很舒适\r\n有大床房，可按照要求临时装配电脑，可以上网\r\n房间非常好，只是走廊略显狭小且转角多\r\n服务员听说都是空姐的标准，比较养眼', '短评打分': 5}
{'短评内容': '酒店较新，还算干净。房间不能打长途电话，很不方便。酒店的餐厅很贵即使到餐厅用餐还要加收15%的服务费，点的菜和菜单上的不一样（菜单上是黑椒牛柳，做出来却是杭椒牛柳），吃的不开心。东胜出租车难打，而且还没有发票。住了2天，服务员打扫房间后没有给补拖鞋，也没有再给赠送的纯净水。', '短评打分': 1}
{'短评内容': 'tt', '短评打分': 5}
