{'短评内容': '卫生条件差', '短评打分': 2}
{'短评内容': '环境还算可以，服务比较好，距机场较近，便于转乘飞机，只是没有早餐，不太方便。', '短评打分': 5}
{'短评内容': '还行吧，就是价格有点贵，如果不赶时间的话，建议不需要去', '短评打分': 3}
{'短评内容': '不是一般的差。给的门卡居然无法开门，每次开门还要叫服务员!', '短评打分': 1}
{'短评内容': '卫生条件还是不错的，算是比较经济实惠的.', '短评打分': 5}
{'短评内容': '总台服务态度太差不建议入住', '短评打分': 3}
{'短评内容': 'buhaop111111111111111111111111111111111111111111111111111111111111111111111111', '短评打分': 1}
{'短评内容': '入住前一天定的，距离很近，条件不错，关键是方便，可以说是距离较近的中好的一个。去机场直接步行就可以了。', '短评打分': 5}
{'短评内容': '确实快捷，感觉还不如100元的房间好，以后坚决不能住这里了', '短评打分': 1}
{'短评内容': '作为转机住一晚上，条件虽然一般，一个晚上还是可以将就的，酒店有车接送到机场，这一点非常方便。', '短评打分': 5}
{'短评内容': '地段不错，但是卫生间的味道实在让人难以入睡。一夜未眠啊。。。。', '短评打分': 1}
{'短评内容': '如为转机，住在这儿异常方便，房间干净整洁，面积小了些，更有一番情趣......周边餐饮不便，可以理解。', '短评打分': 5}
{'短评内容': '住宿一般，外观还不错。没有电梯。服务还可以。', '短评打分': 5}
{'短评内容': '酒店还算干净,就是没有电梯,拿大行李的人不方便,服务态度不错.', '短评打分': 5}
{'短评内容': '房价是高了点，若这个价格，还不如住航空大酒店。楼层的服务员素质不好，态度也不太好。', '短评打分': 1}
{'短评内容': '不谈设施 不谈环境 不谈服务 只谈距离 赶个早班真是不错的选择', '短评打分': 5}
{'短评内容': '比较满意。', '短评打分': 3}
{'短评内容': '酒店服务很好，中央空调也不错。', '短评打分': 3}
{'短评内容': '条件虽然一般，一个晚上还是可以将就的，酒店有车接送到机场，这一点非常方便。', '短评打分': 5}
{'短评内容': '酒店服务态度还可以，就是房间价格贵了点。。', '短评打分': 5}
{'短评内容': '咸阳机场快捷酒店硬件设施极一般,招待所水平,价偏高,不推荐。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '\n6666', '短评打分': 3}
{'短评内容': '服务还好，不过房间设备较简单，有蚊子和蚊香。', '短评打分': 3}
{'短评内容': '已经入住,虽然设备有点旧,但卫生还算是挺干净的,总的来说还行,值得推荐。', '短评打分': 3}
{'短评内容': '之前看了评价说又脏又潮无独卫独浴，其实入住之后觉得还是比较干净的，住的4楼，也不是很潮，从机场出来可以步行到酒店，作为中转还是比较方便，如果对住宿条件要求较高的话，则不是很适宜', '短评打分': 5}
{'短评内容': '酒店离航站楼很近而且有车接送，很方便。只是房间如果增加排气扇之类的装置就好了，我这个人因为环保不爱开空调。', '短评打分': 5}
{'短评内容': '入住这家酒店后感觉对的起卧花的人民币，不错', '短评打分': 5}
{'短评内容': '标准间没独立卫生间.不太方便', '短评打分': 3}
{'短评内容': '条件差点，但有车送机，还行。要住就住没卫生间的那种，带卫生间的反而性差比不好。', '短评打分': 5}
{'短评内容': '房间很干净，适宜中转客入住，原机场招待所！', '短评打分': 5}
{'短评内容': '半夜到的飞机，找个地方睡这个方便！综合来说不错挺满意的，因为困死了，一觉睡到大天亮~别的就不清楚了！因为马上转下一趟飞机去了！', '短评打分': 3}
{'短评内容': '还好吧，要是在市区这个条件应该便宜很多，看在是在机场边上，早上还有叫醒和车送，就。。。还不错吧', '短评打分': 5}
{'短评内容': '酒店设施差,价格贵,飞机噪声大.', '短评打分': 3}
{'短评内容': '酒店看样有些年头了，设施看起来都显旧，但挺干净。赶早班飞机极其方便。步行到T1航站楼才用了6-7分钟。', '短评打分': 5}
{'短评内容': '半点、整点有车送机场，不错。但房间无论是带卫的还是不带卫的，相对偏高。另外半天的房费不是一天房费的50%，而是比50%多二十元。', '短评打分': 5}
{'短评内容': '180的居然不带厕所  得，机场边上  忍了', '短评打分': 1}
{'短评内容': '没有卫生间不方便.客房倒是挺干净的，不过临街隔音不是很好.位置好距离机场比较近，提供接送机服务方便出行.', '短评打分': 5}
{'短评内容': '房间硬件还算齐全，采光和通风效果蛮好，卫生还可以，房间打扫的比较干净，舒适度还行', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间硬件齐全，服务很到位，卫生条件好，房间打扫的很干净，住宿环境还是不错的', '短评打分': 5}
{'短评内容': '作为一个中传客栈，是个很好的选择。', '短评打分': 3}
{'短评内容': '房间装修很简陋，酒店只不过离机场比较近所以才会选择的，服务态度还是很一般的，而且酒店也刷不了卡。', '短评打分': 1}
{'短评内容': '空港，空港，空空如港啊，住的310的房间，明明白白的…一电一床一桌一凳', '短评打分': 3}
{'短评内容': ',酒店一般', '短评打分': 3}
{'短评内容': '这个快捷酒店太一般拉，标准间是开门见床的那种房间!价格278元高了点,入住后悔!', '短评打分': 3}
{'短评内容': '普通间没有独立卫生间，隔音差，也没宽带，别的房间不知是不是这样，设施卫生也差，别的房间不知是不是这样。', '短评打分': 1}
{'短评内容': '位置不错，离机场很近，赶飞机还是方便的。', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，性价比还好。', '短评打分': 5}
{'短评内容': '住的条件还好，价格挺实惠的，位置挺好。', '短评打分': 3}
{'短评内容': '位置挺好，价格挺实惠，服务态度有待于提供。', '短评打分': 3}
{'短评内容': '干净卫生，服务周到，离机场又近，值得推荐。', '短评打分': 5}
{'短评内容': '卫生还好，隔音效果一般，有点吵，位置挺好。', '短评打分': 3}
{'短评内容': '环境不错，还算干净，位置挺好，服务也还好。', '短评打分': 3}
{'短评内容': '房间不错，地理位置挺好，价格挺便宜，下次还会光顾。', '短评打分': 3}
