{'短评内容': '真不怎么样，不想去下一次了。', '短评打分': 3}
{'短评内容': '建议晚上到成都，第二天早机的旅客选择此店。\n优点：干净、机场往返方便、价格优惠；\n不足：床垫弹簧损坏、浴室水龙头破损、洗澡水温不足、往返市区麻烦。', '短评打分': 1}
{'短评内容': '酒店服务态度很好，到机场也方便，就是房间设施比较简陋，不能够上网，也没有办公桌。如果只是乘坐飞机也还可以。\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '还不错，管接管送，还免费，转机比较合适。', '短评打分': 5}
{'短评内容': '是公寓式酒店，感觉还可以，最好的是有接机送机服务，离机场也比较近。唯一一点就是卫生间可以再干净点。', '短评打分': 5}
{'短评内容': '给父母订的酒店。父母反映机场接送服务周到，还算满意。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我住的有电脑的豪华双人间 电视都还挺清楚地 就是万恶地早上停电了 我开的暖气 不知道是不是跳闸 很是不爽 而且厨房锁起来 看着怪怪的 走廊也没灯 只是包接送这点还可以 除了赶早班机的 就算了 实在不值这个价 另外 洗脸的毛巾还破了个洞 囧', '短评打分': 1}
{'短评内容': '家庭房间不错的，大厅服务一般。可免费接机。性价比高', '短评打分': 3}
{'短评内容': ' 酒店很不错，清洁，安静，热水很给力，老板人很好，还包接送，下次还来', '短评打分': 3}
{'短评内容': '还行。房间没有电话，设施简单。早上免费送机，这点不错。', '短评打分': 5}
{'短评内容': '早晨八点起来都没有电 吓死个人 不建议大家来住 真的好恐怖 都没什么人 。。。', '短评打分': 1}
{'短评内容': '除了专车接送比较好,环境(例如大堂及房内)等都不行', '短评打分': 1}
{'短评内容': '到成都已经晚上差不多11点了 因为国外的手机号漫游出了点问题 打不通电话 出租车司机也不太清楚双流县的情况 找不到酒店 最后司机打电话给前台 说不知道在哪里 还有点生气 老板娘说了一句特感动的话：你不送我们来接他。最后还是在12点多的时候被接到了酒店。麻烦了酒店一大堆人。\n\n唯一有点不好的地方就是酒店楼道的灯太暗了 有些地方等坏掉了 晚上一个人走在走廊里还真有点恐怖的，如果酒店能改进这点就比较好一', '短评打分': 5}
{'短评内容': '噪音有点大，洗脸刷牙用的水流量太小，其他还好', '短评打分': 5}
{'短评内容': '地点不太好找，条件一般，但老板还算不错~', '短评打分': 5}
{'短评内容': '房间很新很干净，比想象的好很多，有宽带，热水很冲，老板人很好，对面吃东西很方便', '短评打分': 5}
{'短评内容': '超乎想象的好，房间干净，很新，设施齐全，老板人很好，机场接送很准时，下次还选择这家', '短评打分': 5}
{'短评内容': '酒店服务态度很好，到机场也方便，就是房间设施比较简陋，不能够上网，也没有办公桌。如果只是乘坐飞机也还可以。', '短评打分': 5}
{'短评内容': '不错，环境不错，安静，而且条件很好，也很干净，很喜欢~', '短评打分': 5}
{'短评内容': '由于是三人房，所以等于是一个一室一厅的房间~里面的房间是大床，外面的房间是两张单人床，里面的房间带空调还有电脑！可上网！洗澡水也非常冲，很热，最主要的是房间非常干净，液晶电视大小非常合适躺在床上看电视，一点不亚于3星级的宾馆，床上用品舒适！出门走个200米就是大学门口，很多夜排档可以吃，第二天老板送我们去机场！\n最最感谢老板的：我的结婚戒指，是个软的陶瓷戒指，像表带，出门的时候忘记在房间里，老板给', '短评打分': 5}
{'短评内容': '感觉还好，很大', '短评打分': 3}
{'短评内容': '酒店设施一般，不过包接送，服务不错。还算方便。入住的时候说有套房，比定2间房划算就换了套房。不过是类似一般家庭旅馆。', '短评打分': 5}
{'短评内容': ' 这个酒店各方面条件都没达到3星级的标准', '短评打分': 3}
{'短评内容': '    凌晨2点到的双流机场，开始还担心，不过酒店接机的师傅已经提前到了，这点真的非常好。离机场挺近的，开车也就十分钟吧。酒店虽然不大，但是内部设施比较完善，很适合早机或晚机的朋友入住', '短评打分': 5}
{'短评内容': ' 很好的选择，免费接送机，房间干净，独立卫生部，到市区有公交车，对得起这个价啦', '短评打分': 3}
{'短评内容': '房间不错，离机场也不远，服务到位，有机场接送，赶早班飞机的朋友值得推荐', '短评打分': 5}
{'短评内容': '\r\n 还可以就是热水有点小问题', '短评打分': 3}
{'短评内容': '老板人很好，直接接送服务。就是住的那里洗澡水有点系不住！', '短评打分': 5}
{'短评内容': '不错不错！大床房还有个客厅，赶早上7：30的飞机6：00就送机，赞！', '短评打分': 5}
{'短评内容': '能提供接机、送机，由其对晚班和早班的飞机很方便。\n酒店设施较陈旧。环境不错，较安静，卫生。服务也很热情。只是酒店设施较陈旧。', '短评打分': 5}
{'短评内容': '很一般,没有点评说的那么好。', '短评打分': 3}
{'短评内容': '老板人很好，', '短评打分': 3}
{'短评内容': '可以接机，房间也很干净，对于坐早班机的是不错的选择，很好', '短评打分': 5}
{'短评内容': '本来定的是标间，结果住进去发现是套间，这个价格是非常值了，另外我们早上6点的航班，老板能够在凌晨4:30给我们送机，非常感谢，往返2次，都住这家酒店，都有接送。服务很好！', '短评打分': 5}
{'短评内容': '宾馆为单身公寓改造而成，有客厅，感觉很温馨，老板态度很好，有机场接送，方便！', '短评打分': 3}
{'短评内容': '非常方便。尤其可贵的是，店家能提醒你接机或登机的时间，按时用车将你送到机场。', '短评打分': 5}
{'短评内容': '比较近，有车到机场接，要是晚到或是早出发的可以考虑', '短评打分': 1}
{'短评内容': '有车接送，比较方便，价格便宜。房间好大啊，我们订的标间居然有三张床。', '短评打分': 5}
{'短评内容': '很干净  热水也很给力  也很安静   离机场很近   值得推荐', '短评打分': 5}
{'短评内容': '不错不错，老板亲自接送', '短评打分': 3}
{'短评内容': '\u3000房间不错…服务态度很好…离机场很近…房间很干净', '短评打分': 3}
{'短评内容': '酒店很不错…干净…宽敞…实惠…有机会会再来…', '短评打分': 3}
{'短评内容': '这家酒店住进去很温馨，像回到家的感觉！老板很有人情味！老板亲自开车接送机场，送我到机场后不久，老板打来电话说我充电器忘在酒店了。老板又亲自帮我送到机场来。非常感谢！下次一定还住这酒店。', '短评打分': 5}
{'短评内容': '老板娘很热情，机场至酒店开车接送也很方便。室内环境蛮舒服，性价比很高。', '短评打分': 5}
{'短评内容': '酒店就是一般的小旅社，但老板很好，还有叫醒服务，酒店的配置当然不能和一般的连锁酒店比，但作为旅行的中转，还可以考虑哦，就是那个热水器，好闹火呀，半天都不热', '短评打分': 5}
{'短评内容': '由于飞机是半夜才到成都，找一个提供免费接机的酒店就至关重要了，看到机场外等待搭乘出租车的人们排起的长队，至少要等一个小时的时候才感到当初我定这家酒店的高瞻远瞩，哈哈。酒店虽然不是星级酒店，但很整洁，反正下半夜到， 也没啥心情了，赶紧就钻被窝睡觉了。总之不错，如果有转机或者像我当时一样半夜到的不愿再折腾的朋友，完全可以第二天再往市内走，性价比相当高，接机服务值得称赞。', '短评打分': 5}
{'短评内容': '酒店免费接送，房间还可以，要是中转的话是个不错的选择', '短评打分': 3}
{'短评内容': '好的地方：老板娘接送机很方便，楼下有超市，比较方便。热水很足\n不好的地方：酒店式公寓，比较陈旧，设备不是很新，也有些安全隐患，如室内热水器。', '短评打分': 5}
{'短评内容': '老板挺热情', '短评打分': 3}
{'短评内容': '独门独户的公寓式，很安静，房间干净、整洁，房间里有电脑可以免费上网，24小时热水，旅途疲惫，洗个热水澡很舒服。接送机服务很方便、贴心。美中不足的是因为属于公寓式，所以不提供餐食。', '短评打分': 5}
{'短评内容': '酒店就在西南民大东瑞升名苑，位置比较好找，而且房间还比较干净，老板可以免费接送机场，所以还是很不错的。', '短评打分': 5}
{'短评内容': '老板很热情，无论飞机什么时间到，他们都能到机场接，很适合机场中转。房间干净、超大。但热水器的容量好象非常小，一会儿就没热水，因此洗澡需要超快的速度。', '短评打分': 5}
{'短评内容': '离机场近，有免费接送机服务。就是有点吵。总体来说不离机场近，有免费接送机服务。就是有点吵。总体来说不离机场近，有免费接送机服务。就是有点吵。总体来说不离机场近，有免费接送机服务。就是有点吵。总体来说不错', '短评打分': 5}
{'短评内容': '有接送机服务！老板很热情，公寓挺干净的，环境不错！周边没有什么小吃店，如果提前一天入住要自己备一些吃的', '短评打分': 5}
{'短评内容': '性价比高，老板很好，接送机都很好，就是不想酒店', '短评打分': 5}
{'短评内容': '干净整洁，但热水器有一点问题，希望能改进', '短评打分': 5}
{'短评内容': '还可以 离机场比较近 所以接送比较及时 卫生也还好', '短评打分': 5}
{'短评内容': '接机,送机服务不错。房间还算干净，是公寓类型的，有独立的客厅，独立的房间。', '短评打分': 5}
{'短评内容': '离机场很近，有接机和送机服务，非常方便。房间比较干净，安静，经济实惠。', '短评打分': 5}
{'短评内容': '卫生太干净了，顶。床大两个1.5*2和一个1.8*2，顶。送机场，顶。', '短评打分': 5}
{'短评内容': '服务蛮周到的  都是免费接送机。。。很方便，只是设施简陋了点，但是 还是蛮干净舒适的', '短评打分': 5}
{'短评内容': '地理位置不错！前台服务也很热情！可免费接送机场，价格比较适中，推荐乘早班飞机时入住。', '短评打分': 5}
{'短评内容': '很干净，环境不错····························', '短评打分': 5}
{'短评内容': '酒店卫生干净，服务态度热情，有接送机服务，离机场也近，对于转机或住一晚乘机的朋友选择临港公寓是很不错的住宿。', '短评打分': 5}
{'短评内容': '房间比较舒服，也比较安静，价格合适，适合在成都转机的人住宿', '短评打分': 5}
{'短评内容': '设施简单，房间大门很单薄，晚上门口有人站着，我们两个女人一个孩子怕得要死，酒店周围荒凉的很，要不是赶早班飞机，绝对不会住了，不过老板娘态度很好自备车接送', '短评打分': 1}
{'短评内容': '房间面积比较大，设施较简单，距离机场比较近，免费接送机场，对于转机暂住一晚还是可以的。推荐入住。', '短评打分': 3}
{'短评内容': '是一个不错的酒店，服务态度也不错哦', '短评打分': 3}
{'短评内容': '公寓的接送机服务使非常感动，已经晚上12点了，老板马上叫司机过来机场接我们，下次有机会还会选择这间公寓。', '短评打分': 5}
{'短评内容': '由于飞机晚点2小时40分钟，到达成都双流机场已经是凌晨4：30了，取完行李出来已经5：00了，试着给酒店打电话，等了不到10分钟，接机的专车就到了，顺利入住，延迟退房到13：00，还送我们到长途大巴站，酒店服务真是没得说！房间也还干净，空调声音非常安静，就是楼下挨着马路，有点小吵。下次有机会还会入住！', '短评打分': 5}
{'短评内容': '有免费接机，挺方便的，就是附近吃的东西少', '短评打分': 3}
{'短评内容': '干净卫生，服务也好，三人间是相当于一个套二的公寓，有电视电脑，条件不错', '短评打分': 5}
{'短评内容': 'Nice service, especially the timely airport pickup & drop-off. The room is large and clean, the only complain I have is the shower.', '短评打分': 5}
{'短评内容': '还可以不过148的不能上网', '短评打分': 3}
{'短评内容': ',服务极好，房间干净，值！', '短评打分': 3}
{'短评内容': '还行，不是想想中的那么好。没有电话，不太方便。', '短评打分': 5}
{'短评内容': '还是住的老房间…老板态度超好…昨晚成都下雨…老板派车去市区接的我们…推荐', '短评打分': 3}
{'短评内容': '酒店很好的，房间宽敞，居然还有接机送机服务，而且说走就走，不小心当了回vip，哈哈', '短评打分': 3}
{'短评内容': '房间很大…老板态度好好…就是有蚊子…', '短评打分': 3}
{'短评内容': '环境还行，设施一般，价格性价比一般，服务态度还好。', '短评打分': 3}
{'短评内容': '服务不错，还有接机。不过跟预想有一定的差距。', '短评打分': 1}
{'短评内容': '还好，赶早班飞机的挺方便，机场免费接送服务挺好', '短评打分': 3}
{'短评内容': '前几天第二次住，感觉没有第一次的好了，不知道是不是因为当时住的楼层比较高（9楼），水温非常不稳定，一阵烫死一阵冰死~希望能改善一下', '短评打分': 5}
{'短评内容': '第一次住很不错，因为我要的小房没了，于是给我换了大房。环境等等都很不错', '短评打分': 5}
{'短评内容': '挺干浄的，这个价格这个样子就行了，毕竟不是高档酒店，我觉得很好了，下次有机会还会住。', '短评打分': 5}
{'短评内容': ' 房间很干净，老板态度也不错，就是临街，窗户隔音差，很吵，非常吵！非常非常吵！', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '房间蛮大的。 感觉还可以。值得入住。 还有专车接送。', '短评打分': 5}
{'短评内容': '房间很大.给我们安排的是套间。老板很热情,虽然我们是22:00到成都,和早晨5:30去成都机场，但是老板都会会派人开车去机场接送。非常感谢。\n', '短评打分': 5}
{'短评内容': '酒店服务很热情，凌晨了到达成都，老板派人来接，感动，需要改进的是热水器，调解不敏感。', '短评打分': 3}
{'短评内容': '标间的房间很宽敞。但是，因为住的是最高层，热水等待时间比较长。床头没有插头，充电比较麻烦。但还是会向大家推荐这家店。老板人很好。', '短评打分': 5}
{'短评内容': '离机场很近，接机服务很贴心。\n是个家族式的小旅馆，不过房间够大，也算干净，晚上睡觉也很安静。\n如果清晨赶飞机，住这家不错。', '短评打分': 5}
{'短评内容': '条件相当不行，完全不值138这个价，里面除了床，连个放衣服的都没', '短评打分': 3}
{'短评内容': '服务态度不错，条件一般！', '短评打分': 3}
{'短评内容': '第一次入住，前台灵活的换成大床房，挺不错的，干净宽敞漂亮。', '短评打分': 3}
{'短评内容': '服务贴心周到，住宿环境很好，干净，空调电视宽带都不缺，随时供应热水。老板也很实在，爸妈都很满意。', '短评打分': 5}
{'短评内容': '感觉还可以，就是房间的卫生间有很大的味道，不过老板娘服务很好！', '短评打分': 5}
{'短评内容': '＋挺不错下次还来', '短评打分': 3}
{'短评内容': '房间很舒服，免费接送服务很好，老板很热情，宾馆旁边的附属超市很实惠', '短评打分': 5}
{'短评内容': '不错.第二次住了好', '短评打分': 3}
{'短评内容': '老板不错，来回接送。离机场近，转机入住首选。', '短评打分': 5}
{'短评内容': '还不错，虽然地方不是很好找，但是之前联系好老板还是不错的，很适合赶上午的飞机。', '短评打分': 5}
{'短评内容': '入住的时候发生了一点小问题，不过都解决了。服务很好，老板娘接送机很给力，航班在早上或晚上的可以选择！', '短评打分': 5}
{'短评内容': '不错.有专车接机.干净.', '短评打分': 3}
{'短评内容': '房间装修环境还好，位置不是太好找，价格还是可以接受的。也就一般酒店。', '短评打分': 3}
{'短评内容': '老板很热情，刚开始说找不到地方；老板直接过来接的。早晨还送去机场，服务不错。房间很宽敞的，唯一就是热水上水太慢了。其他都不错的', '短评打分': 5}
{'短评内容': '房子条件不错，设施也比较高档，而且价钱便宜，有接送机服务，真的挺方便，极力推荐。', '短评打分': 5}
{'短评内容': '比较方便  房间也还可以  有个阳台很舒服   就是经济间没有宽带  跟网上预定说的不一样     ', '短评打分': 3}
{'短评内容': '距离机场比较近.位置好.客房的条件还不错，作为临时休息的地方还不错.为了第二天换乘机.', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店，卫生和设施都很新，老板娘也很友善，特别是坐飞机的朋友很方便。因为酒店安排了私家车接送。我也是看了网友的评论选择的这家酒店，以后有需要在机场附近住宿，一定选择这家。', '短评打分': 5}
{'短评内容': ' 不错可以送机 从石羊场有公交到酒店’ 不过好象7点的末班车', '短评打分': 3}
{'短评内容': '离机场非常近，免费接送服务很舒服，前台店面不大，但房间很不错，干净，明亮，床单雪白，第一印象非常好……但不知道为什么，多次入住公寓式酒店都没有提供一次性的拖鞋，让我有点别扭……', '短评打分': 5}
{'短评内容': '老板真人接送，服务好！！\n就是讲四川话，我听不懂！但是老婆懂,happy!', '短评打分': 5}
{'短评内容': '酒店还是比较一般，位置的话不是特别好找，服务态度和价格方面也是一般。', '短评打分': 1}
{'短评内容': '性价比很好！\n\n有机场接送！\n\n不足之处：没有POS机。', '短评打分': 5}
{'短评内容': '还不错，服务很好，安排接送机，就是没有热水，不知道是怎么回事', '短评打分': 5}
{'短评内容': '各方面都还不错房间也是比较大，酒店服务也很好，价格还是蛮合理的。', '短评打分': 5}
{'短评内容': '酒店房不错，公寓改的，有沙发，可没有桌子，用电脑不方便。\n位置离机场稍远，约3公里多，但酒店老板肯接送，所以弥补了距离上的问题。', '短评打分': 5}
{'短评内容': '坏境不错，服务态度也好，最主要是离机场挺近的，而且酒店还免费送往机场。挺不错的，下次还住这里。', '短评打分': 5}
{'短评内容': '我也是在网上看评价以后才选择了这家酒店。因为评价一直很高！2月14日亲自入住之后有以下几点感想：\n优点：\n一、赶早班飞机的同志选择这家公寓绝对OK！距离很近很近！5分钟就到候机楼！\n二、老板、老板娘服务态度非常好（不知道他俩是不是夫妻，暂且这么称呼）吧。去的时候没摸到路，打电话过去，老板亲自开车来找我们，然后把我们接回公寓。\n三、老板亲自开车送我们去机场，说好了早上6点半，一分不差，准时出发！\n四', '短评打分': 5}
{'短评内容': '不错的酒店，可以免费提供机场接送，离机场很近。由于入住的时候比较晚了经济间已经没有了，老板帮我更换成了豪华间，房间非常不错，有电视空调，还有电脑可以上网。就是酒店的门脸很小，一般人很难找到，还有酒店派人过来接了。', '短评打分': 5}
{'短评内容': '很舒服,下次还住这.', '短评打分': 3}
{'短评内容': '房间挺大的，还可以吧', '短评打分': 3}
{'短评内容': '此价格下，条件不差，离机场很近，管送。位置紧邻民族大学，在一个较大的公寓楼内，但位置较偏。', '短评打分': 5}
{'短评内容': '还算干净，不过设施还是简单了点~~比较意外的是，三人间有两张小床，一张大床，而且还有电脑可以上网哦', '短评打分': 5}
{'短评内容': ' 房间还算干净，老板很热情，送机场，适合赶早班飞机。', '短评打分': 3}
{'短评内容': '不错，可以免费接送这点很好。离机场近，很方便。', '短评打分': 5}
{'短评内容': '环境不错~~~态度也很好~~~就是找的时候花了点时间', '短评打分': 5}
{'短评内容': '环境一般，价格实惠，还好', '短评打分': 3}
{'短评内容': '环境不错，服务态度还算可以，入住时很热情，走时很一般。空调温度有点低', '短评打分': 5}
{'短评内容': '环境很好，干净，服务周到。', '短评打分': 3}
{'短评内容': '房间很干净，老板很热情，还有免费接送机服务，不错。', '短评打分': 5}
{'短评内容': '老板态度很好，免费接送机服务很棒，特别适合转机人士住！', '短评打分': 5}
{'短评内容': '房间住着不错，地理位置也还好酒店也提供接送去机场服务还是蛮好的，价格还行。', '短评打分': 3}
{'短评内容': '真的真的真的真的真的很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '还不错   服务态度好  设施好  可以免费接送  很值得', '短评打分': 5}
{'短评内容': '非常不错的酒店，设施和服务都挺到位的，位置也挺方便出行的.整体来讲还不错.', '短评打分': 5}
{'短评内容': '离机场进 房间也很干净 整洁 有免费接送机 老板也很热情 总体说很不错的', '短评打分': 3}
{'短评内容': '＋有免费接机服务。还不错…', '短评打分': 3}
{'短评内容': '外观不怎么样，  里面还行 ，  就是有点远 ，', '短评打分': 5}
{'短评内容': '酒店服务不错， 半夜1点多下飞机还会来机场接,比较方便', '短评打分': 5}
{'短评内容': '条件很好,老板人也很好,最重要的是去的时候老板去机场接,回来的时候老板给送到机场.对于去玩儿的人,晚上到的那天,和早上走的那天,住在那儿真的很方便.\n靠边儿的房间有些冷,四川人可能喜欢开窗,希望老板在客人去之前把窗关了.\n冬天入住后立刻开空调,要不到晚上再开就暖不过来.可能我是北方人不习惯吧!\n尽可能的选择不靠边儿的房间!\n', '短评打分': 5}
{'短评内容': '除了晚上有点吵，空调效果不太好外，免费送机服务还是很贴心的，房间也还大', '短评打分': 5}
{'短评内容': '服务很好,卫生条件也很好,不错.....', '短评打分': 5}
{'短评内容': '服务态度很好,卫生情况也很好,价位也很适当.', '短评打分': 5}
{'短评内容': '酒店提供机场的车接车送,服务还是蛮到位的,而且室内条件也不错,整体来讲还是比较好的.', '短评打分': 5}
{'短评内容': '老板人挺好,有接送机。房间挺干净，就是现在周围没什么配套，有些不方便', '短评打分': 3}
{'短评内容': '房间卫生，性价比很高。服务热情，可接送机，很适于转机的乘客。但离公路很近，晚上较吵闹。', '短评打分': 5}
{'短评内容': '这个酒店很好，老板很热情。', '短评打分': 3}
{'短评内容': '该酒店服务不错，包接送，但是酒店环境不算好。', '短评打分': 3}
