{'descr': '各种一般般吧，就值这个价了', 'star': 4}
{'descr': '夫子庙常府街布丁酒店在长白街上，郑和公园的斜对面，离新街口和夫子庙均不远，酒店大堂在一楼，卫生干净，但设施一般。', 'star': 4}
{'descr': '非常好', 'star': 5}
{'descr': '环境还行，就是隔音效果太差', 'star': 5}
{'descr': '周六加价30！操！', 'star': 1}
{'descr': '太失望了，订房的时候是109，到店的时候居然要139，多30，我可以去其他宾馆住好一点的，房间特别小，没有一次性牙刷就算了，洗澡时才发现沐浴露，洗发露，肥皂都没有，我就光光冲了个水，地面还脏，有吃的零食骨头在地上，打扫的不干净，好处就是不用押金', 'star': 1}
{'descr': '房间很好啊！进房间感觉房间蛮小的，但是打扫的很干净。卫生做的好。前台的服务态度也好。善意提醒很多事情。我其实很喜欢这种不提供洗漱用品的酒店！真的很不环保，我每次出门都是自己带自己用。就算酒店提供那肯定没自己带的好使啊，而且也不占地方！酒店在夫子庙周边，去其他景点都很方便。。赞赞赞！', 'star': 5}
{'descr': '晚上到的，说实话不大好找啊，按照上面写的确实走了蛮久才到= =，地理位置不熟的人要事先做好充足的准备。每层楼都有自助电吹风，这点不错。房间还是布丁特色。性价比还不错。', 'star': 5}
{'descr': '很干净清爽的酒店，地理位置不错，就是设备简陋了一些！', 'star': 5}
{'descr': '环境不错，虽然小了点，但离景点不远，价格还可以，挺干净，满意', 'star': 5}
{'descr': '倒是很干净，就是房间太小了，很压抑，以后不会选择布丁了', 'star': 3}
{'descr': '房间有点小的。很小。从地铁站过来要走半个小时。', 'star': 3}
{'descr': '干净，安静，小巧，但是小到卫生间连大浴巾都没有，有些不方便，总之还不错，交通也便利', 'star': 3}
{'descr': '房间明亮，干净，卡通风味，一张大床 睡2个壮汉也够了，隔音不是很好，不过晚上睡觉了，大家都很安静，基本没什么影响，洗漱用品全都是自带的，房间内只提供一次性拖鞋和毛巾，地理位置不错，离夫子庙走路也就10到15分钟左右，不愿意走的话，出门向左直走大概50到100米 到长白街站就有公交车到夫子庙的了！', 'star': 5}
{'descr': '就是空间有点小，其它都不错。还有就是厕所没门，让人比较无语。。。', 'star': 5}
{'descr': '房间太小，175的大床房就有7平方这样，打开房间门左边是床，右边是洗手间，房间很压抑还没有窗户，以后不会光顾布丁酒店了。', 'star': 1}
{'descr': '房间好小啊,而且卫生间和卧室没有隔门,怪别扭的.其它还好!', 'star': 3}
{'descr': '房间超级小，卫生尚可，地点不太好找，闹中取静吧！', 'star': 3}
{'descr': '一直认为布丁酒店滴交通位置应该很方便才对，这家酒店在两个公交站滴中间，前后都有很长滴一段距离，更不用说搭乘其他南京当地专门滴旅游线路公交，哎。我订滴是温馨大床房B，前台服务员反复跟我说就是单人间，也没有力气跟她争论了，反正一晚，fine。女士，我不是第一次住布丁，杭州，苏州滴布丁我不止入住过3次，如果温馨大床房B是单人间要119，那大床房A干嘛要115。╮(╯▽╰)╭ ，不止一点失望。BUT我还是', 'star': 1}
{'descr': '位置不错，房间太小，隔音不好\n内部设施不是很多，连个喝水的杯子都没有', 'star': 1}
{'descr': '其他都还好 房间有点小 但是很温馨 就是隔音效果有点不好 半夜楼上洗澡的话还听得见水声。服务态度很好~~出行也很方便，价格合理', 'star': 5}
{'descr': '较为干净。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店到是挺温馨，就是连个喝水杯子都没有哦，', 'star': 3}
{'descr': '＋入住', 'star': 3}
{'descr': '总体来说还是不错的，挺经济实惠的，唯一有点不足就是酒店里面没有洗浴用品，需自带。', 'star': 5}
{'descr': '房间有点小，不过对于一个人来说足够了，房间挺干净的，就是杯子啊啥的都没有，得自带', 'star': 5}
{'descr': '酒店适合驴友们住所，价格还算合适，提供毛巾，其余洗漱用品自带。位置也很一般，', 'star': 5}
{'descr': ' 房间实在太小了，地上放两个普通书包后就完全没有办法转身了，而且屋子里味道不好。', 'star': 3}
{'descr': '位置还可以，虽然公交站不是特别近，不过还算方便，在可以容忍的走路范围之内，而且不太容易迷路。房间很干净，也不吵，所处的地区是个安全的社区的样子。离南站比较近，坐高铁方便。去北边的火车站也有车直达，就是时间长一点。在南京的主要景点的中间，去往各个景点的距离都比较均衡。\n不过不足的是，可能因为住的是温馨大床房，比较适合情侣，但是我们这种同性的人去住时非常惊讶发现室内洗漱间是玻璃隔出来且没有门，连个帘子', 'star': 5}
{'descr': '房间不大   单很温馨   干净 房间设施很干净   不错  就是不太好找呵呵  下次还要住 呵呵  离夫子庙很近  热水很给力', 'star': 5}
{'descr': '这是第二次入住位置位于夫子庙附近的这家酒店了，安全卫生整洁，。。。。。。。。。。。。。。。。。。就是房间稍小了点！', 'star': 5}
{'descr': '位置还可以，靠近夫子庙，卫生间还挺大，房间主体有点小，走到夫子庙和地铁站也就十几分钟的路程，周围美食还是挺多的', 'star': 5}
{'descr': '房间不错，挺温馨的，服务态度也不错，就是空间小', 'star': 5}
{'descr': '环境安逸、舒适、安全，距离夫子庙很近，适合亲子、家庭居住。', 'star': 5}
{'descr': '虽然房间空间小 ，不过蛮温馨的 ，缺点就是地太潮湿了', 'star': 5}
{'descr': '坐地铁，在张家园走过去，至少30分钟，房间太小，在预订的时候说明房间是15平米的，结果只有不到8平米，性价比太低，和其他连锁性的经济酒店比如锦江之星、七天连锁等不管从性价比，还是从服务的便捷性方面都显得太差。最让忍受不了的是被子很潮，白色床单上几个大大的污迹，严重怀疑没有换床单。这是我住过的经济型酒店最差的。\n ', 'star': 1}
{'descr': '在苏州游住这家非常方便，值得推荐 性价比也高', 'star': 5}
{'descr': '房子还算干净，但是有两点，一是空调对着人吹，都感冒了，还有就是大床房卫生间没门，太不爽了', 'star': 5}
{'descr': '离张府园地铁站12分钟路程，到夫子庙很近很方便，住宿环境很安静，房间小儿精，性价比高', 'star': 5}
{'descr': '麻雀虽小 五脏俱全。  住了3天，  觉得需要改进的是空调的位置 对着人吹确实不好， 吹的我都感冒了，  还有就是卫生间没有门， 是连在一起的。那样对房间的空气不好，房间的设计很独特 服务也是很周到的， 就是周边没有标准性的建筑不好找  依我笨笨的找法就是记住郑和公园。然后走一条街就到了。  不然打的什么的都不好到目的地。 对于出游的朋友还是不错的选择，个人觉得值得推荐。', 'star': 5}
{'descr': '价格实惠，酒店小而简洁，有wifi覆盖，到夫子庙 总统府 1912 新街口等地都很方便~~服务也很好，就是离地铁站稍微远了一点点，不过公交出行也很方便的~', 'star': 5}
{'descr': '对这家酒店不满意，首先引导不真实，告诉从张府园下了地铁，到马路对过，直行行走8分钟到，结果我们用了30多分钟，其次，所谓的大床房的大床是改的，用一个小床上面垫个板，放个1.5米得床垫，第三，比较房间的大小与酒店名非常名副其实，第四，酒店周边环境不好。', 'star': 1}
{'descr': '小小的，很温馨。店员的服务态度超好~~~', 'star': 5}
{'descr': '各项都很不错的，干净卫生，服务也到位，需要大空间的也可以订的到', 'star': 5}
{'descr': '价钱很合适，也很干净，孩子很高兴住在这里，适合经济性的旅游居住。', 'star': 5}
{'descr': '房内环境不错，很干净，但不提供洗漱用品，服务挺好，前台可以查询旅游路线，很方便', 'star': 5}
{'descr': '非常喜欢pod的风格~很有特色~经济实惠~距离夫子庙耶很近~值得推荐~', 'star': 5}
{'descr': '很好的酒店，价钱适中，和老公一起住的。', 'star': 3}
{'descr': '房间好小，进门就上床，没有任何活动空间，性价比奇低，我这次属于完全失败！', 'star': 1}
{'descr': '房间太小。没洗漱品。不方便', 'star': 3}
{'descr': '还可以的，就是有点小', 'star': 3}
{'descr': '房间太小了，没有独立卫生间。', 'star': 2}
