{'短评内容': '朋友说住的很好，交通很方便', '短评打分': 5}
{'短评内容': '刚开始就是有点新房子装修的味道，开窗开空调通一下风就好了~~环境很干净，看起来很舒适，床很大啊，房间的东西样样齐全啊~热水也够热啊~~不错不错~~', '短评打分': 5}
{'短评内容': 'wow, i was pleasently surprised at the quality of mello orange hotel for the price and i am a pretty picky traveler. the rooms are huge and very modern. the metro is not so cloase but only about 2 min', '短评打分': 5}
{'短评内容': '酒店确实很不错的，早餐很好，服务态度也不错，也很干净，工作人员效率也很高，热水也正常啊，不像其它客人说的那样凉啊，唯一不好的一点就是我的房间临街，睡觉会有些吵，不过这些都被优点弥补了啦，要在宝安出差的童鞋可以着实考虑，关内的话，就有点不方便了！', '短评打分': 5}
{'短评内容': '1、酒店新装修的卫生很干净\n2、离地铁很近，交通方便\n3、前台服务员很漂亮，服务也很好.\n4、退房时我落下一条项链在房间，服务员极时给我送了下来，这个非常好，以前住其它酒店总是人都走了好远了才打电话通知我再回去取，很麻烦。', '短评打分': 5}
{'短评内容': '这个酒店的性价比真的超级好哦\n这次是出差来的，定的这个酒店性价比超级好哦！\n1、房间超级大，而且整体的装修风格感觉很清爽\n2、前台小妹的服务态度也好，我问的那么啰嗦的问题她们也都耐心解答了\n3、卫生非常干净，赞哦！\n4、附近有超市的，买东西很方便的\n5、离地铁站也很近\n6、离世界之窗好近的，打车只要20分钟，好像还不到吧，很方便哦', '短评打分': 5}
{'短评内容': ' 酒店很干净   总体感觉很好\n 提供早餐 比经济型酒店好多了  \n 房间面积够大  \n 前台服务效率很高\n 地铁 商场都很近', '短评打分': 5}
{'短评内容': '环境好，房间够大，东西齐聚，就是洗澡时候，热水不够热', '短评打分': 5}
{'短评内容': '环境不粗，房间够大，价格合理， 唯一就是水不够热', '短评打分': 5}
{'短评内容': '环境不错·············，就是水不够热', '短评打分': 5}
{'短评内容': '1. 酒店离地铁站很近 交通便利  \n2.附近有大型商场，吃饭的地方也很多\n3.前台服务主动热情 \n4.酒店新开的 房间空间很大 有42个平米 设计时尚\n5.早餐自助餐比较丰富\n6.房间卫生很干净 \n下次还会入住！！！', '短评打分': 5}
{'短评内容': '新装修，虽然有点油漆味，不过胜在够干净简洁，又有桌椅，单人房的床又够大~不错~', '短评打分': 5}
{'短评内容': '“性价比高，房间宽敞，家具设施档次一般，但用品质感相当不错，最值得一提的是卫浴设施几件套的质量，全是质感很好很厚的不锈钢的，我住了好多天，很喜欢这里。大厅有电脑可以上网，查询资料很方便。前台很热情，下次去深圳，还会选择住这里', '短评打分': 5}
{'短评内容': '物超所值!环境好.价格优惠.已经去过几次了.如果wifi能覆盖到房间就更加好了!', '短评打分': 5}
{'短评内容': '网上提前订好了房子，按照提示，没有在14:00前入住，而是在19:00入住的，当我拖着行李上楼之后才发现，房间依然在清洁中，前台收钱的时候居然没有告知一声。等了一阵子之后，总算能进去了。半夜，又被隔壁的电视和聊天声音吵醒，房间的隔音真是弱啊！不过，整体的装修风格还有设施配备确实很棒，已经超越了新加坡（本人长期工作在那里）的四星级酒店。最可怕的是第三天下午，正在进行一个重要网络会议，刚刚开始就被中断', '短评打分': 1}
{'短评内容': '酒店是新开的，装修不错，有星级酒店的感觉。\n服务比许多大酒店都好，服务员带我一间一间看了房才住下来。房间挺大的，比如家七天这些酒店大的多，有30平方左右。\n周边有湖南菜广东菜，500米左右有KFC和一个叫面点王，挺方便的\n189能住这样的酒店，下次如果有需要，还会住。\n支持一下。。。。。', '短评打分': 5}
{'短评内容': '服务态度还好', '短评打分': 3}
