{'短评内容': '免费停车，适合出游', '短评打分': 4}
{'短评内容': '在北戴河算很好的了，房间够大，卫生间也不小，到金山浴场大约要走十分钟。早餐和自助餐一般，卫生也一般。', '短评打分': 3}
{'短评内容': '挺好的，比较干净，就是总台服务差点，早餐一般，离海边也不算远，算是不错的酒店了！', '短评打分': 5}
{'短评内容': '酒店环境很好，一池鱼让人赏心悦目。我住的2号楼大床房间大而干净。由于淡季客人少，到餐厅吃饭的只有我们一家3人，但是餐厅经理还是做了很好的安排。', '短评打分': 5}
{'短评内容': '入住的是3号楼的一楼，五一的天气还有些寒意，房间里更是阴冷阴冷的，一匹的海尔空调不给力，主要是房间太大。卫生间设备陈旧，还可以看到超级大的抽水马桶的水箱和超级小的马桶。热水出水比较慢，大概放了半个小时，很浪费水的。两个大人洗好澡后，水就有些冷了，小孩是第二天早上才洗澡的。\n优点：200元的价格里包早餐的，小孩是半价10元另外付款的。早餐还算丰富的，服务也很好，服务员和工程维修人员都很客气，宽带很给', '短评打分': 5}
{'短评内容': '整体情况还不错，地理位置比较满意，出酒店往南10分钟左右就到了中海滩路，在海滩上漫步一直向西就到了老虎石，向北走坐15路到宾馆楼下。早晨出宾馆向东北走15分钟左右到小东山看日出。到服务台还有免费旅游地图，嘿嘿', '短评打分': 5}
{'短评内容': '这家宾馆很好，干净卫生，环境很好！关键是距离海滨沙滩不远，游玩、餐饮方便！', '短评打分': 5}
{'短评内容': '环境不错，就是感觉设施比较差!也许三号楼没有重装修过!', '短评打分': 3}
{'短评内容': '酒店很好，性价比高，在北戴河已属较高档次。', '短评打分': 3}
{'短评内容': '不错的酒店，五一期间住了两天，离海边不远，也就几百米吧。这时候还算是北戴河的淡季，很清静，感觉很好。餐厅有48的自助，有一些海鲜，螃蟹海鱼皮皮虾之类的，还算实惠。一号楼的阳面全是大床房，房间里有贵妃塌，带阳台，高层可以看到海，阴面都是标间，没有阳台，差距还是比较大的。如果是一个价钱，还是尽量住大床房吧。', '短评打分': 5}
{'短评内容': '：酒店硬件方面尚可，按旅游区标衡量2号楼标间有4星水平,但软件和服务不行。', '短评打分': 3}
{'短评内容': '酒店的位置是挺好找的，卫生设施我觉得还不错，价格还算合理范围之内，酒店的环境还不错。', '短评打分': 5}
{'短评内容': '酒店出行还是一般，房间里面还不错设施也不是太陈旧，价格也是可以接受不过如果再便宜一些就更好了。', '短评打分': 5}
{'短评内容': '酒店房间卫生 位置也是挺好找的，服务也比较热情，价格也比较合适。主要离海边还是稍微有些远。', '短评打分': 5}
{'短评内容': '位置还行，不过里面装修卫生挺一般比较老了，服务也没什么，价格还是略微偏高。', '短评打分': 3}
{'短评内容': '很好，价钱便宜，性价比很高。而且管理很正规，最主要是卫生状况上佳', '短评打分': 5}
{'短评内容': '还有看日出，去码头就可以，不用去司机说的XX塔，不过你钱多我也不反对。哈哈，打车3，4分种就到了，走路10多分钟OK。早餐挺不错哦，还挺安静的。', '短评打分': 3}
{'短评内容': '酒店不错，环境很好，出后门，往右走，5分有一排饭店，很实惠，打车去石塘市场买海鲜，打车10块钱。回来加工。4个人一顿海鲜200左右，吃的嘎嘎过瘾。', '短评打分': 5}
{'短评内容': '很好的酒店 如果不是旅游旺季 性价比极高 隶属于中石油，财大气粗，专修很好了，不过有个3号楼好像是老楼，看起来很不好，大家要选还是1号2号吧 推荐1号临街的那边的大床房，还有个小露台，楼层高些隐约看的到大海 很惬意', '短评打分': 5}
{'短评内容': '网上点评不是实名吧', '短评打分': 3}
{'短评内容': '酒店物超所值，宽敞舒适，离金山浴场较近，周围环境不错，是讲究品味的人的很好选择。', '短评打分': 5}
{'短评内容': '价格合适，还有免费早餐，位置不错，环境很好，就是餐厅消费超贵', '短评打分': 5}
{'短评内容': '位置离海滩不远，出门就有大排档可以吃海鲜，房间设施很新，虽然不是很大，不过很干净，早餐不好吃~住还是可以的', '短评打分': 5}
{'短评内容': '位置还可以，外界的环境还成，周边有不少的海鲜餐厅，有些贵；但在宾馆后门外有小吃店，可以光顾一下。宾馆的设施老旧，反正居住还凑合，房间太味，让人不太舒服，离火车站远些，得换乘二次车，坐22路到老虎石公园换15路可达。另那的出租车司机的话多听少信，要不会吃亏的，所谓的xx塔酒吧公园就是一骗人的玩意。', '短评打分': 5}
{'短评内容': '位置还行。卫生设施蛮好的，服务价格都还可以。', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 5}
{'短评内容': '旅游季节，中国的旅游季节，又是在中国北方的主要旅游度假地点。这个酒店可以说相对是很不错的了。卫生，环境，服务，位置都让人感觉比较舒服。唯一的小遗憾是早餐的质量稍稍有点欠缺', '短评打分': 5}
