{'短评内容': '总体来说还是不错吧！', '短评打分': 4}
{'短评内容': '酒店地理位置还可以，位于市中心，但是离景区稍远一点，价格稍贵。', '短评打分': 3}
{'短评内容': '酒店位于市区，交通便捷。住宿环境干净卫生。', '短评打分': 5}
{'短评内容': '新装修的宾馆，而且已经没有装修异味，环境很好，价格略贵，服务很好，就是离海边较远，后来我们还是去了渔家。对比下来，渔家和这的居住条件差太远了。', '短评打分': 5}
{'短评内容': '三人间很实惠，有还很方便', '短评打分': 3}
{'短评内容': '服务器态很好，我们是南京开车过去的。前台小姐很热心的告诉我们车晚上可以停在院子里和停车时间，住了两晚感觉很舒服。到了南京我老婆发现鞋丢房间了。。。打电话过去，没几天就U了过来', '短评打分': 5}
{'短评内容': '价格偏高，其他都蛮好的，每次都入住这家酒店，很不错。', '短评打分': 5}
{'短评内容': '床特别舒服，还有大镜子', '短评打分': 5}
{'短评内容': '不愧为专业的酒店，设施和服务都不错，早餐也不错。', '短评打分': 5}
{'短评内容': '住过好几回了，性价比不错 卫生也不错   就是在这里边吃饭  太不实惠，如果吃饭能实惠些就很好了。。。', '短评打分': 5}
{'短评内容': '卫生条件很好，服务业很到位，以后还会再去的 。性价比很合适啊 ！！', '短评打分': 5}
{'短评内容': '不错,锦江之星一贯风格', '短评打分': 3}
{'短评内容': '日照的的士宰客，汽车站到酒店也就起步价能到，楞是转了个双倍价钱出来。酒店有前后两幢，不知道是不是没多少人住，冬天还真感觉有点阴森。锦江之星的抽奖活动，却只能离店抽取，若你抽中早餐券，酒店说你只能在本店使用，真不知道活动设计者是不是大脑进水了，你都离店了还让谁早上来用啊，真是扫兴。这是我结账时看到别的仁兄的遭遇。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
