{'descr': '国庆出游住的，性价比高，离 天安门等景点不远，交通便利', 'star': 5}
{'descr': '环境不错,房间不大,一个人住也够了.卫生搞得好,很整洁,又加了一晚!', 'star': 3}
{'descr': '挺好。', 'star': 3}
{'descr': '二楼房间干净，不错！有免费的矿泉水，呵呵', 'star': 5}
{'descr': '中午12点必须退房，没商量的，服务太不人性化了。', 'star': 1}
{'descr': '位置很方便，靠近地铁4号线和2号线，房间小了些，但也还算温馨。', 'star': 5}
{'descr': '位置隐蔽', 'star': 3}
{'descr': '临近地铁站，位置很好，房间偏小，设施还是不错的，服务态度也不错，这次是第二次选择了', 'star': 5}
{'descr': '还不错，但是也有缺点，比如隔音差，房间小，而且服务员服务态度也有待提高', 'star': 5}
{'descr': '地段还不错，走路到西单都不远，坐地铁和公车也很方便，靠近长椿街地铁站B出口。缺点就是房间有点小，不过也很干净，比较新。', 'star': 3}
{'descr': '还算可以', 'star': 3}
{'descr': '离中友、君太、大悦城等购物地点很近，还算干净！临街，隔音不太好！', 'star': 5}
{'descr': '房间的地段较好，就是房间有点局促，但在北京西单来讲还是不错的选择。', 'star': 5}
{'descr': '简单而干净，24小时热水。只是窗户有点小。', 'star': 5}
{'descr': '曲径通幽，住进去以后感觉挺好的，卫生状况也不错', 'star': 5}
{'descr': '酒店位置较好，但是房间的空间不大，总体来说性价比较高。', 'star': 5}
{'descr': '地方虽然不太好找，不过离西站比较近！就在新华社附近，小饭店和小超市挺多！想吃高级点的，应该往远了找着！！', 'star': 5}
{'descr': '酒店位置还可以，面积也不错，就是早上起来没有热水', 'star': 5}
{'descr': '性价比高，服务一般，房间大小还行，比较幽静。', 'star': 5}
{'descr': '价格比较实惠，位置也不错，离新华社很近。', 'star': 5}
{'descr': '房间比较大，不错', 'star': 3}
{'descr': '环境还好 就是位置稍微有点离西单远，服务态度稍微有 点硬朗 其他的都还好了', 'star': 3}
{'descr': '环境还好.服务有些生硬,', 'star': 5}
{'descr': '性价比不错的，下次还会去住，交通方便，卫生也可以，安静', 'star': 3}
{'descr': '地理位置很好，闹中取静，感受胡同氛围；交通非常方便：地铁，集散中心集合点，公交车站；购物吃饭附近也有很多不错的。总的来说性价比不错的。', 'star': 5}
{'descr': '酒店整体不错，离西单很近，坐民航大巴和地铁都很方便', 'star': 5}
{'descr': '地理位置不错，但周边环境有些乱。酒店的服务还算可以，设施一般。', 'star': 3}
{'descr': '酒店条件比较满意', 'star': 5}
{'descr': '除了位置不错  其他的和别的连锁酒店比起来没什么优势  房间出其的小 卫生间更小  简直就像是蜗居  价格和性能不成正比！', 'star': 1}
{'descr': '房间蛮大的，就是潮，无敌潮....\r\n而且没有洗浴用品....', 'star': 3}
{'descr': '昨天已入住', 'star': 5}
{'descr': '设备一陈旧，酒店一般，服务较好，位置难找，价格适宜', 'star': 1}
{'descr': '房间太潮…', 'star': 5}
{'descr': '+不提供餐饮，托鞋比较紧张，大床房只有一双，服务一般。', 'star': 5}
{'descr': '交通便利，但在巷子里，初次有点难找。房间还可以，干净卫生', 'star': 5}
{'descr': '这到底是个什么宾馆，现在是11点17，还没到12点，而且我又没欠房费，竟然要赶我走，今天不让我住了，理由是我没提前说续住，操，这辈子还是第一次碰到啊。', 'star': 3}
{'descr': '性价比不错', 'star': 5}
{'descr': '＋服务态度不好，条件一般', 'star': 5}
{'descr': '第二次入住了，比前一次还差，服务差的没话说了，打扫卫生一点都不积极，还经常少这少那的，催钱倒是很积极，提前一天就来催，竟然还跟我说房费要多预交几天，否则就不能住下去了，因为客人太多都排队，操，到现在还真没住过这样的宾馆。', 'star': 1}
{'descr': '性价比可以', 'star': 5}
{'descr': '位置不错，离西站挺近，周围设施还挺齐全的！就是觉得房间的窗户需要再加固！！！', 'star': 5}
{'descr': '价格实惠，地方也比较安静，可惜服务差了点，房间打扫的不积极也不干净，总的来说在这个地段性价比还不错的。', 'star': 5}
{'descr': '位置还可以 性价比不是很高', 'star': 1}
{'descr': '酒店的性价比很好而且服务也不错就是位置有点偏,不太好找,其它各方面都非常到位.', 'star': 5}
{'descr': '位置还可以出行倒是挺方便的，酒店挺一般的，设施和卫生都还行，和一般的经济连锁型酒店都差不多。', 'star': 5}
{'descr': '很不错的酒店，性价比蛮好，下次还会入住。', 'star': 5}
{'descr': '酒店的环境真的是特别差是地下室的房间而且里面的空气也特别不好，服务也很一般问他什么问题就是那种爱答不理的，房间里面根本就不通风，位置还行，但是下次如果我去北京的话我肯定是不会选择这家酒店的了，而且当时我让它给我开发票结果给我开的是空头发票，回来之后才看到根本就没有办法报销，我肯定是不会去这家酒店了。', 'star': 1}
{'descr': '房间的面积比较小，灯光比较特别，很适合情侣入住的酒店。房间的配置硬件来讲都算是比较适合情侣入住。位置在巷子里面也比较隐蔽，出行交通还是比较方便的。', 'star': 5}
{'descr': '酒店位置比较适合居家旅游,所处街道内小餐馆、水果店很方便。前台位置不好找，人进到前台房间内还不知道已经到了。卫生条件、设施、舒适度方面都还可以。', 'star': 5}
{'descr': '环境非常好~性价比也很高', 'star': 5}
{'descr': '酒店地理位置极佳，属于北京市中心，距离地铁站步行10分钟。卫生间没有门，只有一道布帘。卫生间内的玻璃洗澡房密封不好，很多水流到卫生间地面，而卫生间地面又没有地漏排水，造成地面积水严重。\r\n如果只是白天外出办事或游览，只作为一个睡觉的地方，这酒店还是可以将就的。', 'star': 1}
{'descr': '提价了,味道有点重', 'star': 1}
{'descr': '酒店附近吃的很方便，而且离西单很近，购物也很方便', 'star': 5}
{'descr': '是的我所住过的服务最差的酒店。提前二天在网上预订，并且按照预订的时候去的酒店，到了以后，却被告之没有房间了。而且服务员态度极差，摆出爱怎样就怎样的嘴脸，根本不理会。后来通过亿龙网协调了一个多小时，才给了一个房间。而且相同的情况不光我一人遇到，在第二天退房的时候，发现另一人也是遇到这种情况。\r\n入住后，发现房间的隔间简直差多了，旁边房间和走廊的说话脚步声听得清清楚楚。\r\n', 'star': 1}
{'descr': '位置不错，出门就有多家饭店、2间超市，坐地铁2号线还算比较方便，大约走路15分钟。和汉庭西单店在同一条街上，价格更实惠一些。服务不错，入住时前台帮助提行李上3楼。卫生一般，由于连住，一直没给换床上用品，房间卫生搞得也不是很认真。', 'star': 5}
{'descr': '酒店感觉还不错，有性价比！房间设计还蛮有年轻的感觉，一楼的大床房，蛮舒服。空调坏了，能够及时派人过来处理并及时帮我安排另一个房间入住，服务态度很好，唯一不足之处就是房间电视不是很清楚，可能是一线接多机的原因吧，其它整体相当满意，虽然只住一晚，但给我留下了很深刻的印象，下次来北京，我会继续选择入住，结帐时还赠了我一张优惠券，谢谢！~', 'star': 5}
