{'descr': '还可以还可以还可以。。。。。。', 'star': 4}
{'descr': '我住的大床房，床还是比较大的，原以为水会很小没想到流量蛮大。地方还算干净，服务一般，要看人，要是年轻的就不理人，年纪大一点的就比较热情了。就是去的时候找了半天，因为是晚上，他们还不开门牌灯，根本看不到让我们在那条路上找了半个小时。交通非常方便，走出去就有公交车，十分钟就能到地铁站。', 'star': 5}
{'descr': '交通很方便，3号线、8号线都很近。酒店性价比还不错', 'star': 5}
{'descr': '我经常去哈尔滨，以前住如家的次数较多，最近发现格林豪泰也挺好，就两边交替着住。', 'star': 5}
{'descr': '很好，经济实惠。位置也比较方便，是每次来入住的首选。', 'star': 5}
{'descr': '很不错的酒店，下次来还会住这里！111111111111111', 'star': 5}
{'descr': '还可以，性价比不错，里工业大学很近，火车站也不远', 'star': 5}
{'descr': '很安静，交通方面不太清楚，我对哈不熟，都是打车。', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '房间太小 卫生很差 床单上 非常脏 ------------------', 'star': 1}
{'descr': '房屋经济实惠，总台服务员热情周到。不过楼层服务员不太打招呼。', 'star': 5}
{'descr': '刚入住，酒店还是挺不错的。就是周围环境比较差。但离火车站很近，方便。', 'star': 5}
{'descr': '大床房房间宽度不超过2米，长度不超过3米，仅仅放下一张单人床，还有个电视，房间小的坐在电脑前，椅子就靠到床尾了。不会再去住了。', 'star': 1}
{'descr': '床还是像前人点评的一样，太硬了，睡不好。屋子里有一股烟味，和前台反映的结果就是拿空气清新剂喷了一下了事。地板不是很干净。感觉一般。', 'star': 5}
{'descr': '单人间有点小，总体还可以，交通什么的都比较方便！', 'star': 5}
{'descr': '性价比还可以。交通方便。轻轨3号线、8号线，步行10分钟即到。就是地方不太好找，我打车找了20分钟。', 'star': 3}
{'descr': '位置尚可，服务较好，设施陈旧，卫生较差，价格小贵。', 'star': 1}
{'descr': '便宜，地点不好找，不过在哈尔滨还算可以了', 'star': 5}
{'descr': '服务比较赞。这个价位中，这个地段，并且卫生设施各方面比较不错了。我订的是单人间，屋子小了点，但是干净，卫生。早餐的自助很卫生，相当不错！！', 'star': 5}
{'descr': '刷了个POS，花了我15分钟。办理退房花了我10分钟等，整个要25分钟。是长是短？', 'star': 5}
{'descr': '帮母亲订的，据说位置很方便，就是晚上灯光不明显，不大好找', 'star': 5}
{'descr': '根本谈不上什么服务：住了8天只给换一次床单，还是强烈要求下才换的；卫生间排气扇坏了，提了几次没处理；每天房间卫生也不搞，只是换换一次性用品；退房后不给存行李，说是公安局规定（其它酒店没遇到过这样的）。如果不是世博绝对不会住这样的地方。', 'star': 3}
{'descr': '酒店虽然比较小但是蛮清爽价格也很合理性价比还是不错的', 'star': 5}
{'descr': '酒店满意', 'star': 5}
{'descr': '卫生很一般，进去的时候，卫生间地上有很多掉得长头发，住了三天，故意没投诉看看到底啥情况，结果每天头发只是变了一下位置，说明就没清理地面，还有就是浴池和房间每天交替坏一灯，每次出门说修灯，回来就发现另一个又不亮，以至于我老怀疑是不是为了省电，把坏的灯换了一个位置，最后一天干脆两个灯都不亮了，晚上回到酒店，专门打电话我看着修好，住了三天，最后一晚终于可以屋里看着亮堂点了', 'star': 5}
{'descr': '酒店位置好，性价比高，卫生好，值得推荐。', 'star': 5}
{'descr': '、*酒店基本情况评价-请根据您的入住体会，客观的做出评价:\n    卫    生： 非常好 很好 好 一般 差\n    服    务： 非常好 很好 好 一般 差\n    设    施： 非常好 很好 好 一般 差\n    位    置： 非常好 很好 好 一般 差\n    舒适度： 非常好 很好 好 一般 差 ', 'star': 5}
{'descr': '房间干净整洁，还可以。\r\n\r\n第一次去位置不太好找，房间不大，设施倒是很新。', 'star': 5}
{'descr': '我预定的房间周彬与张隽10.2入住，10.3退房。', 'star': 5}
{'descr': '信用卡都支付的订单到酒店说没有预定，投诉以后酒店才给安排了预定。感觉办事很不靠谱。', 'star': 5}
{'descr': '离哈工大很近，不行在10分钟之内，房间不大，电梯和过道更是狭小无比，我住的那天，正好有个客人开着门抽烟，满楼层都是烟味，下次来不会考虑再住了。', 'star': 5}
{'descr': '服务态度很好。但是难以掩盖硬件设施的不足。希望酒店能认真规划一下。', 'star': 1}
{'descr': '还行', 'star': 5}
{'descr': 'Our bathroom is dirty - when we checked in, there were stains on the toilet seat (broken) that we had toe clean ourselves and the shower tray is mouldy. The king-sized bed is king-size and is as hard ', 'star': 1}
{'descr': '房间狭窄，窗不能开，可能是特价房的原因吧。', 'star': 5}
{'descr': '交通方便，周围也不吵，房间挺大；设施较陈旧，马桶垫有裂痕夹肉，卫生间排气扇不转。不过总的来说，世博期间能订到这样的酒店算不错了，离易买得和家乐福都很近。', 'star': 5}
{'descr': '交通方便，房间够大，价格小贵，服务不错，设施陈旧了点', 'star': 3}
{'descr': '服务一般，工作人员似乎没有经过专业的训练。比如房间服务人员在早上敲一下门之后如果没有回应就有可能直接用钥匙开门，然后被防盗链阻止，发出很大的响声...\r\n设施还行，房间里的空调是壁挂式的，晚上睡的时候有点吹，还有就是洗漱用品之类的也不像如家那样比较贴心地分成两种颜色~\r\n位置的话离3号线和8号线都不远，8号线直达世博园区。不过离8号线也不算近，每天从世博园回来都觉得要走好远，当然这也是因为走累了的', 'star': 5}
{'descr': '已入住', 'star': 5}
{'descr': '地段优越，离轨道交通站点很近。可惜的是世博期间，性价比略显不足。', 'star': 5}
{'descr': ' 周边有地铁站，很方便', 'star': 5}
{'descr': '床不大，电视还有雪花- -服务态度也一般，付了押金，拿了网线，却连接不上，打电话问，说我们也不知道，我们速度本来就很慢的。跟客服要东西，都必须亲自下去。按一般标间来讲，地方真的不大。', 'star': 1}
{'descr': '床很大也很舒服，价格相对也很实惠。挺好的。', 'star': 5}
{'descr': '总体而言，酒店地理位置不错，但硬件较差，性价比低。', 'star': 1}
{'descr': '特价房有点小 挺干净的 服务员的态度挺不错', 'star': 5}
{'descr': '卫生啥的都可以，就是床太烂了，弹簧都快出来了 ，睡觉睡不好！', 'star': 1}
{'descr': '这个宾馆年头长了些，设备有些显得陈旧，其它方面挺好的，并且价位也不高。', 'star': 5}
{'descr': '整体环境不错，客房很干净，很舒适，下次来还选择住这里', 'star': 3}
{'descr': '条件不错`就是房间小！卫生间不错很大！宽敞！', 'star': 5}
{'descr': '位置很方便，服务也不错,性价比很好，卫生条件不错！', 'star': 5}
{'descr': '性价比一般，酒店设施不值这个价位，不过看世博期间房价上涨也属正常，看世博交通方便。', 'star': 5}
{'descr': '卫生比较好，设施比较齐全，门面不起眼。应该一提的是早餐做得比较有滋味，尤其是疙瘩汤，非常好喝。', 'star': 5}
{'descr': '房价便宜，卫生间较大，电梯只能进三个人', 'star': 5}
{'descr': '不错的！\r\n交通方便，3号可以直接到的，公交车也很多的！', 'star': 3}
{'descr': '酒店位置不错，距3号线地铁站很近，去市中心人民广场很方便。周边小餐馆较多，吃饭也方便。卫生一般，这个价格能住这样的宾馆还算可以了。就是晾衣架配的太少了，一个房间才配二个，住多天洗衣服肯定不够用了。', 'star': 5}
{'descr': '房间有点小，地段不错，性价比很好。\r\n电梯小了点，进3个人就很挤了。', 'star': 5}
{'descr': '不错,很干净.', 'star': 5}
{'descr': '还可以的', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '只住了一个晚上，酒店位置不错，离地铁也较近。服务员都很热情，我去的比较晚，一个阿姨非常热情的接待我。酒店设施还可以，但是性价比不高，不过最近上海的酒店整体价格都“世博”了', 'star': 5}
{'descr': '世博会这个价格还算ok了，房间还算大，但是打扫得不够仔细，空调很吵，楼下就有罗森很方便。', 'star': 1}
{'descr': '位置很好~就在离三号线赤峰路站很近，性价比也不错~世博期间200多一天还是很划算的~环境也算可以接受~总体比较满意~', 'star': 5}
{'descr': '挺安静的。坐车还算方便。因为住的无窗房（其实是有个小窗户的），感觉有点压抑。', 'star': 3}
{'descr': '2天杀掉5只蟑螂，没有洗澡用的凉拖。找服务员还要我自己去楼下拿，有蟑螂，他们说第二天在来杀，我自己踩死一只，他们来喷死4只，结果我看他们杀完了，就出去了，晚上回来又发现一只蟑螂在淋浴房', 'star': 1}
{'descr': '这个酒店服务很差的，入驻时前台服务员爱理不理的，房间网线要到前台交押金领取，服务员打扫卫生时很粗鲁，上午在房间办事，服务员老是敲门，好象是要完任务一样，没有一点温馨感。退房时，电话没接通，说要收费，然后行礼不同意寄存。强烈抵制入驻该店。', 'star': 1}
{'descr': '在世博高峰期价位还行，总体上挺好的....', 'star': 5}
{'descr': '房间的设施还是挺不错的，房间空间也很大，很宽敞，距离地铁线很近，虽然去世博要转一个地铁，但总的来说还是很不错的交通', 'star': 5}
{'descr': '环境不错～～交通也比较方便～～蛮好的～～', 'star': 5}
{'descr': '服务很差', 'star': 5}
{'descr': '离火车站近，火车站有去机场大巴还有长途大巴，交通方便。离中元节也不远。最后个人住经济实惠。 ', 'star': 5}
{'descr': '交通不错，但设施有点欠佳，走廊上没空调啊。', 'star': 3}
{'descr': '，交通挺方便', 'star': 5}
{'descr': '设施比较陈旧，浴室间的瓷砖很多锈迹之类的  房间的空调制冷不好\r\n不过，话说回来，在世博特殊的时间段，价钱算是合理了。。离三号线很近，周围也比较多吃的   出行方便啦', 'star': 5}
{'descr': '地理位置一般 人员服务比较好 价位一般吧', 'star': 5}
{'descr': '这个酒店位置不好；\r\n房间很差，竟然连床单都没有换；\r\n强烈不推荐', 'star': 3}
{'descr': '房间太小，位置太偏，窗外空调嗡嗡乱响', 'star': 1}
{'descr': 'ky', 'star': 3}
{'descr': 'yib', 'star': 5}
{'descr': '位置还可以，就是最近哈尔滨在修路。。。。', 'star': 5}
{'descr': '位置很好找，环境也不错，在居民区，比较安静。世博会期间能住到如此价格的宾馆，还是值得的！', 'star': 5}
{'descr': '酒店位置不明显，性价比较高。', 'star': 5}
{'descr': '挺方便的.....', 'star': 5}
{'descr': '1、房间里设施相对简陋，也不是很新，跟酒店描述差的很远。\r\n\r\n2、酒店看起来就不是很正规。服务员没有经过培训，大部分都不知道怎么服务，个别态度恶劣。网络不好用的时候找服务员，服务员直接来个：附近有网吧，你要上网就去网吧上。退房的时候前台还质问你空调遥控器在哪里，其实就在电视机上没有动过（开房的时候也在电视机上），服务员都没看到，最后找到了之后连个道歉也没有。\r\n\r\n3、酒店很抠门，住了三天，连拖', 'star': 1}
{'descr': '还行吧..很一般,浴室觉得很小,不舒服...\r\n水倒是很热,水压也很大...电视机比较小...\r\n空调是吹吹停停,但吹的时候还算热...\r\n晚上休息也比较安静,还不错吧', 'star': 5}
{'descr': '各方面都还可以，不过提一小小建议，网络线要单独拿还是有点麻烦，其实只要把网络线固定在墙上就没有人拿走了！', 'star': 3}
{'descr': '各方面都挺不错的，就是房间没有大顶灯，晚上会使房间的亮度收到一定局限', 'star': 3}
{'descr': '地理位置好，就在地铁站附近，附近还有很不错的餐馆！', 'star': 5}
{'descr': '房间很大，大床很大，比想象中的要好，性价比蛮高的，地理位置好，不远就是3号线赤峰路站，旁边那家饭店的煲汤很不错哦，食住行都齐了。但是烧水壶看起来很脏，都没敢用。', 'star': 5}
{'descr': '酒店服务一般，前台态度不冷不热，设施也一般，网上只能预订大床房，且都是靠近赤峰路的，早上有点吵。酒店还有单人房、标准房，单人房只要138元，虽然也是靠马路的，但对睡觉环境不是很敏感的人来说也足够了。标准房都是背向马路一侧，但床很硬也很凉。大床房的床很大，一家三口睡都够了，席梦思上铺了个薄薄的垫子，比标房稍好点。不过这个价位在这个地段来说还是可以了。', 'star': 3}
{'descr': '只是因为这个地段，这个价钱，要求也不能太高，也就这样了。', 'star': 5}
{'descr': '不错,对的起这个价格,房间是同价位里比较大的了.', 'star': 5}
{'descr': '酒店价格倒不贵，但是设施和服务很一般。因为离要办事的地方很近，所以才住的。', 'star': 1}
{'descr': '这个旅店整体感觉还可以吧，性价比算是还可以，那条路上还有很多旅店，价钱什么的也都差不多，旁边有家港式餐厅很好吃', 'star': 5}
