{'descr': '好，房间大，周边安静，是理想的居住酒店', 'star': 5}
{'descr': '酒店给人感觉可以,液晶电视,宽带到位,就是卫生间有股道.前台人员也很友好,帮忙解决问题.地点稍微远点,但是价格便宜,周围餐饮也不少.是过路客好住宿. \n', 'star': 5}
{'descr': '价格适中 ,周围设施完备,交通相对方便~', 'star': 5}
{'descr': '地方很不错 挺新 干净下次还去！周围吃饭也很方便', 'star': 5}
{'descr': '卫生状态良好，服务态度一般，不过这个价钱，这个水平也就很不错了', 'star': 5}
{'descr': '酒店给人感觉非常好,十分干净,液晶电视,宽带,浴室.房间基本与7天如家之类的一样,前台人员也很友好,帮忙解决问题.地点稍微远点,但是价格便宜,周围餐饮也不少,很值得推荐.', 'star': 5}
{'descr': '酒店位置在南开区，周边不是繁华地带，但打的到古文化街等景点都是起步价，设施还行，热水不错，环境也算干净，价格合理，十一期间能定到128元的房价就比较不错。', 'star': 5}
{'descr': '酒店地理位置不错，去景点方便，酒店干净，服务也好，还可以叫外卖，下次还会选择', 'star': 3}
{'descr': '干净整洁,有专门打扫,一天一换.就是服务态度不怎么热情.', 'star': 5}
{'descr': '总的来说还可以。房间挺干净。环境也挺好', 'star': 3}
{'descr': '很好很卫生 电视也不错。服务态度也很好，会像友推意见', 'star': 5}
{'descr': '酒店比较好找，卫生不错，价格是128元的，办个会员卡可以弄个98元的，就是楼道有些吵，不知那些人在干嘛，灯光不错，这个价位挺合适的', 'star': 5}
{'descr': '总的来说不错，车可以停在后院。周边不远就有卖正宗大麻花的专卖店，各种生活设施很全。出门向左走不远就是几家大饭馆，环境和人气都不错。酒店的服务很好，环境也不错。很满意。 \n', 'star': 5}
{'descr': '总的来说不错，车可以停在后院。周边不远就有卖正宗大麻花的专卖店，各种生活设施很全。出门向左走不远就是几家大饭馆，环境和人气都不错。酒店的服务很好，环境也不错。很满意。', 'star': 5}
{'descr': '还行,要是能优惠多一些更好…', 'star': 3}
{'descr': '挺好的，比想像中好，网上订确实很方便。', 'star': 3}
{'descr': '挺干净的。。。设施比较齐全的。。。交通也还好。。。虽然远点。。公交还挺方便。。。价格合理。。。推荐…………………………', 'star': 5}
{'descr': '第二次入住，挺好的，就是厕所有虫子', 'star': 3}
{'descr': '过了好长时间了，一直没来点评，记得当时感觉环境还可以，价格也合适，服务态度也不错，就是感觉房间有点小～', 'star': 5}
{'descr': '环境还不错,对得住这个价格吧在天津，以后有机会还会去光顾的，主要去那边还比较方便，就是上网速度慢了点', 'star': 5}
{'descr': '非常好……', 'star': 3}
{'descr': '总体还不错、下次可以继续去入住', 'star': 3}
{'descr': '不错，这个价钱挺合适。', 'star': 3}
{'descr': '第二次入住，感觉环境很满意。就是稍微有点不隔音。', 'star': 5}
{'descr': '价格比较实惠，卫生比较整洁，卫生间味大些。', 'star': 5}
{'descr': '干净，卫生，交通便利，服务员态度很好的...', 'star': 5}
{'descr': '室内的设施还可以 性价比算是过得去 就是地方太偏僻', 'star': 5}
{'descr': '房间蛮好的，挺干净。但是就是服务员态度很不好。', 'star': 5}
{'descr': '感觉还可以，物有所值，房间比较干净，周围也还算繁华。', 'star': 5}
{'descr': '这家酒店不错，性价比高。空调也挺新的，房间很温馨', 'star': 5}
{'descr': '一直都感觉是性价比超高的酒店，服务态度好，房间干净卫生！！！', 'star': 5}
{'descr': '酒店还不错,初来乍道不太好找', 'star': 3}
{'descr': '还是很不错的，以后还是会经常过来住。以后向朋友推荐！', 'star': 5}
{'descr': '房间比较大，也很干净。但是隔音不太好，不知为什么卫生间里只有沐浴液没有洗发水。', 'star': 5}
{'descr': '很不错空调很凉快', 'star': 3}
{'descr': '比较经济的快捷酒店，很干净！\n下次还会入住！', 'star': 5}
{'descr': '很好，每次来北京都是住这里，出行方便，，，，，，，，，，', 'star': 5}
{'descr': '干净，卫生，服务很好~房间也很不错，就是位置不是很中心。', 'star': 5}
{'descr': '   很好不错', 'star': 3}
{'descr': '感觉挺好的~环境不错~', 'star': 3}
{'descr': '房间很宽敞，很舒适，地理位置也不错，很醒目', 'star': 5}
{'descr': '房间设施还可以，但房间没衣架，网速超级慢！服务员连个笑脸都没有，态度-----', 'star': 1}
{'descr': '还算舒适整洁。服务也挺好…', 'star': 3}
{'descr': '很不错，卫生很好，服务很好。楼下还有加州牛肉面。', 'star': 5}
{'descr': '位置不好，服务一般。网络特别的差，什么都没法做\n\n卫生马马虎虎', 'star': 1}
{'descr': '基本上不错，挺满意的，就是隔音太差了，一大早的就被走廊搞卫生的给吵醒了，一早上的就被吵醒了好几回！', 'star': 3}
{'descr': '酒店性价比可以，隔音不是很好', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '在这次出差中住的三个酒店中，觉得性价比最高的一个，交通方便，室内条件也非常不错，唯一遗憾的是没有洗衣服务，酒店内没有设置衣柜，衣架，有点点不方便，不过总体来讲还是非常满意。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '＋除了远点 一切很好', 'star': 3}
{'descr': '地理位置不错，房间卫生做的也很好。前台服务态度也很好！', 'star': 5}
{'descr': '房间比较干净，就是离市区有点远！如果自己有车还是挺方便的。', 'star': 5}
{'descr': '真是够新的，新的连刷卡都不行，不过内装还过得去，洁具是科勒的。', 'star': 5}
{'descr': '不错不错~~房间精致，特别是卫生很干净！就是早上正睡觉呢，打扫房间的阿姨好像是弄错了就刷房卡进来了，还好有上锁要不就囧了~~', 'star': 5}
{'descr': '地理位置不错，交通便捷，最主要的是吃东西方便，楼下直接就可以吃到加州拉面', 'star': 5}
{'descr': '蛮干净的。也比较好找~~就是明明入住了，竟然发信息说没有入住！不过之后还是向客服反应解决了。', 'star': 5}
{'descr': '环境好，房间干净卫生，交通便利，就是隔音稍差，价钱合理，挺满意的，绝对好评！', 'star': 3}
{'descr': '好，还算性价较高的。以后还来.推荐大家订些酒店', 'star': 5}
{'descr': '位置还可以，价格便宜，而且干净卫生。下次去还会去，建议去的时候办个会员卡，有会员价的房间才98元。', 'star': 5}
{'descr': '挺好的                                干净舒适 ', 'star': 5}
{'descr': '服务不到位，早上说好了要叫醒服务的，结果没人叫起床！气死', 'star': 1}
{'descr': '挺干净的，附近交通也挺便利！', 'star': 3}
