{'短评内容': '房间不给打扫，续住不给牙刷等，没有一次性拖鞋，反正不满意', '短评打分': 1}
{'短评内容': '性价比很高，办会员卡标间120，比周边的几个快捷酒店都便宜。最大的好处是睡觉非常安静，因为酒店就在小区里面，唯一遗憾是枕头不太舒服', '短评打分': 5}
{'短评内容': ' 房间干净.卫生.暖气很好.属于物美价廉型.', '短评打分': 3}
{'短评内容': '很满意，有点难找', '短评打分': 3}
{'短评内容': '还不错吧  就是十一期间有点贵  位置离钟楼也不远', '短评打分': 5}
{'短评内容': '大家都说这家酒店难找，其实百度一下地图很好找的，只是你没有做足功课而已。\n1.酒店身处小区附近，胡同口里，西安民风尽揽眼底，周围饭店便宜好吃，买菜的也多，特产我就从附近买的，百姓价格。\n2.至于房间，一进来就有几个小问题，和前台沟通之后，不到5分钟修理工就处理好了，应该说服务还是不错的。特别说一下前台服务员，换了好几个都很好。不厌其烦。\n3.说几点问题，热水真是是不热，温水而已。早点难吃。每天得刷', '短评打分': 5}
{'短评内容': '虽然第一次有点儿不好找，但是总体地理位置还是不错的，门面不大，里面房间还很多的。前台略简陋了，早餐实在不咋地。', '短评打分': 5}
{'短评内容': '服务员态度超级差热水是温水\n\n\n\n希望大家以后别选这家店', '短评打分': 3}
{'短评内容': '位置不错，周围是居民区买东西方便，停车不是很方便，需要注意附近居民尤其是老太太们的情绪。', '短评打分': 5}
{'短评内容': '酒店位于闹市中的小街，和居民楼在一起，出行非常方便，距离小雁塔很近。附近有很多各种档次的餐馆，可品尝地道的早餐、小吃。酒店附近一到晚上热闹非凡，多家餐馆生意红火，都是喝酒吃烧烤的人群。附近的大街上中等档次的特色餐馆很多，对于自助游的人非常方便。酒店大门在居民区里，房间不大，很干净，卫生间是玻璃隔断，有利有弊吧。158的价格，旅游旺季能订到这样的快捷酒店非常满意，值得推荐！', '短评打分': 5}
{'短评内容': ' 环境不错，就是地方有点难找…服务很好…', '短评打分': 3}
{'短评内容': '环境不错就是有点难找。。。呵呵。。。热水很好，有电梯，不过浴室是毛玻璃隔开的，可以现场直播，这点有点尴尬。。。。总的来说还是值得推荐！！！', '短评打分': 5}
{'短评内容': '一般吧，没有感觉。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较安静。\n但是，被子有点脏。\n感觉一般。\n房间显得有点小。', '短评打分': 1}
{'短评内容': '房间比较老旧，设备也很简陋', '短评打分': 3}
{'短评内容': '很好,干净卫生实惠.', '短评打分': 3}
{'短评内容': '酒店硬件还可以，服务一般，离公交车站稍微有点远。', '短评打分': 3}
{'短评内容': '住在居民区内挺安静。唯一的不足是地址标注不清楚。应该为陕西省人大附近，体育馆东路很大出租车司机都不知道，找这个店第一次挺费力。', '短评打分': 5}
{'短评内容': '酒店的环境可以，就是位置有点偏了，我不是西安本地人，这个地方费了好久才找到，宽带的网速可以，就是机子卡', '短评打分': 5}
{'短评内容': '第一次去西安，这家酒店留下的印象很不好。本来说好有车位的，结果去了是要自己付钱停在旁边的小区。本来写的有宽带的，结果没有。这样的酒店我不回推荐给网友住。', '短评打分': 1}
{'短评内容': '在这个价位还算可以.就是有点偏僻。过道油漆味很重', '短评打分': 5}
{'短评内容': '忘带房卡，抱着儿子等了好久也不来开门，要不是下去骂了几句还不上来开门。', '短评打分': 1}
{'短评内容': '前台服务小姐居然讲不清酒店所在地点，服务态度比较差，催房费实在是太积极了，接受不了。', '短评打分': 1}
{'短评内容': '酒店不错，干净，值得推荐…', '短评打分': 3}
{'短评内容': '一般般吧！会员价竟然比网定价还便宜！住的还行', '短评打分': 5}
{'短评内容': '酒店管理不错，服务很好，周到热情，房间硬件齐全，周边环境很好，出行也特别方便', '短评打分': 5}
{'短评内容': '还不错，地方有点偏。卫生间玻璃模糊透明。总体还行\n', '短评打分': 5}
{'短评内容': '给人感觉很干净，物品摆放整齐，服务到位，酒店地处繁华区域，出行很方便，服务很好', '短评打分': 5}
{'短评内容': '客房装修的比较简约，也很温馨，房间卫生条件还可以，打扫的很干净，服务到位，酒店地处中心位置，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，打扫的干净，给人感觉很清爽，酒店门口出行还是很方便的，交通蛮便利的，住宿环境不错', '短评打分': 5}
{'短评内容': '房间采光很好，硬件设施齐全，网速蛮畅快的，酒店地处市中心，在体育馆对面，出行很方便', '短评打分': 5}
{'短评内容': ' 总体不错 就是有点不好找 房间也蛮温馨干净的', '短评打分': 3}
{'短评内容': '整体还不错，就是位置不太好找。走到鼓楼也就不到20分钟。', '短评打分': 3}
{'短评内容': '总体来说不错，地理位置好，对的起这个价格', '短评打分': 5}
{'短评内容': '对了，补充一下，离南门较近，走过去差不多十几分钟；所以离钟楼也就不远，如果有体力再走10分钟就到了。就交通位置来说，还可以。', '短评打分': 3}
{'短评内容': '酒店位于一片居民区内，稍微有点偏，不过也有好处，一是附近可以吃到真正是当地居民吃的食物，我和LG都觉得比回民街的东西好吃，而且非常实惠，在那里吃饭的都是附近居民；二是很安静，也比较安全。酒店卫生啊等等的状况，还行吧，设施配备什么的就是经济型酒店的那一套。房间里打市话要另收费，另外，大堂没有免费上网的电脑，这点就不如7天了。总体来说，因为我们当初是从火车站附近的酒店搬过来的，相比较来说，这里比火车站', '短评打分': 5}
{'短评内容': '服务态度太差。很难找到，地段还行。房间太小，设施较差，以后肯定是不去那里住了', '短评打分': 3}
{'短评内容': '该酒店位置不好太好找，不过也算是离商业区很近了。就是打电话往前台询问位置时有些冷漠，其他还算不错。', '短评打分': 5}
{'短评内容': '位置不错，离城墙很近。所在的小巷子里面吃东西也很方便！', '短评打分': 5}
{'短评内容': '没有热', '短评打分': 5}
{'短评内容': '+非常方便,不错,挺好', '短评打分': 5}
