{'descr': '服务很好，还有早餐供应。', 'star': 5}
{'descr': '，房间空间偏小！', 'star': 3}
{'descr': '这里环境不错，别住特价和普通大床就可以了', 'star': 5}
{'descr': '还可以吧  就是附近卖吃的地少 得走出去还可以  住房的话 开房有点慢', 'star': 5}
{'descr': '房间很小', 'star': 3}
{'descr': '酒店环境不错，周围饭馆挺多的！周围公交打车都很方便，性价比挺高的！', 'star': 5}
{'descr': '本区域性价比比较好的酒店。\n就是火车有点吵。\n如果不敏感就么有所谓。', 'star': 5}
{'descr': '酒店还不错，就是地点稍微有点偏，服务人员态度也不错~比较值得的价格和服务环境也还行，就是稍微离铁路有点近，还好酒店两层窗户，倒还不至于太吵', 'star': 5}
{'descr': ' 隔音稍微差了点。火车有点吵。其他还行', 'star': 3}
{'descr': '还不错，位置有点偏远，还有免费的饮料可以喝', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '挺好的，就是洗澡水太小。。。', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '条件一般，有些噪音,隔音效果也不大好，但是性价比还是不错滴', 'star': 5}
{'descr': '酒店的房间很干净整洁，出门乘公交车还是比较方便，如果店内人员的微笑能够多些就更好了，总的来说还是不错的', 'star': 3}
{'descr': '虽然空间比较小，但是不值得还挺舒服，也很干净，值得推荐，服务员的态度也很好，还会免费送一瓶水哦，总体来说不错。。。。。。', 'star': 5}
{'descr': '非常不错的一家酒店。服务员态度很好，住的也非常舒适！之前在网上看有网友说:附近有火车经过，特别吵。附近有火车道是真的，不过是货车，一天过不了几趟，对居住没什么太大影响我觉得。总体感觉还好！不错。值得推荐！', 'star': 5}
{'descr': '大床房无窗户，预定时应主动告知。门前不方便停车', 'star': 1}
{'descr': '紧邻铁路、本来打算多住几晚的，结果第一天晚上就给我吵醒了不下三次！！！！！！', 'star': 1}
{'descr': '不错的酒店，汉庭一贯风格，周边办事很方便', 'star': 5}
{'descr': '稍微偏僻.网速好,服务态度好.价格还好.', 'star': 1}
{'descr': '酒店情况良好，房间干净，美观，但地点太差了，要找吃的地方都没有。', 'star': 1}
{'descr': '汉庭就是发票不给力，系统做的很不错，服务员基本就是单一操作。', 'star': 5}
{'descr': '很舒适。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还可以~~比较干净~~交通也很方便~~ 唯一的确定就是在公路旁白，有点吵~~', 'star': 5}
{'descr': '酒店内的环境很干净，格局也不错，服务态度也不错，就是挨着铁路，有点吵。', 'star': 5}
{'descr': '干净 环境不错 就是周围会有火车 轰轰隆隆的', 'star': 5}
{'descr': '热水要自己调很麻烦，毛巾也不干净，洗发水竟然和浴液一体味道很难闻，靠街的房间很吵，希望能改进', 'star': 3}
{'descr': '环境不错，干净卫生，设施很新；交通方便，靠近市中心，下次还会入住', 'star': 5}
{'descr': '很不错的', 'star': 3}
{'descr': '早餐菜品增加些就完美了', 'star': 3}
{'descr': '很不错的酒店，位置好，停车方便，服务态度也好，就是卫生间有很大的尿酸味道，很反胃。', 'star': 5}
{'descr': '优点：干净整洁、设施实用、服务态度很好；\n缺点：大床房面积偏小，紧邻一条铁路，火车每过必鸣笛，比较吵；\n建议：一定要选择远离铁路的房间', 'star': 5}
{'descr': '态度不错，在这边儿交通还可以吧，总的来说还可以，房间小了些', 'star': 5}
{'descr': '卫生很好 服务也很好 不过室外环境不好 隔音也不好', 'star': 5}
{'descr': '酒店旁边饭店挺多，马路对面是公园，比较方便', 'star': 5}
{'descr': '  房间略小~其他还可以~服务态度挺好的，遇到问题都能给予及时的解决或解答', 'star': 3}
{'descr': '房间大小比天塔店的那个要大。所以感觉还行。\n旁边有一条铁路货运线。夜里有列车经过。如果楼层和朝向选得不对，夜里睡觉有点轻的朋友可能不适合。\n但是总体说在天津的汉庭里他是不错的。', 'star': 5}
{'descr': '大床房间也不像前面那些人评价的那么大啊   晕啊  \n被骗了', 'star': 1}
{'descr': '还不错,好评', 'star': 3}
{'descr': '不是很干净。位置一般，适合周边大学城学生。但真的不是很干净。尤其是毛巾。', 'star': 1}
{'descr': '中转站中转站 说大声说的话 都会水电费都会都会zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz', 'star': 5}
{'descr': '这里的环境还可以 卫生做的也不多 服务热情周到', 'star': 5}
{'descr': '位置比较明显，卫生条件也不错，就是离立交桥近，有些吵！', 'star': 5}
{'descr': '房间有点小，设施还不错。价格应该偏高了些。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '100元的新春活动非常不错 便宜住好房子 服务人员也很到位 ', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间比较小，而且和地图上的标注不太准确，找了好长时间', 'star': 5}
{'descr': '很好。舒适。性价比极高...', 'star': 3}
{'descr': '环境不错，服务到位，价格便宜，出差首选', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '酒店的卫生和环境都很好，房间虽然小，但应该有的都有了。房间墙壁的隔音效果按说应该是不错的，就是门的隔音效果比较差，门外有人经过或咳嗽都能听到。酒店服务台MM的素质良莠不齐，有一些很亲切，有一些很冷淡。十五块的早餐还是蛮值这个价的，虽然种类不多，但是应该有的最基本的中西餐都有了。尤其是厨房师傅说话一口地道的天津口音，又俏皮又可乐，像听相声一样，有趣极了。', 'star': 5}
{'descr': '总体感觉还不错,干净,就是房间稍微小点,以后还会继续入住', 'star': 5}
{'descr': '酒店服务态度很好，挺热情的，但是与楼外隔音有点差，到深夜有点凉！', 'star': 3}
{'descr': '在天津来说这个如家价格算比较贵了，但如家的模式还是统一的。', 'star': 5}
{'descr': '不错~ 干净整洁~~ 服务态度好~~位置也比较方便~', 'star': 5}
{'descr': '房间有点小~~不过整体还不错，比较干净整洁~ 服务人员的态度很好~', 'star': 5}
{'descr': '好的', 'star': 3}
{'descr': '酒店坏境不错，很干净没有异味，床很舒服，前台服务的MM态度很好而且很漂亮，哈哈，经常入住。，不足是热水水温不是很好，有点凉。而且宽带速度比较慢，这么大一个酒店一共4M的带宽，看直播卡死了，不过考虑到天津酒店网速基本都不快，还可以理解。', 'star': 5}
{'descr': '还会再选择这家店的，毕竟地理位置比较好，门口公交出行比较方便，吃饭的地方也多，好多地方还可以送外卖', 'star': 5}
{'descr': '床品比较干净，房间设计很有意思。就是房间里的电视建议更新下，换成液晶的吧', 'star': 5}
{'descr': '还不错，就是火车过的频繁，如果入住有火车的一面，会有一点噪音', 'star': 5}
{'descr': '房間點小不過挺乾淨的,離奧體中心也近吃飯等等都很方便,但是就是別在鐵軌旁晚上會吵', 'star': 5}
{'descr': '酒店位置方便快捷，距离华苑居住区很近，周围用餐地点较多', 'star': 5}
{'descr': '总体还可以，但是宾馆不提供礼品袋，不方便', 'star': 5}
{'descr': '一如既往的好，就是貌似床单和毛巾上好像有污渍。。。。。。', 'star': 3}
{'descr': '毛巾和床单上有污渍。。。。。。其他的一如既往的好', 'star': 5}
{'descr': '房间不错，还有的都不缺。和一般的商旅酒店一样的。', 'star': 5}
{'descr': '总体不错，卫生很好，位置也不错！价位还算合理！', 'star': 5}
{'descr': ' 不錯，乾淨 ', 'star': 5}
{'descr': '除了位置有点远，在宾悦桥下，宾馆附近包括宾馆内没有午餐服务，其他都很不错', 'star': 5}
{'descr': '卫生不错，设计得也比较温馨舒适，简洁大方。设施比较齐全，使用方便。服务热情。位置比较难找，在立交桥的下面，过马路时要仔细点。总体来讲，这个价格还是比较值的。下次过来可能还住这里。', 'star': 5}
{'descr': '离天津奥林匹克体育馆算比较近，1.8km。看完演出打不到车，直接走回去是不错的选择。\r\n\r\n服务员态度还可以，但是如果更热情一点，表情再好一点就好了 。', 'star': 5}
{'descr': '一应设施俱全，上网很方便，有无限也有网线，开水可以自己烧很方便，空调的性能很好，制冷效果不错。不过酒店浴室的洗发护发沐浴三合一沐浴露实在有点雷人，用起来其实还可以。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '这家酒店的位置还可以，很近就是堆山公园，夏天的时候可以去转转。一定要选择离铁路较远的房间，才能安静。\r\n向华苑内走五分钟，吃饭的地方比较多。\r\n唯一的不便就是开车到这里的时候有那么几十米的路比较差。', 'star': 5}
{'descr': '很好!good!good!good!aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'star': 5}
{'descr': '出住车找布道的地方啊 的确不好找 服务卫生还可以的 ', 'star': 5}
{'descr': '不错的经济适用酒店，出行首选，住的还可以。', 'star': 5}
{'descr': '除了位置比较偏以外都挺好的，住的周日百元房，大床房，有点小，不过挺好的嗯。。。也挺干净。。住的第二个汉庭了。。。服务态度也特别好~很喜欢汉庭~', 'star': 5}
{'descr': '已经住过两次了，感觉还不错哦！关键是方便！哈哈', 'star': 3}
{'descr': '已经住过两次这家店了，感觉距离我办事的地方很近。而且在周围购物也很方便。以后会推荐朋友过来光顾的哦！呵呵', 'star': 5}
{'descr': '汉庭的早餐很好，就是房间因为新装修，有潮气，总的来说还是不错的！', 'star': 5}
{'descr': '离大学城近。双人间的房子挺大的。光线不错。虽然临街，但是并不太吵。', 'star': 3}
{'descr': '房间挺大，干净。有点不太好就是后边有铁路，不过是货车，一天没两趟的。', 'star': 5}
{'descr': '房间较小！卫生条件还算说的过去', 'star': 5}
{'descr': '位置很好，交通出行方便。\r\n', 'star': 5}
{'descr': '挺干净的，不错', 'star': 3}
{'descr': '很干净，就是有些偏', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '很不错', 'star': 5}
{'descr': '地理位置：华苑及大学城附近新建的快捷酒店，逛街自然是不方便（距离而已，华苑的公交还是很发达的，哪里都能去），但是对于大学城来往的家长及商务人士是不错的选择。\r\n设备：虽然有段时间了，不过还算是新店，设施都还不错，有人抱怨房间小，确实有点，尤其大床房，基本没有多少空间，浴室厕所和盥洗台占了很大的空间，虽然时尚感颇强，但是对商旅一足确实不实用，小两口倒是不错。有一点倒是要提醒，不是毛病，不过水质很滑手', 'star': 3}
{'descr': '挺干净的~还不错~', 'star': 3}
{'descr': '感觉卫生应该再彻底一些，洗手池上都是水渍，还有卫生间的地都是灰， 房间里还是很干净的，很舒适。', 'star': 5}
{'descr': '地理位置不太好，在立交桥间，出租车司机找了好久才找到，周遍没有配套的吃穿住等设施，取款走了好久才找到地方。\r\n另外，大床房面积偏小，窗户采用密封式，噪音基本上没有，但是通风的效果就差了。\r\n服务态度相当的好，这一点不错。', 'star': 5}
{'descr': '地点较偏', 'star': 3}
{'descr': 'soso...地点不好', 'star': 3}
{'descr': '地点不好，交通不方便\r\n水压不足，暖气乱响\r\n洗了一半，没热水了\r\n前台小姐很热情', 'star': 1}
{'descr': '周围吃饭不是特别方便，靠近铁路有些噪音，房间的隔音效果不太好，不过对于我订的特价来说，还是相当超值的！', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '隔音不是很好，其他还不错，地方挺大的，床也挺大的', 'star': 5}
{'descr': '住的人太多了，别的什么都好，位置在铁轨旁边，或者半小时一辆', 'star': 5}
{'descr': '卫生服务方面做的的都非常好,但酒店挨着铁道,而且房间的隔音效果也不太好,感觉有些吵,不太舒适.', 'star': 3}
{'descr': '地理位置很好,位于市中心,出行都很方便,卫生服务方面也都不错,唯一一点就是房间的隔音效果不太好.', 'star': 3}
{'descr': '服务很好', 'star': 5}
{'descr': '就是太靠近铁路了晚上有点吵，别的是很不错的啊 ', 'star': 5}
{'descr': '地理位置不太好，坐车不方便，周边也没什么东西，要买吃的或用的需要走一段比较长的距离。', 'star': 5}
{'descr': '卫生服务都还好的,交通比较方便离办事的地方也比较近,但靠近铁路,比较吵了.', 'star': 3}
{'descr': '就是临铁路有点吵，位置还可以', 'star': 5}
{'descr': '环境不错，但是相对其他连锁酒店价格略有些高', 'star': 5}
{'descr': '酒店作为经济型的酒店来说,各方面条件都还是可以的,但是在天津,还是觉得它的价格稍微有点贵,地理位置因为在当地只有那一家经济型的,所以还是可以选择的.', 'star': 5}
{'descr': '第一次定的房间感觉不错，挺舒服的，虽说紧邻火车道，但是还是比较安静的，隔音还是不错的。因为行程的临时更改，已经退了房之后又第二次入住了。但是第二次的房间就不怎么样了，没有窗户，卫生间的湿气很重，空间也小了很多，整体的感觉差了很多了。建议旅友们入住的时候多多注意。', 'star': 5}
{'descr': '环境很好，很安静，就是位置有点偏，希望安静的可以选择这家酒店', 'star': 5}
{'descr': '房间面积有些小,其他方面都挺不错的,但是酒店靠近郊区,不交通还是比较便利的,价格也很挺便宜的', 'star': 5}
{'descr': '酒店房间比较小,卫生条件也很一般,服务很好,价格也还可以接受吧', 'star': 5}
{'descr': '酒店的环境硬件设施都不错,出行交通也很方便,价格也很优惠,当时酒店正在搞特价.', 'star': 5}
{'descr': '刚住的时间房间有点冷，暖气不暖和，最后我向酒店要了个当独取暖的空调，房间的温度才暖和，服务不错挺热情的', 'star': 5}
