{'短评内容': '相当不错，而且离地铁口比较近，出行挺方便的。', '短评打分': 5}
{'短评内容': '比较干净。 但是淋浴的水好小，感觉冲的不舒服。我在意的床就一般吧。总之就睡个觉，还是可以接受。', '短评打分': 5}
{'短评内容': '位置对于要来往虹桥机场或虹桥火车站的旅客来说是极佳的,往市区游玩也很方便,离地铁10号线的上海动物园站非常近,出入方便.但房间小且淋浴花洒的水流太小了,空调也不大好,且夜间道路上的噪音挺大,窗户隔音不大好.', '短评打分': 5}
{'短评内容': '去机场t2超级方便，地铁10号线。走过两次最多30分钟就能到办理登机牌的地方！', '短评打分': 5}
{'短评内容': '这个设施贵了。不说别的。说多没意思。跟图片不一样就是了。带窗户的大一点的就是商务房了，晕死我。', '短评打分': 1}
{'短评内容': '被子太厚了，环境还可以', '短评打分': 3}
{'短评内容': '卫生间水压不好，洗澡不方便', '短评打分': 3}
{'短评内容': '交通方便，离地铁10线很近。设施有点旧。', '短评打分': 5}
{'短评内容': '  非常感谢，环境不错', '短评打分': 3}
{'短评内容': '比想象中的景象好许多！真的很划算，下次继续住在这里了。', '短评打分': 5}
{'短评内容': '在我第一次入住的五楼，厕所水压小，就没有洗澡了，还有打内线电话给总台可没有接，还以为是电话的问题，但用手机打就接了，我没有在意，第二次入住时电视播放不出来，用内线和手机打电话均不接，我跑到总台去叫，问她们怎么不接电话，回答是忙，可明明有4个人在就不接电话，我说接电话花不了多少时间，最后没有回答。', '短评打分': 1}
{'短评内容': '酒店装修复古，感觉不错，服务还行，不过房间设施已经有点旧，卫生间地滑，需要小心。', '短评打分': 3}
{'短评内容': '酒店性价比高，前台服务热情，离虹桥机场车站很近，乘飞机或动车都很方便。 \n', '短评打分': 5}
{'短评内容': '住宿条件不错 ，大床房设施齐全，不过淋浴喷头有些堵，遥箜器不太好用', '短评打分': 3}
{'短评内容': '性价比高,干净安静,房间也宽敞,离机场打车只要5分钟,适合赶飞机的人住', '短评打分': 5}
{'短评内容': '位置地点对我办事很是方便   商务快捷酒店  合乎标准   酒店前台服务热情                           ', '短评打分': 5}
{'短评内容': '酒店环境闹中取静，前台不错，卫生状况良好，设施符合经济酒店的标准，还能上网。可惜这里的电视机我不会摆弄', '短评打分': 3}
{'短评内容': '交通很方便 距离地铁位置很近！\n交通方便指数 给很高的分数！\n柜台小姐 也满正的 不错～～！！', '短评打分': 5}
{'短评内容': '服务非常好,服务非常好服务非常好服务非常好服务非常好服务非常好服务非常好', '短评打分': 5}
{'短评内容': '服务员态度很不错，积极帮助解决问题。住店很不错，以后会来这个住！', '短评打分': 3}
{'短评内容': '酒店环境很好！服务还不错，你地铁十号线很近！很方便！\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '小而有味道.但是提供的房型水份大.', '短评打分': 3}
{'短评内容': '很不错~第一次是团购的大床房 没想到以外的雅致 连那么挑剔的老公都说超有性价比！所以这次飞回上海仍旧让同事选择这里。\n由于自己开车 所以具体不觉得交通方不方便 但是靠近西郊公园 地段不错 离虹桥机场确实很近！不错哦！以后经常会介绍同事来', '短评打分': 5}
{'短评内容': '酒店服务态度还不错。在知道没有大床的情况下，直接帮我升了1级', '短评打分': 5}
{'短评内容': '酒店到机场和车站很方便，设施也不错，只是环境有点吵。但对于一早赶飞机的人来说性价比还是很高的。', '短评打分': 5}
{'短评内容': '房间太暗。', '短评打分': 3}
{'短评内容': '已入住还算干净房间小', '短评打分': 3}
{'短评内容': '房间还不错.就是不太隔音', '短评打分': 3}
{'短评内容': '从虹桥火车站出来直接坐十号线到动物园下车，走了大概六七百米就到了，酒店卫生还好，环境也还可以，第二天又坐地铁十号线，五分钟就到二号航站楼，很方便。', '短评打分': 5}
{'短评内容': '距离动物园、地铁站非常近，是到动物园游玩的理想住处，卫生条件好，服务热情周到，性价比高，还有早餐。', '短评打分': 5}
{'短评内容': '交通方便，舒适卫生，网速很差！', '短评打分': 3}
{'短评内容': '酒店很干净，安静，交通方便', '短评打分': 3}
{'短评内容': '酒店的房间应该是在世博会期间装修过，整体环境及卫生都不错。离虹桥火车站、机场很近，附近就有地铁10号线，至市中心很方便，价格经济实惠，总体上很满意！', '短评打分': 5}
{'短评内容': '此酒店离虹桥机场比较近，打车方便，早班机晚班机的可以入住。经济型酒店，干净、清爽、卫生，早餐一般，服务员态度很好，不错！', '短评打分': 5}
{'短评内容': '房间很干净，感觉很舒服。\n周围是居民区，环境也蛮安静的。\n而且就在上海动物园边上，去动物园很方便。像我们外地游客带小孩去动物园玩是最好不过了。', '短评打分': 5}
{'短评内容': '就在10号地铁线旁！价格稍贵，设施还可。', '短评打分': 5}
{'短评内容': '酒店有一定年头了，环境差，被子有烟味，房间设施差，一分价钱一分货。好在地铁10号线就在边上，半小时到南京路，周边小店多，不追求环境的可以考虑。', '短评打分': 1}
{'短评内容': '非常好！酒店环境很好！服务还不错，你地铁十号线很近！很方便！', '短评打分': 5}
{'短评内容': '入住的房间被安排在2楼3楼的楼梯间，味道重，房间陈旧，提出调房间被拒绝。\n当退房后隔天发现有遗落物品时致电酒店，居然被反问“东西放在什么隐蔽的地方”（其实就在床上）并且态度不耐烦。\n按常理，当天整理房间当天发现遗落物品应主动致电房客，而我没有主动打电话就当没这回事似的，这个问题涉及诚信问题，很失望。', '短评打分': 1}
{'短评内容': '价格实惠，比较方便寻找。但网络不好用。速度慢。商务人士不建议。', '短评打分': 5}
{'短评内容': '酒店比较温馨，房间简单，还比较干净，交通方便，周边比较安静。。。', '短评打分': 5}
{'短评内容': '很实惠，离10号地铁站很近 很方便,,,', '短评打分': 5}
{'短评内容': '去机场特别方便！20分钟肯定到虹桥！环境也比较安静！', '短评打分': 5}
{'短评内容': '酒店很一般，旁边车流滚滚，房间里面毛巾很脏，洗澡水温度不够，没有纱窗，有蚊子。', '短评打分': 1}
{'短评内容': '宝隆居家酒店上海虹桥店环境还可以，服务热情。', '短评打分': 3}
{'短评内容': '网速有点慢', '短评打分': 3}
{'短评内容': ' 安静,卫生,交通方便,好评。', '短评打分': 3}
{'短评内容': '旅店很好感觉像家一样', '短评打分': 3}
{'短评内容': '交通方便，晚上噪音有点大。周边小饭店‘小超市比较多。', '短评打分': 5}
{'短评内容': '环境不错 挺实惠', '短评打分': 3}
{'短评内容': '环境服务都很不错，推荐推荐推荐推荐推荐推荐！', '短评打分': 5}
{'短评内容': '总体说不太好，就是交通方便点，附近就是10号线。', '短评打分': 1}
{'短评内容': '地图上看离机场近，但实际挺远，早上打车花了近30块。\n房间大小不错、淋浴间挺好，有些人性化。\n没有早餐不好，周围也没什么可以随便吃饭的地方。', '短评打分': 5}
{'短评内容': '房间还是不错的，干净，比同价酒店要来的宽敞点，性价比不错的', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '住的还舒服，主要是价格还是比较合理的。离机场也是很近的。', '短评打分': 5}
{'短评内容': '位置除了距离机场比较近，其它的一般！服务还可以！', '短评打分': 5}
{'短评内容': '总的来说性价比还可以，如果想参观动物园、坐火车和飞机，那是更佳的选择。', '短评打分': 5}
{'短评内容': '马马虎虎，离动物园蛮近的，就是隔音效果不是很好！', '短评打分': 5}
{'短评内容': '离机场近，装修古香古色，周围环境安静、交通也挺方便。', '短评打分': 5}
{'短评内容': '太偏僻，距离虹桥机场直线距离不远，但实际距离不近，卫生状况差！', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置不错，不过保安非要访客登记身份证，我没带，就被拦住，太混蛋', '短评打分': 5}
{'短评内容': '服务很好，安静。可以信赖的酒家。地理位置离动物园很近。出去吃饭比较方便。', '短评打分': 5}
{'短评内容': '离虹桥机场很近，但房间的排水有些问题，地面挺滑的。', '短评打分': 3}
{'短评内容': '酒店就在动物园旁边，去机场和世贸会展中心都很方便', '短评打分': 5}
{'短评内容': '+周末住房太紧张了,房间还不错。就是有些偏。', '短评打分': 5}
{'短评内容': '當日很晚才到服務員一進門就問好感覺很好!行理員於門口等都未向前幫忙!唯一遺憾!', '短评打分': 5}
{'短评内容': '我和孩子是因为飞机改签半夜入住该酒店，当时已经明确告诉前台服务员5:30叫醒我们，因为赶飞机，她当时也问酒店门卫时间是否来得及，可是第二天早上起来已经6:30了，要不是我们赶快打车，并走机场紧急通道，并最后一个登机，飞机肯定是赶不上了，服务员的服务太差劲了，我对这个酒店印象非常不好！！！', '短评打分': 1}
{'短评内容': '离虹桥机场确实很近，房间也不错，这个价格，在上海确实不错了，特别是世博期间，离上海动物园也很近，推荐有小孩子的家庭去住', '短评打分': 3}
{'短评内容': '酒店安排的房间网络是坏的，通知后他们给修理好了。酒店的一些设施应该适时查看和维护。', '短评打分': 1}
{'短评内容': '很不好，很脏！服务一般。交通位置还可以，下次不会再去了。\r\n', '短评打分': 3}
{'短评内容': '预定房间，到店后，房间还没好，卫生很不好！下次再也不会住了。', '短评打分': 1}
{'短评内容': '还可以,帮别人代订的', '短评打分': 5}
{'短评内容': '我给朋友用信用卡担保订了房间,竟然给酒店卖出去了,通过ELONG,帮给朋友一个员工住的房间,临时安排了.真是不爽.', '短评打分': 1}
{'短评内容': '本来以为离机场近才选的这家店，但因虹桥机场现在启用的是新的2号航站楼，所以打车也要20多元钱才到，而且快到机场时超堵车，因此位置来说是一般的，酒店共5层楼，我住的是5楼，水流超细，问之说是楼太高上不去，汗....才5楼就说高，水上不去......总之以后不会选这里，没有可比优势。', '短评打分': 1}
{'短评内容': '离机场1号航站楼打车只要起步价！  酒店很不错！', '短评打分': 5}
{'短评内容': '离机场很近，早晨打车去虹桥机场1号航站只要5分钟，起步价，服务及卫生都很满意，下次还会选择入住。', '短评打分': 5}
{'短评内容': '水一直不热', '短评打分': 5}
{'短评内容': '房间里很干净整洁，设施完善。离虹桥机场也比较近，交通方便。前台人员能更和善点就更完美了。', '短评打分': 5}
{'短评内容': '刚刚回来的，最有参考价值的，住这个酒店，也是靠大家的点评才决定的，为了赶早班的飞机才住的，前台给人的感觉很好，（不像莫泰的，每次问，回答都不一样，一会是，一会不是。）推荐入住，虽然中间发生了一个小插曲，但是有机会还是会入住的，在上海能住到怎么便宜的，和价格成正比吧，不错了。不知道为什么，地图上３．９公里的到机场的路程，被司机开出了７．４公里的路程，唉。反正只打这一次的士。平时出行都是靠地铁的，算了', '短评打分': 5}
{'短评内容': '老公很满意，定的大床房去的时候没有了给免费升级为圆床房了，很舒服哦！', '短评打分': 5}
{'短评内容': '不错，下次还会住，去机场特方便！', '短评打分': 5}
{'短评内容': '还行吧\r\n离机场比较方便', '短评打分': 5}
{'短评内容': '这家酒店的环境是挺好的很幽静位置也很好找,房间的卫生和设施方面都挺不错的,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '很有江南的感觉，环境不错，但热水太难了！！', '短评打分': 1}
{'短评内容': '离机场很近，算是机场周边比较便宜的吧，其他一般。住过两次了，有一次住的圆床，印象特别深刻。', '短评打分': 5}
{'短评内容': '酒店的位置有点偏，交通不是特别的方便，不过价格还是比较优惠的，而且酒店的硬件配备，和环境服务都是不错的，所以还是值得推荐的。', '短评打分': 3}
{'短评内容': '酒店比较一般化,跟其他经济型的酒店都差不多,不过整体条件都还可以,价格也挺便宜的,不过当地可选择的酒店也挺多的,可以多比较', '短评打分': 5}
{'短评内容': '酒店位置离机场还是挺近的,很方便.其他方面条件还算可以吧；也挺干净的；价格也比较适中', '短评打分': 5}
{'短评内容': '经济实惠的酒店，简约的装修，宁静的环境，自助早餐也不错。', '短评打分': 5}
{'短评内容': '经济舒适', '短评打分': 5}
{'短评内容': '酒店就是离机场近，出门需要打车，位置还算可以，价格也适中，但是他的硬件和服务都很一般，单付费的早餐也很不好。', '短评打分': 1}
{'短评内容': '去机场，打的十分钟准到。条件还行。', '短评打分': 5}
{'短评内容': '对了，离虹桥机场很近，不用担心赶飞机塞车。', '短评打分': 3}
{'短评内容': '酒店不大，但很舒适，就像名称中说的一样，居家的感觉。卫生，早餐都很干净，服务态度很好，热情，像对待家里人。就是位置有点偏，在动物园旁边，如果对上海熟的话，出门坐公车很方便的。', '短评打分': 5}
{'短评内容': '地理位置很优越，出行也很方便不过酒店内部设施有点旧，不是很好', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '去过就后悔', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;非常不错，房间不大，但是很舒服&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;会有电话骚扰&amp;lt;/P&amp;gt;', '短评打分': 5}
