{'短评内容': '还不错的选择，很喜欢的选择，，，', '短评打分': 5}
{'短评内容': '该酒店位置非常方便，价格实惠，旅游背包客的最佳选择。此处离西湖非常近，旅游方便，又靠近商业中心，晚上购物逛街方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间有点小，', '短评打分': 3}
{'短评内容': '别忘了要事先带好牙刷头梳肥皂等，不用付押金这点很好。', '短评打分': 5}
{'短评内容': '房间很小，但是还算干净，就是没有浴巾，这点比较不方便，就算是环保酒店，浴巾也该有啊，浴巾又不是一次性的。', '短评打分': 5}
{'短评内容': '很好颜色很好，房间和我家阳台差不多大，便宜实惠，希望有个晾衣服的地儿', '短评打分': 5}
{'短评内容': '价格还算便宜，但是房间真的太小了。卫生也不怎么样，卫生间连门也没有，上厕所满屋子的味。蚊子还很多。墙是木板做的。隔壁说话都能听见。总之，真的很一般，很一般。下次不会图便宜吃大亏了。', '短评打分': 3}
{'短评内容': '酒店服务很好，室内空间有限', '短评打分': 3}
{'短评内容': '不错~挺喜欢这里的环境的，比较干净，挺温馨的感觉，就是房间小了点，别的还不错的', '短评打分': 5}
{'短评内容': '大床B环境不错，一连住了好几天！有点舍不得走了！', '短评打分': 5}
{'短评内容': '感觉标准间很大，很不错。酒店很干净，还有提供吹风机！！很贴心', '短评打分': 5}
{'短评内容': '房间很小。。不过麻雀虽小，五脏俱全！', '短评打分': 3}
{'短评内容': '现代化，有4G网络，干净，交通方便！下次还来。', '短评打分': 5}
{'短评内容': '服务热情。。周到。房间偏小有异味。。总体不错', '短评打分': 3}
{'短评内容': '很好很干净，就是有点小而已啦。很好很干净，就是有点小而已啦。', '短评打分': 5}
{'短评内容': '房间小……地点有点不太好找，不过附近的餐馆很有特色', '短评打分': 5}
{'短评内容': '小而精致，有网络，4G的 需交押金200，服务人员热情，总体不错。', '短评打分': 5}
{'短评内容': '就是房间太小了，你要是行李多，感觉都会没处下脚似的。其他的还不错。', '短评打分': 5}
{'短评内容': '房间也太迷你太袖珍太小不点了吧', '短评打分': 3}
{'短评内容': '房间小的可怜，好像是夫妻房…………你懂得，就是夫妻炮场，根本对不起房钱，交通倒是还不错', '短评打分': 1}
{'短评内容': '比想象的要小很多，自带漱洗用品就算了，就连厕所都小到没门唉！整个房间宽度估计也就一米五，长度都不超过两米五！真是小到不能再小咯', '短评打分': 1}
{'短评内容': '房间非常小的，但是比较温馨。隔音效果好，住的蛮舒服。服务较好。热情', '短评打分': 5}
{'短评内容': '感觉有点小贵,不过出乎我的意外有电脑的.嘻嘻......', '短评打分': 3}
{'短评内容': '虽然空间比较小，但是布丁酒店的理念就是这样，节省空间又绿色环保，完全可以接受，洗漱用品都是自己带去的。房间干净又看着舒服，设施也都很不错，重要的是服务态度很好，服务员都会微笑打招呼并且我订的大床电脑房由于设施调配有的是电视不是电脑，因为男朋友一定需要电脑，服务员逐房找来电脑并拆卸了送过来，十分贴心。唯一有些不方便就是去上城区不方便~', '短评打分': 5}
{'短评内容': '房间有一点小 其他都挺好的~交通也方便~', '短评打分': 5}
{'短评内容': '不错啊，服务态度不错', '短评打分': 3}
{'短评内容': '住的还算不错，就是很迷你啊，小小的，空气不是很流通，可能也是空间的原因，但这个价，也算对的起了 \n', '短评打分': 1}
{'短评内容': '房间特别小 地点有点偏哦 不过挺安静的 交通也比较便利', '短评打分': 5}
{'短评内容': '住的挺舒服的', '短评打分': 3}
{'短评内容': '地方还行~ 交通方便  就是有点小！里面配的电脑太烂了~ 看个视频的卡啊~~', '短评打分': 5}
{'短评内容': '房间和想象的不同，订的大床房，但房间真心很小，而且没洗漱用品，真的好小', '短评打分': 3}
{'短评内容': '总体不错，就是卫生间没有门。', '短评打分': 3}
{'短评内容': '房间好小，带了个笔记本都没地方放', '短评打分': 3}
{'短评内容': '酒店还比较干净，但是没有电梯。总体还不错吧，值得一住。', '短评打分': 5}
{'短评内容': '房间小 但蛮温馨的，没有洗具用品需要自己带哦！！', '短评打分': 5}
{'短评内容': '比较典型的布丁酒店，位置可以，周围买东西吃饭都很方便，附近有世纪联华适合一个人出差或者情侣去住。酒店卫生还不错，酒店人员也很客气。', '短评打分': 5}
{'短评内容': '布丁的房间不大.但是这个大床房B还是不错的.就是里面的电脑是坏的.不过有4G网络.自己的笔记本就可以用.', '短评打分': 5}
{'短评内容': '干净简洁前台服务超好的', '短评打分': 3}
{'短评内容': '又小又贵，早上很吵，边上饭店油烟味很重，再也不会去了', '短评打分': 1}
{'短评内容': '房间太小了，设施不够人性化，可以放东西的地方和空间几乎没有，就一个浴室、一个床、一个小桌台，不适合出差、旅游的人住。如果只是睡觉一个晚上，那就无所谓。', '短评打分': 1}
{'短评内容': '空气很好，窗户外是公园，下雨天的话就很潮湿，窗户太小，适合秋天来住；房间太小了，就一个床和一个浴室，10平方！可以放置东西的地方也太少了！卫生倒是蛮干净的。隔音效果不好。价格还行吧，但是周末住就不值了·', '短评打分': 1}
{'短评内容': '这个房间挺小的', '短评打分': 3}
{'短评内容': '离西湖略远，酒店服务挺好的，可以叫外卖很贴心。只是环保酒店什么都要自己买，还不方便送到房间···', '短评打分': 1}
{'短评内容': '第一次入住，开房间时，房间还没有收拾好，后来前台说免费升级了一下。换了一个。\n总体来说房间超级小，但卫生干净，没有异味。没有洗漱用品只有毛巾和纸巾，其他一定要记得自带。\n该酒店还能停车，这点儿也方便的。\n\n', '短评打分': 5}
{'短评内容': '是我住过的最好的布丁', '短评打分': 3}
{'短评内容': '还好挺小的就是', '短评打分': 3}
{'短评内容': '房间整洁干净，就是气味有点重。', '短评打分': 3}
{'短评内容': '房间很干净很温馨，服务员也很甜美，但是房间太小了', '短评打分': 5}
{'短评内容': '感觉很不错~前台很有礼貌~下次会考虑再次入住', '短评打分': 5}
{'短评内容': '离武林广场有点距离，但是离得不是很远，因为连锁店太多，所以不太好找。环境还可以，就是屋里面能用的少了点，不太方便，还算比较干净', '短评打分': 3}
{'短评内容': '下回还会去的，虽然小，但是温馨，就是厕所没有门，会很尴尬。希望能按上门。环境特别干净，一看就是用心弄过，下回来杭州还是会去住的！位置也不错，交通便利。24小时热水很赞', '短评打分': 5}
{'短评内容': '住下了，该店简约实慧，这样的经营理念值得提倡。', '短评打分': 3}
{'短评内容': '房间那叫一个小啊  就有一张床的位置 太窄了 而且隔音效果也不好 ', '短评打分': 1}
{'短评内容': '酒店总的感觉还好，总台服务人员很客气，卫生条件也不错，冬天开着空调还是蛮暖和（面积比较少）！', '短评打分': 5}
{'短评内容': '这里感觉不错物超所值', '短评打分': 3}
{'短评内容': '客房太小，不过很干净，挺舒服，不过网络太差，卡半天。', '短评打分': 5}
{'短评内容': '性价比不错，位置不错，空间虽小但不闷，平时去转的话修休息足够了。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '房太小', '短评打分': 3}
{'短评内容': '虽然小但是听温馨的，个人很喜欢房间里的装饰，还有工作人员的服务态度很好呢。如果以后再去还会选择。', '短评打分': 5}
{'短评内容': '还不错的，第二次去住了，房间还是有点小，不过干净倒是蛮干净的，有些洗漱的东西不提供也没什么的，因为我们从来也不用酒店里的东西，价格也还可以的！', '短评打分': 5}
{'短评内容': '房间总体感觉较温馨,也很安静。卫生也挺好的,适合年轻人居住。下次再考虑住布丁。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间实在是太小，入住后才知道为啥叫布丁了，住过的酒店里这个算是最小的。不过要是可以忍受狭窄空间的话，倒是蛮舒服的。。', '短评打分': 5}
{'短评内容': '我最大的感受就是房间真的太小了，果然是温馨大床房啊，一个人都都要侧着身子，是够温馨的了！不过厕所什么的很干净，就是没有门不好，厕所没有门真的很怪异啦！另外的话，床上什么的还算干净了，只是枕头下面的床单有污渍，下次要注意。像什么洗漱用品什么的要自带这个我没什么意见，反正偶也从来不用酒店配的东西的。。总体来说对得起这个价格了，还不错的', '短评打分': 5}
{'短评内容': '当天到了酒店已经快一点了，前台的妹纸态度还是很好~还给免费升了房，房间很干净~', '短评打分': 5}
{'短评内容': '夏天是旅游旺季  价格有上涨....房间一般大', '短评打分': 5}
{'短评内容': '房间有点窄，性价比也算可以。有窗，隔音还行。', '短评打分': 5}
{'短评内容': '好小，地点还可以，出去左转就有公交车站，性价比不算高，适合学生', '短评打分': 1}
{'短评内容': '布丁么。虽然很小。但是很温馨。其他的都很好', '短评打分': 5}
{'短评内容': '酒店还可以，只是房间有点小，可以的话大一点就更好', '短评打分': 5}
{'短评内容': '小小小的一间。前台处看起来特别温馨。房间稍显拥挤。不过只是为了暂住一下 倒也不失为一个选择。', '短评打分': 5}
{'短评内容': '很精致的房间   虽然很小   但是很不错哦\n', '短评打分': 5}
{'短评内容': '房小，服务态度挺好', '短评打分': 3}
{'短评内容': '实在太小  穷学生只能住这样的了啊 网好慢', '短评打分': 1}
{'短评内容': ' 哎哟。不错哦。', '短评打分': 3}
{'短评内容': '房间小，卫生还可以，地段比较方便，周围吃饭比较方便，有小吃', '短评打分': 5}
{'短评内容': '确实很小，但是麻雀虽小，五脏俱全。\n挺方便的，适合只有一些小钱的人出行\n只是，石家庄好像没有布丁啊', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '酒店的位置太偏，从杭州汽车站坐车到酒店坐了一个多小时，又找了很久。周边环境也不太好，最最重要的是，随便去个景点，都得一个多小时的车程，很不方便。大家如果是要游西湖或其它景点，都挺远的。房间小就不必说了，第一次住布丁，很是失望，房间里只容得下一张床，四面不透气，空气也不好。', '短评打分': 1}
{'短评内容': '酒店很小，没有洗簌用品。而且价格也不便宜', '短评打分': 1}
{'短评内容': '很温馨，但房间太小了,吹风机一楼才一个，太不方便了，别的都满意', '短评打分': 5}
{'短评内容': '房间小了点', '短评打分': 3}
{'短评内容': '整个酒店很可爱，房间很迷你。附近也很热闹。', '短评打分': 3}
{'短评内容': '房间太小，东西又没有多少，这个价格，并没有觉得多好', '短评打分': 1}
{'短评内容': '房间有点小，环境还不错', '短评打分': 3}
{'短评内容': '房间较小，但很干净，在一个院子里，很安静。附近吃饭方便，出旅馆右转有46路到六公园。', '短评打分': 3}
{'短评内容': '地方太小了，服务还可以，性价比相对来说不是太好', '短评打分': 1}
{'短评内容': '你绝对想不到它有多小！！', '短评打分': 3}
{'短评内容': '房间小，设施少，住起来很不方便，下次还是选好一点的', '短评打分': 1}
{'短评内容': '布丁酒店西湖文化广场店位于朝辉五区附近，旁边有世纪联华超市，购物方便。还有30路等多路公交车，房间也很干净。', '短评打分': 5}
{'短评内容': '优点：装修的色调不错，橘色配白很温馨；\n     服务态度不错；\n     分布的地点比较合理，旅游区和居民区都有；\n缺点：房间的隔音效果不是很理想，流水声很明显；\n     网速非常非常慢……\n     ', '短评打分': 5}
{'短评内容': '一般般 离西湖也蛮远  离火车城战18块钱  而且周六入住 涨价厉害，没有日用品提供', '短评打分': 5}
{'短评内容': '确实很不错，旁边有吃的也很方便，很小很精致，适合一个人住', '短评打分': 5}
{'短评内容': '服务热情，很棒！卫生挺好的，小窗对着河流杨柳，呵呵。提醒其他朋友，虽然一次性用品不免费提供，但是忘记携带还是可以在酒店买到的，一元一件呦。提供的拖鞋一次性的，不大好，太小了，男生用不了。', '短评打分': 5}
{'短评内容': '温馨大床房真的很“温馨”啊，整个屋子就只有一张床了，实在太小。毛巾和键盘上都有血渍，恶心死了，还有蚊子。睡觉前要捉蚊子。服务态度到还可以。', '短评打分': 1}
{'短评内容': '那么那么小，五一还涨价涨得那么厉害，本来上次住感觉不错，这次感觉很不值', '短评打分': 1}
{'短评内容': '大床A，没有电脑？', '短评打分': 3}
{'短评内容': '整个店充满了活力，很温馨的感觉，就是房间太小了', '短评打分': 5}
{'短评内容': '房间的确很布丁，但是设计的很温馨~唯一的缺点就是洗手间没有门 这个有点尴尬~', '短评打分': 5}
{'短评内容': '服务态度好，房间干净，但单间空间少，无牙刷，牙膏。', '短评打分': 5}
{'短评内容': '除了房间小点，洗刷物品没有以外，都挺好', '短评打分': 3}
{'短评内容': '价格149，房间比较小，比较温馨，位置离西湖远', '短评打分': 1}
{'短评内容': '酒店比较干净，价位合适，就是空间太小，总的来说还是值得推荐。', '短评打分': 5}
{'短评内容': '很干净，很小。比其它酒店住着舒服。', '短评打分': 3}
{'短评内容': '好小啊', '短评打分': 3}
{'短评内容': '总体不错，就是房间不够大，空调可能有点毛病，呵呵，下次出门 还住布丁', '短评打分': 5}
{'短评内容': '第二次入住这个酒店了，女友很喜欢，房间很温馨，走道有香气，不足就是电脑不给力，最好自己带本本去。', '短评打分': 5}
{'短评内容': '乾淨，感覺很清新~~ 環境小了些，但，應用的很不錯。下次還會再考慮。', '短评打分': 5}
{'短评内容': '温馨大床房真的好小啊，上网网速一般，其他还可以', '短评打分': 5}
{'短评内容': '房间很【便宜，但是进房间之后还是没想到比传说中的还小。服务很好。性价比高', '短评打分': 5}
{'短评内容': '房间挺温馨的，布置也还OK。主要是地理位置和价格很好，下次再考虑入住。', '短评打分': 5}
{'短评内容': '优点：连锁酒店，让人放心；价格便宜，88一晚，虽然是特价房\n缺点：由于是特价房，房间实在太小；没有电视；没有洗浴用品\n总之，对得起价格吧', '短评打分': 5}
{'短评内容': '经常住布丁，感觉还是不错的。', '短评打分': 3}
{'短评内容': '布丁就这样吧，随便住住可以，不能住太久，否则会有密闭综合症', '短评打分': 5}
{'短评内容': '依旧的简洁精致，麻雀虽小，五脏俱全，非常地不错！', '短评打分': 5}
{'短评内容': '离公交车站很近 酒店虽小但装修的很可爱 标间不错 \nbtw 旁边的永乐坊很好吃', '短评打分': 5}
{'短评内容': '布丁连锁，地理位置好，设施齐全，但房间偏小', '短评打分': 5}
{'短评内容': '店很不错~很环保很干净~周边交通也不错~', '短评打分': 5}
{'短评内容': '经济出游的好选择  价格和服务还是相称的  赞', '短评打分': 5}
{'短评内容': '虽然房间小了点 但该有的都有 一个人住 挺舒服的      麻雀虽小 五脏俱全  ', '短评打分': 5}
{'短评内容': '首先我想告诉大家，如果要从火车南站过来的话，要转车，反正我是花了4+2元，坐（好吧，是站）了一个半小时。\n但是我感觉环境是不错的。很干净。交通也很方便（当然，是除了到杭州南站）。', '短评打分': 5}
{'短评内容': '还好了，出了小还是小，不过服务什么的都还好', '短评打分': 5}
{'短评内容': '很不错的酒店，环境安静，房间感觉很不错，价格实惠', '短评打分': 5}
{'短评内容': '小巧玲珑，低碳环保，干净舒适，服务规范。但隔音差,电脑配置太低上网超慢，只好用自己的手提。\n', '短评打分': 5}
{'短评内容': '小巧玲珑，低碳环保，干净舒适，服务规范。但隔音差,电脑配置太低上网超慢，只好用自己的手提。', '短评打分': 5}
{'短评内容': '小巧玲珑，低碳环保，干净舒适，服务规范。但隔音稍差，电视频道太少，图像不太清晰。', '短评打分': 5}
{'短评内容': '西湖文化广场店挺干净的，不大，但很精致，值得推荐！', '短评打分': 5}
{'短评内容': '要住的住套房 其他房型个人觉得太小了。。。。。。 不过套房还不错', '短评打分': 5}
{'短评内容': ' 还不错，挺实惠的。', '短评打分': 3}
{'短评内容': '房间太小，服务不好，洗漱用品不提供也不提前通知，到店了在通知已经很晚了，很失望', '短评打分': 1}
{'短评内容': '这家酒店确实不大好找，第一次到杭州来。从武林广场还是打车过来的，折腾了好久才找到该酒店，房间是细长型的。坐在马桶上方便，头都会碰到墙壁。没有电视，有个电脑，不过网速超级慢，还不如有电视呢。房间很小，适合一个人居住！！', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全...挺不错的一家酒店...', '短评打分': 5}
{'短评内容': '很卫生很个性，比较喜欢', '短评打分': 3}
{'短评内容': '第二次入住了，很不错！交通也很方便的说，以后会继续支持的', '短评打分': 5}
{'短评内容': '不提供牙刷、牙膏之类，整体感觉还可以，就是到周末就涨价，晕', '短评打分': 5}
{'短评内容': '总体说来还是很推荐的。干净、卫生，床也很舒适.虽然之前有看大家的评论说隔音效果不是很好。确实如此，但是可能我的运气比较好吧，没有听到什么尴尬的声音。只是偶尔有听见隔壁出门的声音。只是，不提供一次性洗漱用具哦，这一点其实蛮好的，只是我好像没有看到酒店网页上的提醒，所以到了之后还得再买，要不然就自己带了。', '短评打分': 5}
{'短评内容': '酒店设施齐全，有电脑，服务人员态度好，以后有机会还会选择布丁酒店。', '短评打分': 5}
{'短评内容': '性价比还是不错的，就是涮牙和喝水没玻璃杯不方便，用一次性的就不环保了。如果房间里是地毯，就会显得更温馨．第一次入住，还是满意的，不过，不适合商务，如果一楼能有商务会客的场所就更完美了．', '短评打分': 5}
{'短评内容': '房间非常小  很迷你   不过装修很有特色   空调很暖和   感觉一个人住的画很舒服', '短评打分': 5}
{'短评内容': '位置好，交通也可以\n就是房间小小的，北方大汉就要三思而行', '短评打分': 5}
{'短评内容': '新装修，干净，时尚，简洁，不错，可以推荐给朋友，不过希望卫生间有门，里面添加毛巾架', '短评打分': 5}
{'短评内容': '布丁酒店其实都挺不错的，这家店工作人员多数都挺热情，希望相互学习，不要因为个别影响整体。\n', '短评打分': 5}
{'短评内容': '布丁的风格很适合年轻人  我很喜欢  比较环保 提倡客人自己带洗淑用品 价格也很实惠\n', '短评打分': 5}
{'短评内容': '    房间不大，大概不到十平方，洗漱用品都要自带，没电视，只有电脑。一个人住住是够了，难得就是价格相对较低。。。。', '短评打分': 5}
{'短评内容': '房间很紧凑，10平方米，但是很温馨，很干净，', '短评打分': 5}
{'短评内容': '1. 酒店位置有点偏，门面不显眼，出租车司机开过了，差点没找到。不过交通还是挺方便的，出门就有公交站台。我到西湖也很方便。\n2. 大厅和走廊装修都很有特色，壁画活泼，充满了青春洋溢的感觉。\n3. 房间很小，我住的特价房，大约10平米，卫生间大约5平米。\n4. 房内没电视，但有电脑能上网。有窗户，窗帘很可爱。有空调，因为房间小，所以启动很快。\n5. 热水很方便，但没有牙刷牙膏梳子洗发膏沐浴露，可以自', '短评打分': 5}
{'短评内容': '挺好的，满意', '短评打分': 3}
{'短评内容': '房间太小了，有些压抑，交通还可以，价格也没有其他的布丁更实惠', '短评打分': 1}
{'短评内容': '房间实在是太小了，9平方，是在是没有概念了我，好在房间挺干净，挺温馨的，这事唯一的优点了', '短评打分': 1}
{'短评内容': '酒店不错，就是房间太小了。性价比一般，离西湖很近', '短评打分': 5}
{'短评内容': '第一次住布丁酒店，总体干净一般，房间还算干净，就是太小了，没有洗漱用品', '短评打分': 5}
{'短评内容': '虽然有点小，但一个人住还是很舒服的。\n酒店服务态度很好', '短评打分': 5}
{'短评内容': '还可以，没有前台叫醒服务。。。位置有点难找。停车场太小了点。。。房间是长方形的。不过也算对得起这个价格', '短评打分': 1}
{'短评内容': '还行,就是房间比我想的小了点', '短评打分': 3}
{'短评内容': '酒店环境还可以，房间较小，靠窗的房间隔音效果不好。自备洗具！', '短评打分': 1}
{'短评内容': '177的房间和95的没有任何区别。所以，我根本不明白他们家的房间有什么区别....', '短评打分': 1}
{'短评内容': '希望有杯子和牙刷这些简单东西，其他都很满意', '短评打分': 5}
{'短评内容': '隔音效果较差，但是交通还是挺便利的，酒店附近也有很多美食', '短评打分': 5}
{'短评内容': '環境還好 很干凈的 服務也比較熱情 就是停車不太方便  旁邊有臺球麻將的娛樂場所  去玩的人占據車位  ', '短评打分': 5}
{'短评内容': '这个酒店，我就不想说什么了，口口说是绿色酒店，不提供一切洗漱用品，购买的还都是一次性的，而且酒店居然不提供浴巾，真不知道怎么想的。更为可气的是，晚上电话给服务员索要毛巾，居然说，服务员下班了。你开的是酒店还是饭店。座位住宿的客人，需要什么，应该是贵酒店满足客户的需求把，索要一条毛巾，费死劲。住了这么多年的酒店第一次遇见这样的。', '短评打分': 1}
{'短评内容': '房间干净卫生，前台服务热情，只是空间有些小，但是一个人入住也足够了。', '短评打分': 5}
{'短评内容': '房间小但确实很干净整洁，值得一住。这个价格便宜。', '短评打分': 3}
{'短评内容': '干净卫生，单间的空间虽小，不过五脏俱全，还有宽带网络上网，很不错，色调挺温馨的。不过不提供洗簌用品，不过酒店的大厅有自动售货机，晕了，干嘛不直接免费提供呢，大家还都是下去投硬币买哦。下次有机会住个双人间，估计会更好吧，呵呵。', '短评打分': 5}
{'短评内容': '虽然房间小了些，好在够可爱够温馨，唯一的不便是没有水杯，被告知1元4个前台买…', '短评打分': 3}
{'短评内容': '挺满意的、房间里面环境很好、装饰很可爱', '短评打分': 3}
{'短评内容': '定的特惠房，房间挺小，但也住的下人。。电脑比较新，内存小，其他都挺好，性价比还不错', '短评打分': 3}
{'短评内容': '总的来说，服务较好，环境也较安静，价格也不高', '短评打分': 5}
{'短评内容': '性价比还行，各方面都过得去.中规中矩，门口的饭店还是那么不错', '短评打分': 5}
{'短评内容': '布丁酒店干净整洁，温馨感觉！就是浴室排水不畅，没有提供水杯略感不便！', '短评打分': 5}
{'短评内容': '比较干净，卫生可以，前台接待的几个女小布丁友好友善，热情有礼貌，可爱可敬。房间内卫生间隔潮不好。卫生间密封的，靠抽风机排潮，抽风机开关与灯开关合一，关灯就得关抽风机，开了抽风机也得开灯，开灯睡不好觉，卫生间与房间用毛玻璃隔开，不遮光。', '短评打分': 3}
{'短评内容': '第一次听说这个酒店，客房部服务员下班，住了N年的酒店，这个叫什么布丁酒店的真是深深的给我上了一个。美其名曰环保酒店，却使用者N多一次性的产品。这叫环保吗？一次性的洗漱喝水杯子，一次性的牙具，一次性的洗头膏和一次性的沐浴露。这就是布丁酒店的环保措施，这就是低碳行为。', '短评打分': 3}
{'短评内容': '入驻酒店这么多年，从来没有遇见洗漱用品需要在服务台购买，酒店里面没有浴巾。多拿一条毛巾都不行，这样的酒店咋生存的，极度的怀疑。酒店的电脑桌配置的椅子连带靠背的都没有。垃圾中的垃圾，强烈的不推荐用户入驻。', '短评打分': 5}
{'短评内容': '还是不错的小空间，电脑希望可以更换的再好点，有点慢的', '短评打分': 5}
{'短评内容': '房间紧凑，卫生枫也关，面在房内，抽风机开关和灯同一开关，关灯抽风房内潮拉！隔音差。', '短评打分': 5}
{'短评内容': '那么小的房间，这个价位实在不敢恭维。\r\n\r\n', '短评打分': 1}
{'短评内容': '连个水杯都没，也不至于环保到这个程度吧，难道让人用手接水喝吗', '短评打分': 1}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '话不多说 非常好  交通便利 环境舒适 价格便宜', '短评打分': 5}
{'短评内容': '房间小，但很干净，性价比高，适合背包客及对房间大小不敏感的客人。', '短评打分': 5}
{'短评内容': '位置不错，服务和卫生也不错，房间挺大。设施一般，电视比较久了，没有欧式转换插座，水货手机充电会不方便。', '短评打分': 5}
{'短评内容': '非常干净整洁的酒店。陈设与色彩搭配十分有特色。地理位置也不错。另外前台免费提供电脑供客人使用，店员服务态度也不错。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '这个宾馆太烂了！洗漱用品还要另买不说，窗子那么小还没有纱窗，住了一晚上把孩子的脸咬的都没法照相了，可怜死了；而且连浴巾都没有，', '短评打分': 5}
{'短评内容': '小小的房间窗开着就肯定有虫 最怕虫了！不过没虫的宾馆肯定也没的  我也是环保支持者  可刷牙玻璃杯总该有个吧  性价比和装潢还是不错', '短评打分': 5}
{'短评内容': '装饰不错，就是房间太小，感觉性价比就不是很高了', '短评打分': 5}
{'短评内容': '服务好，热水壶坏了还特地给换了一个。环境好。', '短评打分': 5}
{'短评内容': '房间还算是比较大的,主要是卫生条件好一些,室内设施都是挺新的,给我感觉还不错.', '短评打分': 5}
{'短评内容': '位置好,就在市中心位置交通出行很方便.酒店环境优雅.简洁大方.性价比很高.', '短评打分': 5}
{'短评内容': '从酒店出门步行到西湖文化广场大概10分钟左右.还是比较近的,房间嘛比较小巧紧凑一些，没有一次性洗漱用品.', '短评打分': 5}
{'短评内容': '酒店支持环保,洗漱用品需自带,室内各方面都挺到位的,就是洗手间空间小了些,其它各方面都不错.', '短评打分': 5}
{'短评内容': '地理位置不错.周边用餐的地点也是挺多的,服务也不错.综合来讲还算可以.', '短评打分': 5}
{'短评内容': '位置不错,距离城站挺近的,而且交通便利.室内的装修很有特色,适合年轻人入住.', '短评打分': 5}
{'短评内容': '+位置挺好，周围有很多吃的，就是房间太小，只有一张床', '短评打分': 5}
{'短评内容': '房间虽然小了些,不过里面的装修风格我很喜欢.酒店支持环保,洗漱用品需要自理,这点都可以理解,服务也还都不错,我很喜欢这里.', '短评打分': 5}
{'短评内容': '酒店周边环境不错,挺幽静的.而且距离景区也不算太远,因为旅游时节.西湖边的酒店很难订得到,不过家酒店条件也不错.', '短评打分': 5}
{'短评内容': '酒店价格还可以,挺便宜的,不过距离景区还是远了点,不过交通还可以.卫生条件还好.', '短评打分': 5}
{'短评内容': '酒店装修很温暖,而且服务也热情,入住这里酒店都会为我们准备一些旅游资料供我们查阅很方便.这点很周到.', '短评打分': 5}
