{'短评内容': '不错。就是在装修有点灰尘和凌乱感。', '短评打分': 5}
{'短评内容': '都挺好的\n\n就是地图上的距离不太标准\n\n比预计的要远很多', '短评打分': 5}
{'短评内容': '不错，很简洁', '短评打分': 3}
{'短评内容': '还不错，环境交通方便，离地铁近，房间也比较大。', '短评打分': 5}
{'短评内容': '交通便利，干净。', '短评打分': 3}
{'短评内容': '交通便利。', '短评打分': 3}
{'短评内容': '住了几天，感觉就好多了，可惜不能洗衣服。', '短评打分': 5}
{'短评内容': '住豪华套间，还好。但比较杯具的是竟然很多常备东西没有，比如说火柴，对于抽烟的我来说很郁闷。另酒店不能预授权，不习惯带很多现金的商务人士麻烦了。', '短评打分': 1}
{'短评内容': '一个比较典型的老酒店，很有旅游酒店的感觉，房间设施简单，就那种满足晚上睡一觉的酒店，不能抱太多的期望，而且不能提供洗衣服务，不太适合商务住宿，虽然离电脑城很近，也就这一点点优势了。', '短评打分': 5}
{'短评内容': '华西宾馆的房间宽敞，但卫生间设施年久失修了。崔京河', '短评打分': 3}
{'短评内容': '基本还好。服务态度也不错。就是卫浴的水总流到地面上，不太方便', '短评打分': 5}
{'短评内容': '适合商务', '短评打分': 3}
{'短评内容': '地段比较繁华。\n卧室的配置不错。\n窗很大。液晶电视，频道也不少。\n卫浴水会流到地面上。', '短评打分': 5}
{'短评内容': '服务非常差，设施陈旧，此次入住非常不愉快。', '短评打分': 1}
{'短评内容': '位置不错，性价比还可，地铁口很近，设施有点陈旧', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '设施比较一般但是住着还算不错，态度也可以，位置非常好，价格还是可以接受。', '短评打分': 5}
{'短评内容': '刚刚在华西酒店住了两天，我总的感觉是还行！网上的评价都很准确。酒店是个老酒店，但维护的尚可，服务也行，早餐一般，有停车场。但有几个个不方便的地方：一是不能刷信用卡的预授权，二是停车场的进口不好找，三是门口不能停车，四是餐厅服务最好能再提高一点。', '短评打分': 5}
{'短评内容': '环境不错，就是洗澡水较小，房间用品配备较少。地理位置方便，交通便利。', '短评打分': 5}
{'短评内容': '还不错，位置很好，在人民南路电脑城附近。家具有点旧，但是窗扇用品很干净。', '短评打分': 5}
{'短评内容': '适合商务，交通便利', '短评打分': 3}
{'短评内容': '只能说一般般吧。\n这个价位的房间只能这样了。\n', '短评打分': 1}
{'短评内容': '味道很大 应该不会再去住了吧\n一般般的酒店\n', '短评打分': 5}
{'短评内容': '地理位置是不错 可是硬件设施真的不敢苟同\r\n睡觉的被子有潮味', '短评打分': 3}
{'短评内容': '很潮湿 空调很旧 \r\n定的房间住完 续房费的时候还要涨价。\r\n', '短评打分': 1}
{'短评内容': '还好，城中心，到电脑城很方便，紧邻人民南路。。', '短评打分': 5}
{'短评内容': '我住的是商务标间太旧了，早餐还可以', '短评打分': 5}
{'短评内容': '还不错哦，离省体育馆位置比较近，位置很好', '短评打分': 5}
{'短评内容': '华西宾馆地理位置不错，大堂比较高敞，房间设施旧,毛巾灰色，马桶水小', '短评打分': 5}
{'短评内容': '空气很差', '短评打分': 5}
{'短评内容': '除了位置方便不怎样 脏脏旧旧 不会考虑下次入住', '短评打分': 3}
{'短评内容': '这个就是一招待所级别，华西、华西，招待所中的战斗机！', '短评打分': 1}
{'短评内容': '很不错的呢，交通也很方便的。附近就有个超市，方便买些东西。去锦里坐公交车也是很方便的\r\n', '短评打分': 5}
{'短评内容': '一进房间，便有很大的异味扑鼻而来，房间气味不好，不知道什么原因', '短评打分': 1}
{'短评内容': '标间没有重新装修 新装修的大床房值得入住 地段不错 但是服务一般', '短评打分': 3}
{'短评内容': '一切都还可以 地理位置真的很好 但晚上附近米有小吃店 ', '短评打分': 5}
{'短评内容': '房间有些小，卫生打扫一般。\r\n优点是位置不错。离省体育馆很近，旁边又是数码广场，比较方便。', '短评打分': 5}
{'短评内容': '老宾馆 地毯脏脏旧旧 空调嗡嗡叫唤 位置还算不错 到哪里都还算方便 不过如果路口的玉林宾馆没拆掉的话 肯定还是会住那里 这个宾馆该重新装修一下啦', '短评打分': 1}
{'短评内容': '设施陈旧，服务死板。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '华西宾馆交通比较便利，配套设施比较不错，自助早餐非常好，下次出差还来这.', '短评打分': 5}
{'短评内容': '与同类型的宾馆比价格偏贵，卫生环境比较差，我住进去的时候还能看见灰尘。唯一优点离体育馆比较近', '短评打分': 1}
{'短评内容': '房间有一股恶臭味,换了2个房间好一点.地理位置不错.', '短评打分': 3}
{'短评内容': '房间里有一股刺鼻的臭味,换了2次,稍微好点', '短评打分': 1}
{'短评内容': '条件很差', '短评打分': 1}
{'短评内容': '区位优势不错~超市和药房就在对见面毗邻商业街。就是设施有些陈旧，总体还不错吧~~', '短评打分': 5}
{'短评内容': '唯一的优势就是在华西医科大附近，省体育馆附近，房间老旧，还有味道，有电脑，但是不太好上网。', '短评打分': 1}
{'短评内容': '条件还可以，但热水不够热，淋浴头出水的质量也一般，前台小妹服务比不上锦江之星，甚至比不上安逸158这样的经济型酒店', '短评打分': 3}
{'短评内容': '性价比高,地理位置很好', '短评打分': 5}
{'短评内容': '附近在修地铁，交通不是便利，房间隔音效果也有点欠缺，别的都还好，价格优惠，服务也不错', '短评打分': 3}
{'短评内容': '我觉得这家酒店最大的优点是位置还不错，环境一般，房间里光线不太好，淋浴不行', '短评打分': 3}
{'短评内容': '酒店卫生还可以干净,设施也很完善,地理位置不错很方便,服务热情周到,就是早餐这块,不让打包带走,只能在酒店用餐,这点不太满意,希望改进.', '短评打分': 3}
{'短评内容': '酒店卫生很差，酒店硬件设施比较陈旧了，建成时间太早了，服务还可以，就是硬件配置太差了不值得推荐入住。', '短评打分': 3}
{'短评内容': '成都适合休闲的城市！', '短评打分': 5}
{'短评内容': '感觉酒店还不错，干净整洁，服务也很周到，而且价格也不算贵，值得推荐', '短评打分': 5}
{'短评内容': '总的来说贵了一点，而且房间设施显得简陋一些', '短评打分': 1}
{'短评内容': '酒店从服务环境，到硬件设施都是比较一般的，主要就是他不在市中心，不是很方便。', '短评打分': 1}
{'短评内容': '酒店的服务不太好，服务员态度很冷漠，卫生方面也很一般，不过就是位置很好，出行很方便', '短评打分': 5}
{'短评内容': '晚上会有小姐电话“保健按摩”服务，对于正派人士，比较烦人。', '短评打分': 3}
{'短评内容': '此宾馆与他的宣传不符,差距太远,通过艺网预订,我6月21日住了一天,无停车场,所谓免费市内电话是坏的,豪华标间并不是网上说的2006年装修的图片,房间及家居破烂不堪,小虫子太多,我问宾馆服务员为什么网上宣传给实际情况差距这么大,她们说我们自己要信网上的,我们只能大呼上当!!', '短评打分': 3}
