{'短评内容': '酒店服务很好，周边环境在修路稍差', '短评打分': 5}
{'短评内容': '干净整洁，停车方便，只是没有像其他5星酒店下午提供水果，酒水之类的服务。', '短评打分': 5}
{'短评内容': '不错。就是房间里味道挺大的................', '短评打分': 5}
{'短评内容': ' 洒店内装修气味较大，走廊大于房间，感觉不舒适。大堂接待热情，游泳池还不能使用，有点失望。马桶盖不错，有加热。', '短评打分': 3}
{'短评内容': '连续预定两个房间，总体ok•，不过感觉喜来登到了三线城市服务水准就下降一个等级！喜欢好好改进服务，细节做到位', '短评打分': 5}
{'短评内容': '酒店属于新建，总体还可以，我们订了套房！环境设施ok！不过不足有几点：\n一，大堂有游客抽烟没有人制止！\n二我们入住房间浴室门设置不合理，本来淋浴间很小，浴室门还往里推，身体还斜的进去。\n三浴室的水漫出来居然往主卧渗水，显然地平铺设不合理。\n四由于新建泳池没开放！', '短评打分': 5}
{'短评内容': '酒店很不错，位置有点偏，房间干净，环境好，很方便', '短评打分': 5}
{'短评内容': '作为喜来登的会员是入住到现在最差的一个酒店，入住酒店豪华套房金额2568元/晚、大堂接待还算热情，但软件服务和配套还差强人意，首先酒店还有装修异味只能开窗睡觉考虑到刚开业不久也可以忍受，入住后手机和ipad由于是港版充电器请服务生提供个多功能转换插座这种常规要求竟然也没有，大人孩子入睡后服务员竟然不敲门以检查安全为由直接闯了进来，睡觉所盖被子有明显异味，第二天起床后夫人皮肤过敏好几天，可能是入住人', '短评打分': 1}
{'短评内容': '定的房间多，再点评一次。\n房间的味道是指新酒店的味道，有微量甲醛味。（新酒店通病）\n还是就是希望尽快安装调试好境外电视频道。\n', '短评打分': 5}
{'短评内容': '刚开业，性价比很高。\n就是房间有味道，没有清理干净。\n喜来登的品牌价值和可信度还是很高的。', '短评打分': 5}
{'短评内容': '新酒店，服务不错，内部装饰有特点。在扬州新区，离高速公路比较近。', '短评打分': 5}
