{'短评内容': '很不错的选择，方便。', '短评打分': 5}
{'短评内容': '交通便利，服务还可以，有餐饮选择，卫生条件好。', '短评打分': 5}
{'短评内容': '很不错吧， 不过有时候可以听到叫床的声音', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地点还不错，离轻轨都很近，就是218元的房型太烂了，明显是168元的房型，不值这价钱', '短评打分': 5}
{'短评内容': '4好', '短评打分': 3}
{'短评内容': '酒店位置超好找，交通很方便，就是特价房简单点，不过还能接受', '短评打分': 3}
{'短评内容': '我觉得挺干净挺舒适，电视网络等设施都有，价格也挺合理，住的挺划算。', '短评打分': 5}
{'短评内容': '  不错', '短评打分': 3}
{'短评内容': '实在太差了，还有蟑螂乱跑，没有停车场，床单脏的发黑，除了价格不算贵，好像没有什么优点', '短评打分': 1}
{'短评内容': '还行，离七浦批发市场就5分钟的路程。很方便', '短评打分': 5}
{'短评内容': '小了点，服务态度一般，一楼不能住，又暗又湿，这家酒店位置比较好，靠近七浦路。', '短评打分': 1}
{'短评内容': '房间太小,总体可以。', '短评打分': 3}
{'短评内容': '没有以前好。今后不会再住这家。硬件还没有周边城市的好。', '短评打分': 1}
{'短评内容': '天目东路店没窗户，内饰太暗，需改变色彩。朱富林', '短评打分': 3}
{'短评内容': '莫泰么大家都知道的，这家店还是比较新的，房间还可以，朝窗户的感觉很好，房间也比较大，很温馨的紫色，就是有点暗。不过我要说的是，这次去住的服务很差，中午要求打扫房间，到了晚上都没弄好，后又关照过了一次，结果两个小时候还是没弄好，搞到半夜才打扫的，真不知道如果半夜没人了叫人怎么住。火大', '短评打分': 5}
{'短评内容': '这家酒店装修有点老，我预定的是大床房，进去一看只不过是两张床垫拼接在一起的，而且2个垫子不一样高，好像是8503（5楼），希望有待改进！', '短评打分': 5}
{'短评内容': '前台服务较差，服务员服务更差，厕所卫生纸就一点点，上完厕所用光了了，和服务员要，跟我说上午刚入住的，只给1卷，最厉害叨叨个不停房间又小又暗，信价比较差', '短评打分': 1}
{'短评内容': '不错的商务酒店，朋友住的比较舒心。希望有机会再来入住。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '基本可以。浴室没热水，只能冷水将就。基本可以。浴室没热水，只能冷水将就。房间不通风', '短评打分': 5}
{'短评内容': '酒店一般就是交通方便', '短评打分': 3}
{'短评内容': '离火车站不远，打车起步价，隔音效果不太好，房间小了点。', '短评打分': 5}
{'短评内容': '方便，离火车站不远，房间小了点，隔音效果不太好。', '短评打分': 5}
{'短评内容': '酒店很好，很舒服', '短评打分': 3}
{'短评内容': '  环境挺好  交通也很便利  下次还会来说', '短评打分': 3}
{'短评内容': '特价大床房，房间在一楼，感觉很压抑，像住在地下室一样，空气感觉不是很好，其他都还行。', '短评打分': 5}
{'短评内容': 'ok。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'ok的，就是价格高了。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间有点小，一层餐厅比较方便，晚上会来的晚，22点前供餐。', '短评打分': 5}
{'短评内容': '第二次住了，就是前台服务太差，送早餐券也没有提醒说早上到柜台拿券', '短评打分': 3}
{'短评内容': '酒店卫生一般，离办事地点很近，由于世博，房价涨的太多。', '短评打分': 1}
{'短评内容': '除了店员服务差异外其余都很好，而且离地铁宝山路站很近', '短评打分': 5}
{'短评内容': '房间卫生，服务态度好，推荐，地理位置还不错，挺好', '短评打分': 5}
{'短评内容': '位置不错离新七浦比较近，就是床太小了，商务间都这么小', '短评打分': 5}
{'短评内容': '地理位置刚好符合自己的要求，价位在连锁的酒店里，相对来说便宜些。', '短评打分': 5}
{'短评内容': '房间很陈旧，墙上全是斑点，房间也很小，交通比较方便', '短评打分': 3}
{'短评内容': '还行~出行挺方便的~但床又小又硬~一晚上没睡踏实~可能是因为双床房都这样的吧~', '短评打分': 5}
{'短评内容': '没有地方放东西.没有架子,没有衣柜. 离七浦路人民广场都很近. 房间内的地毯很脏.卫生间很小.', '短评打分': 3}
{'短评内容': '设施：很陈旧，房间很压抑，很小，房间的墙壁基本上全部都是霉斑，给人感觉是很脏的。', '短评打分': 1}
{'短评内容': '临时订的酒店，开始说订好了，一会说没有房，换了地方一会来电话说又没有房，差点没有气死！后来打电话说原来订的莫泰又有房了，哎！来了一看很失望，设施陈旧，房间也小，窗户只能开一个小缝隙，床也窄的可怜啊！', '短评打分': 1}
{'短评内容': '很不错，性价比好,世博期间，酒店很紧张，提前订', '短评打分': 5}
{'短评内容': '很一般，世博期间也不能期望太高', '短评打分': 5}
{'短评内容': '房间卫生情况不怎么样。服务台工作人员不热情。\r\n但是楼下小吃比较好吃。离七浦路比较近。', '短评打分': 5}
{'短评内容': '整体感觉还可以。', '短评打分': 5}
{'短评内容': '脏，乱，噪音，一夜无眠，投诉换来一句，我们也没有办法！', '短评打分': 1}
{'短评内容': '还可以吧/就是小了点还有点味,不太干净////', '短评打分': 3}
{'短评内容': '无论是环境  位置  设施 都没的说\r\n338和住进了五星级酒店一样，相当棒！\r\n而且我们去世博坐地铁只用了半小时\r\n去七浦路走着才用10分钟\r\n性价比真的很高！', '短评打分': 5}
{'短评内容': '距离地铁站很近，吃饭也很方便。因为带孩子看铁路博物馆，所以酒店位置优势更加的突出。', '短评打分': 5}
{'短评内容': '服务周到，性价比高。就是装修有点差，凉衣服不方便', '短评打分': 5}
{'短评内容': '房间简洁,在上海铁路局对面,上七浦市场方便,早餐样式少且贵。附近里弄有市场，买水果及吃早餐方便。', '短评打分': 5}
{'短评内容': '服务卫生都蛮好的 下次还会来', '短评打分': 3}
{'短评内容': '满舒服的~ 挺好的。卫生也不错~~\r\n\r\n\r\n\r\n\r\n', '短评打分': 3}
{'短评内容': '蛮好的~        服务也不错~         \r\n卫生也蛮好的~ 床也挺舒服的~~           ', '短评打分': 5}
{'短评内容': '性价比这不错 服务什么的都还可以  地理位置较好，去看世博比较方便', '短评打分': 5}
{'短评内容': '交通挺方便，周围都是居民区所以吃饭的地方还算多，水果也可以买到，往北走不远就有地铁3,4号线打车到南京路也就是起步价多点。但是世博期间感觉房价有点贵，不知道是不是工作人员太忙了，卫生打扫感觉有点马虎，设施也有点旧，房间挺狭隘的。在来福士还被偷了钱包所以大家来上海还是要管好自己的财务呀，亲们。', '短评打分': 5}
{'短评内容': '卫生不是很好 服务态度还可以 但是有的时候 感觉有点 不太好 交通很便利 可以坐4号线', '短评打分': 5}
{'短评内容': '地理位置方便，但是房间小，又潮湿，设施旧', '短评打分': 3}
{'短评内容': '地理位置还好，离地铁站也比较近。就是房间里有霉味，而且很潮湿~~', '短评打分': 1}
{'短评内容': '总体感觉不错，浴室稍微小了一些，不过干净程度还算可以，坐车到市中心也比较方便。', '短评打分': 5}
{'短评内容': '房间小，卫生还可以', '短评打分': 1}
{'短评内容': '不错。。', '短评打分': 3}
{'短评内容': '服务很不错。设施也可以。', '短评打分': 5}
{'短评内容': '地理位置不错，服务一般，设施旧，性价比不高。', '短评打分': 5}
{'短评内容': '地理位置不错，硬件差，卫生差，服务差，环境差，服务很落后。', '短评打分': 1}
{'短评内容': '地理位置不错，设施旧，环境不太好，服务也不算好，早餐吃的一般，和锦江之星比有一定差距。价格也不便宜，可能是世博的原因，价格都上涨。', '短评打分': 1}
{'短评内容': '硬件差，卫生差，服务差，同样的东西可以做的更精致点，服务很落后。', '短评打分': 1}
{'短评内容': '还不错，可惜现在没房了，遗憾。', '短评打分': 1}
{'短评内容': '前台服务态度不行', '短评打分': 1}
{'短评内容': '地理位置很不错.\r\n但酒店内没有冰箱,没有放东西的架子,没有衣橱... 有点不方便.\r\n不知道东西要放在哪里.\r\n住的几天不知道在装修什么,早上非常吵不能睡到中午...\r\n', '短评打分': 5}
{'短评内容': '服务还比较好，送了个免费早餐', '短评打分': 5}
{'短评内容': '位置还好~环境也不错，就是价格高了点~~呵呵', '短评打分': 5}
{'短评内容': '去七浦路比较方便，卫生条件还好，早餐种类不够丰富。', '短评打分': 3}
{'短评内容': '交通方便，离地铁，火车站近，性价比高', '短评打分': 5}
{'短评内容': '帮朋友顶的，应该还不错吧', '短评打分': 5}
{'短评内容': '也就这样吧~性价比可以~', '短评打分': 1}
{'短评内容': '卫生条件还不错，但前台有一位先生（忘记名字了，是值班经理或者是主管之类的，别人都会跟他请示）态度很不好，语气也很不委婉。有天晚上打电话去要吹风机，等了40分钟还没回音，再问，说没了。就算没了，好歹你也回个信啊！况且后来我直接找楼层服务员，就给了我一个吹风机！！！！说明之前前台那个先生根本没给我问。空调那里提示：不要放电脑之类的电器在下面，可能会滴水。  但放电脑的台子就位于空调下方！ ', '短评打分': 1}
{'短评内容': '性价比高，离火车站及地铁方便。', '短评打分': 5}
{'短评内容': '酒店总的不错，前台服务人员态度须改进！', '短评打分': 5}
{'短评内容': '环境还可以，只是窗口会漏风，天冷时会有点难过。', '短评打分': 3}
{'短评内容': '服务不错，房间设施还比较新。', '短评打分': 5}
{'短评内容': '酒店的早餐不是一般的差，早晨9点05分下楼，就仅有鸡蛋和粥，问服务员是否可以把菜再上一遍，回答是9点半就结束所以不再作了，气的我要投诉，边上2个女生也参加了抱怨，才给我们重新上了一个青菜和炒河粉。早餐标准是15元，这样的行为真是砸了招牌。', '短评打分': 1}
{'短评内容': '位置方便，性价比高', '短评打分': 3}
{'短评内容': '交通位置方便，性价比高', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通也方便。但因为沿着大马路，窗户隔音很差，所以很吵。', '短评打分': 5}
{'短评内容': '一直都住这家店，别的没什么好说，都OK，但是这回我定了一个特价房，居然给了个大床，我要的可是标间啊。。。。就这个不行', '短评打分': 5}
{'短评内容': '地理位置非常方便', '短评打分': 5}
{'短评内容': '我已经2次遇到房间不能上网了，给前台打电话，要过很长时间才能过来。一楼的早餐比“如家”差。', '短评打分': 1}
{'短评内容': '这家酒店太差啦，房间墙有掉皮；床特不舒服', '短评打分': 1}
{'短评内容': '一家普通的莫泰。\r\n入住没什么惊喜。\r\n呵呵呵，可能我要求太高了吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': 'ok\r\n', '短评打分': 5}
{'短评内容': '在闸北火车站附近，不得不住店，莫泰168天目路店是你的最佳选择。', '短评打分': 5}
{'短评内容': '住着还行', '短评打分': 5}
{'短评内容': '住之前就看了下这个酒店的评论，觉得还可以，住了之后才发现这哪里是人住的啊，房间矮得正好一人高，洗手间里墙上的涂料都脱皮了，象难民房一样，订垫上一根根弹簧都摸得一清二楚，睡着真难受，服务员态度差得一踏糊涂，房间又黑又吵，隔音效果完全没有，总的来说，是我住过最差的酒店。', '短评打分': 1}
{'短评内容': '酒店位置不错,交通也比较方便,就是靠马路的房间很吵.', '短评打分': 5}
{'短评内容': '室内有点闷了', '短评打分': 5}
{'短评内容': '总体来说还不错。交通也挺方便的。', '短评打分': 5}
{'短评内容': '交通方便，价格合理。', '短评打分': 5}
{'短评内容': '打车难', '短评打分': 5}
{'短评内容': '价格比较低，房间里的椅子只有一个，太少', '短评打分': 5}
{'短评内容': '总体感觉都还可以，之前也入住过，卫生干净，设施完善，地理位置交通方便，性价比还成', '短评打分': 3}
{'短评内容': '多次入住的老酒店了，位置优越，到上海站、外滩、人民广场都很近，完全可以步行。前台服务也没得说，就是近来的浴巾没有以前干净了。', '短评打分': 5}
{'短评内容': '交通方便，设施齐全', '短评打分': 5}
{'短评内容': '位置还不错，出行还算方便，房间的卫生和设施还好，服务也可以，整体感觉这家酒店的性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '还算干净，而且房间好像很多，比较好订吧', '短评打分': 5}
{'短评内容': '只是不要住特价房', '短评打分': 5}
{'短评内容': '酒店位置在市中心,房间里面的床上用品可能差一些,不是很新颜色不是显得很干净,我住的特价房还可以.', '短评打分': 3}
{'短评内容': '环境和服务都不错，价格合适，出门打车很方便，性价比不错', '短评打分': 3}
{'短评内容': '酒店地理位置很繁华，交通很便利,适合商务客人。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还达标，卫生服务都还好，价格合理适中，位置出行也比较方便，值得推荐入住。', '短评打分': 3}
{'短评内容': '酒店的性价比还是不错的,值得推荐', '短评打分': 3}
{'短评内容': '比其他城市的莫泰差远了，房间太小，卫生不行，感觉像招待所 我住的5楼大床间 房间味道很不好 床单都没有按时更换 弄得我身上起很多红疙瘩 更离奇的是居然我新买的洗发水也不知道怎么只剩下一半 投诉给总台 也不了了之 还有窗子对着过街天桥 像一楼一样    除了离3，4号地铁近  没有什么值得推荐的  \r\n', '短评打分': 1}
{'短评内容': '第2次入住这里了。和第一次相比，这次的感觉真是太差了！浴巾都是破的，毛巾上还有类似墨水的污渍。床单也是破的，斑斑点点的污渍，睡在上面浑身不舒服！原先定的168的特价房，进去一看，根本没办法住，墙上有霉斑，整个房间也充斥着防霉的味道。换了218的大床房。只是一晚上就讲究了。这样的卫生真是对不起218的价格。要不是靠近七浦路！晚上居然还有小姐打电话过来问需不需要服务？！下次坚决不会住这里！168改名叫', '短评打分': 1}
{'短评内容': '房间很小，有点暗！地理位置不错！', '短评打分': 1}
{'短评内容': '酒店位置比较好，交通便利，离海滩很近，不过这个海滩真的不值得去，其实就是个大浴场。\r\n酒店卫生一般，前台接待语速过快，态度也一般。', '短评打分': 1}
{'短评内容': '酒店房间稍微小了些，服务环境也很不错，酒店地理位置很繁华，交通很便利', '短评打分': 3}
{'短评内容': '位置很方便!\r\n喜欢逛街买衣服的女孩住在这里是最合适不过的了!离七浦路服装城很近!走路几分钟就到,但你逛一天也逛不完呢', '短评打分': 5}
{'短评内容': '酒店挺不错的，位置比较方便，环境也很好，我住了好几次了，感觉挺好的，值得推荐', '短评打分': 3}
{'短评内容': '当时住的特价房,还要过2道门才能到房间,比较麻烦.房间里面卫生还可以.主要是位置很方便,价格也实惠.', '短评打分': 5}
{'短评内容': '168元的特价房空调噪音太大，忍无可忍最后只好关了光着睡了。', '短评打分': 5}
{'短评内容': '位置还不错，房间有点小，比较干净，服务也不错，值得推荐\n', '短评打分': 5}
{'短评内容': '房间还可以，就是15元的早餐真是差的无语了，一堆的猪食，和汉庭的早餐真是天壤之别，谢谢！', '短评打分': 5}
{'短评内容': '就是房间里的点异味,其他方面都挺不错的,价格也蛮实惠的.', '短评打分': 5}
{'短评内容': '酒店各方面服务都蛮好的，住着很舒适，价格也不贵，还是比较值得推荐的。', '短评打分': 5}
{'短评内容': '整体一般。房间偏小。部分房间设计不理想。', '短评打分': 5}
{'短评内容': '酒店的房间面积小了点,服务设施都很一般,当时去的时候在修路,交通不是很方便的,酒店整体一般', '短评打分': 5}
{'短评内容': '酒店蛮好的,服务态度很周到,而且交通位置也比较理相,很方便,价格也比较适中', '短评打分': 5}
{'短评内容': '酒店的硬件设施还不错，交通也算方便，不过环境一般，服务不怎么样，房间里没有矿泉水提供，吃的也没有，连方便面都要自己出去买，很不方便。', '短评打分': 1}
{'短评内容': '服务卫生方面还是很不错的,价格也比较合适.', '短评打分': 5}
{'短评内容': '酒店还不错,房间蛮干净,舒适的,在上海这个地段,价格也还算可以的,就是规定不够人性化,退房必须在十二点之前', '短评打分': 5}
{'短评内容': '酒店整体还可以，住的比较舒适。', '短评打分': 5}
{'短评内容': '酒店的卫生服务太差了，我刚到店的时候，发现床单都有脏的痕迹，我让服务员去换，服务员半天没有换，当我问他的时候他告诉我说我们的床单都这样，我觉得这样的酒店太不好了', '短评打分': 1}
{'短评内容': '感觉很一般，卫生条件不好，设施也比较陈旧了，主要位置方便点', '短评打分': 5}
{'短评内容': '请问押金事宜到底要怎样解决？元月一日不能够回到上海，可否将钱打到银行卡上？\r\n入住客户：Nara', '短评打分': 5}
{'短评内容': '挺好的下次还会去住的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '订的个大床房，那种床也叫大床房，小孩睡还行。房间超小10个平方差不多，服务态度还行。', '短评打分': 1}
{'短评内容': '服务很不错,感觉很温馨', '短评打分': 5}
{'短评内容': '都很好的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我住的是大床房，房间很大，里面的各项设施都很新，装修也很现代，很不错，而且价格适中，推荐！', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '这真是一个不咋样的酒店，比我住过的其他莫泰差远了，服务不行，房间一般，关键是部分还在装修，早餐每天一个样子，总体来说，除了位置，其他的实在不行。', '短评打分': 3}
{'短评内容': '定了一个188的大床间，当时没有，给换了一个商务标准间，非常舒服，呵呵', '短评打分': 3}
{'短评内容': '我订的是188的这个价格居然还没有外窗，房间里放下一张床两边人都走不过去了，隔音几乎没有。这里的床实在是太不舒服了，床里的弹簧都很明显的摸到，好像就睡在鹅卵石上，要不是太累了根本就不能睡。空调位置也不好刚好对着床吹，害的我第二天就感冒了。订房间的时候说有双早可到那什么都没有。地铁就在一公里处问总台居然说自己不知道害的我在上海火车站等了一个小时的出租花了14元，湿了一双鞋（当时下大雨）用了70分钟才', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
