{'短评内容': '安全、整洁', '短评打分': 5}
{'短评内容': '酒店的地理位置很不理想 胡同里的酒店根本就打不到车 每次打车都需要等上40多分钟还要算快的  回来基本上司机一听这地方都不拉 实在无语', '短评打分': 1}
{'短评内容': '很好的酒店，实惠特别干净，服务也很好，下次还住。', '短评打分': 3}
{'短评内容': '服务热情周到有宾至如归的感觉', '短评打分': 3}
{'短评内容': '新的装修不错，在胡同内的位置有点偏，地段非常好，周边很热闹。总的来说性价比可以的。', '短评打分': 5}
{'短评内容': '定了两东楼标准间，去了竟然说我定的大床间，没招，上西楼定了俩标准间。环境和设施还可以，饭菜味道也不错。', '短评打分': 3}
{'短评内容': '太别扭安全不绰', '短评打分': 3}
{'短评内容': '酒店很干净，交通便利，离地铁建国门站步行十分钟。房间有点小，但在二环边上这个价格已经很公道了', '短评打分': 3}
{'短评内容': '装修很好，卫生也不错，服务态度也很好，有什么需求都会给解决～家庭间很温馨的感觉～缺点就是隔音太差，晚上走廊或者隔壁说话声听得一清二楚的，而且浴室的地漏应该定期清理下以保证排水通畅。给个70分吧！', '短评打分': 5}
{'短评内容': '酒店外观不太起眼 但房间内部还真的挺不错的 ', '短评打分': 5}
{'短评内容': '服务质量不错，环境清静，床单被套干静。挺好，值得选。', '短评打分': 3}
{'短评内容': '酒店前台及客房服务非常好，房间设施比较新，所以看上去干净，就是第一次去不太好找。', '短评打分': 5}
{'短评内容': '性价比一般，不大好找，条件还凑合，不过咨询的时候说什么按四星级标准建的，有点假', '短评打分': 1}
{'短评内容': '位置偏，', '短评打分': 3}
{'短评内容': '不错,新装修的,挺干净的,交通也很方便,推荐!', '短评打分': 3}
{'短评内容': '酒店位置一般，属于部队招待所，噪音也较大', '短评打分': 1}
{'短评内容': '酒店价位可以，服务一般，位置不靠大路，属于部队招待所', '短评打分': 5}
{'短评内容': '236元的房间太小了。明显没有16个平方。不过一个人住也可以了。服务不是很好，长一点的网线都没有，网络断了就说要明天才能修复等等。由于是军区的指定接待，所以卫生还可以。', '短评打分': 5}
{'短评内容': '北京赵家楼饭店卫生条件令人满意，餐厅很好，房间价格适当。服务工作人员热情周\n到。饭店位置也不错。只是走廊中偶而闻到香烟味。以后还会去住。', '短评打分': 5}
{'短评内容': '位置太难找了，不是有导航还真没办法找到呢，其他还可以。', '短评打分': 5}
{'短评内容': '酒店装修硬件设施不错，从外面看跟里面的感觉很不一样，可酒店位置在一个胡同里，比较难找。', '短评打分': 1}
{'短评内容': '酒店地段好，设施好，服务也不错，性价比非常高。', '短评打分': 5}
{'短评内容': '住宿还行，就是新装修的房间有味道。酒店不太好找。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '已经第二次入住了,这里交通方便,住宿环境也很好,而且餐厅的饭莱也很不错,下次还会再来。', '短评打分': 3}
{'短评内容': '入住的很开心,和母亲一起住的,她也觉着很满意,说下次来还要住在赵家楼饭店。', '短评打分': 3}
{'短评内容': '条件很好，设施齐全，服务热情周到。两个建议：一是个别设施需要改进，如浴室门，烧水杯插座等；二是路口增加酒店标示。', '短评打分': 5}
{'短评内容': '环境却是闹中取静，服务人员态度很好，我住的东楼单人间，稍有点小，性价比还好。', '短评打分': 3}
{'短评内容': '酒店很干净，周边交通便利，性价比较高。', '短评打分': 3}
{'短评内容': '已经入住,环境很好,很干净。交通很方便,虽然在胡同里,在网上把地理位置查好了,还是比较好找的,下次来还会住的。', '短评打分': 3}
{'短评内容': '比较满意.', '短评打分': 3}
{'短评内容': '酒店环境不错,闹中取静,就是太新了,连当地司机也找不到地方', '短评打分': 3}
{'短评内容': '酒店不错，非常不错，挺好的。推荐推荐酒店不错，非常不错，挺好的。推荐推荐', '短评打分': 5}
{'短评内容': '比较实惠比较实惠比较实惠比较实惠比较实惠', '短评打分': 5}
{'短评内容': '还可以  就是装修气味太大', '短评打分': 3}
{'短评内容': '听说酒店历史很长，不过对我来说位置比较重要，就在雅宝路附近，价格低', '短评打分': 5}
{'短评内容': '办理巴西签证住在这里，比较方便，但是房间不大，附近有超市。', '短评打分': 5}
{'短评内容': '应该说，饭店条件一般，但是饭店离协和医院近，确实很方便，而且价格便宜。', '短评打分': 5}
{'短评内容': '饭店条件一般，不过离协和医院近，价格不高，所以推荐。', '短评打分': 5}
{'短评内容': '巴西大使馆很近，办签证方便。房间有点小，附近有超市，地铁，总的来讲满意', '短评打分': 3}
{'短评内容': '距离火车站和雅宝路都很近，去王府井和金宝街20多分钟的步行时间，是北京军区司令部招待所，就是不熟悉的很难找到，在胡同里！', '短评打分': 5}
{'短评内容': '好小，和网上提供的信息不符，设施也很陈旧，地毯也很久没清理了，很脏，唯一的好处就是离地铁站进的，但步行也得超过10分钟', '短评打分': 1}
{'短评内容': '我预定的是特价间。这家酒店性价比很高，设施齐全，安静舒适。因为我深夜才到店，很感谢能按承诺为我留房。另外可以免费寄存物品，很体贴。还有，很安全，因为是北京军区司令部招待所。', '短评打分': 5}
{'短评内容': '就是设施太陈旧了...倒数第二个晚上回宾馆的时候发现一只老鼠穿过..哎..郁闷啊...', '短评打分': 5}
{'短评内容': '卫生条件不好，地毯很脏，前台服务员态度好，位置比较方便', '短评打分': 1}
{'短评内容': '位置很方便，可以步行去北京站。要是有个网线就更好了', '短评打分': 5}
{'短评内容': '条件不太好，在一个小巷子里，唯一觉得不错的是这个酒店不用信用卡担保，而且房间帮我保留到很晚。 ', '短评打分': 1}
{'短评内容': '住的东楼设施条件老旧，急需重新装修了。。。', '短评打分': 5}
{'短评内容': '+总体感觉良好。', '短评打分': 3}
{'短评内容': '地理位置不错，离建国门地铁比较近，交通挺方便的', '短评打分': 5}
{'短评内容': '酒店条件一般，但离协和医院较近，是外地人前来就医住宿的一个比较好的场所。', '短评打分': 5}
{'短评内容': '+酒店西楼设施不错,环境舒适值得一住。', '短评打分': 5}
{'短评内容': '地点很好，但是其他设施一般！屋子属于老式建筑，有些味道！', '短评打分': 5}
{'短评内容': '该酒店还可以，就是设施陈旧了一些，价位很好，适合家庭旅游', '短评打分': 5}
{'短评内容': '该酒店离北京站比较近，出行方便，价格适合一般工薪阶层，卫生条件好，服务周到', '短评打分': 5}
{'短评内容': '办理巴西签证，主要是位置比较好。。', '短评打分': 5}
{'短评内容': '就一个感觉，潮湿的厉害，孩子睡了一下，回家后起了一身疹子，感觉上当受骗', '短评打分': 1}
{'短评内容': '只是觉得房间很小，而且酒店在胡同里，走着挺不方便的。\r\n但是热水用的很舒服，电视什么的也还不错', '短评打分': 1}
{'短评内容': '还好，地址位置不错。不错设施一般般', '短评打分': 5}
{'短评内容': '服务态度不错前台美女主动建议我挑选性价比较高的特价房客房服务也不错主动来打扫不像某些地方要喊人来才会做房间略小东楼没有重修所以有点旧倒也可以理解总体来说还是挺好的', '短评打分': 5}
{'短评内容': '服务非常热情周到，地点交通方便。希望能改进硬件设施', '短评打分': 3}
{'短评内容': '住着很舒适，很安静。这非常重要。', '短评打分': 5}
{'短评内容': '饭店交通位置十分方便，服务态度超级好，就是房间有点小，', '短评打分': 5}
{'短评内容': '地段不错，交通便利，房间还行', '短评打分': 5}
{'短评内容': '房间超级小的说！！！', '短评打分': 1}
{'短评内容': '酒店挺干净的，设施条件也都不错，比较舒适，位置也挺便利的。', '短评打分': 3}
{'短评内容': '离公司近， 安排方便', '短评打分': 5}
{'短评内容': '地置很好找,服务也很好,性较比很高,环境安静,有机会下次还住这里.', '短评打分': 5}
{'短评内容': '服务不是很热情,感觉酒店不是一视同仁,去的时候明明是有相同房型的房间,但是安排的话只给安排那种阴暗潮湿很糟糕的房间,感觉很差,价格还比较合适,位置挺方便的,也希望可以把服务方面加强.', '短评打分': 3}
{'短评内容': '以前我也住过这个酒店，感觉他的条件也就还可以，主要是他的位置好交通方便。', '短评打分': 3}
{'短评内容': '很好，也很安静', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，位置出行交通也很方便，环境卫生也很不错，干净舒适的酒店，价格也很合理适中。值得推荐入住下次如果过去那边还是会入住这家酒店的。', '短评打分': 5}
{'短评内容': '位置比较便利，原来也住过多次，价格也合适', '短评打分': 3}
{'短评内容': '酒店位置比较好，服务也不错。性价比还可以', '短评打分': 5}
{'短评内容': '性价比太低，设施太差，地理位置还好', '短评打分': 3}
