{'短评内容': '给孩子看漫展订的，环境不错，房间特大，孩子很喜欢', '短评打分': 5}
{'短评内容': '温馨还卫生挺好。', '短评打分': 3}
{'短评内容': '说心里话，不太满意！和媳妇去上海，本打算定个离下车近的酒店。结果被店名（上海南站店）给忽悠了，走到酒店（一路打听）累坏了，第二天早上才知道坐车是3站地，郁闷！再说房间，我定的高级大床房！按说也应该大体上过的去，结果进去一看，昏暗加昏暗，大失所望！不过太累了，决定还是住吧，没想到半夜竟然有从门缝塞“卖鸡卡”的。另外房间有点偏潮，隔音效果不好。。。。不多说，总之下次不再去了！！最后说下楼下的一个超市，', '短评打分': 1}
{'短评内容': '房间还算大，但东西好像满少，比宜山路那边个差点，与楼道的隔音效果有些差，空调打开后有时也会嘎吱嘎吱的响。', '短评打分': 5}
{'短评内容': '订的单床房，2人住没问题，也比较干净，最人性化的是卫生间里配备了吹风机。', '短评打分': 5}
{'短评内容': '性价比还可以，缺点是一次性拖鞋太差，还有一股臭塑料的味道，电视机太小应该换个大的壁挂的了。', '短评打分': 5}
{'短评内容': '性价比还是比较高的。不足之处是洗澡水温度不高，空调噪声太大，结账的时候发现送的免费早餐确按收费算到账单里，花了半个小时才完成结账。', '短评打分': 5}
{'短评内容': '相当不错！！干净而且温馨。。。。。。\n我会推荐朋友常住。。。。。。。。', '短评打分': 5}
{'短评内容': '住了个无窗房，比想像中好很多倍，阳光从楼顶的中间透明玻璃照射下来，感觉非常舒服，真是无窗胜有窗呀。而且房间干净，面积还OK，所以住得挺舒服的，这个价，值！下回还住。还发现华东理工大门口有个粥吧，也很赞喔！', '短评打分': 5}
{'短评内容': '订的单床房，空调坏的，不制热，折腾了一会才重新换了个房间。', '短评打分': 1}
{'短评内容': '一直很ok啦。热水网络都很好。周围小吃店也多~~~~', '短评打分': 5}
{'短评内容': '还不错，整洁，热水充足，不远的地方有个吃火锅不错的地方', '短评打分': 5}
{'短评内容': '汉庭设施齐全  整洁干净  入住舒适', '短评打分': 3}
{'短评内容': '我住的是一间大床房，房间很宽敞，灯光舒适，水温适宜，，赞一个', '短评打分': 5}
{'短评内容': '帮朋友100元定的新春特价房，还有30元返券。没报太多期望，随便住住罢了。距离南站步行20分钟，大堂干净。入住报了名字交押金拿房卡很便捷。房间很大，有窗，无线上网，热水给力。一楼有免费的咖啡和奶茶，自助上网区。\n回来网上看了看，原来给的是199的大床房，绝对超值，推荐是必须的。', '短评打分': 5}
{'短评内容': '上海这个地方、南站这个地方、中转好去处！100标间真值，不知不是新春，还能不能有百元房！', '短评打分': 5}
{'短评内容': '挺好的.又便宜.又干净，什么都有.还有送的东西', '短评打分': 5}
{'短评内容': '还是很不错的，超值，在同价位下我会选择汉庭。', '短评打分': 5}
{'短评内容': '环境很好，住得很舒服，就是隔音太差，最大最大的缺点吧~', '短评打分': 5}
{'短评内容': '非常好的，环境也可以，也挺干净，会推荐。', '短评打分': 5}
{'短评内容': '住得很满意，就是酒店位置稍偏', '短评打分': 3}
{'短评内容': '这回的房间真心的大，四四方方的，不过空调来不及打，一直都很冷...力度不够额。洗漱用品太差了，牙刷才用一次就毛到处叉开了，没法再用第二次。淋浴房的水小了点，一阵子还很烫，里面的防滑垫太扎脚了。洗漱池太钱了，水一开感觉要弄一身水。', '短评打分': 5}
{'短评内容': '价格很优惠，但房间整体感觉不是很舒适，房间味道有点臭。但热水很不错，恒温而且水压大，洗得很过瘾。地理位置也不算理想，从南站过去还要坐五六个站的公车才到。南站也是最近能坐地铁的地方。比较安静。', '短评打分': 1}
{'短评内容': '＋不错，性价比高，距离南站打车起步费，地板有点滑，洗完澡要特别注意', '短评打分': 3}
{'短评内容': '酒店离南站有点远，不好找，', '短评打分': 3}
{'短评内容': '总台服务员态度很差，就因为我订的是百元房，洗澡水不稳定，感觉不好。', '短评打分': 1}
{'短评内容': '定的时候看介绍房间面积很大,但实际入住时只给了间单人间,估计15个平米也没有,环境还可以', '短评打分': 5}
{'短评内容': '满干净的 住的是百元房  比想象好！！！！！', '短评打分': 5}
{'短评内容': '本来价格就是特价 也就那样了 比较干净 就是离火车站远了地爱你', '短评打分': 5}
{'短评内容': '比较实惠,性价比较高。蛮不错的，可以住住', '短评打分': 5}
{'短评内容': '很不错哦很不错哦很不错哦很不错哦很不错哦很不错哦很不错哦很不错哦', '短评打分': 5}
{'短评内容': '房间有点小，其他的都很好', '短评打分': 3}
{'短评内容': '还算干净，就是房间感觉有点小，隔音还行。', '短评打分': 5}
{'短评内容': '条件挺好的，很满意～', '短评打分': 3}
{'短评内容': '服务态度很好！原来以为单人间很小，实际一看，很宽敞，也很整洁！', '短评打分': 5}
{'短评内容': '因为买不到火车票...突发情况得在上海多停留一天\n直接手机上网订在南站旁边的住宿，恰好发现百元特价房~果断订..!后来发现大概订的是最后几间了。很lucky！\n地铁先坐到南站，但是离南站还是有一点点距离。\n坐公交164路~可以直接到..\n里头设施很好呢!挺大的~但是貌似隔音有一点点不好.\n服务态度也不错~推！', '短评打分': 5}
{'短评内容': '酒店交通很方便，离地铁很近，只是设施比较成旧，', '短评打分': 5}
{'短评内容': '条件还不错，有比较快的网速，还有无线网覆盖和许多宝洁洗漱用品，美中不足的是洗浴过于灵敏还会溅水，地巾很容易湿掉。隔音差了一点，小广告很多。', '短评打分': 5}
{'短评内容': '干净，安静，在学校周围，治安很好，离南站挺进的', '短评打分': 5}
{'短评内容': '方便，干净，舒适，比较好～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '较好的经济型酒店，离上海南站近，出行方便', '短评打分': 5}
{'短评内容': '还不错  设施比较完整!', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '住宿挺好，早餐太简单。', '短评打分': 3}
{'短评内容': '不错 房间比较大  就是早上起床有点，下次应该还会继续住', '短评打分': 5}
{'短评内容': '不满意,服务态度差', '短评打分': 3}
{'短评内容': '我住的是大床房，房间很大很干净，物超所值，下次还会住汉庭。', '短评打分': 3}
{'短评内容': '成功入住，谢谢你们的服务！', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '已经第二次住这里了，感觉安静，卫生，安全。还不错', '短评打分': 5}
{'短评内容': '由于周末在新侨考试。所以定在这里，离学校很近，不错', '短评打分': 5}
{'短评内容': '缺点就是离上海南站还得3公里远，不晓得为什么还交（上海南站店），而且酒店比较难找，出租车师傅都绕了点路才见到。不过价格倒还算经济，而且离华东理工大学很近，走路就5分钟。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '方便干净  还不错 朋友来都在这里！\n但是价格现在越来越贵了 打折力度不够', '短评打分': 5}
{'短评内容': '以前就来过 一直帮朋友定 还不错 方便 卫生 安静\n但是价格好像越来越贵了 ', '短评打分': 5}
{'短评内容': '房间环境还可以，就是每天晚上进门会突然发现地上有几张本不该出现的名片，其内容大家可想而知。。。。。，虽说影响不大，给人感觉还是不很安全，难道随便什么人都能上楼么？而且这种东西可能有人很容易就被毒害了，希望酒店放加强管理。', '短评打分': 5}
{'短评内容': '酒店卫生不用说，还分烟房无烟房，无烟房有带圈圈的清凉糖。可见他们对客户的细心和体贴', '短评打分': 5}
{'短评内容': '服务态度不错，喜欢的。在华理工附近，安静。', '短评打分': 5}
{'短评内容': '汉庭的网速太慢', '短评打分': 3}
{'短评内容': '房间还算可以 经济实惠点 就是离南站有点远 ', '短评打分': 5}
{'短评内容': '位置稍微有点偏\n屋子里有点小旧，但是很安静，设备很全。服务态度也好。', '短评打分': 5}
{'短评内容': '挺好的？', '短评打分': 3}
{'短评内容': '整体不错，房间大，床舒适，淋浴水热。隔音稍差。', '短评打分': 5}
{'短评内容': '性价比不错，地理位置还可以。睡眠质量还可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '主要是为了离火车站进  打车起步价就到了  还挺方便的  住的环境也还好 性价比挺高的', '短评打分': 5}
{'短评内容': '汉庭还是很不错的。性价比高。卫生整洁。就是交通不是很方便。', '短评打分': 5}
{'短评内容': ' 还不错。房间有点旧，不过挺干净的。位置好，还可以免费停车。', '短评打分': 3}
{'短评内容': '＋不错 性价比相当高 房间挺大的', '短评打分': 3}
{'短评内容': '1.虽然叫上海南站店，但是离上海南站还是有一定距离，加上南站坐公交不方便（不熟悉地形的人根本找不到正确的车站），建议要求离车站近的，还是不要选择这家。\n2.单说酒店的房间还是很不错的，因为是高级大床房，房间面积够大，装饰也很精致\n', '短评打分': 5}
{'短评内容': '酒店还不错，离上海南站打的10分钟，房间比较干净，服务也较好，就是房间有一点潮味', '短评打分': 5}
{'短评内容': '很好\u3000态度也很好', '短评打分': 3}
{'短评内容': '柜台小姐服务很好，房间挺大的，很明亮，床很有弹性', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '信价比高，值得推荐。。。。。。。。。.............', '短评打分': 5}
{'短评内容': '信价比高，值得推荐。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务环境都好！', '短评打分': 3}
{'短评内容': ' 折扣可以大点！！', '短评打分': 3}
{'短评内容': '很好啊。。。超值！住过最好的了。。。。。。。。。。', '短评打分': 5}
{'短评内容': '  住宿条件还行，房间挺大的，也比较好找到。', '短评打分': 5}
{'短评内容': '好的方面是房间宽敞明亮整洁、价格实惠，不足的地方是不能帮客人拿拿行李，我带着孩子，老公楼上楼下的搬行李搬了三趟都没有人帮帮忙，服务还是不够。\n另外还有一件非常郁闷的事，老公的手机在大堂沙发上丢了，酒店竟然给不出摄像带看看这段时间进出的人员，安保方面太需要加强了！', '短评打分': 5}
{'短评内容': '不错000000000000000000000', '短评打分': 5}
{'短评内容': '确实挺不错的，环境很好，浴室水温也很好~~', '短评打分': 5}
{'短评内容': '在上海市徐汇区地段的这一价格，实在是很难再找到别的宾馆了。', '短评打分': 5}
{'短评内容': '距离目的地很近  但是隔音实在是很不理想。。。基本上一晚没睡踏实', '短评打分': 5}
{'短评内容': '环境很好。', '短评打分': 3}
{'短评内容': '住宿条件还不错。只是希望酒店与旅行社间的信息传递要到位。', '短评打分': 5}
{'短评内容': '位置相对较偏，房间干净整洁，还不错。', '短评打分': 3}
{'短评内容': ' 离华东理工大学近，有公交可到上海南站，我是住单人间，稍小了些，电视老了点，台灯不能调，不过一个人住总体还算凑合啦', '短评打分': 3}
{'短评内容': '    我定了两张定单，每张定单都是两个房间，都是4月7日的，只是到达时间不同。但不知为什么在该酒店电脑上显示每张定单只有一个房间，花费较长时间后才落实，希望这方面能改进。其他的都还可以。', '短评打分': 5}
{'短评内容': '离南站还有段距离啊，不过这个位置还是对的起这个价格的', '短评打分': 5}
{'短评内容': '很好啊，可以，环境不错，价廉物美。。。。。', '短评打分': 5}
{'短评内容': '可以！感觉还行，临时住住足够了！离华理工很近，我是去考试才定的。', '短评打分': 5}
{'短评内容': '除了好还能说什么呢？除了好还能说什么呢？除了好还能说什么呢？', '短评打分': 5}
{'短评内容': '地点应该是不错的，可是有一天我拦的士等了一个小时都没等到。酒店的响应速度和服务还需改进。', '短评打分': 5}
{'短评内容': '环境比较优雅，房间构造也挺好的，唯一不足的就是交通不是很便利', '短评打分': 5}
{'短评内容': '住的是新春百元房，很划算，房间很大很舒适', '短评打分': 5}
{'短评内容': '房间还是很不错，只是厕所的通风还需改进…', '短评打分': 5}
{'短评内容': '酒店环境不错，比较安静，不过水只免费送一瓶小矿泉水，一般不够喝', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间很大，很舒适    但洗手间不是非常满意', '短评打分': 5}
{'短评内容': '很干净 价格很实在 朋友住的非常满意。。', '短评打分': 5}
{'短评内容': ' 离华东理工很近，周围是学校和居民区周围，因此环境很安静。房间很不错，床软和，空调热水都很足，很不错的一次体验！', '短评打分': 3}
{'短评内容': ' 挺好的', '短评打分': 3}
{'短评内容': '一如既往的不错,房间很干净,除了地理位置一般,几乎没缺点', '短评打分': 5}
{'短评内容': '房间比较小，设施一般，但在上海这个价位还是不错的，距离南站也非常近。', '短评打分': 5}
{'短评内容': ' 已入住4043和4049，很干净，推荐', '短评打分': 3}
{'短评内容': '房间很大', '短评打分': 3}
{'短评内容': '不错,房间干净,建议住高级大床房,附近饮食也很便宜', '短评打分': 5}
{'短评内容': '+酒店工作人员服务态度不错，很专业比较热情。房间条件一般，如果恢复到世博后正常价格就合理了', '短评打分': 5}
{'短评内容': '还不错，酒店周边交通还比较方便，而且吃得东西比较多。', '短评打分': 5}
{'短评内容': '房间很小一个窗不怎么透气', '短评打分': 5}
{'短评内容': '房间太小哦啊，其他还可以，比较方便。希望下次能换成大点的房间。', '短评打分': 3}
{'短评内容': '汉庭快捷在上海而言性价比高，房内设计很是不错，给人以温馨的感觉，推荐！', '短评打分': 3}
{'短评内容': '房间不错，房间不错，地理位置也好，乘坐方便。', '短评打分': 5}
{'短评内容': '交通方便，周围吃饭的地方有点少。房间窗口没有阳光，适合公务出差。', '短评打分': 5}
{'短评内容': '汉庭快捷给人以舒适的感觉，就像自己温馨的小窝，最喜欢它的房间布置，很温馨', '短评打分': 5}
{'短评内容': '\n我住的單人間还可以吧 比较干净 但是离华东理工大学正门还是有点距离的 里面上电梯也要刷卡 虽说公安局查的严但至少比较安全', '短评打分': 5}
{'短评内容': '房间内设施太简单，还高级大床房。那一般的岂不是更简单', '短评打分': 1}
{'短评内容': '房间各地方都很干净，安保也不错，就是房间一进去有点味。楼下就是便利店，酒店和小吃街，总的来说满意，比那些旅社好多了。', '短评打分': 5}
{'短评内容': '房间整体还可以 比较整齐，内饰稍单一 卫生情况还算可以 停车也算方便', '短评打分': 3}
{'短评内容': ' 还不错', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 5}
{'短评内容': 'hen hao hen gan jing ', '短评打分': 3}
{'短评内容': '离南站很近. 打车也方便, 周围吃饭也方便. 反正我是住一晚, 哪都没去', '短评打分': 5}
{'短评内容': '住了3天。房间很大，价格适中，出行比较不方便', '短评打分': 3}
{'短评内容': '房间很大，床也很大一张大床可以谁三个人还空的。唯一不好的是离南站比较远，出行要打的', '短评打分': 3}
{'短评内容': '房间很大，舒适度良好，楼下有快捷商店，离南站步行比较远，唯一不好的是交通，要打的', '短评打分': 5}
{'短评内容': '安全设施较为完善，比如上电梯要用房卡、走廊中有摄像头、也无半夜“鸡”叫；服务水平还可以；但卫生在最后一天没有打扫，还需改善。', '短评打分': 5}
{'短评内容': '位置稍微有点偏远，比起别家经济型酒店南站店来讲。但是房间够大，够舒服。', '短评打分': 5}
{'短评内容': '房间还算干净卫生吧，价钱也还算比较便宜，下次有机会再住。', '短评打分': 5}
{'短评内容': '大堂到是看上去一般，不过是连锁酒店，也就不过分要求了。\r\n房间里面空间很大，只是略显空荡，放个沙发估计好很多。', '短评打分': 5}
{'短评内容': '环境很安静，也很舒适，性价比还不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '在华东理工大学周围，算比较便宜的了', '短评打分': 5}
{'短评内容': '消费卷怎么没有返还？\r\n', '短评打分': 3}
{'短评内容': '离南站还是很远的，要打车。卫生还可以。服务态度也还好。房间小了点儿。', '短评打分': 5}
{'短评内容': '房间干净 位置稍偏', '短评打分': 5}
{'短评内容': '环境还不错，价格也实惠，', '短评打分': 3}
{'短评内容': '还不错，就是周边环境有点吵', '短评打分': 5}
{'短评内容': '位置比较偏。。不在路边。。我去的时候找了很久。。\r\n装修也不怎么新。。\r\n离市区比较远。。打的大概70左右。。坐地铁也到上海南那里做。。交通不怎么方便。。', '短评打分': 1}
{'短评内容': '不错，前台很讲礼貌，做卫生的阿姨见人都打招呼。房间虽小，但是很干净很舒适。基本可以满足入住要求。', '短评打分': 5}
{'短评内容': '在华东理工那边，位置偏了点，吃晚饭都找不到地方，结果只能凑活着在理工外面的小店里吃了（感觉那些小店卫生很成问题）。\r\n酒店打扫的很干净，性价比高，这个价钱的话很不错了。', '短评打分': 5}
{'短评内容': '值得去住', '短评打分': 5}
{'短评内容': '总体感觉还不错，汉庭给人的感觉永远都是小舒适', '短评打分': 5}
{'短评内容': '总体来说这个价位性价比还可以，位置也不错哦。', '短评打分': 5}
{'短评内容': '     不错的酒店，下次还会住。床很大很舒服', '短评打分': 5}
{'短评内容': '原来已经在本店住了好几次，觉得挺好的，离南站近,交通很方便，以后还会入住该酒店的。非常感谢你们的优质服务。', '短评打分': 5}
{'短评内容': '酒店总体来说一般吧，性价比没有觉得太高。 \r\n值得一提的就是，前台的服务人员那么少，基本上就一个人，都需要排队的。旁边还有其他的酒店人员，光是坐着，我们请他帮忙的时候，他一脸不屑的说：“等等吧”...\r\n卫生倒是挺干净的，对了，提示大家：他们家的电梯都需要先刷卡再按楼层的，有点麻烦，别忘了哦...', '短评打分': 1}
{'短评内容': '非常好。很干净舒适', '短评打分': 5}
{'短评内容': '离火车南站打车约10分钟.挺好找的,不过房间有点旧.', '短评打分': 3}
{'短评内容': '外表看其貌不扬，但是内部设施还不错。是帮朋友订的，她很满意，说下次来还会住这家的', '短评打分': 5}
{'短评内容': '房间干净、舒服，交通还算便利', '短评打分': 3}
{'短评内容': '设施一般', '短评打分': 1}
{'短评内容': '房间好象新装修不久，很干净，很舒服，有156路公交车直通上海火车南站，打车起步价，还算方便', '短评打分': 5}
{'短评内容': '大床房房间挺大的，空调制热不错，卫生间也挺干净的 热水很足 但每次开水笼头 水声太响 隔壁房间每次开水声都听的非常的清楚，房间总体还可以，隔音不是太好 ', '短评打分': 5}
{'短评内容': '位置，服务，卫生条件都不错，顶一下下', '短评打分': 5}
{'短评内容': '酒店位置不错，距离火车南站打车起步价即到。', '短评打分': 5}
{'短评内容': '房间蛮大的，还是落地窗，很不错！', '短评打分': 3}
{'短评内容': '靠近南站交通便利 服务好 性价比高', '短评打分': 3}
{'短评内容': '靠近南站交通便利 服务好 性价比高', '短评打分': 3}
{'短评内容': '性价比高 服务好 靠近南站交通便利', '短评打分': 5}
{'短评内容': '最特别的就是干净，卫生好啊。呵呵。服务也很好。晚上也挺静。睡的很舒服。价格也偏低，对于同档次的。位置有点偏。要打的。起步价。\r\n\r\n', '短评打分': 3}
{'短评内容': '最特别的就是干净，卫生好啊。呵呵。服务也很好。晚上也挺静。睡的很舒服。价格也偏低，对于同档次的。位置有点偏。要打的。起步价。', '短评打分': 5}
{'短评内容': '还不错了', '短评打分': 5}
{'短评内容': '整体不错，距离南站打车15元左右。', '短评打分': 3}
{'短评内容': '位置離火車南站近,方便,旁邊有家海鮮餐廳,口味不錯,一樓大廳有免費咖啡服務!令人滿意!', '短评打分': 5}
{'短评内容': '酒店位置不错,卫生也比较干净,以后还会去', '短评打分': 5}
{'短评内容': '酒店有点旧，不过房间的床还可以，性价比还算高', '短评打分': 5}
{'短评内容': '总体来说各方面都挺好的，下次如果还有到南站的话还是会选择的。', '短评打分': 5}
{'短评内容': '希望能改进预定系统,使非会员客户在预定时能够获知更多的房间信息.', '短评打分': 5}
{'短评内容': '性价比高，价格合理，房间较大，干净，舒适！值得推荐！', '短评打分': 5}
{'短评内容': '服务态度很好，位置也不错，附近的小吃很多，是不错的选择', '短评打分': 5}
{'短评内容': '交通方便，到上海南站打车起步价就到，房间很大，干净，很舒服', '短评打分': 3}
{'短评内容': '酒店所处位置交通方便，房间很大，很干净，而且设施很人性化，特别是在空调下安装衣服挂钩，洗完衣服后，方便晾干，早餐也蛮好的', '短评打分': 5}
{'短评内容': '灯光再亮一些就更好啦！！！不错 环境很好 很温馨 服务业很好  ！！', '短评打分': 5}
{'短评内容': '总体不错，就是打车不方便，离南站还是有点远', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '独一无二的设计风格，同一连锁的服务质量标准，是旅游的好休息地。', '短评打分': 5}
{'短评内容': '以后还会入住，电梯刷门卡很好！', '短评打分': 3}
{'短评内容': '住着还是比较好的，房间比较大', '短评打分': 5}
{'短评内容': '还行，就是离南站还是有点距离，并且车也不好打', '短评打分': 1}
{'短评内容': '我住的是新春百元房，房间很大，很舒服，性价比很高。就是离市中心人民广场远了一些。公交加地铁要近一个多小时。', '短评打分': 3}
{'短评内容': '我住的是新春百元房，房间很大，很舒服，性价比很高。就是离市中心远了一些。公交加地铁要近一个多小时。', '短评打分': 5}
{'短评内容': '酒店不错，位置也很好，住的高级大床房如果在能优惠些更好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '离南站比较近.', '短评打分': 5}
{'短评内容': '百元新春房，住到了一个大床房，划算~', '短评打分': 5}
{'短评内容': '各方面都不错，就是位置稍差点，游景点需坐公交', '短评打分': 5}
{'短评内容': '热水非常好,但是隔音不好.', '短评打分': 5}
{'短评内容': '不错，性价比高！', '短评打分': 5}
{'短评内容': '不错，不好找，早餐一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体感觉还不错了！房间设备与价位是对应的！经济型酒店不能有太高的期望值！即便如此还是能感觉到酒店经营者的用心。比如枕头是荞麦皮的，睡的很舒服；另外，房间内的用具都是有颜色区分的，不会用混！挺好！', '短评打分': 5}
{'短评内容': '位置很好,出行很方便,房间的卫生和设施方面也都不错,但隔音效果不太好,楼上是网吧,有点吵.', '短评打分': 3}
{'短评内容': '隔音效果不好，其他都不错，卫生干净，设施完善，地理位置交通方便，服务热情周到', '短评打分': 3}
{'短评内容': '房间的灯太暗了其他都还好,酒店的位置还可以出行挺方便的,服务态度还是挺不错的,性价比还行.', '短评打分': 3}
{'短评内容': '在所住过的快捷酒店中，感觉这个房价最大，很舒适！\r\n', '短评打分': 5}
{'短评内容': '订得是单人间，感觉挺温馨的。交通也方便', '短评打分': 5}
{'短评内容': '价格合理，条件一般，服务态度好，交通还比较方便。', '短评打分': 5}
{'短评内容': '位置还是不错,离南站很近,出行很方便,卫生服务方面也都不错,但就是房间有点小,而且是暗窗,不太舒适.', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '现在有吹风机了呢，女士还是方便很多了', '短评打分': 5}
{'短评内容': '周日住的，是特价，所以性价比很高，下次还会入住的。', '短评打分': 5}
{'短评内容': '闹中取静，酒店楼下餐馆不错，在酒店门口300米处搭公交车去火车南站或石龙路轻轨站只需要10分钟（公交车的终点站就在石龙路），很方便。适合差旅，尤其是去杭州方向的动车组大多都在上海南站始发。', '短评打分': 5}
{'短评内容': '除了乘座电梯不方便，每次都刷房卡才能座电梯，一个房间就一个房卡，我和朋友一起住的，有一个出去，回来时另一人还得去接，其他方面都挺好，服务和环境都很好，经济实惠', '短评打分': 3}
{'短评内容': '服务态度还行，但不是特别热情。房子我很满意，很温馨，窗户都特意做了防盗设置。环境应该是不错的，在大学周围，比较安静。可惜晚上直到十一二点还有人来回拉动桌椅的声音，忍了。早上五六点又被桌椅声吵醒了，问前台，说是二楼有个网吧，可能有人上网，每天早上五六点打扫卫生。答应让保安去看看，但好像没有什么用', '短评打分': 5}
{'短评内容': '我认为临街的房间比较吵闹，其他都不错，服务不错，位置很好，离车站和地铁很近，交通很便利', '短评打分': 3}
{'短评内容': '很好，下次还会入住的', '短评打分': 5}
{'短评内容': '卫生条件还可以,设施完善,主要是交通方便,服务也满热情周到的,性价比不错的酒店,下次还会入住', '短评打分': 3}
{'短评内容': '算是中心城区非常便宜的酒店了', '短评打分': 3}
{'短评内容': '酒店房间不错,就是上楼要用房卡照一下,这样比较麻烦,朋友下楼买东西,回来要上楼还要我拿着房卡去楼下接他.除此之外其他的都挺好', '短评打分': 3}
{'短评内容': '订的是单床房...房间风格与图片上不是很相符...但总体来说还行', '短评打分': 5}
{'短评内容': '给我安排的房间位置不是太好的窗户打开都开不到外面而且房间的隔音效果不是很好,附近出行还是挺方便的,服务态度挺不错的,总体感觉还是比较不错的.', '短评打分': 3}
{'短评内容': '就是服务态度不是很好', '短评打分': 5}
{'短评内容': '房间环境不错 挺大的，下次有机会还可以入住', '短评打分': 5}
{'短评内容': '房间很大很干净,服务也很周到,就是大堂公用电脑速度很点慢.嘿嘿', '短评打分': 5}
{'短评内容': '总体上还是不错的，面积蛮大的', '短评打分': 5}
{'短评内容': '酒店房间挺宽敞的,也很整洁,住着也蛮舒适的,而且价格也不贵,出行也比较方便.', '短评打分': 3}
{'短评内容': '靠近高校区,闹中取静;出行乘坐156路到石龙路轻轨站(终点站),换乘方便', '短评打分': 5}
