{'短评内容': '没啥意思，不怎么好', '短评打分': 5}
{'短评内容': '很好，以后会继续关注的，很干净，位置也不错', '短评打分': 5}
{'短评内容': '房间挺干净，我很满意', '短评打分': 3}
{'短评内容': '房间稍小了~一点点闷哈~布置是如家一贯的甜美 ', '短评打分': 5}
{'短评内容': '第一次住如家 很干净 价格不高 适合上班族 以后出去玩还住如家', '短评打分': 5}
{'短评内容': '大床房房间还不错，很温馨                                。                 ', '短评打分': 5}
{'短评内容': '针对这个价格，是很不错的酒店了。停车也很方便。推荐！', '短评打分': 5}
{'短评内容': '很温馨的粉色被单，喜欢', '短评打分': 3}
{'短评内容': '环境不错，房间敞亮，服务员态度很好，空调也给力，继续保持！', '短评打分': 5}
{'短评内容': '这家店位置不错，对面家乐福，旁边走几步好多饭店吃住方便。两点退房很人性化~房间内设施标准统一，和其他如家一样正规。住有所值！', '短评打分': 3}
{'短评内容': '简洁而又周到，舒适而又卫生。', '短评打分': 3}
{'短评内容': '总体来说挺不错，电视略有不清楚，床挺大，浴室的水有时不太恒温', '短评打分': 5}
{'短评内容': ' 还不错耶，秉承了如家一贯的概念，干净，温馨。真不错', '短评打分': 5}
{'短评内容': '酒店不错！', '短评打分': 3}
{'短评内容': '电视台很少而且每个台都不清楚，其它还好', '短评打分': 3}
{'短评内容': '房间干净，就是有点小，出行很方便', '短评打分': 3}
{'短评内容': ' 很干净但是显得好小啊…', '短评打分': 3}
{'短评内容': '一如既往的如家风格，不错，很喜欢如家的床', '短评打分': 5}
{'短评内容': '不错 如家 一直都一样  很好  就是感觉商务的和大床的没啥不一样 ', '短评打分': 5}
{'短评内容': '这次是帮朋友定的 反响还很不错 哈哈哈哈哈', '短评打分': 5}
{'短评内容': '周围交通便利，服务周到，房间设施很好！如家很不错！！', '短评打分': 5}
{'短评内容': '非常舒适，房间很温馨，设施很好，周围交通便利。', '短评打分': 5}
{'短评内容': '如家一直很不错', '短评打分': 3}
{'短评内容': '电视是液晶的 小小的 不过不清楚 都是雪花…… 装修很温馨 态度很好 可以借熨斗插排神马…水压很好。总之 在附近酒店对比来说 非常好！！', '短评打分': 5}
