{'短评内容': '很干净 离地铁近 房间电视没有hdmi插口', '短评打分': 5}
{'短评内容': '1、太爽了，离地铁口60、70M吧，走路快3分钟，慢5分钟就到了，真方便。\n2、管理相当规范，上电梯都需要刷卡，否则电梯门打不开，基本要到相应楼梯，不刷卡是上不去的；吃自助餐，服务员会根据房号让你自己报名字，相当的负责，自助餐也不错。\n3、房间比如家大，跟汉庭差不多，够用是肯定没问题。\n4。整个装修格调比较时尚有情调，比较喜欢。', '短评打分': 5}
{'短评内容': '房间还可以 看世博也方便  就是离市区太元', '短评打分': 5}
{'短评内容': '+不值这个价，就是100多的级别，没办法，全上海都在乘着世博打劫', '短评打分': 5}
{'短评内容': '酒店靠近地铁，出行十分方便；酒店服务不错，有宾客如归的感觉，只是酒店房间的设计和陈列配套过于简单；窗口外有悬挂空调，夜间休息稍感吵杂。', '短评打分': 5}
{'短评内容': '酒店卫生、服务都比较好，离世博也比较近，7号线可以直达，但可能是世博的原因吧，价格还是比较高的，不知世博过后价格会不会有所下降', '短评打分': 5}
{'短评内容': '交通很便利，去看世博会很方便，地铁5站地', '短评打分': 3}
{'短评内容': '位置很好，离地铁口非常近，出行方便。就是价格有些贵啊！', '短评打分': 5}
{'短评内容': '这次去世博，选这个酒店真是选对了。酒店位置非常好，就在地铁7号线1号出口的斜对面，走路就一分钟就到地铁站，酒店不靠近大马路，楼下有十多个停车位，附件有两个小超市，很方便。虽然房间比较小，但是很干净。楼下茶餐厅的东西很实惠，煲类的套餐26元左右，比较丰盛了。', '短评打分': 5}
{'短评内容': '很不错,地理位置很好,就是世博期间房价高了些!', '短评打分': 3}
{'短评内容': '初了房间没有冰箱，夏天有点不便业务，这家酒店让我感觉惊喜。显然好几个出租车司机告诉我这酒店要不是世博会期间，价格会更便宜。我定的是400多的标准房间。就算是这个价格，我觉得已经很值得。\n我住了4天，接触的前台，管房，保安，餐厅服务员无一不是礼貌周周，不是5星酒店那种冰冷的英国式礼貌，是真正让你觉得回家的那种感觉。这点没有严格的培训和管理是做不到的。\n性价比非常高的一个酒店。', '短评打分': 5}
{'短评内容': '酒店服务非常好，店员非常礼貌待客，态度好，房间干净。', '短评打分': 5}
{'短评内容': '价格有点贵，不过考虑到世博和上海家具展，勉强可以接受，交通是相当的方便，卫生和硬件设施也是不错，大厨的手艺个人觉得蛮和胃口的，下次还是会考虑入住锦江之星。', '短评打分': 5}
{'短评内容': '门卡生生换了三次都打不开门，价格很高，隔音超差，不值得。不过位置不错，晚上很晚了也有很多吃东西的地方。', '短评打分': 3}
{'短评内容': '感觉还行。就是单人间太小了点.其他还可以。', '短评打分': 5}
{'短评内容': '位置不错，离地铁7号线站口非常近，交通非常方便。卫生等各方面也不错，早餐也不错，就是卫生间太小了，餐厅人稍微多点儿，上菜就很慢。', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '地理位置很好，在地铁口旁边，去看世博很方便，卫生情况不错', '短评打分': 5}
{'短评内容': '+隔音奇差房间奇小床奇迷你房卡坏了三次无语前台态度可以', '短评打分': 5}
{'短评内容': '空间不小，很舒适', '短评打分': 5}
{'短评内容': '酒店离地铁口很近，工作人员比较热情。\r\n卫生比较满意。', '短评打分': 3}
{'短评内容': '离地铁站太近太近了，就是周边比较冷清，吃东西不方便。', '短评打分': 5}
{'短评内容': '+酒店离地铁近，交通非常方便，酒店内也非常好，标准间A非常适合3口之家。物有所值。', '短评打分': 5}
{'短评内容': '+条件一般,交通较方便', '短评打分': 5}
{'短评内容': '酒店还可以，价格适中，毕竟是连锁的，住过多家了', '短评打分': 3}
{'短评内容': '酒店离地铁口很近很方便', '短评打分': 5}
{'短评内容': '地理位置很好，一出地铁就能见到，非常方便！\r\n房间内设置一大一小两床，非常适合一家人出行居住！\r\n餐厅物美价廉，服务态度好！值得推荐。', '短评打分': 5}
{'短评内容': '还不错,因为是连锁酒店,还是让人比较放心.性价比不错.', '短评打分': 3}
{'短评内容': '感觉不错。服务很好，交通方便。', '短评打分': 5}
{'短评内容': '酒店环境不错，锦江之星一直是我最喜欢的平价旅馆之一。但是周边购物环境不是特别好，交通还是满方便的。', '短评打分': 3}
{'短评内容': '位置可以，但世博价格翻倍', '短评打分': 5}
{'短评内容': '性价比很高的酒店~', '短评打分': 5}
{'短评内容': '在居民区附近,没什么购物的地方,附近有地铁7号线,交通还算方便,我订的是大床房,但是还是挺小的', '短评打分': 5}
{'短评内容': '锦江之星(上海新国际博览中心店) 舒服，去世博方便', '短评打分': 5}
{'短评内容': '不错。。', '短评打分': 3}
{'短评内容': '酒店卫生很好，电梯用门禁卡，很安全。在地铁7号1号出口旁边，交通方便。服务人员热情周到，感觉很好。', '短评打分': 5}
{'短评内容': '地灯比较亮', '短评打分': 5}
{'短评内容': '一切都不错，特别是地理位置。就是价格有点高。', '短评打分': 3}
{'短评内容': '一切都好，只是世博期间价格高，特别是位置和直达世博的地铁线隔一条小街，就是20米左右的距离。很好，卫生餐厅都不错的。', '短评打分': 5}
{'短评内容': '被子很潮湿，晚上盖着很不舒服，卫生间很小，房间也小，价格高。', '短评打分': 1}
{'短评内容': '世博期间，有这样，不错了。', '短评打分': 5}
{'短评内容': '感觉还行，反正是连锁的，所以信得过。因为是世博期间，酒店的生意也太好了，根本就没得选的。', '短评打分': 5}
{'短评内容': '交通便捷~~~外面有点吵~~房间不是很隔音~其他都很不错', '短评打分': 5}
{'短评内容': '交通很方便，环境和卫生条件也不错。', '短评打分': 5}
{'短评内容': '出行特别方便，地铁就在门前', '短评打分': 3}
{'短评内容': '离地铁很近，出行方便', '短评打分': 5}
{'短评内容': '房外马路传进噪音比较大，早上5点就开始了。', '短评打分': 5}
{'短评内容': '距离地铁口非常近，方便', '短评打分': 3}
{'短评内容': '上个点评发错了，这个锦江之星也不错，在芳华路尽头，环境比较安静，离龙阳路地铁站还近~', '短评打分': 3}
{'短评内容': '离虹桥机场新航站楼很近，并价比不错！', '短评打分': 5}
{'短评内容': '地理位置比较偏，打车不方便', '短评打分': 5}
{'短评内容': '锦江之星一贯风格，位置不错，好找', '短评打分': 5}
{'短评内容': '还是很不错的，比附近的性价比要好一点。', '短评打分': 5}
{'短评内容': '在上海那个区域，价格还是比较不错的\r\n\r\n房间干净，标间床一大一小，很人性。也没有骚扰电话。\r\n\r\n值得推荐', '短评打分': 5}
{'短评内容': '地理位置好，已经住过一次了', '短评打分': 5}
{'短评内容': '地理位置太方便了', '短评打分': 5}
{'短评内容': '位置比较偏僻，但是如果七号线地铁全线开通了，将是非常方便的。', '短评打分': 5}
{'短评内容': '服务优，就是房间面积不大。对面7号地铁目前是试运行中，9：00-16：00通行，一站到龙阳地铁站，步行5分钟到展馆。总体来说还不错', '短评打分': 5}
{'短评内容': ' 不错的酒店~~前台服务很热情~~ 舒适度也不错', '短评打分': 5}
{'短评内容': '服务好。就是房间小了点。。', '短评打分': 5}
{'短评内容': '卫生服务方面做的非常好,打扫的很干净,呆着很舒适,位置也不错,出行很方便,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '我们在上海参展，首选这家有特价房的酒店', '短评打分': 3}
{'短评内容': '离上海新国际博览中心相对较近，餐饮也方便，店内有自助早餐，中晚餐楼下有蜀渔村', '短评打分': 5}
{'短评内容': '服务很周到，环境也也不错，整体给人感觉比较的经济实惠', '短评打分': 3}
{'短评内容': '服务态度很好，住得蛮舒适的', '短评打分': 5}
{'短评内容': '环境不错,就是交通略显不便,等对面的地铁站通了,那真就是到浦东理想的住宿地了.', '短评打分': 5}
{'短评内容': 'sfasdfasdfasdf', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店在城中村，位置很差，没有安全感，吵杂，半夜还有客人喝醉酒踢门。', '短评打分': 1}
{'短评内容': '房间面积比较小。环境设施都很不错，位置出行也很方便，价格合理适中。整体的条件还是比较不错的，值得推荐的酒店类型。', '短评打分': 3}
{'短评内容': '比较干净。房间太小', '短评打分': 5}
{'短评内容': '位置有点远，交通不方便', '短评打分': 5}
{'短评内容': '位置不太方便,去国际博览中心,走路有些远,打车又太近,叫不到车.房间不大（单人间），性价比一般。但是前台的服务态度很好，值得表扬！', '短评打分': 1}
{'短评内容': '位置不太方便,去国际博览中心,走路有些远,打车又太近,叫不到车.房间里面条件还不错,住着挺舒服的,性价比也高.', '短评打分': 3}
{'短评内容': '房间挺干净的，位置也比较方便，就是设施一般，总的来说还不错，值得推荐 ', '短评打分': 5}
{'短评内容': '酒店的没有去上海新国际博览中心车，参加展会每次等车要花费很长时间，不酒店的 环境是很安静，也很干净，希望价格能在优惠点', '短评打分': 5}
{'短评内容': '酒店很不错,干净舒适；位置也很方便；是一个值得推荐的酒店；', '短评打分': 5}
{'短评内容': '酒店的很干净，服务方面也不错，当时去那边看展览还是很方便的，整体感觉都挺不错的', '短评打分': 5}
{'短评内容': '酒店很不错,位置也很方便,物有所值', '短评打分': 5}
{'短评内容': '原来也住过锦江之星酒店，连锁的酒店，经济实惠，这家的隔音效果不好。其他的都不错', '短评打分': 5}
{'短评内容': '服务质量不高,地理位置较差(离会展中心不是最近的锦江之星连锁店)', '短评打分': 1}
{'短评内容': '酒店的整个空间颜色都很好，但服务很一般，我们的房间是没有早餐券的，其他的房间客人用我们房间的名义可以去领早餐券，我感觉这样的服务不行，别的都还算满意', '短评打分': 5}
{'短评内容': '干净，也不吵，不错，略有点偏', '短评打分': 5}
{'短评内容': '酒店的设备很齐全，交通也很便捷，酒店的服务、环境也很不错', '短评打分': 5}
