{'descr': '经济型，挺干净的', 'star': 5}
{'descr': '位置算是比较方便的，但是，第一晚上安排到一楼的房间，霉味比较浓，天花板墙角有发霉的地方，发的霉味都掉在被子了，后来有换了一间，总体还可以', 'star': 5}
{'descr': '对于此类商务酒店来说，此处酒店还算不错，卫生比较好，因为往里缩进一块所以晚上休息不吵，房间隔音也不错。我对卫生和安静的要求比较高，否则无法住下去，这家酒店在这两点上都还不错！就是房间比较小，虽然布局很合理但是还是稍显局促了些，如果能大哪怕一点点都好很多。另外酒店距离新街口很近，离地铁口也近，出行比较方便，网路也很快，服务也蛮好。还可以有三杯免费饮料，挺好的！住过格林泰快捷，感觉设施和卫生不如汉庭。', 'star': 5}
{'descr': '还行，凑合吧，地点不错，价格适中，挺干净', 'star': 3}
{'descr': '房间不大，不过还蛮温馨，对于年轻人价格稍微有点贵，不过靠近新街口，可以理解', 'star': 3}
{'descr': '房间小了点，其他都不错。。地理位置还算优越', 'star': 5}
{'descr': '房間不錯,卫生很好,服務很好,位置一般般,有公交車,有地鐵,但公車只有3路,地鐵要換線,步行去新街口要十多分鐘,如果想住較近新街口的也有..但不知道卫生好不好,這間很新很不錯', 'star': 5}
{'descr': '位置不是太好找啊，呵呵 找了半天。特价房简陋了点。。。。。', 'star': 1}
{'descr': '位置不错。', 'star': 5}
{'descr': '房间小，隔音不太好，餐厅太小，价格高了点。', 'star': 1}
{'descr': '新开的酒店卫生设施各方面都不错。\r\n交通也算方便。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '离新街口很近，步行十分钟就行了。\n新春百元房较为便宜，房间较小，条件还不错。都比较齐全。\n值得推荐', 'star': 3}
{'descr': '离新街口很近，步行十分钟就行了。\n新春百元房较为便宜，房间较小，条件还不错。都比较齐全。\n值得推荐', 'star': 5}
{'descr': '位置离新街口中心地带稍微偏远一点, 设施还不错, 以百元房而言, 性价比很高.', 'star': 5}
{'descr': '住的新春百元房   很合适  很舒适！', 'star': 3}
{'descr': '房间很小（我住的是单人房），酒店停车位比较少。位置较好靠近江苏省中医院，离新街口还是很近的。', 'star': 5}
{'descr': '春节前几天订的百元房，比较整洁干净，在相对的市中心位置这个价格和环境，值了', 'star': 5}
{'descr': '够便宜', 'star': 1}
{'descr': '距离新街口非常近，房间虽然小 但感觉很温馨 很干净', 'star': 5}
