{'descr': '地理位置好，交通方便，不错。', 'star': 5}
{'descr': '非常糟糕的住宿体验。\n缺点：\n1.房间太小了，还不如如家的大。之所以住汉庭，就是因为汉庭的房间比较大，结果太失望了，而且我住的还是183元的高级商务大床房，太让人生气了。\n2.因为房间太小，结果卫生间和洗漱池是开放式的，只有浴室是封闭的。\n3.两双一次性拖鞋，其中一双有强烈的刺鼻气味，有点像樟脑球，但是比那个强烈一些。\n4.房间的无线网络经常不能使用，调好之后2个小时之后就又不能用了。\n5.临街，', 'star': 1}
{'descr': '什么都不说了，就是好~好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '小了点，设施有点旧，是不是该考虑重新装修了。', 'star': 5}
{'descr': '就是没窗户，其它不错 ', 'star': 3}
{'descr': '房间过于陈旧了', 'star': 3}
{'descr': '环境不错，最喜欢的是有吹风机。感觉很温馨。挺好的。还有赠品', 'star': 5}
{'descr': '为了早起搭第一班机场大巴才住这里，房间不太大，但是很整洁，还是不错的', 'star': 5}
{'descr': '住的高级大床房，性价比不太高，房价相对来说偏高，房间很小，显得有点拥紧局促。相对于周边同类连锁还是更愿意住如家、莫泰。', 'star': 1}
{'descr': ' 性价比高，交通还可以，房间稍有点小\r\n营销精彩人生！', 'star': 3}
{'descr': '舒适，干净，服务态度好。价格便宜，值得推荐，下次有机会还去住。', 'star': 5}
{'descr': '又住了一晚上，下次还会来的，经济实惠哈哈', 'star': 3}
{'descr': '很好，又续了一天，虽然是特价房，但是床特别软，服务态度也不错', 'star': 5}
{'descr': '周末特价房真的很好，性价比超值。特别值得入住', 'star': 5}
{'descr': '出游一直都会住汉庭，都挺好的，希望汉庭依然如此好！', 'star': 5}
{'descr': '非常好。', 'star': 3}
{'descr': '价格很优惠哦，而且这个酒店的位置真的是太棒了。', 'star': 5}
{'descr': '已入住，比较满意。', 'star': 3}
{'descr': '住的汉庭中华北大街那家，酒店不错，值得推荐！建议能提供出行雨伞，或者前台准备个药箱什么的更好了！', 'star': 3}
{'descr': '感觉不错', 'star': 3}
{'descr': '服务态度好。但是停电给我带来点困难。住两次了!下次还会考虑住这', 'star': 3}
{'descr': '服务员态度挺好的，服务挺到位，房间收拾的比较干净。就是感觉电视机的摆放位置有点儿别扭，总之打90分', 'star': 5}
{'descr': '老住客了，每次来石家庄都住这里，安静，房间很干净，距离闹市区也不远，价格也不贵。', 'star': 5}
{'descr': '酒店不错，交通比较便利，附近商店也多繁华的很。', 'star': 5}
{'descr': '其实酒店所处位置还是不错的比较热闹，购物吃饭都方便。就是酒店服务水平还有待提高。', 'star': 5}
{'descr': '酒店不错，就是服务和安排的房间再好点就更有人气了。', 'star': 5}
{'descr': '地理位置好，干净舒适，住的周末百元房很划算', 'star': 5}
{'descr': '非常方便。\n我是这里的老客户。\n值得推荐给大家。', 'star': 5}
{'descr': '酒店价格并不优惠,而且服务人员还推销办卡,晚上才到,忙着入住,', 'star': 5}
{'descr': '很好。地理位置也不错。主要的是房间空间及隔音好。', 'star': 5}
{'descr': '房间很干净，服务很到位！不错的！', 'star': 3}
{'descr': '大床很大。厕所很小。厕所和浴室的隔断感觉不太好，使厕所很小，浴室也很局促，转不开身。还有，现在的快捷酒店都流行把浴室弄成透明玻璃的吗？这样有情趣嘛？电视不是液晶的，在床上看电视需要歪着脑袋，一会就累了。', 'star': 1}
{'descr': '还不错，就是卫生状况不是很满意，总体上还好', 'star': 3}
{'descr': '地理位置不错。服务员很热情，值得推荐给大家。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '一直在这家住，但是这次感觉卫生稍微差点，别的都可以接受啦！', 'star': 5}
{'descr': '一直都来这 很不错。环境好。服务态度好交通便利', 'star': 5}
{'descr': '酒店非常好，服务态度超过世纪大饭店，哈哈。。', 'star': 5}
{'descr': '酒店为之相当不错，早点很丰富，就是晚餐稍微差了点', 'star': 5}
{'descr': '服务不错，就是方减稍微小点，距离市区很近', 'star': 5}
{'descr': '酒店倒是不错周边环境也好。就是前台入住退房不是让人很满意。前几天因为停电当时没能办理入住手续身份证被扣留，后来差点没给找着。', 'star': 5}
{'descr': '环境不错，去哪都方便。', 'star': 3}
{'descr': '服务好，卫生好，设备还比较好。客人多，有时候结帐和入住要稍等等的。', 'star': 5}
{'descr': '在这里住过几次了，服务不错，交通也方便。早餐比较丰富。电梯一部，有时候要稍等一下的。旁边的便利店里有煎饼，味道也不错。', 'star': 5}
{'descr': '很好 ，可以 大家可以放心入住，至于要写太多，我也没时间做太多点评。', 'star': 5}
{'descr': '就是位置比较方便，里面设施都是按照汉庭标准做的没什么大问题只是感觉房间很小，服务态度还可以，价格还行。', 'star': 5}
{'descr': '总是点评这个酒店。真的很不错。尤其是服务人员很热情。', 'star': 5}
{'descr': '总体还不错，干净，价格合理，服务也还可以。我们销售出差要求不高，最主要的干净就好', 'star': 5}
{'descr': '很好。地理位置也很好并且去其他地方也很方便。', 'star': 5}
{'descr': '很好，干净，就是临街，网速慢，如果不临街的话就更好了。', 'star': 5}
{'descr': '服务热情周到很好，环境不错下次还会来住。', 'star': 5}
{'descr': '我们去的那天下午停电，我们住5楼，整个下午啊，我们的遥控器坏了，打了两遍电话都没有人来，后来我自己出去找了个人换的。以前来过这家汉庭觉得不错，这次太让我失望了！', 'star': 1}
{'descr': '很好。就是房价小了点。服务员的态度非常好。很热情。', 'star': 5}
{'descr': '周边设施很好去哪里都很方便。酒店就是屋子小了点。不过还好。', 'star': 5}
{'descr': '床和卧具非常舒适，也很干净，插座和网线接口都非常人性化。由于定的特价房没有了，该店前台免费升级到标准间，比较满意。', 'star': 5}
{'descr': '安全设施比较到位，电梯有房卡才能上去。因为预订的特价房，因为客满免费升级到有窗大床房。', 'star': 3}
{'descr': '这个酒店就一个词“推荐”，服务很好，而且很干净，睡觉也安静，性价比不错。', 'star': 5}
{'descr': '很干净整洁，交通方便，唯一不方便就是附近吃饭的地方比较少，一直在酒店吃盒饭', 'star': 5}
{'descr': '酒店服务超好，进出酒店服务员都会热情的打招呼。电梯一部，但不会等很长时间。出门左拐有24小时便利店。', 'star': 5}
{'descr': '不错，环境服务都很好。希望下次还住这里！', 'star': 5}
{'descr': '还不错。总体来说还是比较满意的。以前是和我最爱的女朋友一起去的。不知道以后还有没有机会再去。', 'star': 5}
{'descr': '汉庭真不错，还给我换成商务房了！呵呵~~~汉庭总给我亲切的感觉，宾至如归啊！', 'star': 5}
{'descr': '比较郁闷，过去的时候说没房，正在打扫。。这一打扫就打扫了半个多小时，搞笑嘛。。等了很久才入住', 'star': 1}
{'descr': '交通很便利。服务还可以。就是早餐能再丰盛点就好了。房间里的东西太贵。', 'star': 3}
{'descr': '很不错的地段，价钱和设施对等，百元房还是值得推荐的', 'star': 3}
{'descr': '地理位置还不错，百元房值得推荐，可以多多关注', 'star': 5}
{'descr': '很好吧，就是那个前台有点问题，呵呵，希望下次注意', 'star': 5}
{'descr': '长期住这家店了 以后还会经常选择下榻于此', 'star': 5}
{'descr': '酒店不错，单人房很小，但双床房好多了。喜欢，下次和住。', 'star': 3}
{'descr': '性价比不错，干净整洁，交通方便，房间设计很合理，住得很舒适，', 'star': 3}
{'descr': '房间干净整洁，配套设施完善交通便利，性价比非常高', 'star': 5}
{'descr': '还可以吧，就是到这里等了很长时间才有的房！环境还可以！', 'star': 5}
{'descr': '感觉一般般，经济型酒店，因为工作原因，需要在附近办事，才选择这家酒店', 'star': 1}
{'descr': '+比较不错，性价比高', 'star': 3}
{'descr': '离火车站很近，个人感觉比较不错的选择，性价比高', 'star': 5}
{'descr': '地理位置很方便，打扫卫生的服务员很负责，房间里总有种香香的淡淡的味道，美中不足的是房间采光不好，白天超阴。', 'star': 5}
{'descr': '服务好.服务好.服务好.服务好.服务好.\r\n卫生好.卫生好.卫生好.卫生好.卫生好.', 'star': 5}
{'descr': ' 很干净，很舒服 不错.............................', 'star': 5}
{'descr': '不错的酒店，服务很热情，交通方便，卫生也好。下次还住这里。', 'star': 5}
{'descr': '不错 比较方便，下次还是住在哪里？适合出差人士', 'star': 5}
{'descr': '服务非常好,管理到位.推荐入住......', 'star': 3}
{'descr': '在新百广场附近，步行5分钟即可，离火车站2站路程，交通比较方便', 'star': 5}
{'descr': '很满意', 'star': 5}
{'descr': '第二次入住了，双床房比大床房大了不少呢。上网很快。前台的服务很好，略带河北口音的普通话听起来很好哦。', 'star': 5}
{'descr': '挺好的比较满意下次还会考虑', 'star': 5}
{'descr': '+', 'star': 5}
{'descr': '早餐非常好,感觉也很卫生.下次还会入住.', 'star': 5}
{'descr': '就是隔音效果不是很理想。\r\n总体来说还是很满意的。', 'star': 5}
{'descr': '还不错吧，这次去竟然没有定上百元房有点遗憾吧。。。。。。。。。。。。。。。。。。。。。', 'star': 3}
{'descr': '还不错吧，以前也有去过，周日去了竟然没有给留百元房，有点遗憾。。。', 'star': 5}
{'descr': '经济实惠,服务态度较好,性价比高,唯一的缺点就是特价房没有窗户,空气有点闷!', 'star': 5}
{'descr': '地方相当的好，距离商业区和火车站都很近。', 'star': 3}
{'descr': '整体还可以，如果价格再优惠点就更好了\r\n整体还可以，如果价格再优惠点就更好了', 'star': 3}
{'descr': '很不错的百元房，很卫生，挺好找的，下次来石家庄还来住', 'star': 5}
{'descr': '很好，我很喜欢这里环境。地理位置也很不错。就是酒店在注意点卫生方面。', 'star': 5}
{'descr': '位置好，价位好，房间也比较干净，就是电视有点小了。', 'star': 5}
{'descr': '还可以，环境和安静，也很干净 ，就是房间小了点，希望下次换个大点的！', 'star': 3}
{'descr': '地理位置比较好，就是没地方停车，停车收费受不了。', 'star': 5}
{'descr': '很不错的酒店，闹中取静。出门左拐有一个永和豆浆不错。房间干净，服务也好。下次还住。', 'star': 5}
{'descr': '整体来说还不错，就是特价房没有窗户，房间太暗！', 'star': 5}
{'descr': '整体不错房间小但位置好', 'star': 5}
{'descr': '位置很好，距离新百广场200米，离南三条不远，很方便', 'star': 5}
{'descr': '屋子有点小。就是隔音效果不是很理想。周边到是很方便。', 'star': 3}
{'descr': '整体不错\r\n干净舒适，临街交通方便，附近商场购物方便\r\n服务态度也挺好', 'star': 3}
{'descr': '很干净，舒适。临街，交通方便\r\n整体还不错', 'star': 5}
{'descr': '不错。。。整体不错，就是入住和退房时，等待时间太长；房间隔音太差；\r\n', 'star': 3}
{'descr': '整体不错，地段好；\r\n就是隔音差了点：\r\n还有办理入住和退房手续太慢！\r\n', 'star': 5}
{'descr': '服务到位，干净卫生，地理位置很不错，去哪里都很方便', 'star': 5}
{'descr': '起的太早了没来得及吃早餐，下次去石家庄还去这家，呵呵', 'star': 3}
{'descr': '位置不错 出门就是商业街 房间也比较干净', 'star': 5}
{'descr': '酒店里面有点小。隔音效果不好呀！晚上声音蛮大的。', 'star': 5}
{'descr': '挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的', 'star': 3}
{'descr': '挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的挺不错的', 'star': 3}
{'descr': '房间太少，等待时间太长', 'star': 5}
{'descr': '服务员很热情，就是门口一直停着一辆警车，不知道什么原因，还以为出了什么问题呢', 'star': 5}
{'descr': '还不错，位置就在新百广场旁边，大床房的床比如家大多了，舒服。', 'star': 5}
{'descr': '、*酒店基本情况评价-请根据您的入住体会，客观的做出评价: \r\n卫    生： 非常好服    务： 非常好 设    施： 非常好 很好差 \r\n位    置： 非常好 舒适度： 非常好 性价比： 非常好 ', 'star': 5}
{'descr': '酒店位置不错 离火车站很近 2站路左右，服务态度也很好，房间和其它城市汉庭没什么区别，我是金卡会员，定的特价房在前台也免费给我升级成高级大床房，不错', 'star': 5}
{'descr': '基本上不错，地理位置也不错。下次还住,就上早上外面放的音乐太早', 'star': 5}
{'descr': '房间有点潮，位置还不错，挨着路边，还有点吵。\r\n', 'star': 5}
{'descr': '紧邻商业街新百广场，位置比较好，房间和其他汉庭一样，很干净。', 'star': 5}
{'descr': '相当不错 房间也还行毛巾挺干净的 电视小点', 'star': 5}
{'descr': '住了3天，感觉非常好，服务很好，性价比很高，以后还会入住。', 'star': 3}
{'descr': '非常喜欢这个酒店，环境很好，卫生干净，服务也非常好，以后还会入住。', 'star': 3}
{'descr': '除了吃饭稍微有点不方便以外，各方面都非常不错，性价比很高，以后还会入住。', 'star': 5}
{'descr': '干净舒服，服务员非常热情！！！离火车站和购物广场非常近，值得入住！', 'star': 5}
{'descr': '非常喜欢汉庭，服务很好，环境也很安静，性价比很高，下次还会入住。', 'star': 5}
{'descr': '卫生条件不错前台服务也很好值得下次再住！', 'star': 5}
{'descr': '位置很好，服务周到，停车不方便并且加收停车费不合理。', 'star': 5}
{'descr': '交通和服务都还行，就是吃不方便，我发现方圆2公里竟然没有一家正经点的商店或者水果店', 'star': 3}
{'descr': '连锁酒店就是服务OK，早餐也不错', 'star': 5}
{'descr': '不错，交通和服务都可以，尤其是服务，从网上预定到入住不到5分钟，很速度，很体谅我们出差的人。', 'star': 5}
{'descr': '位置是不错 价格合理 值得入住', 'star': 5}
{'descr': '和一般的汉庭没有太大区别，就是网络有点故障，但是很快解决好了。由于中华北大街在修路，所以道路有些难走。总体来说还是不错的经济酒店。', 'star': 5}
{'descr': '装修紧凑但不压抑，设施很方便，交通业很方便，不过建议要坐飞机的同学定中山东路的汉庭，离做机场大巴的地方近些，就在一条路上。我定的周日百元房，除了进来的时候觉得空气有点不好，打开小窗户后发现窗外什么都看不见，没有送餐服务而且餐厅只卖套餐之外，很满意，特别是上网的地方，可以把脚放得很舒服，这一点很难得。出了这家店，购物吃东西什么的都很方便，咖啡厅必胜客什么的都有，不过石家庄本地小吃好像不在附近。快捷酒', 'star': 5}
{'descr': '环境还好，交通很便利', 'star': 5}
{'descr': '整体还不错，就是房间小了点。', 'star': 5}
{'descr': '除了位置 其他都不错', 'star': 5}
{'descr': '不错一直在入住，而且还有停车场。', 'star': 5}
{'descr': '这次住的是大床房，很舒适，房间也很干净。', 'star': 5}
{'descr': '性价比还行！', 'star': 5}
{'descr': '房间设施齐全,有吹风机可以用.可以免费上网.服务态度好.', 'star': 3}
{'descr': '酒店环境地理位置都很不错，第三天还给免费的升级房间了，很感谢！住的很舒服，下次去石家庄还会定这里。', 'star': 3}
{'descr': '地理位置优越，在新华路上，附近的购物交通都很方便，唯一不太好的是门口的中华大街正在修路，高峰时段比较拥挤。酒店设施齐全干净，服务也很周到，可以免费上网，还能免费打印，不错！', 'star': 5}
{'descr': '很安静，也很舒适，性价比不错', 'star': 5}
{'descr': '第二次住 还行', 'star': 5}
{'descr': '不错~我想住大床的~特价房~但是总是没有~总是双床的~~悲剧', 'star': 5}
{'descr': '高级大床房的电视还不如特价房的电视，特价房的电视还是挂墙的液晶电视', 'star': 5}
{'descr': '不错,性价比高,服务态度也不错', 'star': 5}
{'descr': '还不错，但前台只有一个人，而且洗漱用品居然一开始没放好', 'star': 1}
{'descr': '我住的时候正好修路，所以比较安静，感觉服务挺好。。。。', 'star': 5}
{'descr': '工作人员态度非常好  位置不错  就是修路不太方便  但不是酒店的错', 'star': 5}
{'descr': '还不错 便宜嘛', 'star': 3}
{'descr': '还可以吧', 'star': 3}
{'descr': '周边环境不错，商场餐饮设施都很多。虽然外面施工，但是里面很安静，并不觉得吵。', 'star': 5}
{'descr': '修路，不方便，太吵了，房间性价比不是很好，建议改住汉庭酒店中山路店，那里的特价房也别这个好很多，大床，超级舒服', 'star': 3}
{'descr': '位置很好，性价比不错。', 'star': 5}
{'descr': '服务很好！~！~就是毛巾有点脏。。。。可能是旧了吧。。。。由于修路所以交通不是很方便。。洗澡时发现下水道堵的很厉害！~！~下水很慢！~没了！~整体还是很满意的~', 'star': 5}
{'descr': '还不错吧。就是没窗户', 'star': 5}
{'descr': '在修路，很不方便，吵，三个月之内不考虑推荐朋友入住', 'star': 1}
{'descr': '非常不错 希望便宜点', 'star': 5}
{'descr': '每次来石家庄都住这里。位置好，价格合适，值。就是房间有点小。', 'star': 3}
{'descr': '很好，交通方便，毗邻火车站，各方面的条件非常好，除了停车不方便。', 'star': 5}
{'descr': '酒店位置不错，但最近在修路，稍微有点吵', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错的地方，这是再次光顾', 'star': 3}
{'descr': '这家酒店总体上来说还不错，只是设施非常一般。房间的门缝总让我有种不安全的感觉。服务态度还好，卫生不错，只是洗手间小了一点。', 'star': 5}
{'descr': '就是隔音效果有点差', 'star': 5}
{'descr': '比想象中要好', 'star': 5}
{'descr': '由于订的是星期日特价房,性价比非常高,服务、卫生很好,设施也很好,是日后的首选.', 'star': 5}
{'descr': '非常舒适的环境，还有周到的服务，让我每次都推荐的朋友住在这里，值得向大家推荐。\r\n位置离火车站很近，交通很方便，挨着商场太和购物方便，价格实惠，周边小吃超级多。', 'star': 5}
{'descr': '服务非常好，隔音效果一般，特价房的性价比很高，值得推荐', 'star': 5}
{'descr': '酒店位置还可以，是里新百广场最近的一家经济型连锁酒店，服务也还不错。朝马路的房间白天可能会稍微有点吵。近期门口修路，交通稍微受些影响', 'star': 3}
{'descr': '真的是旧了 该换新的了', 'star': 3}
{'descr': '1', 'star': 5}
{'descr': '还不错 就是东西有点旧了', 'star': 5}
{'descr': '总体还可以  \r\n', 'star': 5}
{'descr': '出差路过石家庄，住宿一晚。门前在修路，开车到酒店不太方便。要逆行一小段。服务非常好！\r\n', 'star': 5}
{'descr': '卫生良好 卫浴分开很合理 服务让人满意 很不错', 'star': 5}
{'descr': '位置不错，离火车站不算太远，而且环境比较清静。服务态度很好，房间里电视频道很多，网线床头、桌子附近都有，还是比较方便。就是房间小点', 'star': 5}
{'descr': '还不错了 性价比较高\r\n地理位置比较好 离火车站很近', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '很不错，值得推荐', 'star': 3}
{'descr': '我住了一晚上。各方面都还好。嘿嘿', 'star': 5}
{'descr': '不错，推荐', 'star': 3}
{'descr': '住的2楼特价房，缺点是楼上总是有流水的声音，其他还好。', 'star': 5}
{'descr': '最近因为修路，交通不方便，总体不错', 'star': 3}
{'descr': '总体感觉不错，就是偶尔会碰到隔壁很吵，多少会影响休息，隔音效果不佳。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '各方面都还不错，就是面积小点', 'star': 5}
{'descr': '不错，经常住', 'star': 3}
{'descr': '我们去的时候门口正在修路，有点不方便，不过还好啦，前台对这方面都有提示的。离火车站打车起步价就能到，走过去也不算很远。商业街也是走两步就能到，离市中心这么近价钱也不算很高。我们3个女生去的，双床都是1.5的，够睡4个人了。头一天住在火车站对面的一家，虽然也还过得去，和汉庭比就差远了。这家很超值哦', 'star': 5}
{'descr': '住的确实比较舒服 离商业中心也比较近 但是周围正在修路 这点对行程有影响 也不方便', 'star': 5}
{'descr': '不错，值得推荐', 'star': 5}
{'descr': '酒店楼下的大街正在大修，交通极不方便，近期不推荐入住，最好过段时间交通恢复了再说。。。', 'star': 1}
{'descr': '酒店位置不错，离新百广场大概800米左右，除了中山东路店，这家店是离火车站最近的汉庭，不过最近中华北大街修路，交通稍微有些受妨碍。', 'star': 5}
{'descr': '屋子太小，订的大床，却给个双人床，而且每窗户，其他还可以。', 'star': 5}
{'descr': '很好啊，服务特不错', 'star': 5}
{'descr': '酒店工作人员的服务态度很好，包括前台的三名女员工周丹丹、一位实习生和另一位女员工都很有耐心，保洁员见到客人会很有礼貌地主动问候，表现得很友善。\r\n酒店卫生非常好。\r\n', 'star': 5}
{'descr': '不错的，位置比较方便出行，服务也到位', 'star': 5}
{'descr': '目前门前在修路施工，入住一定要住在奇数的房间，是不临街的。不然会干扰休息。', 'star': 5}
{'descr': '这个价位推荐入住', 'star': 5}
{'descr': '总体环境不错，就是没有窗户', 'star': 3}
{'descr': '不错，还给我们免费升级。', 'star': 5}
{'descr': '还不错，离新百和挺近的，周边什么都有，最主要的是有一个火车站售票点&#183;&#183;方便&#183;&#183;&#183;\r\n这家店旁边还有一个药店&#183;&#183;&#183;&#183;\r\n最近好像修路，得从人行道进去&#183;&#183;&#183;请大家注意下&#183;&#183;&#183;', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间有点小，不过还行', 'star': 5}
{'descr': '毛巾有点旧，门缝太大了点，但整体感觉不错，尤其喜欢卫生间的设计！！', 'star': 5}
{'descr': '位置不错，价位不低，没有车位', 'star': 3}
{'descr': '很干净，舒适', 'star': 5}
{'descr': '隔音不好，午餐品种不足，地点不错。\r\n', 'star': 5}
{'descr': '卫生感觉一般，尤其是电热杯，呵呵，太明显了。\r\n', 'star': 1}
{'descr': '住的是周日特价房，缺点是没有窗子。\r\n不过汉庭的设施还是很不错的，尤其是在大厅刷房卡就能上网了，还是很方便的。住汉庭给人的感觉是房卡很重要，就连上电梯也需要刷卡，所以说住这里还是很安全的。\r\n汉庭的生意真的是非常好，进到酒店就没看到服务员闲下来，即使这样前台服务员的态度还算很好，所以推荐去汉庭 性价也比不错。\r\n对了 这里还给提供一次性拖鞋 让人感觉很卫生', 'star': 5}
{'descr': '很不错的一间酒店、', 'star': 3}
{'descr': '总体来说很不错，可能因为我们入住的特价房吧（暗房），感觉有点憋闷，虽然有空调，空气都不流通..感觉有点不爽', 'star': 5}
{'descr': '挺好的,入住速度快,环境不错.服务还可以做得更好,比如南三条的那家做会好点.', 'star': 5}
{'descr': '位置好，房间小，毛巾旧，还不错，继续住。', 'star': 5}
{'descr': '还行 和其他城市的汉庭比起来 一般般了 主要有些靠近马路 睡觉会有些影响', 'star': 3}
{'descr': '酒店环境还行，房间小了点，结账时忘记有没有退押金，要求查看录像，等待了很长时间，服务上还需提高', 'star': 3}
{'descr': '酒店环境不错，就是房间小点', 'star': 3}
{'descr': '很不错，每次我都住这里，下次还会住，也会向朋友推荐的！', 'star': 5}
{'descr': '不错，物有所值', 'star': 5}
{'descr': '很不错，比其他地方的价格要便宜，推荐，交通很方便，设施也比较新。喜欢汉庭的床，和荞麦枕头，网速也不错，', 'star': 3}
{'descr': '位置很好 离火车站很近 周围的休闲 餐饮 购物 商务场所很多 公交线路也很多', 'star': 5}
{'descr': '性价比不错，最喜欢的就是网速，比其他地方的都要好，汉庭的床和被子很舒服，是我住过最贴身的，推荐', 'star': 5}
{'descr': '还可以了 服务什么的都可以', 'star': 5}
{'descr': ' 唯一特点枕头是荞麦皮双面的较舒服，毛巾更换周期长（毛巾很黑），早餐太贵，停车位只有三个几乎没机会用，', 'star': 5}
{'descr': '总体感觉还可以吧，毕竟价格在那里呢，只有138元。', 'star': 5}
{'descr': '有一个房间的空调不能够制热，冬天不能入住。', 'star': 1}
{'descr': '牌子不太明显\r\n其他方面都不错', 'star': 5}
{'descr': '特价房由于没有窗户，所以房间有异味，不过瑕不掩瑜，可以接受。', 'star': 5}
{'descr': '附近有新百商场，购物方便，酒店有免费咖啡，味道不错', 'star': 5}
{'descr': '地理位置、酒店环境都还好，就是前台服务人员业务不是很娴熟。', 'star': 1}
{'descr': '不赠早餐、没有停车场、毛巾非常旧', 'star': 3}
{'descr': '办续住时出了点问题，服务态度很好，热情的解决了', 'star': 3}
{'descr': 'nice', 'star': 5}
{'descr': '离车站不远。干净舒适。', 'star': 5}
{'descr': '服务可以.', 'star': 5}
{'descr': '还不错，下次还会住这里！', 'star': 3}
{'descr': '环境不错，浴室内晾衣架应收起放内侧并贴标提示“小心撞头”', 'star': 3}
{'descr': '各个方面都不错，下次还会住这里，就是午餐和晚餐都是简餐，这点不太好。', 'star': 5}
{'descr': '没有停车位，毛巾很旧，早餐太贵，8元以内合适，市话不免费，枕头还可以', 'star': 1}
{'descr': '房间隔音不好', 'star': 3}
{'descr': '酒店干净，服务好，且距离石家庄商业中心步行只需5分钟，周末百元的大床房价格也很合理', 'star': 3}
{'descr': '经济 实惠  好吃  不贵', 'star': 5}
{'descr': '房间比较小，朋友结帐时出了些小问题，服务态度一般', 'star': 5}
{'descr': '房间有潮气位，其他还可以', 'star': 5}
{'descr': '当天气温零下十几度，房间没有暖气，由于气温低空调开了效果不大，反正走廊都比房间暖和。', 'star': 5}
{'descr': '晚上有些吵', 'star': 5}
{'descr': '没有停车位，停车不太方便。其它可以，推荐。', 'star': 5}
{'descr': '综合的来说，还是很不错的', 'star': 3}
{'descr': '卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店', 'star': 3}
{'descr': '我觉得酒店环境还可以，位置也比较方便', 'star': 3}
{'descr': '总体不错', 'star': 5}
{'descr': '屋子显得很拥挤，没有中山西路店好！', 'star': 1}
{'descr': '前台的服务员素质太差，电梯的设计太不人性化，其他的还可以。', 'star': 5}
{'descr': '总体来说这家酒店不错，但是第一晚入住是一个没有暖气的房间，第二晚要求换房，但是服务员有点推脱，不过最后还是换了。', 'star': 3}
{'descr': '我很喜欢这家酒店,位置很好,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,而且性价比也比较高的.', 'star': 3}
{'descr': '干净整齐，服务很好。', 'star': 3}
{'descr': '一开始安排没有暖气的房间，让服务员给调换不是太情愿，说半天才给换，其他各方面都不错，价格适中，地段便利', 'star': 3}
{'descr': '其他都很好 就是 水有点凉``', 'star': 5}
