{'短评内容': '不错，房间挺大的', '短评打分': 5}
{'短评内容': '优点，近海，房间大 洗澡水给力\n\n缺点  卫生差  一楼客服总在你睡午觉时电话吵醒你住了2天，吵了2次；搞卫生的也敲门催你！服务意识比较差\n      在装修，大堂有味道，  大门口都是装修垃圾和碎玻璃，就是没人收拾，出门要非常小心   房间和楼道有那种老房间的味道，怎么也去不掉；\n\n     楼下是干路，大车昼夜穿行不停歇，第一晚快1点才睡着，本来想住一周，只好换地方了', '短评打分': 1}
{'短评内容': '我们订的商务酒店，可能虹口大酒店会好一点，酒店设施比较陈旧，服务不是特别理想，家庭房的床还可以，一大一小，比较适合有小孩的家庭住，没有早餐，离浴场很近。', '短评打分': 1}
{'短评内容': '非常好。离第一浴场走5分钟就到。环境也很好。', '短评打分': 5}
{'短评内容': '酒店的服务人员非常热情。登记之后，入住楼层的服务员迅速打开房门，帮我们烧好开水，并对房间做了简要介绍，烟台人的热情，该酒店的服务水平迅速体现出来。房间里的条件很好，宽敞且性价比相当高。入住一晚后要去长岛，前台人员迅速联络出租车司机，让我们少走了弯路。在外旅游七天，这家酒店给我们全家留下了美好的印象。下次到烟台，还住该酒店。强烈推荐朋友们前往入住。', '短评打分': 5}
{'短评内容': '到烟台许多次都是住在其他酒店，这次与家人到烟台第一次入住该酒店，感觉该酒店不论位置，价格都不错，特别适合家庭旅游度假，值得再次入住。', '短评打分': 5}
{'短评内容': '很干净，设施很齐全、服务态度好、地点非常好！下次还回来', '短评打分': 5}
{'短评内容': '服务超好，房间大。我很喜欢', '短评打分': 3}
{'短评内容': '总体来说酒店不错，靠近海边，下次还会考虑', '短评打分': 5}
{'短评内容': '挺不错的一家酒店,卫生等各方面都挺好,房间也很大,服务也不错,只是停车不是很方便的,值得推荐.', '短评打分': 5}
{'短评内容': '共用周围虹口酒店的设施，在商务室用电脑等是免费的', '短评打分': 5}
{'短评内容': '是虹口酒店集团的酒店群里，服务员都蛮用心思的，挺方便的', '短评打分': 5}
{'短评内容': '交通便利，离海边近，比较新，价位适中。', '短评打分': 3}
{'短评内容': '酒店位置好，房间大，主要是附送的推拿很不错，推荐', '短评打分': 3}
{'短评内容': '房间环境还不错，就是毛巾有点陈旧，地利位置很便利，最喜欢的就是网速了，很快。', '短评打分': 5}
{'短评内容': '房间很舒适', '短评打分': 3}
{'短评内容': '不错，位置超好，房间够干净。\n服务态度也不错，值得再次考虑。', '短评打分': 5}
{'短评内容': '房间很大，服务也不错，配备的很好。最重要的是位置好。', '短评打分': 3}
{'短评内容': '这个价位还是不错的。位置不错，就在第一浴场旁边，公交、打车都很方便。服务还行，网上预订可以延时到下午两点结账，并且提供了间朝阳的房间，虽然下雨5555555。电视稍旧点，房间似乎不到35平。', '短评打分': 5}
{'短评内容': '不错以后继续入住', '短评打分': 3}
{'短评内容': '毛巾太旧了', '短评打分': 3}
{'短评内容': ' 环境不错，感觉也不错。就是早餐贵点了。以后来烟台新的居住地就这了。', '短评打分': 3}
{'短评内容': '环境很好，干净，房间也很大！附近交通便利，离海边很近！', '短评打分': 5}
{'短评内容': '非常不错的酒店  只要是客户需要的就力所能及的去帮忙 我无意间问了酒店长途车的问题 刚到了房间没多久服务员就回电并告诉我详细的时刻表，住了3了 期间服务员还帮忙吧袜子给洗了……=。=太感谢了~', '短评打分': 5}
{'短评内容': '设施有点旧，但是服务态度很好，尤其是楼层服务员写的小便条很暖人心', '短评打分': 5}
{'短评内容': '满意,如果早餐价格再低一些就更好了.', '短评打分': 3}
{'短评内容': '环境很好!给人的感觉非常的舒适.电视给人的感觉有点旧了,其他的还可以,毕竟是商务酒店这个价格已经不错了!', '短评打分': 5}
{'短评内容': '酒店位置方便,酒店交通便利.酒店方间宽敞,设施齐全,价格合理,服务周到!', '短评打分': 3}
{'短评内容': '很好,很干净，价格合理， 很好的商务酒店，适合接待客户', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
