{'短评内容': '还行，住着一般！墙皮都掉了！', '短评打分': 3}
{'短评内容': '冰箱噪音大', '短评打分': 3}
{'短评内容': '很难找到，在一个小区里面。设施陈旧，卫生也不太好。\n唯一亮点是一楼一个接待处的小胖女生，非常漂亮，又乐于助人，有问必答。\n谁娶她就好福气了。', '短评打分': 1}
{'短评内容': '很好的酒店，来过很多次了，很舒服，很干净，有家的感觉', '短评打分': 5}
{'短评内容': '房间空调噪音太大', '短评打分': 3}
{'短评内容': '不错，房间大，很舒适', '短评打分': 3}
{'短评内容': '非常满意，房间设施环境比我以前住的如家，7天都感觉要好些。不过服务员的服务水平不怎么样', '短评打分': 5}
{'短评内容': '环境不错  唯一不好的就是 本来是首次入住办理金卡可以立减100元 服务人员都不告诉  有点装孙子 等结账完了 已经修改不了了', '短评打分': 5}
{'短评内容': '施工噪音,影响睡觉', '短评打分': 3}
{'短评内容': '太次了！设施次！隔音差！没热水！夜里还特别吵！', '短评打分': 1}
{'短评内容': '屋里有蚊子', '短评打分': 3}
{'短评内容': '还好！就是隔音太差！', '短评打分': 3}
{'短评内容': '酒店性价比还不错，就是没订到舒适大床房。时尚大床就是多了个贵妃椅，其他都一样', '短评打分': 5}
{'短评内容': '感觉不错，希望卫生方面加强一些，被子有些脏', '短评打分': 5}
{'短评内容': '很不错，性价比很好，房间很大，设施也不错。', '短评打分': 5}
{'短评内容': '环境好。交通便利，房间也很大！', '短评打分': 3}
{'短评内容': '每次去都住，房间宽敞，设施也很不错，就是电视差点。。。。', '短评打分': 5}
{'短评内容': '很干净，也很宽敞。', '短评打分': 3}
{'短评内容': '屋里好暖啊', '短评打分': 3}
{'短评内容': '好评，就是这次前台的服务员态度不是很好。。。', '短评打分': 5}
{'短评内容': '酒店很一般，安静倒是真的，但是隔音太差了', '短评打分': 3}
{'短评内容': '酒店位置虽然偏，可是周边吃饭、交通很方便，超市什么的都很全，酒店设施很不错，性价比很高，而且房间比较宽敞。住过很多次了，服务也不错。', '短评打分': 5}
{'短评内容': '性价比还可以，就是厕所味道比较大。位置也比较偏', '短评打分': 5}
{'短评内容': '第一次去，感觉很好，宽敞明亮，房间里的家具、电器都很不错，设施也很完善，很贴心。有家的感觉。超级实惠，以后又机会还会去。', '短评打分': 5}
{'短评内容': '其它没什么不好,就是洗澡水太差。', '短评打分': 3}
{'短评内容': '酒店性价比很高，房间和宽敞，服务很好，周边也很方便。', '短评打分': 5}
{'短评内容': '房间床很大，好好好好好阿红阿红啊哈将好好好好好阿红阿红啊哈将', '短评打分': 5}
{'短评内容': '暖气很热.很舒适', '短评打分': 3}
{'短评内容': '酒店环境不错，内部设施齐全，出行交通便利。', '短评打分': 5}
{'短评内容': '干净，安静，美中不足是有点偏，外面街上很脏。', '短评打分': 5}
{'短评内容': '条件蛮好的，床也舒服。但毛巾不太干净，最郁闷的是楼道中间的紧急出口居然用链条锁住了，真不知道一旦有险情让客人怎么逃生。这可不是小问题，这么狭长的结构，光靠一头的那个紧急出口可是不够的。', '短评打分': 5}
{'短评内容': '晚上十二点就没热水洗澡了，也没暖气了', '短评打分': 3}
{'短评内容': '房间挺好。很不错，下回还会选择富驿', '短评打分': 3}
{'短评内容': '在这样的季节暖气相当给力，向南的房间每天都有日光浴可以享受，不错！\n', '短评打分': 5}
{'短评内容': '环境还行，住过2次了，没洗过热水澡,价格还行', '短评打分': 5}
{'短评内容': '第二次入住，感觉不错，热水器也会用了，地暖很不错', '短评打分': 5}
{'短评内容': '地暖，热水也很热，屋子很干净，大厅也很独特，6层', '短评打分': 5}
{'短评内容': '过年了，如果你有机会来北京逛逛，这家酒店是你不错的选择', '短评打分': 5}
{'短评内容': '房间还不错，比较卫生和干净，但是位置不好，太偏僻了，几乎都是黑车，打不到正规出租车，而且酒店刚开张，没有餐厅，服务什么的都还不够完善', '短评打分': 1}
{'短评内容': '干净卫生，方便快捷，很适合商务出差，交通也很方便。', '短评打分': 5}
{'短评内容': '一如既往的好，去过4、5次了，物超所值~~', '短评打分': 5}
{'短评内容': '元旦住酒店，就有抽奖机会，机会难得，快去入住参加吧', '短评打分': 5}
{'短评内容': '服空间很大，很干净，房间环境不错，就是进口处很乱，十二点必须退房，多一分钟都要加钱，后来告知，只有外宾会员才能延长，地暖还是不错，房间空间还可以，就是洗澡的水太小。', '短评打分': 5}
{'短评内容': '房间跟图片上面差不多，只不过酒店位置还真不太好找，在一个大院里面。', '短评打分': 5}
{'短评内容': '空间很大，很干净，环境也不错，挺不错的，只是刚开始洗澡的时候没有提前加热，以为没有热水，后来知道了', '短评打分': 5}
{'短评内容': '住的挺舒服的', '短评打分': 3}
{'短评内容': '有地热，很舒服的旅店，很干净，空间也大，下次还会选择', '短评打分': 5}
{'短评内容': '楼下没有早饭，其它都还不错，性价比可以。', '短评打分': 5}
{'短评内容': '位置较偏远，不过性价比挺高的，值得推荐。', '短评打分': 5}
{'短评内容': '地热供暖，这点在冬天很舒服。性价比还不错。', '短评打分': 5}
{'短评内容': '还行，只是取暖和热水都是独立供暖的，每间房有自己独立的设备，有点用不惯', '短评打分': 3}
{'短评内容': '地暖很舒适，灯光很柔和，交通很便利，预定快捷', '短评打分': 5}
{'短评内容': '房间还算整洁，比较安静。然而服务较差。电话不好用，宽带也不能用。说是找人来修，直到退房也没有人修。很让人生气!', '短评打分': 3}
{'短评内容': '交通便利，房间很暖和，也挺干净的，感觉还算舒适。', '短评打分': 5}
{'短评内容': '还不错。很暖和。就是灯光不好,照出来感觉没7天等酒店干净.', '短评打分': 5}
{'短评内容': '暖气很热，很舒适', '短评打分': 3}
{'短评内容': '不错，有阳台，很温馨，下次还回去住的，哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店环境舒适，暖气很暖和，房屋时尚干净，周边吃饭的地方很多', '短评打分': 5}
{'短评内容': '客房很安静，免费上网，价钱便宜。\n只是出热水的速度不够让人满意。有机会还是会入住的。', '短评打分': 5}
{'短评内容': '大体上还是不错的，值得推荐，就是浴室设施不够完善，其他的都还不错啦', '短评打分': 5}
{'短评内容': '房间有地热，很舒适，很温馨，还会再次光顾~~', '短评打分': 5}
{'短评内容': '条件不错，性价比较高，可惜忘记带相机了，手机拍的照片太小无法上传。这次住的是双人标准间，最大的特点是有个大阳台，虽然当天去阴天，但是有阳台的房间感觉敞亮很多。卫生条件不错，热水壶是不锈钢的，很干净。燃气热水器、空调、电吹风、电视都很新，还有个冰箱，夏天入住一定很惬意。酒店不临街，所以晚上很安静。美中不足就是隔音效果差点，碰到个喜欢穿高跟鞋，又爱爬楼梯锻炼身体的美女就有点无奈了。总体感觉很好，服务人', '短评打分': 5}
{'短评内容': ' 态差劲了，服务态度不怎么样。设施陈旧。床单脏了还扣70。', '短评打分': 3}
{'短评内容': '房间很舒适，床很大，阳台很豁亮', '短评打分': 3}
{'短评内容': '环境好设备舒适服务周到让你享受物美价廉的感觉', '短评打分': 5}
{'短评内容': '酒店的设置很舒适，很温馨，环境也很不错，物超所值…', '短评打分': 3}
{'短评内容': '酒店设备很好，住的很舒适', '短评打分': 3}
{'短评内容': '景色很好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '总体还不错，就是洗澡水流了整个卫生间，洗澡的地方应该加一个挡条就好了', '短评打分': 5}
{'短评内容': '环境不错，各方面都还可以，交通位置距京藏高速很近', '短评打分': 5}
{'短评内容': '酒店布局不错 很大  热水器需自己加热后才能淋浴', '短评打分': 5}
{'短评内容': '整个酒店电视系统是坏的没有任何台可看。', '短评打分': 3}
{'短评内容': '各方面都还OK，唯一不足之处浴室太小，洗澡虽然有浴帘可还是喷得满地都是水包括马桶', '短评打分': 5}
{'短评内容': '很干净，交通业很方便~不过店在里边，需要认真找一下~~~\n总体来说很好，房间舒适干净，设备也很齐全。', '短评打分': 5}
{'短评内容': ' 房间宽敞清洁， 淋浴一开地上全是水，需改进。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '这家酒店干净、舒适、安静，住了两次，一次是时尚大床房，一次是舒适大床房，舒适大床房比时尚大床房面积小一点，但是硬件设施都一样，值得推荐', '短评打分': 5}
{'短评内容': '酒店位于居民小区边上，环境安静，房间相对较大，设施不错，有阳台，像酒店式公寓，性价比不错。出行交通比较方便。值得推荐。', '短评打分': 5}
{'短评内容': '酒店不错卫生', '短评打分': 3}
{'短评内容': '位置在小区边上，安静。房间相对比较大，还有一个阳台，也比较干净。性价比比较高。出门就有公交站，比较方便出行。\n\n', '短评打分': 5}
{'短评内容': ' 酒店还不错，经济实惠，服务态度也挺好', '短评打分': 3}
{'短评内容': '预定之前有去看房，感觉还行，房间比较宽敞，较之我看的其他几家宾馆性价比相对来说比较高，房内设施较满意', '短评打分': 5}
{'短评内容': '位置好，免费停车，主要是设施好，如空调、冰箱、热水等', '短评打分': 5}
{'短评内容': '环境还不错！就是离目标地方太远了！公交还算方便', '短评打分': 5}
{'短评内容': '条件不错，卫生干净，设施齐全，住房舒适。', '短评打分': 5}
{'短评内容': '还可以，公寓结构，毛巾有点发黄，隔音差一些。离地铁稍远。其他还好。', '短评打分': 3}
{'短评内容': '不错啦  住了两回了  下会有机会再去  这回是六楼好像有点霉味道  厕所不是很干净', '短评打分': 5}
{'短评内容': '干净舒服，有个阳台，光线很好，就是热水器有点不好用，希望改进', '短评打分': 5}
{'短评内容': '设施—般    卫生间较小 ', '短评打分': 3}
{'短评内容': '交通和室内设施都听不错的  下次还会再来的', '短评打分': 5}
{'短评内容': '十性价比不错', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '房间相对比较大，还有一个阳台，也比较干净，也挺安静。性价比比较高', '短评打分': 5}
{'短评内容': '性价比不错，房间同等价位中算很宽敞的，设施也比较齐全。', '短评打分': 5}
{'短评内容': '床有点高', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '房间很整洁！\n比较实惠，有机会还会住的！', '短评打分': 5}
{'短评内容': '还不错，就是床有点高！\n服务态度也还可以！', '短评打分': 5}
{'短评内容': '干净整洁，服务态度好干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '环境干净整洁，服务也很到位。不错，超值!环境干净整洁，服务也很到位。不错，超值', '短评打分': 5}
{'短评内容': '这家店可以申请电脑房，真的不错，嘿嘿，服务态度还好，朋友很满意', '短评打分': 5}
{'短评内容': '比较简朴的屋子，厕所小了点，房间挺大的。', '短评打分': 5}
{'短评内容': '价格基本上还是是合理，但咋个很好找，房间隔音效果实在不敢恭维。', '短评打分': 5}
{'短评内容': '过来西三旗办事，特别定的这个酒店，位置还是很好的，也很好找', '短评打分': 5}
{'短评内容': '条件一般，他的会员价更便宜', '短评打分': 3}
{'短评内容': '该酒店价格实惠，卫生还算可以。缺点是周边环境比较差，打的也不大方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '比较干净\r\n李冰', '短评打分': 3}
{'短评内容': '感觉还不错，有个大阳台还有环境也还好。', '短评打分': 3}
{'短评内容': '位置好找。\r\n李冰', '短评打分': 3}
{'短评内容': '优点：整洁舒适，环境优雅，还有阳台，是个不错的选择。\n缺点：淋浴头该换了', '短评打分': 5}
{'短评内容': '好好好好好好好好哦啊后啊哈哦啊红红啊哈ohio后悔', '短评打分': 5}
{'短评内容': '有网线没电脑。。。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '很干净，不错', '短评打分': 3}
{'短评内容': '酒店环境和服务都不错！感觉性价比很高！推荐大家入住。\n提醒：房间内不是插电取卡 所以出门的时候需要关闭电源。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '干净卫生，还不错呢，客户相当满意我这次帮他们定的房间。', '短评打分': 5}
{'短评内容': '很好，干净', '短评打分': 3}
{'短评内容': '酒店还不错，虽然是五环，但是附近比较繁华，房间挺大的，就是卫生间淋浴水小了一点。', '短评打分': 5}
{'短评内容': '一般还行啦   对不起这个价格  稍微贵了点  再便宜点就好了', '短评打分': 5}
{'短评内容': '酒店还可以,挺大的,有阳台,采光不错~', '短评打分': 3}
{'短评内容': '客房好，位置偏', '短评打分': 3}
{'短评内容': '酒店很卫生!感觉很舒服!性价比较高,距离地铁线龙泽站也不远,本月20日将会继续入住!', '短评打分': 3}
{'短评内容': '干净，挺不错的。以后还会继续住的。服务也不错。', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '地理位置有些偏，不过单从入住条件来说，性价比还不错。', '短评打分': 5}
{'短评内容': '不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,不错,', '短评打分': 5}
{'短评内容': '很好 很强大  很暖和 位置不错 很好的一个酒店  推荐继续入住', '短评打分': 5}
{'短评内容': '安静，性价比比较高。在附近办事，这里是很好的选择', '短评打分': 5}
{'短评内容': '不错,非常舒服,而且经济实惠.大家都来居住吧,希望大家都开心.', '短评打分': 5}
{'短评内容': '房间比较大,设施很新,条件在同价位中算上乘,就是没有餐厅,附近吃早饭不方便', '短评打分': 3}
{'短评内容': '价格合适，交通便利，房间还算干净，挺好的', '短评打分': 5}
{'短评内容': '挺干净的，地理位置不是特别好！特别难找！虽然就在西三旗桥东！', '短评打分': 5}
{'短评内容': '尽管地处五环，但房间整洁温暧，实为周边之较高性价比之酒店，强烈推荐！', '短评打分': 5}
{'短评内容': '干净,在居民区附近,招待朋友不错,要是价格能再优惠点就更好了.', '短评打分': 5}
{'短评内容': '性价比总体不错，突出的缺点是地理位置不方便和隔音超差', '短评打分': 5}
{'短评内容': '价格实惠，地理位置不好，隔音不好，总体还不错', '短评打分': 5}
{'短评内容': '位置有些偏就在一个巷子里标志物也 里面的环境还好房间的卫生条件还行，但是网速太慢了老是掉线，价格感觉还是贵了。', '短评打分': 3}
{'短评内容': '在这个价位的酒店里，应该算比较好的。\n优点不说了，在这里提几个问题，有的解决可能麻烦一些，有的只是小细节很容易修改\n1.门镜应该加一个可以放下来的挡板，不然在外面仔细一点是可以看见里面的。\n2.房间门在里面无法彻底锁上，有房卡随时可以进\n3.防盗门隔音太差，希望可以加一个木门，正好前面2个问题就一起解决了\n4.卫生间水龙头太低，接水不方便\n其他的挺好的，希望越办越好\n', '短评打分': 5}
{'短评内容': '房间隔音太差，卫生间需要再装修，烧水里面水垢太多，门镜没有遮挡牌，其他的都还好', '短评打分': 5}
{'短评内容': '对休息要求比较高的人 不推荐这家酒店 半夜都有人在吵 \n开关门都像在耳边一样 郁闷', '短评打分': 1}
{'短评内容': '性价比还是不错的 但是隔音实在太差了 没有住过隔音这么差的 ', '短评打分': 5}
{'短评内容': '性价比比较高  总体还是不错的  就是隔音实在是太太差了', '短评打分': 5}
{'短评内容': '楼下饭馆挺多的，还有超市药房都很近，有很多公交，离地铁远点。\n总体就是价位低，适合要求不高的人住，希望以后改进一下浴室和隔音这两方面，不然就浪费了这么大的房间这么有利的资源了。', '短评打分': 5}
{'短评内容': '价格便宜、面积很大，很喜欢他的大阳台和小冰箱。\n就是浴室简陋，花洒出水不畅，地面设计不合理，易积水，洗澡不舒服。\n走廊声音晚上容易听得到。', '短评打分': 5}
{'短评内容': '价位不错 卫生不错 隔音太差超差 建议在防盗门后面加一个木门 建议修改一下洗手池 接水不方便', '短评打分': 3}
{'短评内容': '住进去以后 网上的确认老是不太及时呀。。。', '短评打分': 3}
{'短评内容': '真是太吵了。。。 隔音太差。。。。。。。.。。', '短评打分': 5}
{'短评内容': '就这个价位来说挺不错的\r\n不过就是细节方面不行\r\n优点不提了 说点细节希望能改进\r\n首先就是没有门栓 外面的人只要刷卡 就可以随便进\r\n第二就是看外面的门镜没有盖子 从小孔可以看到里面\r\n第三就是早晨每天都好吵啊 基本都是被吵醒的\r\n第四就是卫生间接水的地方太矮 烧水时还要用杯子倒进烧水壶里才行\r\n如果改善上面几点就很好了\r\n希望可以早日看到', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置比较不错 在小区里 相对安静 前台服务人员态度好 就是办事效率不是特别高 房间挺大 设施也齐全 就是没有什么设计感 总体来讲挺不错的', '短评打分': 5}
{'短评内容': '太不隔音了，每个房间发出的声音就像在耳边一样，吓人。还有卫生间太差劲了，不像是酒店，像是在出租房一样。', '短评打分': 1}
{'短评内容': '不错，很干净，大阳台我很喜欢，有种家的感觉，交通也比较方便，很安静', '短评打分': 3}
{'短评内容': '位置稍偏，交通还算方便，卫生不错。位置稍偏，交通还算方便，卫生不错。', '短评打分': 5}
{'短评内容': ' 设备还行 门太薄 勉强勉强 觉得不能叫三星级', '短评打分': 5}
{'短评内容': '房间干净整洁，装修时尚，床很舒服，价格合理，下次还来这里', '短评打分': 5}
{'短评内容': '不错，很赶紧，尤其是大阳台，很喜欢，明亮舒适', '短评打分': 5}
{'短评内容': '+很干净，空间大', '短评打分': 5}
{'短评内容': ' 满意', '短评打分': 5}
{'短评内容': '+酒店从住宿条件卫生状况服务态度都很优秀', '短评打分': 5}
{'短评内容': '室内条件还不错房间住起来挺舒服的.位置好是我们就近选择的距离办事的地点比较近,综合来讲还算不错.', '短评打分': 5}
{'短评内容': '干净卫生，价格合理，因没有餐厅，吃饭不方便。', '短评打分': 3}
{'短评内容': '比较干净，所有设施都很新！', '短评打分': 5}
{'短评内容': '非常的  不错  就是房间了缺少饮料  矿泉水什么的 其它都还满意', '短评打分': 5}
