{'短评内容': '地理位置优越，条件好，服务好', '短评打分': 4}
{'短评内容': '酒店比较新，设施还是挺齐备的，而且就在滨江道市中心位置交通出行挺方便.', '短评打分': 5}
{'短评内容': '酒店坐落于市中心，服务不错环境很好，总体上感觉非常好，超过我的预期。就是房间有点干，但价格还是比较实惠的，很好！', '短评打分': 5}
{'短评内容': '酒店还可以，地理位置还行，性价比还不错。', '短评打分': 3}
{'短评内容': '位置不错，但是周围吃的地方偏少，超市很少', '短评打分': 5}
{'短评内容': '装修的比较好 挺新的 卫生条件不错   房间隔音比较差 隔壁聊天都听的非常清楚', '短评打分': 5}
{'短评内容': '位置很好，离步行街很近，卫生也不错，离机场大巴只有1000M。\n就是打车不方便。', '短评打分': 5}
{'短评内容': '位置不错，不过开车过去南京路上太堵了，看中的是国民速8的大院子，可以免费停车，不过退房以后就坚决不会让你停在那里了，看车的老大爷会让你出示房卡这个不太爽～', '短评打分': 5}
{'短评内容': '服务：国庆期间老妈忘了带身份证，前台妹妹给想办法办了访客登记，还是比较灵活的；\r\n卫生：被罩上面有一小块血印，电话通知后给赶快换了，不过下次也要检查清楚啊！\r\n位置：地理位置不错，紧邻步行街，不过有利就有弊，白天吵闹，晚上清扫垃圾的车轮声音太大，影响睡眠；建议不要睡在靠步行街的那面；', '短评打分': 1}
{'短评内容': '整体感觉还不错，预定的大床房很舒适。环境还挺好的。', '短评打分': 5}
{'短评内容': '客人多的时候前台服务较慢，其他都还不错~~~~~~', '短评打分': 5}
{'短评内容': '位置还可以，就是性价比不行，房间好像是新装修的，有一股味，不舒服。', '短评打分': 5}
{'短评内容': '位置不错，停车方便，卫生也还可以，定的大床房，就是房间小一点。', '短评打分': 5}
{'短评内容': '地段还可以，但是房间不太好，开了窗是一个全封闭的中庭，不太通风。。。', '短评打分': 1}
{'短评内容': '位置非常好，整体感觉还不错，但是就是在宾馆里好像手机信号不是很好，打电话还要到外面去打。', '短评打分': 5}
{'短评内容': '..........', '短评打分': 5}
{'短评内容': ' 房间太小了！其他设施都不错！也很安静！', '短评打分': 5}
