{'短评内容': '房间一般', '短评打分': 4}
{'短评内容': ' 酒店位置环境都不错  大冬天里非常温暖空调很好  浴巾也很厚很好', '短评打分': 3}
{'短评内容': '酒店干净，交通方便，中央空调效果也很好！就是无窗房比较闷。', '短评打分': 3}
{'短评内容': '酒店服务还不错，也挺干净的，楼层设计太复杂了', '短评打分': 3}
{'短评内容': '很好，喜欢她们的床单，就是房间小了点……', '短评打分': 5}
{'短评内容': '一般，二般，三般般，只能是经济型的经济型，还有，没窗子的房间千万不能住，我一夜没睡着', '短评打分': 1}
{'短评内容': '苏瓦还可以，环境不错，服务态度也行…下次再住，', '短评打分': 3}
{'短评内容': '房间很小，虽然有窗户但是还是很闷，空气不好。并且服务员的态度很不好，前台的素质有待提高。下次不会再去了', '短评打分': 1}
{'短评内容': '  地方不错,离火车站也近  下次还来', '短评打分': 3}
{'短评内容': '很好 服务周到及时', '短评打分': 3}
{'短评内容': '交通便捷，但房间设施太过简单，甚至没有比较合适的电脑放置台，下水道设置不合理，房间有较重的下水道奇味。', '短评打分': 1}
{'短评内容': '他们家不错，干净，交通方便。推荐一下！', '短评打分': 3}
{'短评内容': '房间还不错，位置也不难找，就是木看见楼层管理，电话机上也木写总机号之类的，还要下楼去找服务台稍有一点不方便!', '短评打分': 3}
{'短评内容': '交通位置不错！\n\n性价比不错！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '新装修的客房，和武昌火车站在一条线上，步行10-15分钟可达。酒店右边有个个快餐店，很吃，还聚便宜~', '短评打分': 5}
{'短评内容': '房间很小，离火车站近。硬件比其他经济型酒店比没有优势。', '短评打分': 1}
{'短评内容': '地板不干净，没有快捷温馨的感觉，价格和环境不匹配。', '短评打分': 1}
{'短评内容': '位置不错，离火车场很近，步行十分钟内就到。门口有公交车站台，比较方便。店内装修设施也比较满意，性格比不错。就是第二天一个房间没打扫，说是挂打扫的牌子没用，一定要跟前台说，这点服务不到位。', '短评打分': 5}
{'短评内容': '干净，卫生，前台服务质量一般，离火车站较近，靠近公交站台，易于出行。', '短评打分': 5}
{'短评内容': '酒店房间相当的宽，比较满意！\n卫生什么的都还可以！', '短评打分': 5}
{'短评内容': '总体来说还是不错的，离火车站还是比较近的，附近早点超市也比较方便，要是价格再优惠一点就很棒了！', '短评打分': 5}
{'短评内容': '地理位置不错，距离武昌火车站很近，周围也有早餐点，就是我定的房间没有窗户，感觉不大舒服~还有洗澡间的玻璃挡板是透明的~让人很多遐想啊！', '短评打分': 5}
{'短评内容': '离武昌站很近，公交站就在门口。住宿条件很好，大力推荐！', '短评打分': 5}
{'短评内容': '酒店还不错，服务也挺好，就是房间闷了点。', '短评打分': 3}
{'短评内容': '房间有点闷，冷气小了点，其它还好，洗澡的地方下水好像有点堵，电视也有点小看的不是清楚，要是能有个窗户就更好了，其它的都还不错。', '短评打分': 5}
{'短评内容': '＋感觉挺好！干净整洁，楼下有网吧，附近有各种小吃，还一家快餐厅速度非常快！门口就是公交站方便！', '短评打分': 3}
{'短评内容': '位置很好，去武昌火车站很方便，酒店门口就是公共汽车站，交通也很方便~ 房间内部设施什么的都还蛮好的~', '短评打分': 5}
{'短评内容': '还可以吧 很好找 特别高的一座楼 在火车站一眼就看到了。房间有一点点小 不过还可以吧 就是没有窗子 总体还行', '短评打分': 5}
{'短评内容': '距离火车站近，干净，服务快速高效，交通便利，酒店下面马路对面就是夜市、网吧和快餐店。总体感觉还不错。中途转车在这入住很方便', '短评打分': 5}
{'短评内容': '很好 位置靠近武昌火车站 门前就是公交站牌 很方便 环境也还可以 不过后来要送吹风 是她要我自己下去拿得 这点让我不太满意 估计是早上比较忙吧', '短评打分': 5}
{'短评内容': '下面就是公交站，真好.离火车站又近。下次这里为首选', '短评打分': 5}
{'短评内容': '不错的酒店，环境服务都满好，价格也不贵，下次还入住', '短评打分': 5}
{'短评内容': '因高考订此房，房间太小，但还比较安静。比较干净整洁。有地下停车位，不错的。', '短评打分': 5}
{'短评内容': '还不错，挺干净的，环境还可以。坐车也方便。下次还会去的', '短评打分': 5}
{'短评内容': '非常不错，酒店环境很好，交通很便利，价格也比价经济，强烈推荐', '短评打分': 5}
{'短评内容': '还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以还行  可以', '短评打分': 5}
{'短评内容': '不错，设计优雅，服务好dwedfwefdwefwefweqfwefwefwefwefqwqeffwqeffwqeqwfwffweqfwefwefwfwefvfrggf', '短评打分': 5}
{'短评内容': '房间还算干净！只是隔音稍差些！这个价格也算对得起这个环境了！', '短评打分': 5}
{'短评内容': '环境不错，就是把厕所设计的比较大，感觉房间有点小，比较安静舒适，帮朋友订的，非常喜欢，周围交通方便！', '短评打分': 5}
{'短评内容': '  服务不错\n\n', '短评打分': 3}
{'短评内容': '定了豪华商务房，干净舒适，10号那天的前台工作人员也特别热情细致。所以决定隔两天回武汉再定一晚，但第二次给的房不好，小而且门外有很大的空调压缩机噪音，要求换房才又换回原来的。真不知道前台人员干嘛留着好房不给客人（当晚都已经九点以后了）。如果没有第二次的不舒心就是一次完美的住店了。', '短评打分': 5}
{'短评内容': '有点小，不过还可以', '短评打分': 3}
{'短评内容': '性价比还不错。', '短评打分': 3}
{'短评内容': '酒店还不错，挺满意！', '短评打分': 3}
{'短评内容': '酒店位置很好，价格也便宜', '短评打分': 3}
{'短评内容': '房间卫生不错      总体上可以   就是房间楼道的隔音效果有点差    ', '短评打分': 5}
{'短评内容': '干净、整洁、舒适，是一个很温馨的住所，极力推荐！', '短评打分': 5}
{'短评内容': '还不错，价格实惠，也挺干净的，就是前台服务态度再好一点就更好了。', '短评打分': 5}
{'短评内容': '时硕的水太小，门没有反锁链，其他还可以。', '短评打分': 5}
{'短评内容': '酒店很新，装修不久。离车站和超市也很近，位置方便。酒店房间内陈设较少，房间较小，房间卫生间排水设施不给力，洗澡后地上有大量积水，很久才可以排干。不过订的是商务大床房，一开窗户可以看到外面的景色，而且很安静。', '短评打分': 5}
{'短评内容': '不错，挺干净', '短评打分': 3}
{'短评内容': '隔音太差太差，马路上的汽车声音吵得整夜没睡着，超级郁闷！服务质量也不过关，跟前台打了即便招呼要叫早，结果到我离店时服务员仍然没有意识到忘了履行这个应诺', '短评打分': 1}
{'短评内容': '很高兴能入住，很满意', '短评打分': 3}
{'短评内容': '新装修的，还行，离火车站很近，房间很干净', '短评打分': 5}
{'短评内容': '很不错的环境和设施,价格实惠,地理位置佳', '短评打分': 5}
{'短评内容': '店面好小。。有点吵。而且老板娘态度极差，还会骗人说开空调。房间设施还可以。。。', '短评打分': 1}
{'短评内容': '临近火车站，就是洗澡间小了点，热水还是蛮舒服的。', '短评打分': 5}
{'短评内容': '一般般吧  房間不隔音  請注意 進門右邊就是衛生間  感覺不太好\n\n房間 還算乾淨  ', '短评打分': 5}
{'短评内容': '还行吧，离火车站有一站路，门口就是公交车站，还是比较方便的。订的是150的无窗的房间，这房价不能要求太高。', '短评打分': 5}
{'短评内容': '千万不要住没窗的 太受不了了 房间有味道也太闷了 极力不推荐  空间大小不一样 要给前台说明 。就是位置还不错 。唯一的优点。', '短评打分': 1}
{'短评内容': '地理位置不错，房间有点拥挤，无窗户有些闷，总体还行。', '短评打分': 5}
{'短评内容': '价格适中，环境优美，卫生条件很好，毗邻汽车站和武昌火车站，交通方便', '短评打分': 5}
{'短评内容': '酒店不错 环境舒适 设施齐全 服务态度也不错！下次还住。。。', '短评打分': 5}
{'短评内容': '离火车站很近，这是最大的优势，不过房间里头的设施感觉很简陋，空间也很小。', '短评打分': 5}
{'短评内容': '整体感觉还不错，要是还能够提供早餐就更好了。另外房间稍微小了点，但是设施 还是挺不错的，可以达到星级标准了', '短评打分': 5}
{'短评内容': '酒店很不错，交通也方便，性价比很高，值得推荐入住', '短评打分': 5}
{'短评内容': '还不错，新翻修的，除了无窗房闷气些其它设置蛮好，关键近邻宏基汽车站和武昌火车站，步行六七分钟可到宏基，挺方便。', '短评打分': 3}
{'短评内容': '距离武昌火车站很近，很方便，酒店也很大气~女友很喜欢~~~', '短评打分': 5}
{'短评内容': '综合还可以！会像朋友推荐！就是有点不太好找！', '短评打分': 5}
{'短评内容': '房间质量一般，但是周围设施齐全，吃完均备', '短评打分': 5}
{'短评内容': '还比较干净卫生~', '短评打分': 3}
{'短评内容': '服务态度一般般，房间里没有地巾，我是晚上很晚入住的洗完澡后水堵住了，地面全是水。我就用浴巾擦了下地，结果第二天早上退房时扣了我十元清洁费，我要是不赶时间绝对不可能让他扣的。真是好笑第一次听说，酒店自己设施不行，转嫁给客人。。。。', '短评打分': 1}
{'短评内容': ' 环境不错，离火车站近。~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很不错的酒店~~~~~~~~~~~~赞~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '这个酒店还不错，就是不能刷卡，太郁闷，上网也上不去！', '短评打分': 5}
{'短评内容': '还好吧，周围挺方便的！还好吧，周围挺方便的！', '短评打分': 5}
{'短评内容': '酒店位置出行方便设施环境还不错，服务态度也很好', '短评打分': 3}
{'短评内容': '网速太慢，无法忍受的地步。通风条件一般，开门后有异味。', '短评打分': 1}
{'短评内容': '环境还算不错，房间也蛮干净的，经济实惠值得一住', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '实在是太差了！从来没有遇到过这么差的！环境差！服务差！工作也差！定的两个房间说只定了一间！害我一家老小在那等了半天！还给了我一个很臭很臭的房间！最后忙了半天才调整过来！出去旅游到那已经很晚了，结果还在住房上耗费这么长的时间！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间很小，厕所地面一直都有水滩着，上厕所简直不舒服，下次不会住了', '短评打分': 1}
{'短评内容': '房间太暗，太小，感觉不爽！房内设施倒是可以！', '短评打分': 1}
{'短评内容': '还不错....个人蛮喜欢的咯吱  ...................\r\n\r\n\r\n下次去武汉还会继续住这家店', '短评打分': 5}
{'短评内容': '房间小，服务员态度也不怎么好！', '短评打分': 5}
{'短评内容': '设施还不错，整体还是可以的，性价比很高，离车站和客运站都很近，出远门中转很方便', '短评打分': 5}
{'短评内容': '离火车站很近 远远的就看到了很高的大楼 里面的设施和环境都很好 就是很多房间没有窗户 室内都是用地毯铺的 有中央空调 但是在蛮封闭的环境是有点不舒服 感觉蛮干燥的&#183;&#183;&#183;屋子里的墙纸有点受潮了脱落 &#183;&#183;\r\n环境都很好 酒店的位子很方便 去哪里都好 总体还可以&#183;&#183;', '短评打分': 5}
{'短评内容': '交通比较方便  房间略显小  设备有些陈旧  性价比好不错 可以推荐', '短评打分': 3}
{'短评内容': '地理位置是不错，但是房间室内总是感觉有股很怪的味道，前台服务人员的服务态度也不是很好，价格也是比较高，酒店展示图和实际有差别。而且节假日看住的人多了就开始涨价。', '短评打分': 1}
{'短评内容': '房间略显小，不过在火车站附近，性价比还算不错。', '短评打分': 5}
{'短评内容': '+预定很方便，酒店也很不错，很好！以后还会选择这样的方式～', '短评打分': 5}
{'短评内容': '其他还可以，但是就是房间的面积太小、设施一般，但是交通便利，价钱便宜', '短评打分': 5}
{'短评内容': '   房间霉味大   不是很干净  其它没有问题', '短评打分': 5}
{'短评内容': '4环境还行，停车方便', '短评打分': 5}
{'短评内容': '酒店还可以吧，房间有点小啊，住的没窗的，感觉好闷啊', '短评打分': 5}
{'短评内容': '设备有点老，但住着还是比较舒服~经济实惠型', '短评打分': 5}
{'短评内容': '房间就是没有窗户 其他还可以，江铜比较便利！还有就是房间隔音效果不是蛮好', '短评打分': 3}
{'短评内容': '离黄鹤楼很近，确实不错。和价格比起来，还是很有吸引力的', '短评打分': 5}
{'短评内容': '大床房的卫生间是几乎透明的。。这个囧啊\r\n房间的角落里打扫得不是很干净，卫生间里面的摆设也算不上方便。。但是床是很舒服的，价格也很不错', '短评打分': 5}
{'短评内容': '没有窗户,空间较可以,希望改进', '短评打分': 5}
{'短评内容': '地理位置还行，比较好找，但是房间一般，大多数房间没有窗户，性价比不高，和武汉整体水平比较，价格偏高.', '短评打分': 3}
{'短评内容': '一般吧，，地理位置比较好找。。性价比不算高。设施陈旧。。洗手间味道大', '短评打分': 3}
{'短评内容': '可能是时间比较久了..设施都比较陈旧..墙体都剥落了..而且地毯也不是很干净..一般吧..豪华标间..感觉不是很好..', '短评打分': 1}
{'短评内容': '住 几次了总的来说还可以吧，交通方便。。。。', '短评打分': 5}
{'短评内容': '这次住的是没窗户的房型，所以感觉一般。还可以吧', '短评打分': 5}
{'短评内容': '整体来说不错，就是卫生间味道有点大。...............', '短评打分': 3}
{'短评内容': '只能说一般', '短评打分': 5}
{'短评内容': '地理位置不错，适合差旅住宿。遗憾的是很多房间没有窗户。', '短评打分': 5}
{'短评内容': '房间太小，漏水严重', '短评打分': 5}
{'短评内容': '可以，值得一住！', '短评打分': 5}
{'短评内容': '酒店环境还可以，不过网速不怎么样', '短评打分': 5}
{'短评内容': '酒店地理位置较好，在市区中心，火车站附近，但道路较为拥堵，打车出行略有困难。\r\n酒店建在写字楼的一至五层，想受制于格局，很多房间没有窗户，且有些房间临街，推荐选择本人这次预订的高级房，背靠马路，较为安静，透气性尚可。\r\n房间内装潢勉强过关，但床品很硬，中央空调温度难以把控，算是硬伤。\r\n\r\n如果不考量安静或过分在意舒适度，此家酒店尚可。但较为推荐旁边的新宜酒店，虽然有些老旧，但档次较高，价格略贵一', '短评打分': 5}
{'短评内容': '不错，还可以！', '短评打分': 5}
{'短评内容': '酒店房间比较小', '短评打分': 5}
{'短评内容': '总体感觉卫生太差。进屋有一种令不爽的气味。如果把卫生弄好了还是不错的客栈。\r\n网速感觉慢。因为只住了一夜。不知道平时的速度如何。', '短评打分': 1}
{'短评内容': '我觉得综合评价还不错吧，唯一觉得不好的就是，豪华标间的卫生间是全玻璃的，若里面开灯的话全能看见，觉得不是很方便，毕竟再亲密的人也有点不方便吧！', '短评打分': 5}
{'短评内容': '还不错，就是价格有点贵', '短评打分': 5}
{'短评内容': '我订的是无窗房，有点闷，如果有通风我想会更好的，房间也小了点', '短评打分': 5}
{'短评内容': '位置很好，离机场大巴到市内的站点及武昌火车站都很近，交通方便，价格合适，性价比高，酒店也比较舒适', '短评打分': 5}
{'短评内容': '没有窗户的房间  卫生间异味比较大   关上卫生间的门好些（标准间）', '短评打分': 5}
{'短评内容': '30度的高温 酒店竟然不开空调（中央空调）一晚睡不着 流了无数次汗 打电话到前台 说是其他房间客人可能怕冷 只能开恒温 热死了 ', '短评打分': 1}
{'短评内容': '总体不错 就是单人间小了点', '短评打分': 5}
{'短评内容': '基本设施还可以，不带窗户的房间不好，价格有些偏高了！', '短评打分': 5}
{'短评内容': '还是挺一般的酒店,房间设施和舒适也很一般的酒店差不多,服务也一般,位置还是挺好找的,价格还是有些高了.性价比还是挺低的.', '短评打分': 3}
{'短评内容': '还不错...', '短评打分': 5}
