{'短评内容': '出门就是大海，值', '短评打分': 5}
{'短评内容': '环境很美，很舒服', '短评打分': 3}
{'短评内容': '第二次住了。位置好，去沙滩，游泳都很方便。不过酒店自助餐一般，需要改进。', '短评打分': 3}
{'短评内容': '好环境，离海近。风景太好了！', '短评打分': 3}
{'短评内容': '周边环境不错，就是卫生间太旧了，好多地方都长霉了。', '短评打分': 3}
{'短评内容': '住得离大海最近的一家酒店，房间的设施比较差，不过周围的环境真的不错！', '短评打分': 3}
{'短评内容': '环境优美，社施干净，但浴室有些旧，餐厅菜品可口！不要用服务员送的成包纸巾，收费的。', '短评打分': 3}
{'短评内容': '酒店位置在海口很不错，泳池和温泉池也不错，两个问题：\n1、酒店对外开放游泳，40/次，因为便宜，所以人多，不舒服，不喜欢下饺子；\n2、房间的床太老了，弹簧严重老化，需要更换\n总得来说，对得起价钱，但是海口的海和沙滩不敢恭维，住两晚足够了', '短评打分': 5}
{'短评内容': '房间还是很不错，位置还是蛮好找的，价格也就还算是合适。酒店的环境总体感觉还是很不错的。', '短评打分': 5}
{'短评内容': '环境不错，就是离市区远点，交通不是很方便，房间设施一般', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很一般，酒店的游泳池非常好。卫生服务比较达标，我经常会入住这家酒店。性价比也很合理适中。值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '来这里休闲是是不错的选择，阳光、沙滩、温泉、泳池、烧烤、洋楼、相映成趣。', '短评打分': 5}
{'短评内容': '很不错的一家海景酒店，下次一定还会去住', '短评打分': 5}
{'短评内容': '位置还是不错的,离海边比较近,出来玩很方便,但就是打车不太方便,另外就是设施有点陈旧了,不过性价比还是比较高的.', '短评打分': 3}
{'短评内容': '标间和大床房可以近距离观赏海景，晚上伴着海浪入睡 和爱人在一起度假很浪漫，有些偏僻交通不方便 但游客较少 比较清静安逸，但他却偶见反而位置不佳  阳台外面是大片空地&#183;&#183;&#183;&#183;晚上去海滩散步感觉不错，设施一般，电视冰箱等家电老旧&#183;&#183;', '短评打分': 5}
{'短评内容': '房间的布局我很喜欢,位置也很好离海边很近,而且在房间里就可以看到海,非常不错的,酒店内的游泳池我也非常喜欢,唯一一点就是酒店前台没有接待的,拿了好多东西都没有人帮忙.', '短评打分': 3}
{'短评内容': '环境资源很好，设备维护欠佳，亟需提高服务质量。', '短评打分': 5}
{'短评内容': '房间比较干净，服务也不错，就是设施已经老了，那边交通有点不太方便，的士都不太多', '短评打分': 5}
