{'短评内容': '位置好，房间蛮大，适合带宝宝', '短评打分': 5}
{'短评内容': '会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '不错，酒店美女很多！', '短评打分': 3}
{'短评内容': '酒店高档，设施服务都好，交通便利，下次还会来住。', '短评打分': 5}
{'短评内容': '非常华丽的酒店大堂，我入住的是豪华单人房，大床很舒适，沐浴品全是法国的。如果增加沐浴品，都要收费（有些小气）睡袍手感很好，穿起来也舒服。拖鞋太厚，走路不舒服，没有昆仑饭店的好。早餐不错，相比较其它酒店品种有些少。', '短评打分': 5}
{'短评内容': '酒店非常漂亮，交通方便，服务也很好。原来是定了4天的房间，因为有事提前回家了，只住了一天，酒店也帮我们改了订单，非常人性化的管理。', '短评打分': 5}
{'短评内容': '继续评价 对了 我在退过房之后在酒店大堂还捡到一张房卡 上面还写着727房间 这要是被小偷捡到了 直接暴露了房间号 很危险 我很好心的又跑到前台 给了他们 我说你们明天在我父母退房的时候别再出现这样的情况了 对方冷淡回应 等今天 我父母退房的时候 更过分的事情发生了 酒店方直接把我昨天的免费享受的服务 偷偷的转到了我父母的账单上 龌龊！还恬不知耻的跟我父母说就该这么转 完全没有一种服务者的意识 你', '短评打分': 1}
{'短评内容': '这酒店在乎客人的点评么 我真的怀疑是不是国营宾馆的管理团队在经营这样装修的酒店 唉 真的是太不专业了 只能这么文雅的说 尊贵会高级房 居然服务员都不知道我在说什么 电梯第一天还出故障了 卡到里面半天 没人救援 第二天发现那电梯开始检修了  前台的跟我说的这个价位享受什么服务 赠200元洗衣 非酒精饮料免费 结果麻烦不断 你们5星级酒店连你们自己什么服务都不清楚么 需要客人比你们更清楚 并向你们解释', '短评打分': 1}
{'短评内容': '地点好，交通便利，购物方便，环境好，就是价格高点。', '短评打分': 5}
{'短评内容': '酒店位置优越，酒店内配套设施齐全，酒店服务人员质素较高。', '短评打分': 5}
{'短评内容': 'beautiful and comfort hotel,will come back again.', '短评打分': 5}
{'短评内容': '酒店很好，位置也非常方便。酒店的设计非常大气！还会再次入住并根同事和朋友推荐！！\n\n', '短评打分': 5}
{'短评内容': '很好！节日快乐！', '短评打分': 3}
{'短评内容': '。非常不错的酒店！', '短评打分': 3}
{'短评内容': '喜欢欧舒丹………………………………………………………………', '短评打分': 5}
{'短评内容': '喜欢欧舒丹…………………………………………………………………………', '短评打分': 5}
{'短评内容': '好位置房新', '短评打分': 3}
{'短评内容': '   每次跟老婆路过励骏酒店，老婆总叨唠说励骏真漂亮，周末偷偷订了励骏最顶层的尊贵会客房，带老婆浪漫了一把！！！给老婆美坏了！！！客房没的说！服务没的挑！位置没的比！早餐在16层吃的，很安静，味道也不错！极力推荐！！！！', '短评打分': 5}
{'短评内容': '一如既往的喜欢', '短评打分': 3}
{'短评内容': '我是第一次住这家酒店，感觉环境很不错，服务也是一流的，置身其中有身在国外的感受，交通也很方便，周边就是最繁华的商务区，价位也不是很高，下次来京还住这里。', '短评打分': 5}
{'短评内容': '交通便利，设施好，下次还会住，服务也很好。', '短评打分': 5}
{'短评内容': '房间很不错！~大堂很气派，性价比很高！~', '短评打分': 5}
{'短评内容': '这家酒店确实投资不少钱装修，有点暴发户的感觉，但实际装修设计非常差，施工就更差了，到处都可以看到裂缝，维修保养也差，管理那就更差。总体感觉五星投入，三星施工，三星管理，五星收费。建议大家可以选择旁边的香港跑马会俱乐部。', '短评打分': 1}
{'短评内容': '因为听说是北京新开最好的五星级酒店，才选择入住，但入住后发现只是挂了五星的牌子，但实际就是三星级标准。一进停车场已经发现不像是一个五星级酒店了，设施和管理脏乱差，到了前台后发现更恐怖，前台没有任何笑容，有的只是在玩弄自己装饰的像夜场人员的指甲，登记完后，把我们身份证直接扔在台面上，这都不算可气的，进房后发现白色大理石沐浴房的下水孔处有一堆长发，气死人，还好是一个男人入住，要不就有麻烦了，晚上在大堂', '短评打分': 1}
{'短评内容': '非常不错 软硬件条件等都是一流 \n酒店保持的不错 看得出维护用心了', '短评打分': 5}
{'短评内容': '酒店环境很好 很舒服。床很大 很软 也睡得很舒服 空调设施没得说 很好下次还会入住励骏。', '短评打分': 5}
{'短评内容': '酒店很宽敞干净，房间设施齐备，很温馨。洗澡用水非常满意，这个地段这样价格，真是很好的酒店', '短评打分': 5}
{'短评内容': '酒店环境很好 很舒服。\n下次去北京还会入住励骏。', '短评打分': 5}
{'短评内容': ' 豪华装修 但是墙皮脱落 洗手池水印痕迹仍然还在\n 服务人员没有敲门就打开门进了屋子 看到我在之后也没有道歉就直接说有一个灯不亮 需要修理\n浴缸的塞子少了一个塑料环 导致刚放好了一缸子水水就又都流下去了\n床很大 很软 也睡得很舒服 空调设施没得说 很好\n酒店早餐一片混乱 而且既然提供了waffle就应该旁边放着蜂蜜 在没有蜂蜜的情况下 服务员和我说为什么我吃waffle需要蜂蜜 说每个人的桌子上面', '短评打分': 5}
{'短评内容': '相当给力要住一个月', '短评打分': 3}
{'短评内容': '比较新 就在丽晶酒店对面 交通很方便 \n装潢也比较豪华 很好', '短评打分': 5}
{'短评内容': '房间有点冷。估计是入冬了~还给加了个电暖气', '短评打分': 5}
{'短评内容': '房间保留时间虽然过了，但还好，有房间可以安排，而且还做了免费升级啊 ', '短评打分': 5}
{'短评内容': '很大气的酒店~比盘古性价比高。装修华丽丽~~交通便利,so good', '短评打分': 5}
{'短评内容': '豪华，气派延续了澳门赌场酒店的特点，相比周边五星级，性价比也很合适', '短评打分': 3}
{'短评内容': '“硬件设施”一流...“软件服务”二流...早餐三流...', '短评打分': 5}
{'短评内容': '地理位置优越。价格有些高。房间条件好，服务质量好', '短评打分': 5}
{'短评内容': '每次来都觉得很舒适 奢华  床和备品都很好 喜欢', '短评打分': 5}
{'短评内容': '很高档的五星级酒店，房间很宽敞，光线好，早餐也很丰富，服务热情，地理位置相当方便，临近王府井，旁边就是香港马会俱乐部，值得推荐。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很大，尤其是卫生间。酒店很新，也很奢华。位置不错，黄金地带，性价比还好。稍稍有些贵，和附近的酒店相比，我还会选择这里。', '短评打分': 5}
{'短评内容': '还不错，地理位置也很好。只是价格有所上涨。。。。特价什么时候会有啊，有团购会更好的 。现在的价格跟前台差的也不是很多嘛。哈哈。', '短评打分': 5}
{'短评内容': '酒店很豪华但不温馨，预订不落实，到店登记时值班员工说没记录，使人感觉尴尬。我们一行5人只好等了近一个小时。这是我们此次旅行住过的第十个酒店，前九个酒店均未发生过查不到预订资料的情况。我们的车在酒店停了两个晚上，收了230元，其他酒店对客人的车都是免费停放的。在给我们办退房手续时，还没办完又给另一个后来的客人办手续，十分不专业，不礼貌，完全不像一个澳门商人投资的企业！收费是五星级服务是三星级！', '短评打分': 1}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '位置很好，酒店也很新，有自己的风格特色，感觉比较舒适。\n\n但是，前台服务员老是拉着脸，有失五星酒店的水准；酒店卫生维护在细节上做的不好，如，卫生间的洗手台台面上，虽然用了很漂亮的大理石，但上面有很多玻璃杯底的水迹，还大小不同，显然是好多次不同的东西留下来，没有擦干净，干了之后的痕迹。建议酒店加强员工培训和管理，否则，很快会沦落为一个四星酒店，就太可惜了！', '短评打分': 5}
{'短评内容': '早餐一般……欧舒丹啊……我好喜欢滴啊……', '短评打分': 5}
{'短评内容': '推荐此酒店的原因是觉得在闹市中有一处宁静之地。', '短评打分': 5}
{'短评内容': '酒店还可以，服务也行，离天安门王府井都很近。', '短评打分': 5}
{'短评内容': '繁华地段的好酒店，档次高，有品味，服务也好！', '短评打分': 5}
{'短评内容': '非常好的酒店，值得尝试，在繁华的地方，去哪儿都方便。', '短评打分': 5}
{'短评内容': '酒店很好。风格欧洲古典，很有艺术氛围。周围环境可以，交通方便。', '短评打分': 5}
{'短评内容': '从欧式城堡外观到房间里面的欧洲宫殿式家具，豪宅级享受。物有所值。', '短评打分': 5}
{'短评内容': '葡式风格，很美的酒店 位置方便 服务人员态度好 卫生间不错', '短评打分': 5}
{'短评内容': '我经常推荐这家酒店,外表看起来体面，价格也合适。', '短评打分': 5}
{'短评内容': '地點佳,客房舒適,服務親切,有五星級的水準.\n下回到北京,還會選擇勵駿酒店.\n', '短评打分': 5}
{'短评内容': '酒店很不错，房间很舒服。服务也不错，我会继续向朋友推荐这个酒店。', '短评打分': 5}
{'短评内容': '非常漂亮，干净，大气的酒店，舒适度非常高，推荐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': 'A good hotel and very private ', '短评打分': 5}
{'短评内容': 'A very good hotel with heavy decoration and giving you an middle age European experience ', '短评打分': 1}
{'短评内容': '优点：离王府井步行街很近。其他对这酒店真没啥感觉。', '短评打分': 1}
{'短评内容': '  好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '房间很漂亮、宽敞、舒适、地理位置很好、在中心地带，办事很方便。', '短评打分': 5}
{'短评内容': '干净、服务很好、地理位置很好、办事很方便、但是价格也很贵呀！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '\r\n花园，洋房，很体贴，里面的服务员，就像是您的贴身管家。就是浴缸小了些，如果可以做水疗就更好了。', '短评打分': 3}
{'短评内容': ' 内部装饰很棒，纯欧式风格，大气有档次，第二次入住了，感觉一样好!', '短评打分': 3}
{'短评内容': '硬件很好服务一般！地毯有点脏！早餐不怎样！', '短评打分': 3}
{'短评内容': '很奢华。不错哦。位置很好，周围有个购物中心，都是名牌。', '短评打分': 5}
{'短评内容': '  非常棒的酒店  决对不错  性价比很高', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '酒店环境不错,房间里的床单被罩贴身不是很柔软舒适,和其他五星级酒店的床上用品有差异', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '还不错，就是五一后住店客人不能免费停车啦', '短评打分': 3}
{'短评内容': '外观到内部装修都不错，到机场打车比较方便，前台退房服务态度有待提高，其他都不错。', '短评打分': 5}
{'短评内容': '如果是在以前，我会说励俊的硬件已经够得上奢侈酒店的标准了——不过这次可有点让人担心，因为走的是欧式古典主义风格所以细节的地方比较容易划伤、掉漆也是正常，但是一间浴室掉了有3处没有修补就有点……\n\n服务是没的说，住过丽姿卡尔顿，皇家艾美，悦榕庄，安缦，最后这个绝对是奢侈酒店了，但是只有励俊的服务让人惊喜和温暖，我是在去年3月份住过一次而已，但是在去年12月的时候收到了酒店的生日祝福电话，就冲这个，下', '短评打分': 5}
{'短评内容': '不好。价格贵，设施差。下次不住了，要不相信你去试一下。', '短评打分': 1}
{'短评内容': '酒店很不错', '短评打分': 3}
{'短评内容': '总体服务不错。房间有点小。虽然有两次服务不是特别满意但是总体感觉还不错，房间很小，特别是洗手间。', '短评打分': 5}
{'短评内容': '酒店很洋气，又大气，服务态度很好，下次来继续住', '短评打分': 5}
{'短评内容': '酒店外观很漂亮 房间装修也是很古典高贵\n可是在吃早餐的时候服务员给我的云吞面里竟然让我吃到了碗边破掉的瓷...这是我容忍不了的，5星级的酒店怎么能出现这样的瑕疵！\n最后找经理协商了半天 还算给了个满意的结果。经理们态度很不错希望以后别在出现这种问题了！', '短评打分': 5}
{'短评内容': '酒店软硬件不错，服务也很到位，但是套间有点小！', '短评打分': 5}
{'短评内容': '豪华酒店啊,软硬件都很好,下次还会安排朋友入住,', '短评打分': 5}
{'短评内容': '办理入住很迅速，房间也很宿舍。希望促销价格继续。', '短评打分': 3}
{'短评内容': '每一层的09房，感觉很温馨，双床也很大，丝毫没有拥挤的感觉。', '短评打分': 5}
{'短评内容': '很喜欢酒店的装修风格，很气派，有种到了澳门的感觉。', '短评打分': 5}
{'短评内容': '床很舒服。整体色调好，特别表扬前台的工作效率是全国前列！', '短评打分': 3}
{'短评内容': '真不知道北京还有这样的酒店，全新的感受，就好像到了澳门。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '我只能说这是一次非常完美的入住~~~！酒店内部带给人的舒适感极强，欧舒丹的用品用起来也舒适~店内装潢非常欧式大气~~~~~非常推荐~下次还会选择的！~', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': ' 感覺還不錯，標準套房偏小', '短评打分': 3}
{'短评内容': '酒店装修很奢华 欧洲风格 服务也很好 满意', '短评打分': 5}
{'短评内容': ' 酒店服务很好。', '短评打分': 3}
{'短评内容': '气派豪华的外观到欧洲皇家格调装潢家具，配置齐全。附近是国际顶级名车展时间的集中地，闲下来附近逛逛也大饱眼福。另一番高档享受。', '短评打分': 5}
{'短评内容': '很喜欢很喜欢很喜欢很喜欢很喜欢很喜欢很喜欢', '短评打分': 5}
{'短评内容': '环境好，但是有点冷冰冰的感觉。还是推荐。', '短评打分': 5}
{'短评内容': '虽然一直不太喜欢欧式风格,不过女朋友喜欢,就入住励骏,总体感觉不错,服务\\设施\\环境\\地段\\价格都还满意.', '短评打分': 5}
{'短评内容': '位置好，装修好，风格独特，服务好，早餐丰富，床太软，建议有不同的床位，枕头可供选择就更好了。', '短评打分': 5}
{'短评内容': '很不错的酒店，奢华的装饰让人流连忘返。如果有机会还会选择这里', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '非常满意，超奢华的装修，超五星的服务，下次到北京还会入住这家。', '短评打分': 5}
{'短评内容': '一切都很好，唯一的一点，餐厅煎的鸡蛋真差劲。下次还选择这里。', '短评打分': 5}
{'短评内容': '很奢华的酒店，朋友结婚在这里办的，所以，就慕名而来了，不错，性价比很高', '短评打分': 5}
{'短评内容': '服务非常满意', '短评打分': 3}
{'短评内容': '是我们在北京的据点 大堂太美了！！！透天的屋顶像一颗宝石一样！！很华美的欧式酒店！！服务也还可以。', '短评打分': 5}
{'短评内容': '不错的选择！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次一定还选择这里。', '短评打分': 3}
{'短评内容': '不错的酒店，设施和服务都还好。如果是给客户订房要提前考虑客户的喜好，因为励骏是很法式风格的酒店，无关乎好坏，只关乎客户是否喜欢。', '短评打分': 5}
{'短评内容': '很豪华，很舒服，地处非常繁华的金宝街，到王府井也很近，酒店的服务，设施和环境都太好了~', '短评打分': 5}
{'短评内容': '上回是豪华间,这回住的是套间呢，还不错呢,但相比较而言,还是豪华间性价比比较高呢\n', '短评打分': 5}
{'短评内容': '酒店很漂亮，无论是地理位置还是住宿环境都是一流，但服务水平有待于提高。\n', '短评打分': 5}
{'短评内容': '服务很好！原本差点订不到机票，但服务生很努力地帮忙订到了！\n酒店很值得一住！床很舒服！设施卫生方面都很好！\n唯一的缺点就是入住期间没空调，是自然风，有时有点热！\n', '短评打分': 5}
{'短评内容': '外表像宫殿，大厅像家里的会客厅，房间很精致，软硬件我都很喜欢。绝对不会让喜欢高标准酒店的人失望。\n', '短评打分': 5}
{'短评内容': '第三次入住，不过这次是套房，一切还是那么的舒适和奢华，一如既往的优秀品质，老婆和女儿都非常喜欢，是最好的市内休闲度假酒店。推荐酒店的贾梅士葡国餐厅和咖啡厅的海南鸡饭，味道很好也不贵，但不知道为什么人总是很少，是不是需要更好的促销。\n', '短评打分': 5}
{'短评内容': '多次为老板订房，感觉一如既往的好。客人相比较有所增多。\n', '短评打分': 5}
{'短评内容': '多次为老板订房，感觉一如既往的好。客人相比较有所增多。\n', '短评打分': 5}
{'短评内容': '很豪华，很舒服，地处非常繁华的金宝街，到王府井也很近，酒店的服务，设施和环境都太好了~\n', '短评打分': 5}
{'短评内容': '很人性化，在出租率不高的情况下，会给常住客免费升级更好的房间。\n', '短评打分': 5}
{'短评内容': '欧式古典奢华风格，给你绝对不一样的居住感觉，听着像广告吧，但是真的不住不知道，特别像欧洲的古典城堡。\n', '短评打分': 5}
{'短评内容': '没有最好，只有更好！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店的整体风格让我很喜欢，服务也很好，但有一点，我时候住的房间很冷。让人感觉不像是这么高级的酒店，希望有所改进\n', '短评打分': 5}
{'短评内容': '好的很，可以享受一下那里的服务。！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店什么都挺好的，房间设施不是太旧，价格的话倒是相对还是高些。', '短评打分': 5}
{'短评内容': '酒店环境很超好！欧式风格！位置在金宝汇，交通也算便利！离王府井很近！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错的酒店！！！！！！！！客房部的不是很专业', '短评打分': 5}
{'短评内容': '欧式古典奢华风格，给你绝对不一样的居住感觉，听着像广告吧，但是真的不住不知道，特别像欧洲的古典城堡。就是早餐有点差，东西太少', '短评打分': 5}
{'短评内容': '酒店的整体风格让我很喜欢，服务也很好，但有一点，我时候住的房间很冷。让人感觉不像是这么高级的酒店，希望有所改进\n', '短评打分': 5}
{'短评内容': '酒店不错，就是从金宝街过来的话车不好停', '短评打分': 3}
{'短评内容': 'henhao henhao henhao henhao henhao henhao henhao ', '短评打分': 5}
{'短评内容': '欧式古典奢华风格，给你绝对不一样的居住感觉，听着像广告吧，但是真的不住不知道，特别像欧洲的古典城堡。', '短评打分': 5}
{'短评内容': '很人性化，在出租率不高的情况下，会给常住客免费升级更好的房间。', '短评打分': 5}
{'短评内容': '很豪华，很舒服，地处非常繁华的金宝街，到王府井也很近，酒店的服务，设施和环境都太好了~\n', '短评打分': 5}
{'短评内容': '很好的酒店，就是客房服务人员有待加强，其他还好！！', '短评打分': 5}
{'短评内容': '前台服务还不错，餐厅差一点，服务还需加强！', '短评打分': 5}
{'短评内容': '多次为老板订房，感觉一如既往的好。客人相比较有所增多。', '短评打分': 5}
{'短评内容': '喜欢的风格，大气，出行方便！', '短评打分': 3}
{'短评内容': '非常好的酒店喜欢有机会还会入住！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '我很难理解那位外国大堂经理在我反应问题之后用蹩脚的中文说：你是中国人么？ ', '短评打分': 5}
{'短评内容': '+非常不错，下次再来', '短评打分': 5}
{'短评内容': '酒店真的很不错，服务一流，比王府酒店强多了。', '短评打分': 5}
{'短评内容': '很豪华，很舒服，地处非常繁华的金宝街，到王府井也很近，酒店的服务，设施和环境都太好了~', '短评打分': 3}
{'短评内容': '第二次入住，不过这次是套房，一切还是那么的舒适和奢华，一如既往的优秀品质，老婆和女儿都非常喜欢，是最好的市内休闲度假酒店。推荐酒店的贾梅士葡国餐厅和咖啡厅的海南鸡饭，味道很好也不贵，但不知道为什么人总是很少，是不是需要更好的促销。', '短评打分': 5}
{'短评内容': '酒店不错，交通便利，下次来还会住在这里。', '短评打分': 5}
{'短评内容': '地段还是非常好，服务还行但是价格还是偏贵。房间还是有些味道卫生设施还行。', '短评打分': 1}
{'短评内容': '非常豪华酒店，让人心旷神怡，早餐面包比较多，种类稍显单调~', '短评打分': 5}
{'短评内容': '非常周到，服务非常好。', '短评打分': 5}
{'短评内容': '酒店装修很欧式，服务态度非常好，收费可以接受！', '短评打分': 3}
{'短评内容': '酒店总体感觉不错，服务很周到，就是房间里的电视柜有点难看！', '短评打分': 5}
{'短评内容': '位置还挺好出行还是挺方便，房间的卫生设施都还可以，价格还算是比较贵了不过房间还是挺大的，', '短评打分': 5}
{'短评内容': '这是间不错的酒店 大堂非常的大气宏伟！很有气派！也很漂亮！淋浴的水流巨大洗澡很爽。浴盆放水超级快。赠送的浴盐也很好。洗浴用品都是欧舒丹的！酒店旁边的金宝汇楼上有家大董烤鸭，很美味。这是我们去北京必到的美食，距离酒店这么近很开心。美中不足就是房间有种很奇怪的味道。我们开的两个房间都有。这让对味道敏感的我感到很不适。', '短评打分': 5}
{'短评内容': '这家酒店就是我想住一辈子的！别的不用说了！', '短评打分': 5}
{'短评内容': '酒店总体是不错的，不过要在预定之前确定房间的大小，因为酒店有的房间大一下有的小了一点。服务态度应该再提高一下。', '短评打分': 5}
{'短评内容': '白金五星！设施超好，没的说，体验一下就知道了！1600元每晚赠送一份早餐，适合商务出行！位于北京著名的金宝街，附近的奢华的金宝汇每次走进去，都感到自惭形愧，当然也是一种激励，要努力工作，拼命赚钱！', '短评打分': 5}
{'短评内容': '屋内有些潮湿，开过窗户就好。实在很狭窄。', '短评打分': 1}
{'短评内容': '应该在金宝街这边弄个出租车进出的口,要不然逆行或者掉头很不方便', '短评打分': 5}
{'短评内容': '价格好像有所上涨啊', '短评打分': 3}
{'短评内容': '外表像宫殿，大厅像家里的会客厅，房间很精致，软硬件我都很喜欢。绝对不会让喜欢高标准酒店的人失望。', '短评打分': 3}
{'短评内容': '贵有贵的道理', '短评打分': 3}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '服务很好！设施卫生方面都不错！很值得一住！', '短评打分': 3}
{'短评内容': '很喜欢！很不错~', '短评打分': 5}
{'短评内容': '外表像宫殿，大厅像家里的会客厅，房间很精致，软硬件我都很喜欢。绝对不会让喜欢高标准酒店的人失望。', '短评打分': 5}
{'短评内容': '服务很好！原本差点订不到机票，但服务生很努力地帮忙订到了！\n酒店很值得一住！床很舒服！设施卫生方面都很好！\n唯一的缺点就是入住期间没空调，是自然风，有时有点热！', '短评打分': 5}
{'短评内容': '欧式风格，太豪华了。很舒服。', '短评打分': 3}
{'短评内容': '贵有贵的道理', '短评打分': 5}
{'短评内容': 'shu shi du yi liu.', '短评打分': 3}
{'短评内容': '总之方便，舒适，价位在那放着呢！', '短评打分': 5}
{'短评内容': '背景音乐一直没有变化，竖琴演奏不错。', '短评打分': 3}
{'短评内容': '酒店很漂亮，无论是地理位置还是住宿环境都是一流，但服务水平有待于提高。', '短评打分': 5}
{'短评内容': '饭店卫生、设施很不错，富丽堂皇，就是价钱太高，趁淡季住住也是不错的选择。有一点不好的是饭店温度太高，太热了，还没法调低温度，只能关空调。', '短评打分': 5}
{'短评内容': '酒店的床很大，浴室面积也很大。值得推荐', '短评打分': 3}
{'短评内容': '非常漂亮', '短评打分': 3}
{'短评内容': '带朋友去的，还不错的，就是房间走廊静电太大了，而且房间过于燥热！', '短评打分': 5}
{'短评内容': '酒店的服务态度很热情，就是客人好像不是很多。相比对面的酒店价格相差不是很多。这里图一个清净，况且相比年前的房价，还是有所下降的。还不错，希望五一的时候还是这个价钱。地理位置也不错', '短评打分': 5}
{'短评内容': '现在的房价很是超值啊1265，比上次住优惠了很多啊！听说，现在是促销价啊，只不过不含餐，不过早餐也不太好吃', '短评打分': 5}
{'短评内容': '上回是豪华间,这回住的是套间呢，还不错呢,但相比较而言,还是豪华间性价比比较高呢', '短评打分': 5}
{'短评内容': '又去了一次，总体不错，但感觉大堂温度很低，房间温度过热，温差太大，希望改善。', '短评打分': 5}
{'短评内容': '酒店还不错 价格稍微有点高 但是没看出比索菲特哪里好', '短评打分': 5}
{'短评内容': '服务态度不错，就是人好像不是很多', '短评打分': 5}
{'短评内容': '服务不错.', '短评打分': 5}
{'短评内容': '装修很豪华', '短评打分': 5}
{'短评内容': '性价比还不错，就是客人好像不是很多', '短评打分': 5}
{'短评内容': '超豪华 卫生间好漂亮', '短评打分': 5}
{'短评内容': '带欧洲同事慕名来住的，纯欧洲古典式装修，房间不错。但大堂的温度可以用CHILL，因为正好北京降温，特别是早餐区，要穿外套才能吃饭（品种也太少）欧洲同事不是很满意，建议我下次定附近的HILTON！希望酒店能改进！', '短评打分': 1}
{'短评内容': '有住在凡尔赛宫作客的感觉。\r\n唯一缺陷是过度保持恒温及干燥，没有调节空气中水份，\r\n住了四天，最少到处被电个两百次。\r\n最适合当蜜月旅行的酒店房间。\r\n但冬天记得带不导电的手套。', '短评打分': 5}
