{'descr': '空调声音较大点，其他还好。', 'star': 4}
{'descr': '锦江之星（石家庄火车站店）位置好，据火车站只有10分钟的路程（走路），酒店服务态度好，我住的是商务间，环境好、干净整洁，房间设施齐全明快，服务中心服务很周到，住宿时忘记带剃须刀了，打电话服务中心很快送来一个，用时不小心把头给掰断了，打电话又送来一个，房间性价比较高，很值得推荐和住宿，以前没有住过锦江之星连锁店，以后可以关注了。', 'star': 5}
{'descr': '地理位置方便，如果对住宿要求不高可以住住，整体也挺干净的。', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '优点：\n1、距离火车站近，乘出租车5分钟，票价5元\n2、房间布局小巧精干，干净整洁\n3、卧具轻柔、舒适\n4、酒店对面为万象千成和百盛购物中心\n遗憾：\n1、上午8：00到酒店，前台解释清洁人员8：30上班，房间还未清理，故在隔壁好利来坐等9：00入住\n2、单人房壁挂电视尺寸偏小\n3、不提供预约出租车服务', 'star': 5}
{'descr': '服务很好，也很干净。建议增加含早餐的房间预订。', 'star': 3}
{'descr': '干净，整齐，很不错。就是看不出高档的和低档的区别，只是多了个小型沙发座椅，还是在远远的角落里，根本没法坐，距离电视太远，也没有灯看不了书。在上海的锦江之星就住的非常好，屋里区别很大。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '干净卫生，但酒店都是临街的房间比较吵，交通不太方便，在打不到车的情况下，没有任何公交可到酒店，这点很不方便。', 'star': 5}
{'descr': '还算干净，地理位置方便，离租车的地方只要100米，如果对住宿要求不高可以住住，但是楼下的茶餐厅好难吃，果然在北方，还是不要吃茶餐厅比较好', 'star': 5}
{'descr': '离火车站很近，条件要好过北京的连锁店。其实，要超过20个字没什么意思', 'star': 5}
{'descr': '总体不错，尤其是服务态度。但是床单还是洗的有点不太干净。', 'star': 5}
{'descr': '房间装修很清新，面积不是很大，最舒服的是它的被子。这家虽说是火车站店，但走到火车站还是有点距离，往北走800米左右是石家庄的一处商业步行街。停车不方便，要去对面的公用停车场，然后再自己拖着行李穿过马路回来，但酒店报停车费。', 'star': 5}
{'descr': '不错的酒店喜欢干净舒适，下次还会住的，早餐也很好吃哈哈', 'star': 5}
{'descr': '不错的酒店，秉承了锦江之星一贯的风格服务态度也比较好，干净舒适', 'star': 5}
{'descr': '干净，被子很舒服，网速快，空调好，窗户真隔音', 'star': 5}
{'descr': '经济实惠、干净整洁、服务不错、以这个价位而言，性价比很好', 'star': 5}
{'descr': ' 挺不错的 、        啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '很好，很满意！', 'star': 3}
{'descr': '酒店环境很好像家的感觉服务态度也很好，附近公交便利，商场也多，离车站也很近', 'star': 5}
{'descr': '非常整洁、安静的锦江连锁，很喜欢，工作人员说刚开业三四个月，设备都是新的哦。相对档次来说，价格比较实惠了。唯一缺憾的是餐厅的菜样不够丰富，价钱也不便宜。', 'star': 5}
{'descr': '生意很好，环境服务态度也很不错，连着住了一个星期', 'star': 5}
{'descr': '挺好，房间很整洁干净，也比较大，通风好，空气清新，比如家的服务管理好些。下次来还住这儿。', 'star': 3}
{'descr': '酒店位置还可以，性价比还不错', 'star': 3}
{'descr': 'good ,还筧可以，当日动去晚了，由该店联系了附近的另一家锦江之星，服务瞒好的', 'star': 5}
{'descr': '酒店很干净，交通便利，酒店员工服务态度也很好', 'star': 3}
{'descr': '挺好的，屋内很干净，布置的也比较温馨，很满意！', 'star': 3}
{'descr': 'good', 'star': 3}
