{'短评内容': '一般情况，去年这个时候去的。有点虚高', '短评打分': 4}
{'短评内容': '已经住过一次了，这次又来住。这次住的是普通标准间，主要是老婆觉得靠路边的房间太吵。住在E栋，这里应该是员工宿舍，共有4层，只是把1层和2层变成客房了。\n很安静，房间不大，但是设施比较齐全。但是有一点，就是房间里有很多小飞虫，比较讨厌。\n总体说来还好，另外发现一个问题。外面饭店的价格比酒店的餐厅还贵，看起来酒店的餐厅还是比较实在的。', '短评打分': 5}
{'短评内容': '离海边很近，无敌海景房里面可以在晚上听见海浪的声音。从酒店走到海边最多3分钟，位置相当好。\n服务很到位，网络不好，服务员直接送来无线上网的号码，感觉心里很舒服。酒店服务人员服务到位，符合凯莱的一贯作风。\n早餐相当好，中餐厅也不错，价格适中，可以接受。\n去的时候是5月，海鲜不多，人也很少，感觉附近有些冷清。周边没有吃饭的地方，购物的地方也没有找到，小遗憾。\n海景房虽然好，但是和海之间有一条马路，有的', '短评打分': 5}
{'短评内容': '海景房入住不到1小时退房的理由：楼内有重的异味，房间内壁纸泛黄脱落、木质地板满目斑驳、卫生间设备陈旧、房间内唯一可以通风的凉台门没有纱窗、最最不能忍受的是卧具潮湿有异味。鉴于以上状况决定退房，与前台协商能否按半价结算遭到拒绝，二话没说付全款368元走人。', '短评打分': 1}
{'短评内容': '很干净、舒适、服务也可以！', '短评打分': 3}
{'短评内容': '服务不错的说，海景也不错，就是房间里有点旧，感觉像是老式的国营饭店的样子，呵呵。总的来说比较满意。', '短评打分': 5}
{'短评内容': '非常适合短期游玩居住，离海边很近', '短评打分': 3}
{'短评内容': '最后改的海景房，离海边真的很近，房间里的设施不能跟城里的凯莱比，但还算干净，带孩子来玩还不错。', '短评打分': 3}
{'短评内容': '地理位置非常好，过了马路就是大海。由于没到旺季，整体环境很安静。酒店服务很热情，我们订的普通标间，前台服务还帮我们免费升级成带凉台的房间。房间的确有些旧，但挺干净，晚上并不觉得潮，早餐不错，交通也方便，就是周围没有小店铺，常用品最好自带。总体很满意。', '短评打分': 5}
{'短评内容': '海景不错  就是稍显陈旧  整体还是很好的', '短评打分': 5}
{'短评内容': '环境比网上图片差很多，服务还行，中餐厅菜不错，早餐差点', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置非常好，面朝大海，老龙头很近，风景不错，就是房间太过陈旧。', '短评打分': 5}
{'短评内容': '靠近海边，周边环境较好，酒店设施一般,卫生条件还可以。', '短评打分': 5}
{'短评内容': '酒店位置极佳,出门过马路就是海,海滩也很好,沙子很细,很适合全家休息度假.酒店的设施确实老了,我定的是豪华海景别墅,房间很大,很适合全家老小一起来,就是设施太老了,地板和楼梯走起来嘎嘎响,还有的地板都鼓起来了一个大包,害的孩子摔在上面头都起了一个大包.还有淋浴设备也是很旧了,洗澡不是特别痛快.应该从新装修一下了.但设备还是很全的,还有洗衣机和烘干机,不错,很好用.总得来讲,还是不错的.', '短评打分': 5}
{'短评内容': '位置很好，洒店的设施太陈旧，墙纸跷起。床不舒服', '短评打分': 5}
{'短评内容': '服务很好，但有些吵海景房最好不要定，后排的房间不吵，赠送早餐西餐一般人吃不惯，面向外国人的酒店', '短评打分': 5}
{'短评内容': '+非常满意', '短评打分': 5}
{'短评内容': '海景房观海位置超好，但房间设施陈旧，总体不错。前台服务很周到，但中餐厅服务相当一般，总体比较满意。', '短评打分': 5}
{'短评内容': '服务态度很好，酒店设施差且陈旧。不推荐。', '短评打分': 1}
{'短评内容': '地理位置还不错，就在海边，周边环境好，酒店内环境，卫生一般，蚊子苍蝇有点多，服务还不错。离几个景点都较近。', '短评打分': 3}
{'短评内容': '环境很好，相对比较舒适，早餐相当丰富，有露天烧烤，很方便。可能是因为临海，潮气较重。', '短评打分': 5}
{'短评内容': '一个字差', '短评打分': 1}
{'短评内容': '上周陪太太去的,原来498的海景房不在主楼内,主楼的海景房598元,又加钱升级,但是凯莱的设施有些老旧了,应该重新装修了,否则对不起窗外的海景,少件浴袍最后也没送来,是不是旺季没到人手还不齐', '短评打分': 5}
{'短评内容': '虽说算是当地比较高级的酒店,但是真的不能算是4星级,顶多算准3星.\r\n干净程度一般,设施较旧,标间很小~~~和这个价位比较应该算贵的.', '短评打分': 1}
{'短评内容': '服务态度很好，酒店设施陈旧。希望能有所改善。', '短评打分': 3}
{'短评内容': '总体来说性价比不错，第N次入住了。服务态度非常好，但是希望以后服务速度能快点。可能是房间离得比较远，打个电话叫服务总是有一段时间才能过来。', '短评打分': 5}
{'短评内容': '位置很好找，海景房就是标间带个阳台，后来升级了平层海景套间（780元），带一个超大的露台非常爽，离海仅隔了一条马路，虽然设施有些陈旧，但干净卫生非常舒适，酒店的免费早餐也挺不错，品种很多，早上我来不及下楼，朋友帮我打包带上来。连吃了几顿海鲜，晚上在中餐厅点了几个素菜，量大味道也不错，价格偏贵，西红柿炒鸡蛋和酸辣土豆丝都是22米。特别要说的是，酒店的服务非常好，前后帮我送来指甲刀、盘子、盐、冰块等我', '短评打分': 5}
{'短评内容': '海景房真的不错，就是房间内的设施差了点。', '短评打分': 5}
{'短评内容': '可惜这么好的位置，酒店设施太旧！', '短评打分': 1}
{'短评内容': '可惜这么好的位置，酒店设施太旧！', '短评打分': 3}
{'短评内容': '什么时候装修啊', '短评打分': 5}
{'短评内容': '在山海关这个地方，这家酒店还算是不错，靠海边极近，房间里也可以看到大海。', '短评打分': 3}
{'短评内容': '酒店设施一般，但是服务态度很好。离海边非常近，夏天度假的时候是首选！', '短评打分': 5}
{'短评内容': '挺不错，可能是那一带最好的宾馆了，就在海边，去各个景点都很近。只是饭菜做得差了一些。', '短评打分': 5}
{'短评内容': '环境超好，卫生稍微差一些，饮食也不错。', '短评打分': 5}
{'短评内容': '这个酒店什么时候能重新装修一下阿，挺好的位置，真是可惜了！走廊里面不知是什么味道，刺鼻的很！估计是腐朽的味道吧！', '短评打分': 5}
{'短评内容': '真的是太差了，相当的垃圾', '短评打分': 1}
{'短评内容': '酒店位置非常好，出门就是大海，但是房间设施很陈旧，大床还是两张床拼的，没有电梯，行李多了上楼就麻烦点儿！', '短评打分': 5}
{'短评内容': '我同事一起订了海景大床房和普通标间，海景房是一栋一栋的别墅里分隔开的，很好，虽然后面几栋看海景费点劲，但总的来说不错，而且要的大床房是两个1.20米的床拼成的，所以和孩子三个人也没再加床（本来定了加床，又让服务员撤走了，表扬一下服务员的态度），就是睡中间的有点硌。普通标间在院子后面，小一些，但带着孩子住也不错。环境优美、安静，出宾馆过了马路就是海边了，就是离市区较远，附近也没有什么商店，只能在酒店', '短评打分': 5}
{'短评内容': '酒店的位置确实不错，去景点什么的，从这个酒店走都很方便，而且他们的餐饮服务是挺不错的，但是酒店毕竟比较老了，设施都挺老旧的，地面感觉也不是很干净，相对于这样的环境和设施来说，价格稍微高了一点。', '短评打分': 3}
{'短评内容': '酒店的整体很一般,位置不是很好的,整体感觉一般化', '短评打分': 5}
{'短评内容': '突然很想看海，于是就和朋友到这个酒店去住了。下了从北京来的机场长途大巴，打了一个出租，开了大概25公里，才到酒店。中途还需要经过一个警察的检查站。不过警察并没有查什么，看了一眼我们感觉不像是坏人就让我们走了， 车都没有下。在入住之前告诉酒店前台帮助在房间内设置两条网线，以我的经验国内的酒店除了汉庭，多数是会拒绝的，可是没想到这个酒店居然很愉快的答应了，在房间内设置了一个路由器，让我的入住非常的愉快', '短评打分': 5}
{'短评内容': '酒店房间内的设施有些太简单了,感觉好像不够星级标准；不过其他方面还是可以的；', '短评打分': 5}
{'短评内容': '秦皇岛凯莱度假村地点很好，就在海边。有很大潜力成为一个很好的酒店。但管理，服务，设施，都不能让人满意。所以本想住2个晚上，结果住了一个晚上，就决定搬家。', '短评打分': 1}
{'短评内容': '酒店位置很不错,离海很近,景色比较好,价格也可以接受,但房间供暖不太好,装修时间太长了', '短评打分': 5}
{'短评内容': '酒店设施过于陈旧，但是地理位置和不错。如果重新装修后会更好。', '短评打分': 5}
{'短评内容': '酒店服务较差，前台经常因打电话而让客户在等待，结账时竟等了10分钟，差点赶不上回程火车！！！', '短评打分': 1}
{'短评内容': '在原定房型没有空余的情况下免费为我们升级了房型，服务不错。', '短评打分': 5}
{'短评内容': '酒店距离海边、老龙头、山海关都很近，可惜该区域不是很好的海泳区域－－周围有工厂等污染；酒店隶属Gloria集团，有些出人意料－－不像是一家国际化公司管理的，不能令人满意！周围打车等不方便。&lt;br /&gt;\n酒店的饮食、娱乐等价格很公道，但早餐很差，而且蚊虫很多－－包括房间和衣柜中。&lt;br /&gt;\n总体而言，如果不考虑其隶属于Gloria国际酒店管理集团，以国内通用三星级酒店标准衡', '短评打分': 3}
{'短评内容': '入住的是别墅房型，房间还算不错。整体度假村环境很好，可惜去时门口－老龙头这段修路！&lt;br /&gt;\n&lt;br /&gt;\n性价比很高', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我们是十月二日入住的，住的是无敌海景房，屋子有个小阳台，在阳台就能看到海，大概走五分钟就能走到海边。早上躺在床上就能看到日出。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;以前看到有评论说房间里有苍蝇，确实有，只要跟房间的服务员说，他们可以帮忙喷些药（无味的），很管用。&amp;lt;/P&amp;gt;&lt;b', '短评打分': 3}
{'短评内容': '很好的酒店，庭院式的住宅，服务也不错，尽管交通不太方便，但只要同前台说一声就有车了。早餐一般，但绝对比秦皇岛的长城要好！毕竟那里是四星的呀！房间不大，但离海非常得近，步行就可以了。而且离老龙头很近，这一段路很值得走走。价格可以接受，毕竟是海景房，在海南要上千了。', '短评打分': 3}
{'短评内容': '我是10月1号-3号住的，C栋海景标间，总体评价如下：服务：一般。我们到酒店后直到进了房间后一直没见到服务员，直到我们打电话到服务台叫。&lt;br /&gt;\n环境：酒店位置非常不错，离海边很近，在阳台上就能看日出。&lt;br /&gt;\n设施：比较陈旧，屋里弥漫着很浓的木头的那种怪味，而且真的确实有苍蝇！！最后我们找服务员什么空气清新剂、杀虫剂先狂喷了一通之后才住的！&lt;br /&gt;', '短评打分': 3}
{'短评内容': '刚从那里回来，到底是凯莱，感觉还可以，下次我还会去住的。', '短评打分': 3}
{'短评内容': '位置不错，可以在阳台上看到海上日出。离海边非常近，餐后可以去散步。徐徐的海风，细软的沙滩让人流连。这里管理也不错，服务挺好。遗憾的是房间里有苍蝇，我们进房间的第一件事情就是消灭“轰炸机”~~呵呵。装修有些旧了，建议下一个旅游旺季到来之前装修一下。', '短评打分': 3}
{'短评内容': '位置不错，在阳台就可以看到海上日出。管理也不错。遗憾的是房间内苍蝇太多，装修有些旧了，房间壁纸有开裂。', '短评打分': 3}
{'短评内容': '这周我去了凯莱，订了无敌海景房，没想到房间没有了，换了复式公寓，棒极了！结果我们什么地方也没去，一天就呆在酒店里！服务也不错，早餐也不错，推门望海，阳台20多平方！房子是新装修的，到底是外资酒店，和我在国外（当然也是蹭的）高级海景酒店差不了多少！所以全部100分！&lt;br /&gt;\n但是，酒店的外观实在太次，第一眼我们失望极了，虽然走进去以后一连串大大的惊喜等待着我们，但如果把房子刷一次招来', '短评打分': 3}
{'短评内容': '为什么没有自己的网站而不全力宣传推广?&lt;br /&gt;\n为什么没有自己的网站而不全力宣传推广?&lt;br /&gt;\n为什么没有自己的网站而不全力宣传推广?&lt;br /&gt;\n为什么没有自己的网站而不全力宣传推广?&lt;br /&gt;\n为什么没有自己的网站而不全力宣传推广?&lt;br /&gt;\n快联系我!&lt;br /&gt;\n渤龙公司-龙斌&lt;br /&gt;\n03', '短评打分': 3}
{'短评内容': '绝对的物超所值，在老龙头附近面对大海的小别墅，价格公道。凯莱就是凯莱，好位置景色她总不会错过。', '短评打分': 3}
