{'短评内容': '性价比高～', '短评打分': 5}
{'短评内容': '服务不错，环境也行，就是不好打车。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错  卫生很干净   就是位置不怎么好', '短评打分': 5}
{'短评内容': '酒店干净卫生   还可以    位置比较偏', '短评打分': 5}
{'短评内容': '干净卫生 服务员也很有礼貌的 就是位置不太好找', '短评打分': 5}
{'短评内容': '干净卫生  服务员也很有礼貌的    下次还会选择', '短评打分': 5}
{'短评内容': '还不错，只是位置不好找。晚上有百事可乐公司拉货的车，声音挺响。', '短评打分': 5}
{'短评内容': '每次出差都是入住这个酒店    房间很干净   餐厅的早餐有点贵', '短评打分': 5}
{'短评内容': '房间挺干净的，餐厅不怎么样，交通不是很方便', '短评打分': 5}
{'短评内容': '环境以及内部硬件设施还不错，服务人员的态度也很好', '短评打分': 5}
{'短评内容': '总体感觉不错，早餐价格如能在10元左右就比较好了，还有就是餐厅供应品种较少。', '短评打分': 5}
{'短评内容': '房间很干净，很舒适，配套设施很完善，有机会还会选择雅悦酒店！', '短评打分': 3}
{'短评内容': '到店比较晚，没有和前台讲，说是之前订的房型没有了，按另外价格换其他房型，无意见，结果换到脏房。住这里图个方便，也没啥要求，但总不至于拿脏房开涮吧！和前台火了半天换了房间。真是无语了', '短评打分': 1}
{'短评内容': 'hgxfgtjcikuyolyvppppupu[ppoiooinon', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店', '短评打分': 5}
{'短评内容': 'fjiowefvvovnvn on skjlvn;evn', '短评打分': 5}
{'短评内容': '不错，挺安静', '短评打分': 3}
{'短评内容': '酒店是新的，环境挺好。隔音有点差，半夜听到楼上的走路声。另外电梯反应太快，我们六人进出时都有点胆颤。总体来说还是挺好的。', '短评打分': 3}
{'短评内容': '房间不错，服务也可以，晚饭的自助餐也不错，就是稍微有点偏，买东西不太方便', '短评打分': 3}
{'短评内容': '房价较高     服务一般   交通不方便   吃饭的地方要走好远', '短评打分': 1}
{'短评内容': '宽敞明亮，临街但不吵，早餐较贵还涨价从12涨到15元一位，房间里的矿泉水以前免费现在收2元，不爽。', '短评打分': 1}
{'短评内容': '我住的那个房间有很大味道   说不出是什么味道  ', '短评打分': 1}
{'短评内容': '靠路边的房间，很吵，常有泥头车经过。房间里有蚊子，有点烦，酒店里面环境，装修不错。', '短评打分': 5}
{'短评内容': '我住的房间里面有一股很大的味道，  电视小的可怜，也很陈旧  ，不过卫生还是蛮干净的', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐', '短评打分': 3}
{'短评内容': '近工厂近工厂近工厂近工厂近工厂近工厂工厂近工厂近工厂近工厂近工厂近工厂', '短评打分': 1}
{'短评内容': '好不错的酒店好不错的酒店好不错的酒店好不错的酒店好不错的酒店好不错的酒店', '短评打分': 5}
{'短评内容': '中餐,晚餐都没有火,吃不成饭,地方较偏,服务态度不好.', '短评打分': 1}
{'短评内容': '服务态度非常的差，房间也一般，地势偏', '短评打分': 3}
{'短评内容': '环境很好，服务也很好', '短评打分': 3}
{'短评内容': '还可以，热水洗澡挺好，就是隔音效果太差。', '短评打分': 5}
{'短评内容': '条件不错 条件不错 条件不错 条件不错 条件不错 条件不错', '短评打分': 5}
{'短评内容': '无免费早餐，客房设备较旧，周边交通便捷，房间较大。', '短评打分': 5}
{'短评内容': '位于高新区济南会展中心对面。入住1102。房间简单装修，木底板，干燥宽敞明亮。卫生间有消毒水的味道。被褥、毛巾干净干燥。床垫有点不大平整，还算好。周围环境空旷，房间隔音效果很差，一直传来旁边工地施工声音和周围汽车发动机与喇叭声，隔壁手机铃声和电视声音象在耳边一样，隔壁和走廊上的说话声清晰可闻。早餐15元，还不错，入住时有团队，不知道平时的早餐是否也这样。交通还算方便，走路2分钟有116开往市区到解', '短评打分': 5}
{'短评内容': '酒店房间很大，设施很全，总体来说跟超值，推荐！', '短评打分': 3}
{'短评内容': '环境不错，卫生条件很好，屋内设计比较人性化。来济南高新区办事是一个不错的入住地。离济南国际展览中心很近，非常方便！', '短评打分': 5}
{'短评内容': '不错，离山东大学软件挺近.\n因为要考试所以选择了该酒店。', '短评打分': 5}
{'短评内容': '地方偏,不好找.晚餐、午餐均被告之炉子没火。房间门锁也坏了。', '短评打分': 1}
{'短评内容': '环境不错,内部设施也不错,交通略为不便!', '短评打分': 5}
{'短评内容': '隔音效果实在太差，隔壁倒水的声音都听的很清晰，严重影响睡眠！', '短评打分': 1}
{'短评内容': '住店发生点小插曲，前台撕发票的时候没撕整齐，号码就剩下一半了，我也没在意。后来回房间挂了一下奖，中了二十，再找前台去，人家不认这个票了，说自己撕的票都是整整齐齐的。二十人民币，我第一次刮发票中奖，就这么没了。', '短评打分': 1}
{'短评内容': '经济实惠、房间干净、服务也不错，就是隔音效果有点差。', '短评打分': 5}
{'短评内容': '房间宽敞，干净，服务业不错，只是热水差了一点', '短评打分': 5}
{'短评内容': '*酒店满雅致', '短评打分': 3}
{'短评内容': '金莲花604', '短评打分': 3}
{'短评内容': '房间比較大.很好的', '短评打分': 3}
{'短评内容': '网速像蜗牛', '短评打分': 3}
{'短评内容': '高新区里比较便宜的了。但是大床房的暖气太差了，屋里很冷。服务也一般。', '短评打分': 5}
{'短评内容': '我已第二次入住贵酒店.服务很好!', '短评打分': 3}
{'短评内容': ' 非常好', '短评打分': 3}
{'短评内容': '冻坏了 房间很冷 给前台打电话 前台说没办法给你加床被子可以 真是无语了', '短评打分': 1}
{'短评内容': '酒店不错，干净卫生，房间很大，床很舒服，价格便宜，总体比较，比锦江要好一些，去高新区的话，这里是个很不错的选择。', '短评打分': 5}
{'短评内容': '房间不够干净，地板是坏的。餐厅菜肴种类不多。', '短评打分': 1}
{'短评内容': '房间比较大，离会展中心也很近，总体还不错。', '短评打分': 5}
{'短评内容': ' 己入住  房间不错离会展中心也不远', '短评打分': 5}
{'短评内容': '离着会展中心很近，房间很大～很值得推荐！！！', '短评打分': 5}
{'短评内容': '价格便宜,在济南高新区,这家酒店还是不错的.', '短评打分': 5}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错', '短评打分': 3}
{'短评内容': '酒店很干净，房间很大，早餐一般化，比锦江低三元，不如锦江。靠近济南国际会展中心。就是我们要的房间有个门老是打不开。', '短评打分': 3}
{'短评内容': '酒店很干净，房间很大，早餐一般化，比锦江低三元，不如锦江。靠近济南国际会展中心。就是我们要的房间有个门老是打不开。', '短评打分': 3}
{'短评内容': '酒店很干净，房间很大，早餐一般化，比锦江低三元，不如锦江。靠近济南国际会展中心。就是我们要的房间有个门老是打不开。', '短评打分': 5}
{'短评内容': '很不错 很干净 很舒适 大床很不错 很干净 很舒适', '短评打分': 5}
{'短评内容': '地址比较好，环境优雅，房间布局较好，干净卫生，停车方便。', '短评打分': 3}
{'短评内容': '＋酒店房间干净', '短评打分': 5}
{'短评内容': '酒店不错，就是位置偏，要是在高开区办事的，是不错的选择。', '短评打分': 3}
{'短评内容': '  酒店管理好  下次依然住这', '短评打分': 5}
{'短评内容': '干净、距离高速口较近、服务较好，价位稍微高了些。', '短评打分': 3}
{'短评内容': '经常住，旺季的时候贵了点，其他方面均较好，离高速口较近、交通方便。', '短评打分': 5}
{'短评内容': '在高新区办事很不错的商务选择，性价比较高', '短评打分': 5}
{'短评内容': '+不错，以后继续订', '短评打分': 5}
{'短评内容': '只要在高新区办事的，这家酒店还是不错的选择', '短评打分': 3}
{'短评内容': '性价比不错，酒店的服务很热情，房间大而整洁', '短评打分': 5}
{'短评内容': '房间大，干净，性价比不错', '短评打分': 5}
{'短评内容': '不错，就是交通不太方便', '短评打分': 5}
{'短评内容': '住宿环境很好，夜间噪声很小，在济南国际会展中心参展主宰者比较方便，就是价格相对较高，总体上性价比还算可以', '短评打分': 3}
{'短评内容': '住宿环境很好，夜间噪声很小，在济南国际会展中心参展主宰者比较方便', '短评打分': 5}
{'短评内容': '别的还凑合，和同类商务酒店比，价位稍高一点', '短评打分': 5}
{'短评内容': '离着会展中心很近，非常方便～房间很干净。', '短评打分': 5}
{'短评内容': '位置不错，离展馆近，价格也适中', '短评打分': 5}
{'短评内容': '在高新区的位置还是好的，到我的客户处很近，不过房间的隔音效果很不好，隔壁ML的声音太大，弄了一下午，四次，真服了。', '短评打分': 5}
{'短评内容': '性价比不错。适合商务。', '短评打分': 5}
{'短评内容': '房间还算比较新，定了一个大一点的房间，结果连放行李的台子都没有，外面下着大雪，可是房间的暖气一点都不热，空调打不起来，冻死我了。周边也没什么配套，不太方便', '短评打分': 1}
{'短评内容': '总体不错', '短评打分': 3}
{'短评内容': '设施环境都还不错', '短评打分': 3}
{'短评内容': '不错的酒店，很安静。', '短评打分': 5}
{'短评内容': '酒店里面吃饭很方便,条件很好,卫生很好很干净,去那边考试很方便交通便利.', '短评打分': 3}
{'短评内容': '不错。房间干净，住着很好。早餐也不错', '短评打分': 3}
{'短评内容': '整体条件不错，但对于一个人的话，性价比不是很高。由于周边只有这一家像样的酒店，只能推荐他。', '短评打分': 5}
{'短评内容': '房间不错，干净，但没早餐不好，还要12元', '短评打分': 3}
{'短评内容': '房间很大，还不错，如有免费早饭就好了', '短评打分': 5}
{'短评内容': '早餐不好', '短评打分': 5}
{'短评内容': '在济南高新区来说，还算一个性价比不错的店；可惜曾经好吃的饼不做了，早餐也越来越不好，晚到的时候连个面条都不做了……不算是以客为尊吧', '短评打分': 5}
{'短评内容': '酒店服务比较差, 设施还可以, 地理位置比较偏僻交通不是很方便,性价比很一般.不太推荐的酒店.', '短评打分': 3}
{'短评内容': '经常入住于经济型的酒店，这家酒店也是一样。早餐种类很多很好吃，服务员的态度也很好。但是酒店的位置不是特别好找，其他的感觉都很好啦！', '短评打分': 3}
{'短评内容': '交通还不是太方便,价格还是比较适中的,房间也很干净,设施还是挺齐全的,总体感觉还是挺不错的.', '短评打分': 3}
{'短评内容': '还不错，房间也挺大的，卫生条件也不错', '短评打分': 5}
{'短评内容': '枕头特别脏，屋里有嗡嗡的声音。可能是空调共振墙壁产生的。而且换房间，说房间全满了。另外，我刚买的手机需要充电12小时，要另外一个房卡，说本酒店每个房间就配一张房卡。不管什么房间，套房也是。哎，有些无语！', '短评打分': 1}
{'短评内容': '短期入职还可以', '短评打分': 3}
{'短评内容': '在高新区办事，这里还算可以的选择；但属于典型的有一定硬件、没软件的……而且最近不推荐入住，周边新建工地很忙碌', '短评打分': 5}
{'短评内容': '位置太偏，服务一团糟，我早上出去，下午回来一看房间清洁都没做！没家具，房间有异味就算胃，窗户还是封死的！叫人来开空调吧，等我睡到第二天早上都没见到哪个服务员过来。前台的小姑娘除了会说“你好”什么表情都没有。怀疑不是什么连琐店。国营招待所吧！', '短评打分': 1}
{'短评内容': '酒店服务还可以，挺热情的，但就感觉离机场远了点，开车要20分钟，要是去机场的没必要住这', '短评打分': 1}
{'短评内容': '家具并不齐全，但卫生间设计得不错，有隔断的浴室。电视较房间来讲尺寸较小。服务一般。隔音不太好，位置较远了一些。总体还是不错的', '短评打分': 3}
