{'descr': '房间很干净', 'star': 5}
{'descr': '位置不错，设施也可以，就是没热水。服务员态度也不错。', 'star': 5}
{'descr': '性价比算可以的 虽然设施不是很完备 但跟价钱比起来 还可以', 'star': 5}
{'descr': '性价比可以 卫生 环境 设施 都是线上水平 可以考虑', 'star': 5}
{'descr': '早餐还可以，就是设施有点旧，服务还需要提高水平', 'star': 5}
{'descr': '有点奇怪的格局 套间卧室在外面 会客室在里面 卧室也没有座椅', 'star': 5}
{'descr': '为了早去八大处朝拜佛舍利 提前一天选择这个宾馆,距离八大处很近.开车10多分钟,选择住在郊区,对宾馆的条件就不要有很高要求了.', 'star': 1}
{'descr': '非常不错，物超所值，我是5月12日入住的标间，房间很干净，早餐也很不错，比一些知名的连锁酒店好多了。服务人员的意识也很到位，特别是一位前台的叫“郭慧”的接待员，值得表扬', 'star': 5}
{'descr': '环境还可以 ~就是隔音效果不是很好~总体还行吧', 'star': 5}
{'descr': '挺好的，价钱还能接受', 'star': 3}
{'descr': '＋酒店服务热情，方便快捷，相当满意，下次还住这', 'star': 3}
{'descr': '预定这家酒店是因为离迷笛较近，但实际上迷笛很偏，忍痛提前离场赶地铁，下地铁后到这家酒店还要步行大约二十多分钟，在常年在北京打拼的朋友的带领下找到还是费了一些劲头，到店后前台接待的服务态度还是蛮好的，这个肯定下。顺利办理入住手续拿到房卡，到达门口刷卡不是很好刷，往往反复刷好几次才能打开门，进入后发现有电脑，两张单人床还是蛮大的，遗憾的是电脑不能上网，网线连接符号显示小八叉，询问前台答复说可能上网的人', 'star': 1}
{'descr': '酒店服务还可以。建议热水设施在加强下。我个人还是比较喜欢热水澡。', 'star': 5}
{'descr': '不怎么样不怎么样不怎么样不怎么样不怎么样不怎么样', 'star': 1}
{'descr': '可以', 'star': 3}
{'descr': '还算不错吧，就是套间不能上网让我很郁闷。洗澡的热水不是很热。其他的还都可以。', 'star': 3}
{'descr': '不怎么样，很偏，卫生不怎么好！不怎么样，很偏，卫生不怎么好！', 'star': 5}
{'descr': '还好 环境比较安静', 'star': 3}
{'descr': '好，在北京，还算性价较高的。以后还来。。', 'star': 5}
{'descr': '很好，性价格比较高，但些价格只能住一晚。', 'star': 5}
{'descr': '挺好的，就是太贵了，比原来的价钱涨了好多，希望可以便宜点', 'star': 5}
{'descr': '价格便宜，房间比较干净，还有电脑可以使用。不错吧，就是位置比较偏僻些', 'star': 5}
{'descr': '早餐太差', 'star': 3}
{'descr': '性价比很高，酒店较远，服务态度不好，酒店设施老化很多不能用', 'star': 5}
{'descr': '服务还行，就是离地铁站远点，绝对超过500米', 'star': 5}
{'descr': ' 酒店很干净.服务好', 'star': 3}
{'descr': '地理位置和环境以及价格都还可以，就是门锁不安全。', 'star': 5}
{'descr': '价位还可以，就是隔音效果不是很理想，总体来说还不错啦！', 'star': 5}
{'descr': '环境一般 ，车位充足，位置比较偏,内部装修过于老化', 'star': 1}
{'descr': '前台人员素质需提高', 'star': 3}
{'descr': '价格很便宜，就是卫生不是很好，前天还是微笑服务的', 'star': 5}
{'descr': '服务态度不好，，，。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '格林豪泰石景店环境不错，下次还住这店。', 'star': 3}
{'descr': '位置有点偏，房間太熱，硬件设施不好，所住房间淋浴头都没', 'star': 1}
{'descr': '\u3000挺好的.挺暖和.就是灯太暗.', 'star': 3}
{'descr': '酒店位置不好找，房間太熱，隔音效果太差，無法入睡。', 'star': 1}
{'descr': ' 就是有点偏僻', 'star': 3}
{'descr': '房间比较干净，但是双床房间，床是弹簧床，比较铬，不舒服，其他还好，服务不错。', 'star': 5}
{'descr': '环境价格等其它都不错,就是有点偏,比较难找呀', 'star': 5}
{'descr': '不错，环境很好，服务也很到位，挺喜欢。希望大家来尝试、', 'star': 5}
{'descr': '距离首钢很近，设施还可以，但吃饭不太方便', 'star': 5}
{'descr': '服务态度都很不错，下次还会入住，价格也很优惠哦', 'star': 5}
{'descr': '酒店环境整体不错，暖气给的很足，都不需要开空调，前台接待的素质有待提高', 'star': 5}
{'descr': '干净，卫生，，就是离市区远点，，在首钢边上，感觉还可以', 'star': 5}
{'descr': '去首钢的一个公司办事，对方给订的这家格林，说是99.8一晚，感觉这个价格可是非常非常超值的。', 'star': 5}
{'descr': '就是地点偏远一点，性价比是很好的酒店，下次还住', 'star': 5}
{'descr': '房间干净，暖气烫手，上网快，房间还有配电脑，只是没给配电源线还是用我自己的笔记本吧，深夜有嘿咻声让我难以入眠，哈', 'star': 5}
{'descr': '房间、设施、服务都满意，只是交通不怎么方便，附近也没什么吃的', 'star': 5}
{'descr': '价格很划算。房间暖气也很好的说。洗澡的也挺好的，淋浴水很大。就是宽带太慢了…玩三国杀都卡…', 'star': 3}
{'descr': '地段很偏僻，屋内暖气还算好，很暖和，卫生间淋雨坏了，服务人员还算热情', 'star': 5}
{'descr': '地理位置有点偏 不是很好找 环境还不错 卫生 干净 还好', 'star': 5}
{'descr': '以前感觉不错，不过这个特价房实在不怎么样，电视太旧了，频道一半不能看，能看的人都是蓝色的脸，全是阿凡达！', 'star': 5}
{'descr': '性价比不错，缺点是隔音效果有点差，还是向大家推荐格林豪泰', 'star': 5}
{'descr': '不错，交通也便利 就是环境稍差，有种城乡结合处的感觉', 'star': 5}
{'descr': '好像现在涨价了，原来性价比挺高的，现在貌似不怎么好了\n', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '  酒店周边交通便利,房间环境整洁', 'star': 3}
{'descr': '地点比较远，在N环外了，可以看到远山。\n房间一般吧，比较陈旧。周围吃饭的地方不是很好找，都是小餐馆。\n不过价格是挺便宜。\n交通的话，坐地铁到市区还是要大约小一个小时。\n如果是纯旅游的话，不建议住这么偏僻', 'star': 1}
{'descr': '地段比较远，五环外了。没涨价前165元还行，现在192元就有点不划算了。', 'star': 1}
{'descr': '地方有点偏，离北京市区有点远。性价比好！', 'star': 5}
{'descr': '  床很大很舒服 卫生间有些脏  ', 'star': 3}
{'descr': '+酒店内部设施不错 也比较干净 但周围环境较差 离地铁站太远 步行需要20分钟时间', 'star': 3}
{'descr': '酒店内部设施不错 也比较干净 但周围环境较差 离地铁站太远 步行需要20分钟时间', 'star': 5}
{'descr': '不是太喜欢那里呢，位置很偏周围没公交车，也没什么吃饭的地方，房间里总有水声，很吵', 'star': 1}
{'descr': '总体来说很好，就是提高一下设施的完善，还有为什么每个房间的矿泉水怎么没有了？我觉得还是应该每个房间两个。', 'star': 5}
{'descr': '+床很舒服，卫生间不够宽敞，卫生.  ', 'star': 5}
{'descr': '这家酒店比较一般,除了价格比较便宜,其他值得推荐的地方还真不多.', 'star': 3}
{'descr': '酒店超值，干净，舒点。赞一下！', 'star': 5}
{'descr': '酒店很安静，住了几次了，觉得都还不错，就是最近附近在拆迁，周边人气稍差。', 'star': 3}
{'descr': '酒店很安静，住了几次了，觉得都还不错，就是最近附近在拆迁，周边人气稍差。', 'star': 3}
{'descr': '酒店很安静，住了几次了，觉得都还不错，就是最近附近在拆迁，周边人气稍差。', 'star': 5}
{'descr': '服务质量和设施都不好', 'star': 5}
{'descr': '交通还算方便。。但是房间卫生不敢恭维。第二天的毛巾有破洞，第三天的毛巾压根就没送。\r\n\r\n第一天晚上网线是坏的保修，第二天晚上还没修。\r\n\r\n性价比还行。', 'star': 3}
{'descr': '综合来说性价比还是很好的房间很大也很干净从地铁出来打车到这10块钱。', 'star': 3}
{'descr': '综合来说性价比 还是很好的房间很大也很干净', 'star': 5}
{'descr': '综合来说性价比还是很好的房间很大也很干净从地铁出来打车到这10块钱。', 'star': 3}
{'descr': '整体环境一般，日用品设施太差，由其是浴巾毛巾', 'star': 5}
{'descr': '总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好总体上服务好', 'star': 5}
{'descr': '不错，就是附近最近在拆迁挺乱的，离地铁站稍远~', 'star': 5}
{'descr': '不错的，卫生以及设施都还不错。就是附近最近在拆迁挺乱的，离地铁站稍远~', 'star': 3}
{'descr': '还可以吧,可以选择的房型不多,最后选择了家庭房,床一个大一个小.', 'star': 5}
{'descr': '房间总体还是不错的，卫生很好。就是隔音稍微差了一些。环境总体上还是比较安静的。购物不是很方便，附近的餐厅只有3家，一家是驴肉火烧、一家是山西面食，还有一家是四川风味。价格都不贵就是可选择性太小。服务人员的态度是很不错的。房间的灯光稍微暗了一些晚上看书眼睛会比较累。其他的都还不错。', 'star': 5}
{'descr': '位置离地铁口还是有点偏。我住的房间宽带有问题，第一天晚上跟工作人员说修，第二天晚上还没修。\r\n卫生上很一般，特别是毛巾。第一天的两条毛巾都有破洞，第二天压根没送毛巾。\r\n\r\n', 'star': 1}
{'descr': '位置有点偏，环境不错，价位也很合理，下回还去', 'star': 5}
{'descr': '呵呵     环境一般吧~   ~离地铁有点远         ', 'star': 3}
{'descr': '房间的沐浴液是漏的，晚上刚让服务员加满，第二天就又没有了', 'star': 5}
{'descr': '地理位置还可以，酒店环境还是比较不错，服务也是很不错，关键价位能接受', 'star': 3}
{'descr': ' 服务很好', 'star': 5}
{'descr': '房间有点小 但干净 不错  ', 'star': 5}
{'descr': '设施陈旧了些，床不舒服。。。。。。。。。。。。。', 'star': 1}
{'descr': '位置有点远，离地铁站一公里左右，不太方便', 'star': 3}
{'descr': '位置有点远，离地铁站一公里左右，不太方便', 'star': 5}
{'descr': '位置有点远，离地铁站一公里左右，不太方便', 'star': 3}
{'descr': '干净整洁，让人很舒服，房间空间略小，服务态度很好', 'star': 3}
{'descr': '干净整洁，让人很舒服，房间空间略小，服务态度很好，值得光顾', 'star': 3}
{'descr': '不错，距离首钢很近，比较方便到首钢办事的人。', 'star': 5}
{'descr': '房间环境可以，就是有点偏,卫生也还行，性价比不错', 'star': 5}
{'descr': '挺干净的,地理位置也方便，离地铁一号线挺近的', 'star': 5}
{'descr': '其实酒店内部都还好 就是地理位置差了点 离地铁站远暂且不说 楼下甚至连个超市、水果店都没有  感觉就是附近很荒凉的感觉。。。每天溜达完一想到回酒店就头疼。。。', 'star': 5}
{'descr': '酒店排风不太好，不过服务人员的态度还不错。', 'star': 5}
{'descr': '离地铁较远,设施一般.浴巾太差已进破了', 'star': 5}
{'descr': '对于酒店本身是不错的111111111111', 'star': 3}
{'descr': '对于酒店本身是不错的，就是周边环境及硬件设施没跟上，相信过上一到两年，会更好', 'star': 5}
{'descr': '已经是第四次去住了，下次还会去，位置虽然很难找，但是我是回头客，所以有优势，服务态度很好，支持', 'star': 5}
{'descr': '房间设施陈旧，床单被套很旧，该更新了。周边环境破破烂烂。好在值得推荐的是，商务大床房有DELL原装电脑，19寸宽屏的液晶显示器，网速也很快。如果不带笔记本的话可以选择住在这里。', 'star': 5}
{'descr': '房间环境不错，我住的是商务套房，很享受!', 'star': 5}
{'descr': '免费的停车场相当不错，车位很多，毛巾是破的两天是同一块没换过', 'star': 5}
{'descr': '房间太小了，位置也很偏，不太好找，即便从最近的老古城或者厂东门车站下车，也要走一段时间。好处是网速很快，服务尚可', 'star': 1}
{'descr': '挺好的，已经是第三次住了', 'star': 5}
{'descr': '卫生很好~服务也不错~设施只能说是一般吧~不过对于这样的价格已经算可以了，毕竟旅游完一天回来主要就是休息了~床自我感觉还是挺舒服的~\r\n位置来说，还算可以~开车的话会比较方便，坐地铁的话需要再换乘一站公交以及步行一小段~总体来说很不错了~适合旅游计划不是很紧张的朋友，毕竟从这里出发，虽然不会堵车，但交通上还是会浪费一定的时间的~', 'star': 5}
{'descr': '地方偏，周边环境不好，服务还可以，房间质量也还行，总体性价比还不错', 'star': 5}
{'descr': '1、一进院落感觉脏乱\r\n2、总机不好打010-52631998（打了竟然没人接）\r\n3、屋内电话没有使用说明\r\n4、服务理念不好（借用衣架被一口拒绝，不过抱怨后还是提供了)\r\n5、屋里空间有点小\r\n总感觉格林豪泰应当挺好（以前没住过），今天入住后一家三口感觉不爽,家人是和以前住过的相当价位的商务酒店比。', 'star': 1}
{'descr': '床太硬，其他都好', 'star': 5}
{'descr': '总体上说还是不错的\r\n', 'star': 3}
{'descr': '总体上说还是不错的\r\n', 'star': 3}
{'descr': '总体上说还是不错的\r\n', 'star': 5}
{'descr': '宾馆各设施还算齐全，地方有点偏 不好找', 'star': 3}
{'descr': '位置虽然偏僻，但是还是很方便，从出来的地方坐公交一站路就有地铁可以通天安门，西单，王府井，公主坟等等，里面设施齐全，大床房很舒适，就是小问题：地板有点老化，下水道管子有点问题，但是旅游性价比真的还可以！', 'star': 3}
{'descr': '位置虽然偏僻，但是还是很方便，从出来的地方坐公交一站路就有地铁可以通天安门，西单，王府井，公主坟等等，里面设施齐全，大床房很舒适，就是小问题：地板有点老化，下水道管子有点问题，但是旅游性价比真的还可以！', 'star': 5}
{'descr': '位置虽然偏僻，但是还是很方便，从出来的地方坐公交一站路就有地铁可以通天安门，西单，王府井，公主坟等等，里面设施齐全，大床房很舒适，就是小问题：地板有点老化，下水道管子有点问题，但是旅游性价比真的还可以！', 'star': 3}
{'descr': '性价比还行。就是卫生间太滑，差点就摔倒了。还有酒店的饭菜真的不怎么样！', 'star': 3}
{'descr': ' 性价比还行。就是卫生间太滑，差点就摔倒了。还有酒店的饭菜真的不怎么样！', 'star': 5}
{'descr': '性价比还行。就是卫生间太滑，差点就摔倒了。还有酒店的饭菜真的不怎么样！', 'star': 3}
{'descr': '条件一般吧~~价格也便宜啊~~', 'star': 1}
{'descr': '位置偏了点，还算干净，服务不错，周边有点乱', 'star': 3}
{'descr': '还好', 'star': 5}
{'descr': '酒店卫生条件还可以，性价比也可以，就是有点儿远，不太好找。', 'star': 3}
{'descr': '酒店卫生条件还可以，性价比也可以，就是有点儿远，不太好找。', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '位置有点偏，但住着还算舒服，周边环境差了点，不过石景山基本也就那样', 'star': 5}
{'descr': '中午1点5分退房，多收了我150元，郁闷。\r\n下雨后积水深，进出不方便。', 'star': 1}
{'descr': '安静，整洁，是个休息的地方', 'star': 3}
{'descr': '安静，整洁，是个休息的地方', 'star': 3}
{'descr': '安静，整洁，是个休息的地方', 'star': 5}
{'descr': '离市区太远了交通很不方便，周围环境很差', 'star': 1}
{'descr': '除了离火车站比较远，其他都很好', 'star': 3}
{'descr': '除了离火车站比较远，其他都很好', 'star': 5}
{'descr': '环境很好，性价比高', 'star': 3}
{'descr': '环境很好，卫生条件也很不错', 'star': 5}
{'descr': '酒店位置有些偏僻不是很好找.前台服务员有些好比像吃了火药一般.让客人有些受不住的感觉.', 'star': 5}
{'descr': '价格还可以，就是房间比较小，设施比较陈旧，隔音不太好', 'star': 3}
{'descr': '酒店周边环境不大好，性价比还可以', 'star': 5}
{'descr': '酒店设施陈旧，位置太偏僻了，周遍设施很不方便！', 'star': 3}
{'descr': '酒店设施陈旧，位置太偏僻了，周遍设施很不方便！', 'star': 1}
{'descr': '挺好的，卫生挺好，服务还行。性价比可以。就是有点偏', 'star': 3}
{'descr': '挺好的，就是有点偏', 'star': 5}
{'descr': '物有所值。', 'star': 5}
{'descr': '总体很好，性价比很高', 'star': 3}
{'descr': '总体很好，性价比很高', 'star': 5}
{'descr': '总体感觉不错，位置稍偏。', 'star': 3}
{'descr': '总体感觉不错，位置稍偏。', 'star': 5}
{'descr': '还可以！', 'star': 5}
{'descr': '周围环境差，但是很安静，交通也方便', 'star': 5}
{'descr': '爷们不是很满意酒店位置，感觉在郊区安全不是很有保障，晚上都不敢出门，但因为我们专门去石景山游乐场玩的，所以比较下来这家酒店也是值得推荐的，内部卫生还可以吧，空调挺好，卫生间也没有什么味道，就是刚进房间的时候有股霉味，开开窗户也就习惯了，床比较硬，但是还可以接受了，服务员挺有礼貌的，但是酒店的餐厅服务员态度好差，而且价钱好贵，不建议在那吃东西、', 'star': 5}
{'descr': '设施很陈旧，卫生一般，地理位置太偏，下次不会去了。', 'star': 1}
{'descr': '性价比蛮好的酒店，房间里很干净，价格偏高了些，地理位置交通蛮方便，靠近我办事的地方，总体来说不错的酒店，下次还会入住。', 'star': 5}
{'descr': '餐厅服务人员素质差，床太硬', 'star': 1}
{'descr': '地点偏，设施旧，无网络，床太硬，服务一般，适合经济型的旅客', 'star': 3}
{'descr': '地点偏，设施旧，无网络，床太硬，服务一般，适合经济型的旅客。', 'star': 5}
{'descr': '服务态度都还可以，房间里面有些设施比较陈旧了像墙面上还有地板上都会有一些水渍，而且它那个酒店的位置也是挨着首钢的周围的空气环境其实挺不好的，价格还行反正也不贵但是酒店也不是很好，酒店其实整体感觉都还行，不过如果下次出行的话我估计也会重新换一家酒店，附近的空气确实挺不好的。', 'star': 1}
{'descr': '地点比较偏僻，设施稍微旧了一点，没有网络，给前台反映没有得到反馈，其他还行吧。', 'star': 1}
{'descr': '总的来说很不错，理位置稍有点偏，比较向阳，床不是很舒服，比较硬，周围没有什么吃饭的地方。但性价比算很高的了，以后去北京的话还会选择住，但是希望可以出台优惠老顾客的措施，谢谢~~~~~~~', 'star': 5}
{'descr': '床有些硬，卫生，设施都一般化，毕竟价位不高，都还可以，下次如果在附近有出行需要，也会入住。', 'star': 5}
{'descr': '整体都不错，欠缺的就是床太硬，觉得弹簧就在骨头下面！', 'star': 5}
{'descr': '还不错的！', 'star': 5}
{'descr': '就是远点，别的都还可以。', 'star': 5}
{'descr': '性价比不错，酒店也算是好找，只是周边吃东西的地方太少，还有就是床真的挺硬的， 而且一个棱一个棱的，有点儿咯，不过房前打开窗空气流通很好，采光也不错。总的来讲算是不错了。下去去开会可能还会住哦', 'star': 5}
{'descr': '感觉还是不错的，性价比很好。', 'star': 5}
{'descr': '性价比不错', 'star': 5}
{'descr': '真的是垃圾中的战斗机，来的那天上午赶上新东方不知道什么住宿班入住，光排队就排了好久，服务员眼巴巴的看着我，他明知道我不用排队，而且我一到就已经告诉他我有预定，他就是不提醒一下，好吧，等服务员联络另一个服务员好久收拾好了一间之后，跟我说没电，没得刷卡，没得电梯，无所谓，凑活了，最郁闷的是没有水，厕所都进不去人的，还往上翻，等了几个小时来电了，没有热水，问服务员，人家说刚来电，正烧着呢，反正一直到第二', 'star': 1}
{'descr': '位置有点偏，但服务还不错', 'star': 3}
{'descr': '位置有点偏，但服务还不错', 'star': 5}
{'descr': '位置偏点，但还不错，性价比较高', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': '还可以，就是周边吃东西的地方太少了', 'star': 5}
{'descr': '对于这个价位来说，真的很好，但是节假日会涨价，让人很郁闷~~~~', 'star': 5}
{'descr': '总体来说这个位置客房的价格已经很可以了。不过屋子里面的灯不是很亮，很适合休息。停车位挺多的。还是很满意的。', 'star': 3}
{'descr': '总体来说这个位置价格已经相当可以了。', 'star': 5}
{'descr': '地方有些不好找，但是性价比还是蛮高的。服务非常好。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '总体感觉还可以', 'star': 5}
{'descr': '非常好就是了', 'star': 5}
{'descr': '还好，就是床太硬', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '其他的都还好吧，虽然有点难找但总体来说还算符合我的期望。', 'star': 5}
{'descr': '涨价了！原来还行……', 'star': 1}
{'descr': '床特别不舒服，房间很小，特价大床房。', 'star': 1}
{'descr': '床特别不舒服，房间很小，特价大床房。', 'star': 3}
{'descr': '觉得服务还是不错的，就是房间有些旧', 'star': 5}
{'descr': '房间很小，地理位置一般，卫生间的淋浴喷头是固定的，不太方便，而且洗澡的位置比较小，浴帘也挡不住水，水会流卫生间一地，比较滑，要注意安全，但是价格便宜，总体还算说的过去', 'star': 1}
{'descr': '就是床太硬了，感觉那个弹簧都突出来了。其他挺好的', 'star': 5}
{'descr': '毛巾都是破的，并且每次在厕所的纸都很少。不够用。地面太滑，摔了好几次。', 'star': 5}
{'descr': '不错的一个地方。', 'star': 5}
{'descr': '这家店是以前的和谐家园酒店，看POS单上和发票上都是这个名字。虽然已经收入格林豪泰管理，但是感觉连锁得不很完全，还是有一些问题的。服务员没有连锁店的专业，卫生也一般，热水不是太热，不过价格还比较低。离地铁站比较远，走到公交站也需要走10分钟，总的来说，想住在这附近，这家的性价比也还凑活。', 'star': 5}
{'descr': '餐厅服务太差', 'star': 5}
{'descr': '性价比不错，这个价位住这样的房子oK了！', 'star': 3}
{'descr': '位置比较偏，酒店服务不到位，房间里没有饮用水，办理入住时也没有提醒，吹风机也没有。隔音效果很差，床垫很硬，不舒服！！！', 'star': 1}
{'descr': '酒店的热水一晚上都没有 ', 'star': 1}
{'descr': '酒店位置很好找，性价比非常高，会推荐。', 'star': 5}
{'descr': '前台电话打了N久，才辗转介入、住了4天，前2天洗澡水和体温差不多，后2天干脆以锅炉和压力阀坏了为由干脆就没有热水。并且态度极为不好。', 'star': 3}
{'descr': '除了地理位置偏一点、前台电话难打进一点、洗澡水不够热一点、服务态度差一点，发票不好开一点，其他都还蛮好。', 'star': 1}
{'descr': '条件还是不错的，就是位置偏了一点，周围没什么商业设施', 'star': 5}
{'descr': '非常一般，没有其他店好。但这个价格的话，这样还可以', 'star': 5}
{'descr': '非常一般，没有其他店好。但这个价格的话，这样还可以', 'star': 3}
{'descr': '卫生服务等非常好，而且酒店很安静，睡眠质量非常好。\r\n', 'star': 5}
{'descr': '门锁坏的，没给补纯净水。', 'star': 1}
{'descr': '环境、卫生条件可以，就是交通不是很便利。', 'star': 3}
{'descr': '总之都还可以 就是服务有点死板 我和女朋友去非得要俩身份证 我当访客都不让进 弄得我回去拿了次证', 'star': 5}
{'descr': '在网上看到有人说很难找，其实不是很难找的。地理位置是有些偏。不过也很好。很安静啊~挺干净的 床很打', 'star': 3}
{'descr': '连锁店不错，性价比高~\r\n\r\n距离目的地挺近~', 'star': 3}
{'descr': '店不错，性价比高~', 'star': 3}
{'descr': '店不错，性价比高~', 'star': 5}
{'descr': '我觉得挺好的，位置也没有像别人说的那样不好找啊~就是稍微有点远。石景山挺偏僻的，想出去散散心也挺好的。。呵呵~~还有 床很大很大哦~', 'star': 5}
{'descr': '床比较硬，很不舒服，其他的都还不错', 'star': 5}
{'descr': '就是有点远，屋里有点小，其它都很不错。', 'star': 5}
{'descr': '主要是性价比高', 'star': 5}
{'descr': '晚上值班经理态度很不好，而且怎么打前台的电话都是没有人接听的。房间内也没有给免矿，以前都是给的。入住时夜班经理在旁边的自助餐厅看电视，我们等了好久她才出来！！其他设施什么的都还是一如既往的好！', 'star': 5}
