{'descr': '电视坏的，没充电器，房间特小……', 'star': 1}
{'descr': '酒店就在轻轨站旁边，非常方便出行。门前的出租车不是很容易等到。', 'star': 5}
{'descr': '必须说的一点就是网速比牛车还要慢。。。需要上网的朋友要慎重考虑', 'star': 5}
{'descr': '卫生很好', 'star': 3}
{'descr': '还可以吧~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '还可以，卫生不错。。。还可以，卫生不错。。。还可以，卫生不错。。。', 'star': 5}
{'descr': '不错~！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很安静，也很清洁，交通方便，价格平易近人。下次来这里还住这个店，我决不是枪手', 'star': 5}
{'descr': 'It is a nice & convenient, economic inn. price is reasonable.', 'star': 5}
{'descr': '这家酒店的环境很好，设施也很好，希望下次继续入住', 'star': 5}
{'descr': '十住本店不错', 'star': 3}
{'descr': '挺好', 'star': 3}
{'descr': '服务还可以,前台比较唠叨,不停的让我入它的会.', 'star': 1}
{'descr': '  房间干净整洁  比较适合出差', 'star': 3}
{'descr': '房间干净、整洁，周围环境也很安静。离办事的地方也很方便。', 'star': 5}
{'descr': '地点不错，距离轻轨站很近很方便，标准的如家', 'star': 5}
{'descr': '总体不错因为是连锁，所以很干净，值得信赖', 'star': 5}
{'descr': '酒店离我办事地方很方便不过离市区有些距离，房间还不错都挺好的，价格也比较优惠，酒店看起来还不错。', 'star': 5}
{'descr': '赵井坤己入住大连开发区汉庭酒店', 'star': 3}
{'descr': '环境不错，就是隔音效果差点，什么都听的清楚，其他的都很满意', 'star': 5}
{'descr': ' 服务好，环境好，非常满意！', 'star': 3}
{'descr': '很干净。早餐15元马马虎虎，吃煮鸡蛋时发现蛋清里面有红色的斑块，不太敢再吃了。前台有好几个女服务员，服务态度很好，但是工作熟练程度和准确性有待大幅提高，三个人的入住手续竟然办了十几分钟，男的（像是店长）很熟练。', 'star': 5}
{'descr': '＋很干净的酒店！给人感觉不错！', 'star': 5}
{'descr': '服务态度很好，很干净，还有免费奶茶喝！\r\n交通也比较便利，距离轻轨站很近', 'star': 3}
{'descr': '舒服，整洁。服务良好', 'star': 5}
{'descr': ' 交通便利，洁净舒适，服务好', 'star': 5}
{'descr': '对出差的人士来说很不错，但是不适合侈值奢侈及有特殊嗜好的人，', 'star': 5}
{'descr': '酒店环境还行，房间的卫生设施都还不错，酒店的位置还行吧离轻轨车站还是挺近的。价格还算适中。', 'star': 5}
{'descr': '能满足基本的休息需要,但是地理位置比较偏僻', 'star': 5}
{'descr': '酒店周边有修路,噪音比较大不过出行很方便,店内的设施还不错.性价比很高.', 'star': 5}
{'descr': '不错的地方，可能是新建设的，各方面设施还很新！！推荐一下，如果在开发区，还不错呦！', 'star': 5}
{'descr': '+环境不错，整洁实用', 'star': 5}
{'descr': '还可以。性价比不高', 'star': 5}
{'descr': '不远处有商业区，购物方便，价格优惠！还不错！', 'star': 5}
{'descr': '没有饮用水，就给1矿泉水，感觉太小气', 'star': 5}
{'descr': '比想象中的好', 'star': 5}
