{'descr': '不错的体验', 'star': 5}
{'descr': '房间很温馨，洗澡水一级棒。唯一的不足就是窗户临街，晚上一直有汽车的声音', 'star': 5}
{'descr': '设施齐全，位置便利，服务到位，如家在便捷酒店里面做的算很好的了，性价比高', 'star': 5}
{'descr': '一直住这个，不错的，便捷，价格合适，但山西地区的如家欠强，其他城市相当不错', 'star': 5}
{'descr': '环境挺好的，关键在中心地段。遛街用餐购物都很方便。', 'star': 5}
{'descr': '环境和地理位置挺好的！！！就是价钱要是能在低一点就好了', 'star': 5}
{'descr': '挺好的，房间就是有点小，不过一个住就够了…比较干净…网上预订很方便啊，嘿嘿…', 'star': 3}
{'descr': '房间虽然有点小，但是设施很齐全。还算满意。', 'star': 3}
{'descr': '还行吧····就是这便宜的房间太少····哎··\n', 'star': 5}
{'descr': '不错，就是有点冷，房间空调设的恒温，不让往高调，不爽', 'star': 5}
{'descr': '整洁、干净、入住很舒适且起地段处于市中心。如果有电脑的话更好，', 'star': 5}
{'descr': '总体还可以，只是房间有点太小了............', 'star': 5}
{'descr': '入住后感觉挺不错的，干净温馨给卜家—样的感觉。虽然房间有点小，但井井有条。给个好评', 'star': 5}
{'descr': '虽然房子不大，但是布置合理，服务态度良好。毗邻长治繁华的商业区，购物和娱乐都很方便。', 'star': 5}
{'descr': '地理位置好，出门方便，虽然临着街道但却不是很吵，酒店卫生不是很好，希望以后打扫干净些', 'star': 5}
{'descr': '条件一般，房价有点高。地段比较好，市中心，岀行方便。', 'star': 5}
{'descr': '如家有啥好评价的，全国都一样，房间小网速慢，只是在这寒冷的冬天感觉还算暖和，但绝对不是因为暖气，因为这的暖气就是摆设。', 'star': 3}
{'descr': '还算不错的一个酒店。后面有城隍庙，非常方便。小吃很多。。。', 'star': 5}
{'descr': '总体来说不错，值得推荐。', 'star': 3}
{'descr': '酒店很干净，不错的选择~~~~~~~~~~~~~', 'star': 5}
{'descr': '酒店就位于城隍庙边上，很好找，边上吃饭也方便。性价比还不错。', 'star': 5}
{'descr': '繁华路段，干净整洁，较好。无停车位，被子太厚，盖着热，不盖冷，别扭。', 'star': 3}
{'descr': '环境较好，房间里配有纯净水，不错。隔音不好，房间内排风不好，有点闷。', 'star': 5}
{'descr': '如家服务很好，条件不错，推荐，就是隔音不太好……你们懂得……再便宜些就好了，大床房太紧俏了………………………………', 'star': 5}
{'descr': '很干净 很舒适 服务态度很好 不错 下回还选择这', 'star': 5}
{'descr': '如家千篇一律都是哪个样子，虽然这家酒店在去年开业，但是服务质量有待提高', 'star': 5}
{'descr': '态度好，环境好，就是再多些房间就好了，没有早餐券，价位在这里相比有点高，没有什么优惠，退房时间晚一小时或二小时就好了', 'star': 5}
{'descr': '这个破点，能骗就骗，能忽悠就忽悠，反正在也不来这个店了、', 'star': 1}
{'descr': '如家的服务态度很好，房间很卫生干净。有个提议我觉得“洁净似月。温馨如家”改成“洁净如月，温馨似家”会更好。', 'star': 5}
{'descr': '以后到长治后肯定不住这个店，虽然地理位置不错，但服务的效率。前台的人员实在是让人无语尤其是有一个女性服务员。卫生还不好，在床面上卫生间会发现很多女性的长头发。要是靠着城隍庙那边的房间，受城隍庙唱戏的影响无法入睡；隔音还不好。来长治有选择千万别住这个店。', 'star': 1}
{'descr': '环境和服务都不错，我和朋友一块住的，大家评价都不错', 'star': 5}
{'descr': '缺点：房间里有蚊子，餐厅服务员态度差，下午三点半还没打扫房间。优点：地理位置较好。', 'star': 3}
{'descr': '地段相当不错，紧邻城隍庙，热闹。服务态度挺好，餐厅的东西也很合胃口，下次能继续入住。', 'star': 5}
{'descr': '＋整体很好，干净，整洁，只是窗外景象不是很美观', 'star': 3}
{'descr': '总体感觉可以，快捷酒店就是这，只是家很小，服务还可以！', 'star': 1}
{'descr': '帮老丈人定的 没有不良反馈 应该不错 帮老丈人定的 没有不良反馈 应该不错', 'star': 5}
{'descr': '地理位置优越,餐厅的饭菜可口,如果房间再打扫干净点就好了.', 'star': 3}
{'descr': '一般,隔音不好', 'star': 3}
{'descr': '房间干净 整洁,近闹市区 出行 购物方便,', 'star': 5}
{'descr': '感觉很满意，也经济', 'star': 3}
{'descr': '很满意', 'star': 3}
{'descr': 'hao', 'star': 3}
{'descr': '洗澡水很舒服，环境也很好。很值得推荐。服务员的态度不错。', 'star': 5}
{'descr': '相比其他地方如家比较便宜，但在长治有点贵', 'star': 5}
{'descr': '总体感觉还不错，在退房是，如有顾客落东西，查房服务员不提醒，希望改进', 'star': 5}
{'descr': '如家一向都不错，但不讲人情，我出差基本上都在晚上12：00左右才会到达机场，如家是不会保留那么晚的，这点很不好', 'star': 5}
{'descr': '价格便宜，服务周到，位置就在市商业中心，附近有很多商场，交通也比较方便。', 'star': 5}
{'descr': '总体不错，细节要注意', 'star': 3}
{'descr': '性价比高，但不如如家会员卡的价格便宜,不知道如家为什么要这么搞', 'star': 5}
{'descr': '超不好，卫生不行，房间超小。床单有头发，要求更换，等了半小时还没到，打电话过去却说晚上只有一个清洁员', 'star': 1}
{'descr': '如家酒店蛮温馨，酒店餐厅的饭菜性价比很高。很值得住宿', 'star': 5}
{'descr': '干净，安静，没电脑。早餐不错，可惜得自己花钱。', 'star': 5}
{'descr': '长治的如家酒店 干净 卫生。 新开的， 服务态度好。 ', 'star': 5}
{'descr': '象大多数如家一样，服务还可以，干净。可能是住店客人较多，网速在晚上很慢。', 'star': 3}
{'descr': '服务不错，房间干净，就是宽带不怎么样，总体来说性价比很高了', 'star': 5}
{'descr': '酒店非常干净,服务不错,最开始只有盖浇饭，最后提回意见，这次住时已经有炒菜了，哈哈', 'star': 5}
{'descr': '卫生干净性价比较高，就是宽带会自动切断不太方便，其它的都不错，服务热情', 'star': 5}
{'descr': '非常舒适。每次去了都会去如家的。很干净。是老顾客了\n', 'star': 5}
{'descr': '干净卫生，服务好。位置优越。交通方便。这是第二次入住了！', 'star': 5}
{'descr': '很干净舒适', 'star': 3}
{'descr': '这里很舒适，服务人员的态度非常好。感觉很温馨', 'star': 5}
{'descr': '干净 房间小了点 下次仍然住 向朋友推荐', 'star': 5}
{'descr': '+好', 'star': 5}
{'descr': '在长治算不错的酒店！卫生设置都不错，就是空间不大，不过如家在全国都是这样，值得推荐一下', 'star': 5}
{'descr': '出行很方便。房间干净卫生，24小时热水，很方便。服务很贴心，下次还会入住，', 'star': 5}
{'descr': '总体感觉不错，就是网速不咋地。不过也住了几次了，下次还会住吧，希望能在网速方面提高一下', 'star': 5}
{'descr': '餐厅服务员人少，炒菜不行，建议不在店内吃饭，住宿的服务非常满意。', 'star': 3}
{'descr': '不错的选择，地理位置非常好，环境也非常好，下次还会去的', 'star': 5}
{'descr': '不错的连锁店，位置好，价格合理，要是有提供免费的早餐就更好。', 'star': 5}
{'descr': '方便不错。服务好。位置不错。。。。。。。。。。。。。', 'star': 5}
{'descr': '好像是2010年4月刚开的，环境不错，可以入住，下次去还会住这里', 'star': 3}
{'descr': '环境不错，住的人很多，就是位置离汽车站远了点。', 'star': 5}
{'descr': '性价比不错，大床房虽显得略窄，但如此价位就别挑剔了。只是结账时在毛巾上有二处很小的黄点，服务员说用肥皂洗不去，罚款十五元（确实没记起如何搞的黄点）。提醒各位大侠入住时千万注意检查用品等，否则有你受的。但总体性价不错。', 'star': 5}
{'descr': '不错，很满意，服务态度很好，交通便利，建议入住', 'star': 5}
{'descr': '比较干净整齐，经济实惠，地里位置很好，推荐入住', 'star': 3}
{'descr': '很不错.干净.安静', 'star': 5}
{'descr': '总体感觉还算可以，靠近城隍庙，比较热闹，下次来还入住。', 'star': 5}
{'descr': '如家快捷酒店（长治长兴中路店）感觉很好。性比价合理。 卫生也不错。 找不到什么缺点。 赞', 'star': 5}
{'descr': '不错。符合如家的形象，整个长治就这家不错', 'star': 3}
{'descr': '该店房间环境还可以，就是太小了', 'star': 5}
{'descr': '可以啦，推荐入住，毕竟这个城市就这一个快捷酒店', 'star': 5}
{'descr': '感觉很好。性比价合理。   卫生也不错。   找不到什么缺点。  赞\r\n', 'star': 5}
{'descr': '地点不错 在市中心 很是方便 卫生条件也不错 强烈推荐', 'star': 5}
{'descr': '如家一贯，我出行首选。', 'star': 5}
{'descr': '性价比很好的酒店，是我在长治那边入住的很不错的酒店。', 'star': 5}
{'descr': '长治这家如见环境非常好，有家的感觉。', 'star': 5}
{'descr': '就是餐厅饭做得不好吃', 'star': 5}
{'descr': '不错。。就是酒店附近小偷特多。。一不小心钱包被扒了。。损失了1000多现金。。报案没结果。。最后自己深入小偷群谈判花500把所有证件银行卡个哦拿回来了。。哎。。。', 'star': 5}
{'descr': '房间干净舒适，配置也很全，很不错的连锁酒店。', 'star': 5}
{'descr': '酒店布置舒适温馨，卫生条件很好。', 'star': 5}
{'descr': '长治性价比最高的酒店，卫生舒服', 'star': 5}
{'descr': '服务很好，很热情。态度专业。', 'star': 5}
