{'短评内容': '很方便能看到海', '短评打分': 5}
{'短评内容': '地段好，安静，空间大，是公寓式的酒店，完全是居家的感觉，家具和用具都是名牌，用着很好，很干净。我订的海景房，落地窗户，想象早上醒来可以看到海，可是大雾啊，神马都没有看到啊！', '短评打分': 5}
{'短评内容': '酒店有一点需要改进一下晚上客房怎么8点之后就没有人员了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '整体环境不错，但是就是看起来会让人感觉不安全', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很好，很满意。', '短评打分': 3}
{'短评内容': '不错，房间很大，可以看到海景，只是房间差一杯咖啡，感觉会更好，呵呵，再便宜点就更好', '短评打分': 5}
{'短评内容': '房间的装修风格很好，很温馨惬意，比较适合年轻人入住，服务人员也热情周到.', '短评打分': 5}
{'短评内容': ' 房间挺大，很安静，很不错，第二次住了，还会再来', '短评打分': 3}
{'短评内容': '服务人员办事效率挺快的，尤其是办理入住手续.而且装修风格也比较好，印象很深，', '短评打分': 5}
{'短评内容': '酒店位于中心地段，交通出行很方便，而且室内条件也不错，整体来讲非常好.', '短评打分': 5}
{'短评内容': '房间似乎有点冷。', '短评打分': 3}
{'短评内容': '非常好！\n就是晚上有些冷！\n服务态度不错！', '短评打分': 5}
{'短评内容': '酒店感觉很居家，而且配套设施也很齐备，整体来讲非常不错.', '短评打分': 5}
{'短评内容': '酒店不错，这是不太好找，不熟悉要提前打电话问一下，房间挺大的，干净，安静，会再去的', '短评打分': 5}
{'短评内容': '客房空间蛮大的，而且室内环境也比较好，住着感觉还行，整体印象挺深的.', '短评打分': 5}
{'短评内容': '安静方便，不错下次还住，只是没有早餐，干净！', '短评打分': 5}
{'短评内容': '优点和缺点都很明显 \n\n优点：房间新 较为干净 落地窗视野好\n\n缺点：配置太差 没有微波炉 水壶和冰箱很陈旧的感觉根本没法用 我去的那天具体连电视也看不了', '短评打分': 5}
{'短评内容': ' 价格可以.酒店是在大厦中租的若干房间,初次来打听路不要问欧可酒店,要打听所在大厦名字,房间没电话无论退房还是任何事情一定用自己手机', '短评打分': 5}
{'短评内容': '酒店很干净整洁，落地窗，阳光很充足，住着很舒服，自带厨房，冰箱，餐桌，很有家的感觉，还有浴室是透明的，很适合情侣入驻哦。推荐入驻~\r\n不好的一点就是房内没有电话，服务台在18楼，咨询或者需要服务的话要用自己的电话联系，很费电话费。', '短评打分': 3}
{'短评内容': '这家酒店和港湾壹号是一栋大厦，装修是一样的，价格也相当的便宜，这些都是优点。不过这家酒店居然没有内部电话，要用自己的电话找服务台。而且还没有门面（服务台在18喽），要不是打电话，打死也找不到这个地方。', '短评打分': 5}
