{'短评内容': 'we位置好', '短评打分': 5}
{'短评内容': '好好还可以 位置不错早餐不好好好还可以 位置不错早餐不好', '短评打分': 5}
{'短评内容': '位置相当好，钟楼附近，停车位太少，空调相当的不给力。', '短评打分': 5}
{'短评内容': '这个酒店空调冷气打不足，跟他们反映后也没有弄好，室内比室外还要热，酒店没达到三星标准，还号称按四星标准建设，设施很简陋。早餐是外带式的，一点也不好，原准备住四天的，第二天就住不下去了，强烈不推荐入住！老公第二天在钟鼓楼附近兜了一圈，最后选择了华航商务酒店，门面不大，里面的豪华标间不错，一个双人大床，一个单人床，很适合三口之家入住，酒店早餐是自助式的，空调很足，住了三天，旅游车停在门口很方便，不向嘉', '短评打分': 1}
{'短评内容': '早餐是冷的，过12点为钟点房，还需要改进', '短评打分': 5}
{'短评内容': '环境地处繁华的市中心,交通方便。', '短评打分': 3}
{'短评内容': '位置好，钟楼南门大街开元商城麦当劳旁支路50米不到，过地下通道对面老牌钟楼饭店，机场大巴终点，出行方便。标间40平米以上超级大了！早餐是单一但那280克果酱还是厚道！设施旧一些倒也实在，桌子都有四个，6楼水也很大啊，主要还很安静！出路口往步行南十分钟到城墙，荐一个', '短评打分': 5}
{'短评内容': '酒店地理位置很好，设施陈旧，早歺不好冰凉', '短评打分': 3}
{'短评内容': '不错！\n下次还来！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '设施陈旧，空调制冷差，卫生间灯常出问题，达不到四星酒店标准。', '短评打分': 1}
{'短评内容': '酒店虽然不是很新，但’酒店位置相当的好，刚好在市中心，要到各景点的话交通相当方便。\n酒店唯一不足的地方，是提供的早餐太简单了，住了三天每天早餐都是一样一成不变，还有很大的改进空间。\n', '短评打分': 5}
{'短评内容': '感觉比较一般。最大的优点就是离鼓楼很近，其他的设施服务都很一般。', '短评打分': 1}
{'短评内容': '酒店还可以，服务不错，出行方便，环境优雅', '短评打分': 5}
{'短评内容': '地点不错，，，出行方便，，，价格不低，，，总体还可以。。。', '短评打分': 5}
{'短评内容': '我住的豪华单人间超大，里面竟然还有桌子和四把椅子，在里面可以讨论和打牌什么的。我就一人，但坐在藤椅上喝茶还是挺好的。地理位置好，步行范围之内便有很多去处。早餐从营养角度来看，其实挺不错的。只是对习惯了热饭热菜的不少人来说，可能会不习惯。\n\n别的都挺好。只是空调声音太响，估计需要修理改正。', '短评打分': 5}
{'短评内容': '酒店位置不错，离钟楼和回民街都很近，酒店卫生干净。就是西式早餐让人无法忍受。', '短评打分': 5}
{'短评内容': '服务太差，卫生太差。', '短评打分': 3}
{'短评内容': '可取点就房间比较大。入住后宽带不能用，后来工程师进来重新做墙壁内的宽带插头，晚上回来洗澡一半卫生间灯不亮了，吓一跳，原来是进门插卡处接触不良会出现突然灯不亮。整体感觉达不到豪华间标准，很失望。', '短评打分': 1}
{'短评内容': '位置很好，又不在正街，较安静，只是有些陈旧，无早餐。', '短评打分': 5}
{'短评内容': '地理位置不错,条件一般,尤其早餐,只有份餐', '短评打分': 5}
{'短评内容': '位置就在市中心,方便.陈旧了点,建议重新装修.', '短评打分': 5}
{'短评内容': '<西安嘉禾商务酒店>的评论 可以吧！下次考虑!', '短评打分': 5}
{'短评内容': '条件还行，可以可以可以可以可以可以，条件还行', '短评打分': 5}
{'短评内容': '不错，是服务很好。位置吧，也很好，还会来的 \n', '短评打分': 5}
{'短评内容': '该酒店周边环境饮食购物上街都很方便，服务员也很热情。但在硬件上管理水平上还需要提高。', '短评打分': 5}
{'短评内容': '噩梦！房间楼道异味严重，床上发霉潮湿，水流很小，没有抽纸，卫生间抽风机噪音大，电视机遥控器还没电了。最可气的是，我找服务员问点问题，乖乖，她还想熊我一顿！！！真恼火，进去不到十分钟我都想退房了……绝对不会再住了。\r\n但是位置还是可以是优点，关键是周围也有很多酒店的！！', '短评打分': 1}
{'短评内容': '地理位置非常不错，就在鼓楼附近！酒店很安静，单纯住宿非常好，也没有什么其他的骚扰，附近就是马骡步行街', '短评打分': 5}
{'短评内容': '在五一假期能住在这，已经很好了，而且前台的服务我也很喜欢。在我入住前在西安的文物宾馆竟然320元而且还是别人的脏被子，实在是天壤之别，总之，我会推荐大家入住嘉禾', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '不足:地毯很旧,房间的隔间不太好,都能听见隔壁房间的声响.前台人员对西安景点认识不足.\r\n优点:地点非常好,就在钟楼的旁边,很容易找,闹中有静;距离美伦酒店的机场快线也很近,走路几分钟就到.热水供应非常充足.', '短评打分': 5}
{'短评内容': '位置很好，但不太好找，以后还会住', '短评打分': 5}
{'短评内容': '地理位置很不错，就在钟楼旁，而且不在大马路上，所以不是很吵。酒店的设施有点旧，但总体来说不错。员工很友善，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店非常好。就是早餐品种多一点，好一点就更完美。', '短评打分': 5}
{'短评内容': '别的不说了。都还可以。就是服务态度非常一般，没训练过微笑，服务行业最起码的基本功要练好。', '短评打分': 5}
{'短评内容': '不错的地理位置，就在市中心~交通、卫生、服务都不错~~提出表扬~~', '短评打分': 5}
{'短评内容': '还可以，\r\n第一天夜里快两点了吧，被门外的吵闹声给闹醒了，西安话吵架听不太懂，一男一女在吵，没睡好。\r\n西式早餐不习惯，第二天起就让别送了。', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，适合旅游，就在钟鼓楼旁边，步行2分钟就到，非常方便，酒店有个地下停车场，虽然不大但还是能够停下。不错，推荐入住。就是早餐太难吃了。卫生条件不错，房间宽敞明亮，但房间上不去网，也没有可以找服务员说。', '短评打分': 5}
{'短评内容': '这间酒店我曾多次入住，总体感觉还是比较不错的。第一，员工的服务很热情，服务周到。第二，酒店卫生不错，房间干净，宽敞。第三，交通非常便利。这间酒店位于西安市中心，属于商业中心。紧邻钟楼。非常繁华。第四，价格方面和同级的酒店相比有一定的优势。第五，这间酒店的早餐是按照客人的时间要求，送到房间的。早餐费以包含在房费里了。至于餐厅的问题，酒店本身没有但是出了酒店门口就有几间餐馆，中餐，韩餐，日本料理。都有', '短评打分': 5}
