{'短评内容': '迴', '短评打分': 3}
{'短评内容': '有好几个巨川酒店   一定要记住名字  否则会走错的   酒店装修比较不错   设施很完备  就是早餐很一般   交通不是很便利', '短评打分': 5}
{'短评内容': '160的房间还蛮好的，但是200多就有点划不来了。', '短评打分': 5}
{'短评内容': '非常满意，服务到位，卫生干净，性价比比较高，以后还会常来。', '短评打分': 5}
{'短评内容': '不愧是商务酒店，很干净，很安静。还赠送早餐一份。', '短评打分': 5}
{'短评内容': '酒店挺好的，挺干净，整体比较满意，就是隔音效果有点差，挨着马路这边比较吵', '短评打分': 5}
{'短评内容': '房间不错，就是窗户隔音差点', '短评打分': 3}
{'短评内容': '交通方便，距离滨海核心区很近，就在新区政府附近，而且吃饭也很方便，酒店本身的餐饮也不错，很合口。距离开发区也很近，10分钟车程。', '短评打分': 5}
{'短评内容': '酒店挺新的，蛮干净，但房间隔音不好，能听到隔壁电视声音，其他的嘛，吃饭的地方也有不少，离得港区也很近，如果要买火车票建议直接去塘沽火车站，不要找代售了，很近的', '短评打分': 5}
{'短评内容': '挺好的，虽然第一天取消了预定，还是很热情', '短评打分': 5}
{'短评内容': '全家旅游住的地方，一间一张餐劵，不方便，周围餐饮还行。', '短评打分': 1}
{'短评内容': '环境不错,就是感觉屋里装修味较重', '短评打分': 3}
{'短评内容': '早餐很丰富房间很明亮', '短评打分': 3}
{'短评内容': '性价比很高但是房间味道太大了', '短评打分': 3}
{'短评内容': '新的酒店设置，但是没有什么异味，离着滨海新区政府很近，距离开发区也很方便', '短评打分': 5}
{'短评内容': '很好很舒适，而且装潢还是新的，就是前台服务不怎么样。', '短评打分': 3}
{'短评内容': '新装修，环境还不错，但隔音效果极差，早上会被街上的车吵醒。。。', '短评打分': 5}
{'短评内容': '酒店一般吧', '短评打分': 3}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '酒店不错,新开的,干净。但配套按摩很差。', '短评打分': 3}
{'短评内容': '总体来说还不错，就是靠路边的房间，夜里睡觉特别吵，公路上的大货车声音太大了。', '短评打分': 5}
{'短评内容': '非常棒，比如家明显要高档，房间的大窗户像是住在海景房一样', '短评打分': 3}
{'短评内容': '很干净，交通也很方便，酒店自己做的各式餐点味道也很好', '短评打分': 5}
{'短评内容': '＋成功入住', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '这家酒店真不是一般的差，服务态度特别不好，我是开车过去的，酒店介绍里面清楚的写着有免费停车位，结果我过去才发现酒店根本不提供停车位，只有个很乱的后街可以放车，很没有安全感，服务人员对我说如果车子出事，酒店是不负责的，住在这家酒店财产安全完全得不到保障！那个保安还一直不让我们进去，感觉那里的档次就是那种大宾馆', '短评打分': 1}
