{'短评内容': '酒店在市中心，环境还可以，早餐也不错。', '短评打分': 3}
{'短评内容': '多次入住该酒店，此次印象最最糟糕，房间内台灯的电源线裸露在墙外，马桶水槽没盖子，窗帘遮光不严。更恐怖的是早上还没退房，居然有其他客人用房卡开门进房间！！！！', '短评打分': 1}
{'短评内容': '酒店位置在市中心，非常方便，房间比较大，还带电脑，比较干净，值得推荐。', '短评打分': 5}
{'短评内容': '家庭房非常宽敞，足够四个人住，卫生状况也很干净，值得推荐！', '短评打分': 5}
{'短评内容': ' 位于商区中心地带，住大床房空间富裕，空调效果不错，洗漱间设施陈旧了些，烧水壶不知是漏水还是渗水。有早餐比较简单点。', '短评打分': 3}
{'短评内容': '还行，不错以后会一直去！！！方便工作，方便生活，方便！！！', '短评打分': 5}
{'短评内容': '酒店在市中心，交通方便，出门就可以逛街吃小吃。订的三人间，是两个卧室，落地窗，视野好。缺点是虽然有两个厕所，但是只有一个能洗澡，另一个只有马桶和洗漱池子。', '短评打分': 5}
{'短评内容': '除了在大十字交通便捷外，其他的没找到可以值得推荐的理由。房间硬件陈旧，因为我们三人一行不想住两间，三人间有两个卫生间，其中一间根本不能进人，气味非常大，需要屏住呼吸。大堂不提供重要物品寄存服务，害得我们两个大包随时得带着，不推荐。', '短评打分': 1}
{'短评内容': '不错的酒店。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '  性价比不错，推荐', '短评打分': 3}
{'短评内容': '多次入住该店，但是这次是最不满意的，电话到前台要求凌晨6店叫早，结果前台弄错7点才叫早，以至于误了6点50的火车，不过酒店处理还是不错，打车送我到目的地，酒店付车费300元。希望酒店加强培训和管理，不要再有类似的失误发生！', '短评打分': 5}
{'短评内容': '地处市中心，出门很方便，吃饭购物都可以。', '短评打分': 5}
{'短评内容': '一如既往的不错，停车场去晚了停车比较痛苦', '短评打分': 5}
{'短评内容': '方便，就是早餐单一了些，卫生间一直漏水，建议一定要选择10楼以上，10楼以上的房间和10楼以下的简直不一样，10楼以上大很多，10楼以下那是一个小啊。', '短评打分': 5}
{'短评内容': '地理位置非常好，去任何一个车站都很近，就是卫生间总漏水。', '短评打分': 5}
{'短评内容': '在凯里算不错了，就是卫生间总是漏水。地理位置非常不错，酒店门口的交通很方便。', '短评打分': 5}
{'短评内容': '在凯里还算可以', '短评打分': 3}
{'短评内容': '房间尚可，就是隔音较差！走廊半夜有人回来一说话，睡眠质量差的人就会惊醒睁眼到天亮了！', '短评打分': 3}
{'短评内容': '还不错，主要是性价比较高。而且交通还是比较方便，只是住在临街的这面会有点吵。', '短评打分': 5}
{'短评内容': '最大优点就是在市中心,晚上出吃去小吃方便.价格没优势.', '短评打分': 5}
{'短评内容': '还不错，房间很干净、服务台对也很好、下次还去凯里的话还会去那里住的、、、、、、', '短评打分': 5}
{'短评内容': '（免费电脑，长途，服务也不错）下次来凯里，一定住这！顶。。。。', '短评打分': 5}
{'短评内容': '很一般，在该类城市这个价格算比较高，设施非常陈旧，不过有免费长途电话还是挺不错的。', '短评打分': 5}
{'短评内容': '房间很大,还行!结帐时花了20分钟等待查房，效率有待提高。', '短评打分': 5}
{'短评内容': '服务人员热情，早餐很好，有多种五星级酒店才有的免费服务，', '短评打分': 5}
{'短评内容': '  位置比较好，房间还不错，但早餐较差。', '短评打分': 5}
{'短评内容': '第二次入住，房间在六楼，设施没有上次住的11楼好。', '短评打分': 3}
{'短评内容': '酒店整体感觉不错，但早餐品种较少，下次还住这个酒店。', '短评打分': 5}
{'短评内容': '性价比还不错的', '短评打分': 5}
{'短评内容': '酒店位置在市中心很方便，但酒店设施（特别浴室）一般有点旧，房间电脑需付费。前台服务不热情。但这个价格来说性价比算可以的了。', '短评打分': 5}
{'短评内容': '还可以，办事比较方便，在市区的中心位置。', '短评打分': 5}
{'短评内容': '比较不错各方面都比较满意，就多住了一天，推荐入住！', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也不错，总体感觉不错！', '短评打分': 5}
{'短评内容': '设备比较陈旧，价格还可以，交通挺便利的。如果下次来应该还住这家酒店', '短评打分': 5}
{'短评内容': '正好在市中心, 房间很大(豪华标间), 3人间大的可说恐怖: 75平方米, 一个大床2X2米外加2张1.2米X2米的床(3张床在两个房间, 其实就是套间, 住4个人也非常宽敞), 两个卫生间', '短评打分': 5}
{'短评内容': '很好，就是有点吵', '短评打分': 5}
{'短评内容': '这家酒店完全达不到三星级，房间条件也很一般，卫生间设施也残缺不齐。建议不要推荐这家酒店。', '短评打分': 1}
{'短评内容': '需要改进的地方：\r\n第一，隔音效果不太好，可以听见走廊的声音。\r\n第二，因为在电视边上放上电脑，椅子占了走道大部分地方，使得过道很窄。\r\n第三，我住的是标间，可是浴帽只有一个，同伴用完弄湿了，我无法再共用。\r\n好的地方：房间大小适中，标间的话算是很宽了，床很舒服，早餐种类还行，但是每天都一样哦，总的来说是不错的酒店。\r\n', '短评打分': 5}
{'短评内容': '比正规的挂牌3星稍差，不提供一次性拖鞋，但可以免费拨打国内长途。', '短评打分': 5}
{'短评内容': '还行.;', '短评打分': 5}
{'短评内容': '性价比非常好的酒店。地处城市中心，周围购物吃饭都很方便。酒店服务一流，尤其是行李员和停车场服务生，主动热情。这家酒店是凯里旅游的首选', '短评打分': 5}
{'短评内容': '第二次入住酒店了，使用ELNOG消费券后觉得性价比还可以。', '短评打分': 3}
{'短评内容': '位置很不错，性价比很高', '短评打分': 3}
{'短评内容': '酒店位置很好，旁边是步行街，服务也不错，就是住了两次，一共两个电梯，其中一个一直在维修，有时等电梯花很长时间，搞不懂为何这电梯这么难修。', '短评打分': 3}
{'短评内容': '令人意料不到的是房间里提供电脑让人免费上网,环境比较安静，自助早餐兼顾南北口味,感觉性价比蛮高的!', '短评打分': 5}
{'短评内容': '不错的酒店除了靠路边有点省，其它都OK', '短评打分': 5}
{'短评内容': '酒店还是不错的,就在市中心,去哪里都方便,符合3星的标准.就是浴室的水太小,也许是因为现在贵州缺水吧.', '短评打分': 5}
{'短评内容': '位置方便，酒店比较整洁，性价比高。我们都比较满意', '短评打分': 5}
{'短评内容': '在大十字的黄金位置，酒店整体环境不错，但是毛巾和被单略显不干净\r\n性价比还可以', '短评打分': 5}
{'短评内容': '位置非常好，在凯里中心地段，设施和档次都不错，性价比很好。', '短评打分': 5}
{'短评内容': '其它不错，就是靠着市中心，太吵', '短评打分': 5}
{'短评内容': '在凯里该酒店应该算一流的啦，各方面都很不错', '短评打分': 5}
{'短评内容': '一般的一个酒店，设施有点旧，客户走廊上是瓷砖，有人在外面走路可以听得很清楚。', '短评打分': 5}
{'短评内容': '酒店的设施条件算是还可以，服务很好，房间清洁的很干净，而且位置特别不错，很方便。', '短评打分': 3}
{'短评内容': '对酒店不是很满意，酒店的环境硬件上合适都比较差，卫生服务也很一般，位置还可以。性价比不是很好，主要是建成时间比较早了。不值得推荐入住。', '短评打分': 3}
{'短评内容': '这个酒店的服务很不错，条件也挺好的，而且位置价格不错，值得推荐。', '短评打分': 5}
{'短评内容': '这个酒店的服务很不错，条件也挺好的，而且位置价格都很方便，我们都挺满意的。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我是国庆节入住的，酒店位置很好，设施也不错，很值得推荐！', '短评打分': 5}
{'短评内容': '    酒店设施一般吧，洗脸盆流水太慢，太浅了，感觉卫生间较拥挤，地处市中心，购物很方便，楼下就有个超市，但是当时到了那找了很久，看了周遭，就只看到一个凯里大酒店，没看到什么嘉瑞禾凯里大酒店的，对于我们这些不了解的人来说，不知道此酒店就是彼酒店，打了电话无数才知，晚上呢有点吵，关上窗拉上窗帘就好多了，早餐一般般吧，贵州特色的小吃几乎没有，', '短评打分': 5}
