{'短评内容': '房间宽敞明亮', '短评打分': 5}
{'短评内容': '还不错吧，就是窗户小了点，毛巾不是特别的白', '短评打分': 5}
{'短评内容': '酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。', '短评打分': 5}
{'短评内容': '价位经济、交通还算便捷，出差时一般都住这里。', '短评打分': 5}
{'短评内容': '住的标准房，还算不错，毛巾什么比较陈旧之外，其他还可以', '短评打分': 5}
{'短评内容': ' 入住的时候前台动作有点慢。其他都挺好。', '短评打分': 3}
{'短评内容': '地方比较近，出差方便，房间还可以，餐饮也可以。', '短评打分': 5}
{'短评内容': '相当不错，房间比较新，早餐不错，空调不错，房间也比较安静。', '短评打分': 5}
{'短评内容': '房间比较大，还可以，餐厅也还将就，就是设施比较旧了。', '短评打分': 5}
{'短评内容': '条件还好，屋里很暖和，也很干净，就是不带早餐。离北行很近，逛街很方便，还可以。', '短评打分': 3}
{'短评内容': '餐厅不错。其它设施比较旧，房价暖气只有一会儿，空调不暖和。', '短评打分': 5}
{'短评内容': ' 我经常驻这家酒店。   地点很好。 离北陵很近。条件也可以    ', '短评打分': 5}
{'短评内容': '很好的酒店，推荐一下。很好的酒店，推荐一下。很好的酒店，推荐一下。', '短评打分': 5}
{'短评内容': ' 有点旧 人员杂', '短评打分': 3}
{'短评内容': '离飞机所最近的酒店了，其它都可以标准的快捷酒店。早餐不错，但是房价冷，只有一段时间有暖气。', '短评打分': 5}
{'短评内容': '毛巾看上去太旧了，不敢用。其他还可以。地脚还行，临街', '短评打分': 1}
{'短评内容': '＋非常愉快的一次住宿', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '交通方便，价格合理，室内干净。就是毛巾太旧', '短评打分': 5}
{'短评内容': '周边买东西和吃饭很方便，就是停车位较少，服务和卫生也很好。', '短评打分': 5}
{'短评内容': '很干净卫生，地理位置也不错，态度很好很亲切。呵呵呵，下次还要住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '餐厅可以吃饭，米饭面食都不错。房间干净整洁，设施一般。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高干净卫生服务好，推荐一下。', '短评打分': 5}
{'短评内容': '非常不错，环境很好，服务态度也很好！交通也挺方便的！', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高，服务好规范热情，推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高干净服务好，推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高，干净卫生无服务好。推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高，干净服务好，推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比较高，服务好，推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比比较高，服务好干净，推荐一下。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比很高，服务好干净，推荐一下。', '短评打分': 5}
{'短评内容': '很好和酒店。性价比比较高，就是打扫房间的服务员容易忘放一次性洗漱用品，推荐一下。', '短评打分': 5}
{'短评内容': '  很好，性价比很高，听朋友介绍找到的，果然不错', '短评打分': 5}
{'短评内容': '很好的酒店，大堂干净房间也很好，服务态度也不错，推荐。', '短评打分': 5}
{'短评内容': '很感觉好，比较干净，服务态度好，我喜欢，推荐。', '短评打分': 5}
{'短评内容': '很好的酒店，连锁就是好，干净、服务挺好，基本满意。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净美观，服务质量好，值得推荐。', '短评打分': 5}
{'短评内容': '有停车位，房间比较大，床铺舒服\n窗户密封性不好，浴室花洒不好用\n对得起这个价格', '短评打分': 5}
{'短评内容': '喜欢这里的环境。', '短评打分': 3}
{'短评内容': '酒店还不错，挺干净的，也很安静。酒店有点偏僻了，不过要看个人要求，反正这里离我需要办事的地方很近。吃饭买东西还是挺方便的~推荐一下', '短评打分': 5}
{'短评内容': '＋房间很干净，就是临街房太吵', '短评打分': 3}
{'短评内容': '酒店还不错，挺干净的，也很安静。酒店有点偏僻了，不过要看个人要求，反正这里离我需要办事的地方很近。吃饭买东西还是挺方便的~推荐一下~', '短评打分': 5}
{'短评内容': '很不错的酒店，品质的保证，干净明亮，值得推荐。', '短评打分': 5}
{'短评内容': '三九天里住在这家酒店真是非常好，下次还会再来。\n', '短评打分': 5}
{'短评内容': '很好的酒店，干净服务好，大堂明亮，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，一直在评价，说的太多好的话，二个字推荐。', '短评打分': 5}
{'短评内容': '很好，干净大气，服务好，早餐不错，值得推荐。 ', '短评打分': 5}
{'短评内容': '挺好的 早餐好 房间蛮大的 不是很新 还可以', '短评打分': 5}
{'短评内容': '很干净，服务也还好，就是位置不是很好。交通不是很便利。', '短评打分': 1}
{'短评内容': '很好的酒店，干净卫生，服务好，值得推荐。', '短评打分': 5}
{'短评内容': '不错推荐', '短评打分': 3}
{'短评内容': '住了快半个月了，总的来说感觉不错，值得推荐。', '短评打分': 5}
{'短评内容': '评价已经好多次了，总的来说不错，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，干净卫生，早餐还可以，服务态度好。', '短评打分': 5}
{'短评内容': '   虽然装修设施性价比不是很高，但是很方便。\n   服务态度也行。。适合出差人士', '短评打分': 5}
{'短评内容': '不错的酒店、干净卫生、服务态度好、值得推荐。', '短评打分': 5}
{'短评内容': '很好的酒店，房间干净明亮，面积比较大，推荐。', '短评打分': 5}
{'短评内容': '服务好，房间大、明亮、干净、装修还比较新，推荐。', '短评打分': 5}
{'短评内容': '交通非常方便，离办事的地方非常近； 就是附近没什么商场；', '短评打分': 5}
{'短评内容': '很好推荐', '短评打分': 3}
{'短评内容': '设施简单,干净', '短评打分': 3}
{'短评内容': '房间有点冷', '短评打分': 3}
{'短评内容': ' 很好满意', '短评打分': 3}
{'短评内容': '还不错哦 东面的房间比较安静 西面的临着长江街 还是比较吵闹的。再有就是不是中央空调 感觉有点麻烦，但是冬天暖气给的很足，总体来说还是很好的~', '短评打分': 5}
{'短评内容': '交通方便，去客户上很方便；房间卫生良好；比较舒适；预留时间合适', '短评打分': 5}
{'短评内容': '酒店很干净，床很大，周边环境很好，安静。住起来很舒服，很卫生，价格很合适。', '短评打分': 5}
{'短评内容': '挺干净 服务也很好！地方也挺好找的 离考试的地方很近', '短评打分': 5}
{'短评内容': '餐厅很好。菜的味道，卫生情况都很好。\r\n咖啡的味道的温度都合适。', '短评打分': 5}
{'短评内容': '不错。地点也还行。不难找。就是房间太小了点儿。', '短评打分': 5}
{'短评内容': '服务态度很好，设施也比较齐全，希望继续努力', '短评打分': 5}
{'短评内容': '不错的宾馆，床非常的舒服，空间很大，以后去那还会住', '短评打分': 5}
{'短评内容': '不错，挺好\r\n价格适中，也比较干净~\r\n就是吃饭上菜的速度有点慢', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比比较好！就是房间比较旧了，交通比较便利；离沈阳北车站比较近；', '短评打分': 5}
{'短评内容': '总体感觉很好，环境整洁，设施舒适，卫生清洁。我是夏天入住的，门口大树葱葱郁郁，感觉很不错。而且，很难得他们家的标间是一张双人床一张单人床，这样带孩子出游的家庭便利许多。\r\n不过，经济型酒店的不足之处就是隔音不好，在这个价位上这样已经很不错了。', '短评打分': 5}
{'短评内容': '位置很好，去北陵旅游很方便，早餐也经济实惠。', '短评打分': 5}
{'短评内容': '应该是沈阳最北边的快捷酒店了，适合去北部办事的人入住。', '短评打分': 5}
{'短评内容': '卫生干净，上网很方便，卫生间淋浴处没有灯，比较暗，别的都很好。在辽大旁，周围吃饭的地方挺多的，交通方便。', '短评打分': 5}
{'短评内容': '早餐你可以，午餐晚餐很烂很贵。\r\n房间还算干净。', '短评打分': 5}
{'短评内容': '很干净，安全。', '短评打分': 5}
{'短评内容': '酒店位置还是蛮方便,离当时要去的地方挺近的,内部住宿条件也都还可以,价格方面当然是希望越便宜越好了.', '短评打分': 3}
{'短评内容': '酒店装修不好很简陋,位置很偏不好找,设施基本齐全,在这附近也没有什么更好的酒店只能选择这家.', '短评打分': 3}
{'短评内容': '    总体上说感觉不错，室内温度很暖和，虽然地理位置一般，但也有一些比较方便的地方，打车容易，门前还有几路公交车。\r\n    另外，不要让对面的“锦湖之星”所蒙蔽，毕竟是山寨版，到晚上亮灯的房间都几乎没有，虽然价格稍便宜一些，但性价比估计不行。', '短评打分': 5}
{'短评内容': '就是快捷酒店,价格便宜,里面环境也很好,住着比较舒服,就是位置有些稍偏,不过也不受什么影响.', '短评打分': 3}
{'短评内容': '服务态度不错，要求一个安静的房间也满足了要求。就是地理位置有些偏。', '短评打分': 5}
{'短评内容': '很干净，不错', '短评打分': 5}
{'短评内容': '本酒店整体服务很好！很舒适，就是内部空间较小。', '短评打分': 5}
{'短评内容': '价格太高 对面才88！', '短评打分': 5}
{'短评内容': '整体感觉都不错性价比高', '短评打分': 5}
{'短评内容': '环境还可以 ,位置比较好找到', '短评打分': 5}
{'短评内容': '环境还可以 ,位置比较好找到', '短评打分': 5}
{'短评内容': '环境还可以 ,位置也容易找', '短评打分': 5}
{'短评内容': '服务很好，地点又安静，总体不错', '短评打分': 5}
{'短评内容': '总体感觉位置较远不方便，没有人气，有网络是最好的了', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '前段时间去了沈阳，在这个酒店里面住了一天，给点改进的建议，&lt;br /&gt;\n酒店确实比较偏了点，当初就是看上便宜，想想，偏点就偏点吧，的士费花了不少。&lt;br /&gt;\n由于到的比较早，7点到的酒店要8点后才开始算当天的住 宿 费，8点前都要算两天的，不过前台小姐还比较热心，给我提前入住，算到了当天。&lt;br /&gt;\n进去后换了三间房才算安定下来，第一间，房间电话是坏的，没声', '短评打分': 3}
