{'短评内容': '还可以吧，酒店两栋楼，不是在主楼住的，房间格局有些怪', '短评打分': 5}
{'短评内容': '我觉得最主要是推荐他家的床，非常舒服，睡眠质量好。第二，周围环境好，南京路，外滩都很近。第三，酒店设施没的说，五星级酒店入住的80%是商务人士。', '短评打分': 5}
{'短评内容': 'Everything is perfect', '短评打分': 5}
{'短评内容': '这次是带客户到厦门，酒店新开的，客人还是很满意，下次还会再来', '短评打分': 5}
{'短评内容': '性价比还好！', '短评打分': 3}
{'短评内容': '酒店设施非常好，服务非常好。位置距城皇庙，南京东路都很近，乘2号线地铁一站就到。外滩步行就到。很满意。下次来还会再住。', '短评打分': 3}
{'短评内容': '老外很多，服务很好，交通极其方便，性价比超高，下次来上海，选择威斯丁，必须的！！', '短评打分': 5}
{'短评内容': '帮客户定的，客户说不错，以后再来的话还要住在这边的。', '短评打分': 5}
{'短评内容': 'Good hotel, good food', '短评打分': 5}
{'短评内容': '房间很大，住的很舒服，地理位置特别好。下次来还是会选择住在这个酒店的。', '短评打分': 3}
{'短评内容': '这次住的楼层高，能看到外滩景色，赞！被子真的挺厚，晚上睡的时候不得不拿掉一层；早餐煎蛋服务员忙不来，跑了四次才等到煎蛋，她态度很好，但她真的一个人忙不过来；淋雨间的水小部分漏流到化妆间地面，进出有点担心滑到，还好只是一点点。早餐另购单价偏高，总体感觉好，服务态度好。', '短评打分': 3}
{'短评内容': '很愉快的入住，酒店大堂很气派，房间干净整洁，不过硬件也就一般五星水准，外国友人很多，值的一提的是前台服务人员态度很好，由于第二天是晚上的飞机，下午太热不想出去，所以需要延房，前台直接帮忙延至16点，在18点退房时只加收了2小时费用，非常感激，强烈推荐该酒店，再去上海的话还会住这的', '短评打分': 5}
{'短评内容': '总得来说非常满意。只是夏天的床上可不可以不铺棉被了？一层厚厚的棉床盖，下面两层被单中间又是一层厚棉芯！睡觉时只能抻出那两层被单盖，其它的厚重物占了一半床的面积，实在心疼贵酒店的人力物力。老实讲，盖一层棉被，将空调开到最冷，一觉醒来也还是会上火的。', '短评打分': 5}
{'短评内容': '近几年已经是第五次入住这家酒店了，仍然感觉非常不错。尤其是行政楼层晚餐时间的欢乐时光，如果懒得去别处就餐，在这里也能吃得很满意，最重要是免费的哦。好像这么多年一直没有重新装修吧？酒店设施依然很新，服务水平没有提高但也没有退步，已经相当不错了。', '短评打分': 5}
{'短评内容': '服务很不错！', '短评打分': 3}
{'短评内容': '处于上海最繁华地界，离外滩和南京东路走路即可，酒店设施一流，餐厅多。', '短评打分': 5}
{'短评内容': '老外，明星都喜欢这家酒店\n大堂非常气派，其他的只能说一般，价格不一般。', '短评打分': 5}
{'短评内容': '不错，很大气。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店服務五星，設施四星，周邊便利性五星', '短评打分': 3}
{'短评内容': '不错的酒店，办事也方便，不错，下次还会选择入住！也会推荐给朋友！', '短评打分': 5}
{'短评内容': '不愧五星，物有所值', '短评打分': 3}
{'短评内容': ' 还不错，交通方便，服务热情，早餐一般！喜欢她的皇冠标识！', '短评打分': 3}
{'短评内容': '挺好，挺满意的。离外滩近，逛街方便。订这家酒店给客户基本上都不会投诉。', '短评打分': 5}
{'短评内容': '整体不错，就是要确定好行程才能有优惠的价格，要不就享受不了优惠价格，四季就不这样', '短评打分': 5}
{'短评内容': '英国客人觉得还算满意，就是价格高了一点，而且没有返现:(', '短评打分': 5}
{'短评内容': '没有无烟房然后免费升级了,房间很干净,设施也很齐全,价格合理,就是房间不够大,下次还会入住', '短评打分': 3}
{'短评内容': '超豪华的酒店，服务环境都超好，住在本身就是一种享受', '短评打分': 5}
{'短评内容': '设施设备一流 服务水准好 各方面条件都令人满意 物有所值', '短评打分': 5}
{'短评内容': '应该说来，是外滩一带性价比最高的五星级酒店\n环境很好，多是外国人入住，住高楼层能直接看到黄浦江\n下次国外客户过来还会订这个酒店的', '短评打分': 5}
{'短评内容': '五星级，酒店很漂亮哦，配套设施也很好，就是价钱比较高。', '短评打分': 5}
{'短评内容': '非常之好!无论是位置还是设施还是服务都无可挑剔!', '短评打分': 5}
{'短评内容': '房间小，性价比不高。看不见外滩的景色，客房还算干净', '短评打分': 1}
{'短评内容': '设施，地位，服务都很好，所以适合高层的商务出差使用', '短评打分': 5}
{'短评内容': '早餐很不错,\u3000国外客人都喜欢.\u3000就是离外滩稍远一点.', '短评打分': 5}
{'短评内容': '酒店不错,\u3000离外滩就没有和平酒店方便.\u3000不过总体还是不错的.', '短评打分': 5}
{'短评内容': '房间很小，和价格相对比，差距很大。。也看不见外滩的风景。性价比不高', '短评打分': 5}
{'短评内容': '房间价格还可以，位置不错，双人房床太小，枕头不舒服。', '短评打分': 5}
{'短评内容': '我帮领导订的，环境非常好，交通也非常方便，非常满意。', '短评打分': 5}
{'短评内容': '环境非常好，我帮领导订的，交通方便，非常满意。', '短评打分': 5}
{'短评内容': '干净舒适。地理位置也很方便。只是价格贵了些，有时也会有很便宜的。\n', '短评打分': 5}
{'短评内容': '豪华舒适，极度享受~星级的服务赞一个！价格能再优惠就好了', '短评打分': 5}
{'短评内容': '如果想逛外滩，城隍庙，豫园的话这里是最佳选择。\n服务好又干净。', '短评打分': 5}
{'短评内容': '设施齐全，交通便利，自助餐较好，房间家具略显陈旧。前台结算较快。', '短评打分': 5}
{'短评内容': '服务，位置都不错。如果有便宜的时候我会定的。\n可以走到城隍庙，外滩。吃，玩，住都能兼容。', '短评打分': 5}
{'短评内容': '酒店离外滩很近，只有五分钟的路程，离城隍庙也只有十几分钟的路程，还可以在周围上海老式里弄转转，地理位置很优越。酒店环境大气，电梯安全设置保护了客人的安全，很满意。', '短评打分': 5}
{'短评内容': '贵有贵的理由，很不错啊！！！还会继续来的', '短评打分': 5}
{'短评内容': '    酒店大堂富丽堂皇，房间不是很大，自助餐238一位觉得不值，其中的日式面条很难吃。性价比一般。', '短评打分': 5}
{'短评内容': '非常不错的酒店。就是价格偏贵，2年前住的时候套房也就是1000多点，现在标准房豪华房都已经1000多了。', '短评打分': 5}
{'短评内容': '很好，很干净，一定会推荐给朋友，希望价格能低点', '短评打分': 5}
{'短评内容': ' 上次就住这家，感觉还不错，位置好，服务好，这次继续喽～', '短评打分': 3}
{'短评内容': '酒店的设施很好，不管是硬件还是在软件上。就是价格有点高。', '短评打分': 5}
{'短评内容': '酒店效益不好！年终奖要拖到新年5月才发。印尼的老板不厚道。员工积极性差，人数又不足。象个不足4星酒店。而且门市价格比网上价格更便宜。但是服务理念还是国际化的。我们本14点可入住的房，18点才能交。为补偿过失。给我们做了套房升级。心情好多了。', '短评打分': 1}
{'短评内容': '住过五星级酒店中管理最混乱的一家，以后不会再来了。', '短评打分': 5}
{'短评内容': '位置不错，保持威斯汀一贯的品质，这次特价入住性价比也较高。', '短评打分': 5}
{'短评内容': '各方面都不错，唯有2点值得改进：1、卫生间的窗帘操作不便，被浴缸挡住了；2、衣柜旁的有轮架子妨碍开衣柜。', '短评打分': 5}
{'短评内容': '去酒店加一个早餐比在携程上便宜，挺郁闷的，酒店挺不诚实。', '短评打分': 1}
{'短评内容': ' 酒店很不错，房间设施也挺好，位置很方便，以后还会来', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 3}
{'短评内容': '酒店各方面都还不错，细小的方面都想到了，只是门缝太大漏光！', '短评打分': 5}
{'短评内容': '老板说感觉还不错，交通方便，离外滩很近，很满意~~', '短评打分': 5}
{'短评内容': '酒店前台服务员是上海人，态度相当傲慢，而且我们到店的时候没有一个服务生，\n房间的热水来的很慢，洗澡时等了很久才来热水。\n', '短评打分': 1}
{'短评内容': '第二次帮朋友订拉~比国庆时候便宜了不少了~5星就是5星，繁华地段，闹中取静！不错！', '短评打分': 5}
{'短评内容': '我是帮领导订的酒店，不错，领导还满意。下次还推荐。', '短评打分': 5}
{'短评内容': '不错啊，离外滩和人民广场都很近，平时很贵，周未的促销还划算些', '短评打分': 5}
{'短评内容': '什么都好，服务一流，尊重客人的感受。下一次一定住这里，环境好，到哪里都方便', '短评打分': 5}
{'短评内容': '价格有点小贵,但是整体算来还是物有所值的,以后还会选择!', '短评打分': 5}
{'短评内容': '，房间有点小，不过交通算方便！', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，靠近人民广场和豫园都很近。但是价格也挺贵的。河南中路的大门口有时会展示豪车。', '短评打分': 5}
{'短评内容': '入住效率高,安全,舒适的五星级酒店', '短评打分': 3}
{'短评内容': '非常好的洒店', '短评打分': 3}
{'短评内容': '位置离外滩较近，但是放假视角看外滩夜景还不是很好。不过放假还算不错。偏贵。总体还可以。', '短评打分': 5}
{'短评内容': '位置不错，房间有点儿小，其他蛮好的，下次还会去住。', '短评打分': 5}
{'短评内容': '酒店很不错，位置好交通方便，服务也好就是小贵，客户订享受享受', '短评打分': 5}
{'短评内容': '不错的酒店 地理位置佳 餐厅好 房间舒适 下次还会来', '短评打分': 5}
{'短评内容': '帮日本朋友定的，朋友住后说相当满意。服务也相当到位哦。如果有经技能力的话，还会选择的。', '短评打分': 5}
{'短评内容': '酒店服务和环境都不错，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '非常高兴非常好', '短评打分': 3}
{'短评内容': '环境优雅绝对五星级的享受！', '短评打分': 3}
{'短评内容': '酒店是真正的五星际,服务好,设施全,周边地理环境方便,购物方便,非常好的酒店.', '短评打分': 5}
{'短评内容': '新楼（行政楼）环境不错。大堂布局有些乱，简餐速度稍慢。套房色调环境优雅，布局合理，盥洗用品的香型不错。总的来说比较舒服，物有所值。', '短评打分': 5}
{'短评内容': '这个酒店已经住过很多次了，是客人指定的酒店，环境，服务，交通都非常方便。很好。当之无愧的五星级酒店。非常值得推荐。', '短评打分': 5}
{'短评内容': '地段好，环境一流，服务态度就更不用说啦，唯一不足的就是在高峰期很难找到计程车，要等好久才有!!!!!!!!!!!!!!!!!!!!!!!!!!!!\n', '短评打分': 5}
{'短评内容': '一切都不错，就是太贵了。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '交通便利，服务周到，早餐可以，就是有点贵，性价比不是很好！\n河南南路附近!入住客人很多！黄金地段！离外滩南京路都不远，推荐入住！', '短评打分': 5}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '. What a lovely hotel!', '短评打分': 3}
{'短评内容': '酒店位置很好 游泳池 自助早餐和服务都很不错 值', '短评打分': 3}
{'短评内容': '酒店的设施很不错,干净,整洁,整体的氛围相当的国际化', '短评打分': 5}
{'短评内容': '帮客人预定的,住下来的感觉应该还是不错的,因为每次来上海,客人都指定要住这家酒店!', '短评打分': 5}
{'短评内容': '价格和服务相匹配的酒店,尤其服务很好, 亲切,专业!', '短评打分': 5}
{'短评内容': 'Next time, i will still chose this hotel for the business travel.', '短评打分': 5}
{'短评内容': 'International Service, especially of the Italy restaurant.', '短评打分': 5}
{'短评内容': 'This hotel is very clean and nice, close to the Nanjing road...', '短评打分': 5}
{'短评内容': '地理位置相当的好,离南京西路也不远,我帮客人定的,他们很喜欢,以后也还是会住的', '短评打分': 5}
{'短评内容': '地段不错，周末 还有特价 性价比 比起同类酒店 不错！', '短评打分': 5}
{'短评内容': '酒店很不错，环境很好！交通也比较便利。客户很满意！', '短评打分': 5}
{'短评内容': '酒店位置很好，去豫园、外滩、南京路步行都很近，酒店设施也很好，很干净，尤其是周末促销含两份早餐超值。', '短评打分': 5}
{'短评内容': 'it is very nice hotel. good service. good location. but the breafast are not good. but the sunday brunch are famace in Shanghai.', '短评打分': 5}
{'短评内容': '酒店地理位置佳，出入方便，酒店大堂很安静，气派很大', '短评打分': 5}
{'短评内容': '服务和环境都很好。如果有1200左右的超值价的话，我会首选。', '短评打分': 5}
{'短评内容': '挺舒适自在的  客房服务不错  其他的一般般  ', '短评打分': 5}
{'短评内容': '..................................................', '短评打分': 5}
{'短评内容': '位置很好，就在外滩，2楼的意大利餐厅不错，可以试一下。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很不错啊。首先是位置好，离想去的地方都是步行即到。其次服务好，因为在别的城市也喜欢住威斯汀，所以对它的品牌放心。', '短评打分': 5}
{'短评内容': '床很舒服，装修和服务都不错。唯一价钱比较贵', '短评打分': 5}
{'短评内容': '高品质的酒店。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境还可以，交通也很方便。服务还可以，下次也可以考虑入住', '短评打分': 5}
{'短评内容': '酒店房间不错，挺干净的', '短评打分': 3}
{'短评内容': '环境服务非常好.................', '短评打分': 5}
{'短评内容': '很好宋辉', '短评打分': 3}
{'短评内容': '第二次住了！这次给了早餐，还是还不错的！环境条件都非常好！', '短评打分': 5}
{'短评内容': '环境不错，可以看江景，交通方便，购物方便，可以介绍给朋友来住', '短评打分': 5}
{'短评内容': '环境不错，值得像朋友们推荐，购物非常方便，房间非常干净整洁，还可以看江景', '短评打分': 5}
{'短评内容': '环境和交通都比较便利', '短评打分': 3}
{'短评内容': '优惠的时候住的，感觉还行，对于半价的价格来说，还是挺直的。', '短评打分': 5}
{'短评内容': '性价比不高啊！哈哈哈，位置还美可以。在外滩旁边...', '短评打分': 1}
{'短评内容': '大厅气势雄伟，客房和其他五星比没什么特别，浴室还蛮宽敞的！', '短评打分': 5}
{'短评内容': '酒店位置很不错，我住的房间正好能看见外滩还有黄浦江，能看到陆家嘴的世界金融中心跟金茂大厦！第一天入住酒店送了2个橙子，每天送4瓶矿泉水，房间干净整齐！交通非常方便，酒店向北走10分钟就到南京路步行街，向南走10分钟就到豫园与城隍庙！向东走10分钟就到外滩！值得推荐！', '短评打分': 5}
{'短评内容': '床小，服务员服务很一般', '短评打分': 3}
{'短评内容': '入住了2個晚上，酒店環境優美高雅，交通便捷！！服務也很好！以後還會選擇這傢。', '短评打分': 5}
{'短评内容': '不错的，大厅很漂亮，特别是中庭的那个玻璃楼梯，房间也不错，', '短评打分': 5}
{'短评内容': '位置方便，交通有些堵，但是整体效果很好。', '短评打分': 5}
{'短评内容': '房间很漂亮，周边的环境也很好。服务周到。', '短评打分': 5}
{'短评内容': '大堂挺美的,房间就小了点.', '短评打分': 3}
{'短评内容': '贵的值得，环境什么的 都不错，服务也不错', '短评打分': 5}
{'短评内容': '位置好，交通方便。\n前台服务热情。\n客房还算精致。\n自助餐不理想，吃的东西品种很少。', '短评打分': 1}
{'短评内容': '地理位置不错，酒店很显档次，房间洋气，十分人性化，价格能低一些就考虑长期居住了……', '短评打分': 5}
{'短评内容': 'westin一向的水准,很不错的酒店 地理位置也很好 去外滩方便 ', '短评打分': 5}
{'短评内容': '前台比较热勤，客房服务就不一样了，好像有点冷漠', '短评打分': 1}
{'短评内容': '虽然价格有点贵，但各个方面都很好，地理位置非常好！', '短评打分': 5}
{'短评内容': '地段繁华，交通方便，外滩美景很好看，去浦东也很方便', '短评打分': 5}
{'短评内容': '不错的酒店 住得舒服 而且卫生条件也很好', '短评打分': 5}
{'短评内容': '不错吧。。。有点陈旧而已。。。酒店地理位置也不错', '短评打分': 5}
{'短评内容': '非常不错的酒店，即使是在繁华著称的上海，也是首屈一指', '短评打分': 5}
{'短评内容': '风景好，位置好，设施比较齐全，下次还会再推荐。', '短评打分': 5}
{'短评内容': '饭店条件真不错，碰到特价，一千多点住套间。房间设施较好', '短评打分': 5}
{'短评内容': '酒店的位置很好，如果赶上打折，性价比还是相当高，酒店的环境也相当不错', '短评打分': 5}
{'短评内容': '非常好的酒店，什么都好，我当时的价格还是很便宜的，现在涨价了，唉', '短评打分': 5}
{'短评内容': '很不错的酒店，公司的外籍同事每次都偏爱住这边，位置很好，去哪里都方便', '短评打分': 5}
{'短评内容': '给同事推荐的酒店，位置，服务都不错，适合商旅。。', '短评打分': 5}
{'短评内容': '推荐给同事的酒店，不错。位置，服务什么的，适合商务客人。', '短评打分': 5}
{'短评内容': '这家酒店一句话：除了价格，没有别的缺点！', '短评打分': 5}
{'短评内容': '按5星标准来要求的话，只能算一般。推出的消费卡还可以。', '短评打分': 5}
{'短评内容': '酒店位置不错，距南京东的步行街或外滩都是10分钟左右的路程，吃玩都挺方便的。房间装修的气氛还不错，床褥等感觉都很舒服。洗手间设置不错，鲜朗干净。西餐区设在中庭很开阔舒服。开退房手续办理也还算方便。服务态度一般，外观及内装略显旧，大堂较小，等候办理手续时有时连坐的地方都没有，且大堂离西餐过近又没隔离，走进大堂有股用餐的味道感觉不好；豪华房由于做了厅卧分隔，使得客厅及卧室都显得十分窄小；饮水及洗漱用杯', '短评打分': 5}
{'短评内容': '酒店应对给客人提供服务的出租车的车内卫生严格管理，我今早乘的出租车就臭死了！都是烟味！！！座椅也很脏！！', '短评打分': 3}
{'短评内容': '住得很舒服 服务态度好 房间设施很好 已经不止一次入住这家酒店了 以后还会再入住这个酒店的', '短评打分': 5}
{'短评内容': '很不错的酒店，值得一住。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店地理位置佳，地段非常好，出入很方便，环境与服务都可以，就是价格还是稍贵的，总的来说，物有所值吧', '短评打分': 3}
{'短评内容': '酒店很不错，各方面都很满意。客房舒适，服务也很满意。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '酒店很好，但很贵', '短评打分': 5}
{'短评内容': '南京路步行街、豫園都近在直呎\n窗外可以看到金茂大廈、震旦大樓\n非常棒的酒店，下次還會選擇入住~', '短评打分': 5}
{'短评内容': '到酒店以后酒店称现在没房，需要等到6点以后才入住。沟通后酒店尽快安排了房间。酒店的工作应该仔细些希望完善。', '短评打分': 5}
{'短评内容': '设计和用品堪称一流，出行方便，服务友善，非常好', '短评打分': 5}
{'短评内容': ', 值得推薦', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置好，走出去不到几分钟就是外滩，酒店设施和服务都很不错，幸好预定早，世博期间拿到这样的价格算不错的，下次还来住', '短评打分': 5}
{'短评内容': '强烈推荐的好酒店，性价比绝对高！前台的服务生非常到位，具专业素养！', '短评打分': 5}
{'短评内容': '作为城中的度假酒店，算是很好了，跟旅游区的度假酒店的环境当然不能比，但服务卫生什么的都是一样的好，更何况有悦榕SPA啊，太棒了.而且大堂的舞台餐厅一直都有东西可以吃，水果，巧克力和饼干什么的，小朋友去最合适了，如果鸡蛋里挑骨头的话，就是泳池太小儿科了，小，1.2米深，不算是真正的泳池', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利。住的很舒服，房间也比较大，卫生条件好', '短评打分': 5}
{'短评内容': '赶上特价，性价比超高。地理位置很好，房间设施很好，大床很舒适。', '短评打分': 5}
{'短评内容': '超值的特价套房不错', '短评打分': 5}
{'短评内容': '上海有名的酒店，除了价格一切都很如意！', '短评打分': 5}
{'短评内容': '很遗憾，以后坚决不会再住上海的WESTIN了，房间硬件很陈旧，尤其是洗漱用品和纸巾，真是没法用，更让人不解的是拖鞋居然是用过的一次性的拖鞋!!再有大堂入门左右两侧的白色窗帘已经不再是白色了，让人看了很是不舒服！世博期间，WESTIN实在太......无语\r\n但地理位置很好，前台服务很好\r\n                                                       ', '短评打分': 1}
{'短评内容': '虽然酒店位置很好，但是装修还是比较老了。威斯汀的品牌放在那里，服务还是不错的。', '短评打分': 5}
{'短评内容': '1：貴了一点\r\n2：像情人旅館。', '短评打分': 5}
{'短评内容': '特价房是在太合算了。性价比超高的。', '短评打分': 5}
{'短评内容': '活动期间性价比好', '短评打分': 5}
{'短评内容': '位置好，套房够大，设施不错，房间也干净，特价期间性价比尤高。', '短评打分': 5}
{'短评内容': '非常好，女孩也很漂亮', '短评打分': 5}
{'短评内容': '酒店大堂华丽，地理位置佳。服务热情。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '除了贵了一点没有什么不好的。', '短评打分': 5}
{'短评内容': '这家酒店住的蛮舒适的，前台服务很专业，房间面积比较大，卫生打扫也很干净，设施方面也比较齐全，酒店位置很好，周边交通很便利，价格方面还可以了。整体感觉还是不错的。', '短评打分': 5}
{'短评内容': '价格贵了点。', '短评打分': 5}
{'短评内容': '不用多说，价格问题。', '短评打分': 1}
{'短评内容': 'So expensive. 5 star service is good service. The Westine Bund is good location in the downtown', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '服务做得很好', '短评打分': 5}
{'短评内容': '设施比较好，服务也满意', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店总台人员服务不能让人满意，尤其在交接后对之前服务人员交待的事一概不知，另外门口出租车服务人员显得很累，对客人极为不耐烦，这些都不像是五星酒店应有。', '短评打分': 1}
{'短评内容': '装修有些陈旧，但服务还是不错的。离外滩很近！', '短评打分': 3}
{'短评内容': '设施不错，出行方便，价格比较合理，值得推荐。', '短评打分': 5}
{'短评内容': '酒店设备尤其是电视用的是老款的，但房间满大的。 ', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，位置出行交通方便，价格算是比较合理的，房间的配置硬件设施舒适度也很不错，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '除了价格比较贵以外，其他都好！', '短评打分': 5}
{'短评内容': '一切很好，值得推荐', '短评打分': 1}
{'短评内容': '到上海商务旅行，这家店的地里位置非常好，步行到外滩也就5分钟吧。去浦东、南京路、淮海路、豫园等地都非常近。酒店的硬件很好，威斯汀的名字不是浪得虚名！我个人不喜欢酒店服务员过于殷勤，每次过来住威斯汀的体验都非常好，从没感觉到被打扰。这次住酒店没按时送回洗衣，希望下次改进。', '短评打分': 3}
{'短评内容': '威斯汀外滩可能是上海设计最好的五星级酒店。花瓣式的楼顶、挑高5层的大堂加上花瓣式的柱子、明快的色调。绝对的时尚！行政套房的舒适度应该是五星级里非常好的，是骨子里高档但表面看起来并不奢侈的那种。房间色调非常明快、协调。正赶上酒店公测电影点播系统，免费看了两个好莱坞大片，爽！五层行政酒廊的免费Happy Hour可吃的东西一应俱全，是我在中国驻过酒店里最好的！红酒、香槟、寿司、点心、Cheese、水果', '短评打分': 5}
{'短评内容': '酒店在外滩万国建筑群内步行5分钟即可抵达黄浦江边由饭店前往上海商业区购物区观光景点和娱乐场所都极其便捷地理位置非常优越,里面上设施环境服务这些都是十分满意的.', '短评打分': 5}
{'短评内容': '酒店位置很好，大堂很大，房间内隔音不错，床很舒服。卫生间超大，选用的深色石材，颜色有些暗。上网还要收费不太好，周围服务设施太少，买东西不太方便。', '短评打分': 5}
{'短评内容': '他们家在南京西附近，地理位置算是很好的，就是服务态度不够好，毕竟是五星级酒店啊,有些怠慢客人，豪华单人房的装潢很豪华，就是空间有些拥挤，有点压抑。', '短评打分': 5}
{'短评内容': '高档场所！很好地方！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '高贵，舒服，', '短评打分': 5}
{'短评内容': '这个酒店的名气真的很大，以至于很多乱讲。我觉得它很一般，建筑水平是一流的。像佛帽子一样的部分又不属于酒店，属于其他公司办公区，你们拿出来吹有点过吧。和深圳的喜来登没法比，都是一个公司的。服务真的很垃圾，对内宾和对外宾完全是两个态度和质量。价格很高，上海我也住过不少酒店，比88新天地贵，但是服务真的很落后，周围也没什么好吃的，到了法定节日老是戒严什么的。国外人是靠品牌生活，信任它，所以它只会对外宾服', '短评打分': 3}
{'短评内容': '这里分新旧楼，新楼不错，旧楼估计就要改进一下。', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '五一期间住了,装修很时尚,自助早餐丰盛,房间设施齐全.总机的快捷服务很实用.不足就是房间缺一份酒店设施的平面分布图,再就是怎么都找不着梳子.下次去上海还住那.', '短评打分': 5}
{'短评内容': '想问一下,有没有其他房型?有没有再便宜点的', '短评打分': 3}
{'短评内容': '酒店的环境和服务都很不错，下次去我还住那里。', '短评打分': 3}
