{'短评内容': '干净', '短评打分': 5}
{'短评内容': '一向喜欢住汉庭，环境、设施、服务都在快捷酒店中处于数一数二的位置。这一次是替外地来的朋友订的，果然不出所望，朋友住得很满意。文一店交通便捷，购物也方便，对面就是个大超市。而且房间不面街，很安静。就是有一点小遗憾，没有享受到它的百元特价。还是会一如既往地喜欢汉庭，选择汉庭！', '短评打分': 5}
{'短评内容': '蛮不错的，交通方便，房间也大，我住的是特价房，超值', '短评打分': 5}
{'短评内容': '服务还是不错的。蛮满意的。下次还是会推荐的。', '短评打分': 5}
{'短评内容': '不错！房间很大！百元房还是挺实惠的！', '短评打分': 5}
{'短评内容': '一般般了  交通还是很方便', '短评打分': 3}
{'短评内容': '还好 可接受', '短评打分': 3}
{'短评内容': '靠马路的房间有点吵，其他都很好', '短评打分': 3}
{'短评内容': '比其他的汉庭好象有点距离。。。', '短评打分': 5}
{'短评内容': '新春房100元很实惠', '短评打分': 3}
{'短评内容': '交通很方便，设施也还可以，对得起这个价格，推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置还是挺好找的,服务态度挺不错的.房间的卫生和设施也都还可以,性价比挺不错的.', '短评打分': 3}
{'短评内容': '比较经济实惠，位置便利，离展览中心不远，当时是在那里开会，所以很方便', '短评打分': 3}
{'短评内容': '感觉价格有点贵，要是两个房间里面都有电视就好了', '短评打分': 5}
{'短评内容': '对面有个超市，交通也还不错，其他也还可以，就是价格有点高了', '短评打分': 5}
{'短评内容': '酒店还是可以的，价格稍微偏贵点。最大的问题是没有停车位，很不方便，要停到对面超市的车库，每天得交20元钱', '短评打分': 1}
{'短评内容': '靠近马路边还要237,太贵了,南线才240,而且设备简直就是小旅馆的水平.', '短评打分': 1}
