{'descr': '服务及卫生均不如过去矣', 'star': 3}
{'descr': '晚上12点多到的浦东机场，没期待这个时候会有接机服务，试着打了电话，酒店人员态度很好马上派人过来了。以为要给小费，原来也不用。非常棒的接机服务。离机场也很近。早上也送我们去了附近的地铁站。酒店算不上好，但配上这个价钱已经非常不错了。住了两晚，第一晚单纯的睡了一觉。最后一晚也回来住，时间多了下就在附近走了下，往酒店出门的左边大概100米处发现一排海鲜排挡，价钱非常优惠，强烈推荐，加工费有点贵。', 'star': 5}
{'descr': '性价比不错,但是建议提醒住客提前联系酒店前台接车,地方比较偏,凌晨打车要七十多....', 'star': 5}
{'descr': '总体可以 早餐太不好了 客房服务水平一般 但是接机服务还可以', 'star': 3}
{'descr': '早餐太不好了 性价比 还可以了  机场接机服务好不错', 'star': 5}
{'descr': '住宿不错，位置偏僻了一些。。早饭不咋地....', 'star': 5}
{'descr': '酒服务很好，由于飞机晚点，到浦东机场已经凌晨一点了，打了电话，司机就马上过来接机了，下次会再入住', 'star': 5}
{'descr': '离浦东机场近，坐车15分钟左右，有免费接送机服务，含早餐。性价比高！', 'star': 3}
{'descr': '离浦东机场近，坐车15分钟左右，有免费接送机服务，还有早餐！性价比高！', 'star': 5}
{'descr': '机场接送服务真的不错～但是对宾馆内部的设施布置就不要有什么奢求了～如果第二天要赶飞机，住这家酒店是很方便的～', 'star': 1}
{'descr': '就在海边，能看到海，但是出行很不方便，打的都打不到。房间宽敞，装修老气，没其他网友说的那么好', 'star': 5}
{'descr': '当天是11点多到的浦东，给酒店打电话等了10分钟左右酒店的车就来接了，司机大哥的态度非常好帮忙搬行李到了酒店也帮着提行李，真的是非常感谢！第二天走的时候换了一个司机态度也非常的好。房间不错，卫生也不错。就是床单不是很干净，可能是机器洗的没洗的干净。还有就是房间有点下水道到阴雨天翻上来的味道。本人鼻子敏感闻了那味头痛。还有就是前台的服务人员态度不是很好，没笑容的。', 'star': 5}
{'descr': '离机场比较近的一家酒店，因去三甲港海滨浴场，所以特别定的这家酒店，早上还可以看日出，如果再去三甲港，还是会去入住的，到三甲港只要走几分钟就可以，很方便\r\n', 'star': 5}
{'descr': '  OK', 'star': 5}
{'descr': '酒店很好 距离机场很近 还有车接送很方便 下次有需要的话 还会再入住的', 'star': 5}
{'descr': '一尘酒店位置有点偏，但离浦东机场还挺近的，有来回的免费机场接送，还挺方便。', 'star': 5}
{'descr': '呵呵，还不错，关键是接送服务比较好，离浦东很近', 'star': 5}
{'descr': '酒店环境还好，太偏僻了，交通很不方便，到市区坐车要2个小时！其他还好！', 'star': 3}
{'descr': '總的來說還可以，如果設施再好些就好啦，服務不錯，位置稍微偏遠了一些，不過還好有機場大巴', 'star': 5}
{'descr': '如果是因为要离机场近的话 我觉得挺好的 价格也合理 位置比较偏那没办法的 机场位置偏嘛 总的来说我觉得挺好', 'star': 5}
{'descr': '交通不方便。。。。。。。。\r\n。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很不错的酒店，半夜12点多到的浦东机场，他们也有接机，房间面积很大，床也很大~', 'star': 5}
{'descr': '周围一片荒凉。房间很大很空，热水不够热，洗的我冷飕飕的，可以接送，早餐9点结束，但是我们起迟了，啥也没吃到。。。。', 'star': 5}
{'descr': '网上预订后给我发来的酒店地址是合庆镇人民塘，其实酒店现在的地址是三甲港人民塘，害得我们打车先到了合庆镇，多跑了很多弯路，一路上还不停地给酒店前台打电话问路。酒店的环境和设施、卫生条件都好，就是不太好找。', 'star': 5}
{'descr': '酒店接机的服务很周到，态度也很好，一间非常适合早上到浦东机场乘机旅客住的酒店。离市中心很远，要到浦东机场坐地铁、大巴或磁悬浮才能去。我住的是标间，房间很大，床也够宽敞，基本设施齐全，就是相对旧了一点，但不影响质量，洗手间的空间比较大，比较干净，但如果地上有铺防滑垫就好了，穿拖鞋是不行的，太滑了。唯一不大好的就是烧开水的热水壶里面的水垢没有人清理。', 'star': 5}
{'descr': '转机的朋友还可以住，转机方便。其他一般。', 'star': 5}
{'descr': '虽然偏僻一点，但是服务很周到，卫生也不错，以后还会去的', 'star': 5}
{'descr': '地理位置比较偏，如果不是有接送服务，如果早晚航班，不推荐入住', 'star': 5}
{'descr': '接车师傅人很好，酒店环境一般，', 'star': 5}
{'descr': '要是浦东机场的话这家酒店还是很方便，酒店环境也不错，性价比蛮好的，但是交通不是特别方便而且要是去市区的话交通也不特别不好附近也没有公交站。所以要是旅游什么的建议还是在市区选择一家，要是第二天赶飞机的话这家还是比较不错的，价格很便宜。', 'star': 5}
{'descr': '免费接送机。接机服务很好，拿到行李后给司机电话几分钟后就到，离店有车送，出入浦东机场很方便。送早餐，早餐品种比原来想象的丰富，唯一不足是位置较偏。', 'star': 5}
{'descr': 'nice hotel ! nice airport pick-up service ! I think I will choose this hotel if I fly back to china next time!', 'star': 5}
{'descr': '地点太偏，火车站下来座车还要近两小时，但价格便宜。不错！', 'star': 5}
{'descr': '在浦东机场就有一个柜台是一尘的，直接找到柜台，不一会就有车过来接。住了一天，感觉还好。免费的车接车送，挺不错。', 'star': 5}
{'descr': '总体还不错', 'star': 3}
{'descr': '还行，只是交通不太便利！', 'star': 5}
{'descr': '这个酒店的条件和环境都不错，服务态度也是很好的。就是交通不方便太偏了一点', 'star': 5}
{'descr': '酒店位置很好！还有接机服务，对于晚上或者凌晨到浦东机场的朋友特别方便!\r\n', 'star': 5}
{'descr': '当天是实在定不到房间了，一开始在网上订了莫泰的2间房，当时客服来电话说没有房间了，只好重新选择，由于时间晚了，没有办法就住一尘酒店了。晚上22点到浦东机场，好在酒店有车接送。酒店很边远，房间和早餐很一般，卫生条件一般。凑合住一晚上。第二天酒店车仍然送到机场。', 'star': 1}
{'descr': '酒店可以说是物美价廉， 适合在浦东机场乘坐飞机的人士。\r\n到酒店方式：建议客人联系酒店到浦东机场接。从上海市区打的过去， 驾驶员很难找到酒店地址。\r\n酒店在合庆镇的郊区，建议预订时要提供详细地址： 合庆镇三甲人民塘（靠近华夏东路） ', 'star': 5}
{'descr': '很适合第二天一早转机的朋友！！ 接送服务很满意！！ ', 'star': 5}
{'descr': '卫生环境不错，只是前台服务员办事效率稍微低了点', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '价格还行', 'star': 5}
{'descr': '不错，热水很好，如果有早餐就更好了', 'star': 5}
{'descr': '555', 'star': 5}
{'descr': '很郊区，蛮偏僻的，接机的师傅很热情，服务态度还是可以的。', 'star': 5}
{'descr': '这种酒店基本上都一样，房间挺干净，设施比较简单，服务态度挺热情的，酒店的位置不是很好，离火车站挺近的，但是交通不是便利的，酒店的价格还算比较合适的。', 'star': 5}
{'descr': '住了2次  有一次的不错  另一次的房间被有点潮，热水很好', 'star': 5}
{'descr': '性价比蛮好的酒店，房间里很干净，设施也比较完善，地理位置不错靠近火车站，不过好像最近在修路，交通就比较麻烦了。其他都很好，值得推荐', 'star': 5}
{'descr': '感觉还不错,至少价格还是能接受的.', 'star': 5}
{'descr': '酒店有免费接机服务，比较人性化，房间定期有专人来打扫和整理，感觉质量还不错。', 'star': 5}
{'descr': '经济型的酒店，各个方面都差不多的，交通蛮方便，离我要求的位置很方便，卫生干净，服务热情周到，性价比不错。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '不错，就是没早餐', 'star': 3}
{'descr': '不错的，如家都是一样的，就是位置有一点偏', 'star': 5}
{'descr': '浦东机场附近唯一接送机场的酒店', 'star': 5}
{'descr': '在北站的后边~~所谓沈阳北站北、、、', 'star': 5}
{'descr': '一个开业1个月的新酒店，住宿条件不错，一直有热水，空调很好用，网速不是很快，周围风景不是很好，不过离北站很近，离家乐福也不远，到达这两个地方都是只用8块的起步价。', 'star': 5}
{'descr': '接机的叔叔人真是好到没话说啊，在机场举牌等了我们一小时，还大长途电话通知帮我们安排住宿的朋友`', 'star': 5}
{'descr': '酒店的地理位置还可以，而且酒店有免费接机的面包车，去机场很方便的。但是酒店没有餐厅，吃饭不是很方便。酒店的性价比还是比较高的。值得推荐给大家。', 'star': 3}
{'descr': '感觉酒店还不错，干净整洁，服务也不错，位置有点偏，不过离浦东机场也不远', 'star': 5}
{'descr': '设施比较陈旧，服务也一般，酒店的优势就是位置很方便，价格也不贵', 'star': 5}
{'descr': '我和我妈一起去的，个人觉得总体感觉不错！&lt;br /&gt;\n首先离浦东机场很近，再就是包接送机！基本上很满意，还有自助早餐品种也很多很丰富的！！！！！&lt;br /&gt;\n&lt;br /&gt;\n总体感觉不错', 'star': 3}
{'descr': '我们是半夜到的上海，所以定了这个离机场最近又可以接机的酒店，酒店位置有点偏，但很新，很安静。不过我们当晚要洗澡时没有热水，找客服放热水等了好半天才热，第二天一早我们坐门口的唯一一辆大巴去陆家嘴，花了1个多小时，就当是上海郊区观光了呵呵。', 'star': 3}
