{'短评内容': '布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '不适合冬天来，设施陈旧', '短评打分': 5}
{'短评内容': '位置不错，海滩也不错，下次还定这里 （就是套房的卫生间稍微有点小）', '短评打分': 5}
{'短评内容': '位置不错，海滩也不错，下次还定这里 （就是卫生间稍微有点小）', '短评打分': 5}
{'短评内容': '条件不错，价格小贵~离海非常近。条件不错，价格小贵~离海非常近。', '短评打分': 5}
{'短评内容': '房间不错，尽览海景。就是前台办理入住有点忙乱，不够专业。', '短评打分': 3}
{'短评内容': '早餐一如既往的差，晚点到的话都没什么吃的了，其他的都还好。', '短评打分': 5}
{'短评内容': '早餐很差 被子有点潮 可能是离海近的缘故 在当地硬件条件算是不错的酒店了。', '短评打分': 5}
{'短评内容': '服务欠缺，卫生也一般早晨也没有热水。下次再去不想住哪了，早餐还可以', '短评打分': 5}
{'短评内容': '非常好的酒店，房间干净整洁，24小时热水，离海滩一步之遥。下次去还会选择这里！', '短评打分': 5}
{'短评内容': '我跟媳妇是2012年6月8日晚上9点入住的，首先这家酒店的房间预留时间到24：00就这点而言我非常满意（不用像其他酒店那样还要打电话说明）\n酒店在周边区域绝对是最好的，楼层很高（高层的海景房看海在吹着海风相当有感觉）出酒店50米就是海边，酒店有自己的浴场非常方便；\n我预定的情侣海景房在22层，打开房间的门我眼前就一亮，进门最先看到的是小餐厅+厨房，然后是卫生间（浴室有一个独立的空间）挺干净的，洗漱', '短评打分': 5}
{'短评内容': '挺不错的酒店，位置好，环境也好，周围吃饭方便，就是一点早上洗澡水不热', '短评打分': 5}
{'短评内容': '房间挺好，离海边很近，海景也不错', '短评打分': 3}
{'短评内容': '离着大海很近 早上可以看日出 价格适中 早餐要是多几种就好了 房屋很干净 很舒服 热水是用热水器也很好 住的15层以上 视觉不错 东南角看海的一半 不是全景 90度左右吧 总的来说不错的', '短评打分': 5}
{'短评内容': '这家酒店的海景阳台我很喜欢！很美很浪漫！价格也很好！下次来仙螺岛一定还住这里', '短评打分': 5}
{'短评内容': '很好的环境，离海边很近，很干净，下次还会入住。', '短评打分': 5}
{'短评内容': '位置太好了，离海边一分钟路程，房间很干净很是宽敞，大落地窗大露台，唯一不好的是电热水器，我们套间住四个人得分两拨洗澡，烧热水太慢了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间挺大，观景位置也不错，就是服务不是很到位，整体感觉还可以！', '短评打分': 5}
{'短评内容': '非常棒的酒店，单间特别大，也很干净，可以住一家人。我要求住的19楼，窗外海景绝佳。', '短评打分': 5}
{'短评内容': '酒店濒临大海,紧靠沙滩,可临高而望海.又可出门即刻足浴沙滩,投身碧海之中与浪相搏.位置优越.此外,房间干净整洁,设计独特,不仅有两人床标间,还有三人间,适合一家三口居住,十分可人.配备厨房,可自己做饭,犹如回家一般,真有宾至如归之感觉.', '短评打分': 5}
{'短评内容': '  酒店还不错，装潢及设施较现代，房间很干净舒服。', '短评打分': 3}
{'短评内容': ' 环境不错，就是周围餐饮不行，有些店家宰人没商量，称好的大虾出锅变小虾，说好的价钱不承认，反正这里有些人素质太低，总想骂人或打人', '短评打分': 3}
{'短评内容': ' 已经入住，环境不错，离海很近，就是酒店中餐不行，附近餐馆有的远，希望酒店中餐改进改进，另外价格也不便宜啊！', '短评打分': 3}
{'短评内容': '位置很好,但是服务还需要提高,早餐很快就没有了,卫生还可以.\n酒店式公寓,但里边没有公寓的设施,酒店又没有酒店的服务,旅游区的酒店价格跟的上希望质量也能上\n', '短评打分': 5}
{'短评内容': '早餐不好，太差劲', '短评打分': 3}
{'短评内容': '酒店离海边很近出门就是，很方便感觉很好，就是服务方面较差，住了两宿结果一次也未打扫卫生，跟前台说过2次也没来，望酒店改进。', '短评打分': 5}
{'短评内容': '酒店整体换进不错，服务跟不上。。。但离海真的好近啊。 和爱人一起，难忘的回忆', '短评打分': 5}
{'短评内容': '---服务不错，房间设施一般需要提高---性价比不高---', '短评打分': 5}
{'短评内容': '酒店不错，房间就能看见海，卫生还算干净，服务员的服务也不错，就是早餐还有待改进。', '短评打分': 5}
{'短评内容': '酒店很不错，只是热水器里的水不太够两个人使用，房间很大，一开阳台就可以看到大海，很美哦~早上睡懒觉，没有让服务人员打扫，本以为当日就不会打扫了，结果晚上回来后发现服务人员还是来为我们整理的房间，换了干净的毛巾浴巾，很开心呵呵，以后来还住这家。', '短评打分': 5}
{'短评内容': '位置好，下楼就是海边很方便，服务也可以，房子应该都能看见海，尤其是高一些的楼层更清楚。\n价格有点贵，仅从室内的情况来说不值这个价，不过由于是旺季，人也多，住在比较好的位置价格可以接受。热水器是电的，洗澡需要加热需要等，而且洗时间长了就得重新加热了。', '短评打分': 5}
{'短评内容': '酒店非常好，不过房间貌似没有资料里那么大，不过房间很干净，设施齐全，也很宽敞，服务也不错，每天都有人打扫，早餐也很丰富，酒店的餐厅也很好，价格小贵，不过毕竟是旅游景点，可以理解。下次去还住这里~', '短评打分': 5}
{'短评内容': '建议增加服务意识与能力,档次偏低。', '短评打分': 3}
{'短评内容': '早餐很一般, 人多哄抢. 8点半下去基本吃不着啥东西了.\n酒店设施一流, 但服务跟不上.', '短评打分': 5}
{'短评内容': '这家酒店是公寓式酒店，很多都是业主委托出租的，但只有一些房间是委托给酒店前台的，所以酒店前台的房源并不太充足，很多高楼层都没有，所以可选的房间并不多，好在酒店就在海边，在海边玩还是比较方便的', '短评打分': 5}
{'短评内容': '订的套间，就是小一室一厅改的，卧室超小，就够一张单人床，整个套间就一个电视，一个卫生间，连宽带都没有，优点就是离海近，这价格住秦皇岛可以住如意山海关了，附近餐饮都是东北人开的，巨黑无比，如果开车来的，推荐住秦皇岛，同等价位的酒店绝对高两个档次，吃饭选择余地更宽，最后吃饭，还是去的市区，海鲜更便宜', '短评打分': 1}
{'短评内容': '外观很漂亮，海景房名副其实，早餐也算丰富。卫生间有臭味，服务员没有统一着装，房间到房间电话打不通。', '短评打分': 5}
{'短评内容': '酒店开张以来，我每年都来住几次，酒店的硬件设施在当地是一流的，但服务比较差，特别是餐厅，几年来没有改进。服务员的素质不高，早晨在楼道特别大声的喧哗，公共区域的卫生很差（楼道、阳台等），餐厅质次价高，老以服务员少为借口。', '短评打分': 5}
{'短评内容': '酒店很不错, 紧临沙滩,去海边非常方便! 大堂也很阔气 推荐!', '短评打分': 5}
{'短评内容': '酒店位置很不错，临海很近，方便玩水。早餐很一般，周边的饭馆不错，可以弥补就餐的缺陷。', '短评打分': 5}
{'短评内容': '不错，我们住的四人套房，房间干净，性价比也不错。', '短评打分': 5}
{'短评内容': '酒店不错,下回自己带电磁炉和锅就可以自己做饭了。房间方向很不错,在房间里就可以看日出,不过我们睡过头了,没看成,挺可惜的。', '短评打分': 3}
{'短评内容': '房间离海很近，在房间里可以直接看到大海，设施凑合吧，热水器是电的，所以不能同时洗很多人，早餐很差，服务态度很一般。但总体来说，还可以吧', '短评打分': 5}
{'短评内容': '订的正对大海的，景观非常漂亮，能看日出。屋子很宽敞。不错。', '短评打分': 5}
{'短评内容': '最牛的酒店最牛的酒店最牛的酒店最牛的酒店', '短评打分': 5}
{'短评内容': '蓝色海岸的位置很好！设施齐全，在房间内就可以看见日出。', '短评打分': 5}
{'短评内容': '服务不行，位置不错，设施较新。\r\n入住无行李员接送行李，也无服务员来引导。\r\n早餐种类很少，苍蝇不少。。诺大的酒店整个A座早上停电了至少半小时，幸亏我们当时在房间里，试想如果有人当时在电梯里，那将如何？\r\n前台有位态度很冷漠的女服务员，说话还很冲，让人很不舒服。\r\n180度海景套景色不错，但是阳台很窄小，脏乱。\r\n服务至多两星。\r\n', '短评打分': 5}
{'短评内容': '位置挺好，卫生装修挺好，但设施不全，没有保险箱，没有吹风机。早餐很糟糕', '短评打分': 3}
{'短评内容': '位置不错，价钱偏贵，设施一般，没有保险箱，没有吹风机，早饭很差。', '短评打分': 5}
{'短评内容': '南戴河最好的酒店了，每个房间都有一个阳台，房间比较大，住起来很宽敞。服务一般，没有主动打扫，但是如果希望是家里的那种感觉，也没什么，有需要叫服务员，很快就到了，态度都挺好的。', '短评打分': 5}
{'短评内容': '酒店房间可以。服务员太罕见了', '短评打分': 5}
{'短评内容': '位置很好，设施二星，价钱五星。季节性的四星', '短评打分': 1}
{'短评内容': '酒店设施一般，服务很一般，卫士打扫不及时，我连住了五天，有时连浴巾都没更换，公寓式酒店该有的设施没有，总之一个字“差”！我反正是不会再去住第二次了。', '短评打分': 1}
{'短评内容': '餐饮菜品和服务能再提高就更满意了。总体很不错，我自己已经住过两次了。哦对了，海景很美。', '短评打分': 5}
{'短评内容': '离海边很近，设施新，房间很舒服。冰箱电源不用房卡也有电，挺方便。', '短评打分': 3}
{'短评内容': '酒店位置不错，设施及卫生尚可。可是前台服务人员的服务太差、实在太差。', '短评打分': 5}
{'短评内容': '酒店距离海边很近 非常方便 停车也很方便', '短评打分': 3}
{'短评内容': '地理位置好，离海边只要三四分钟，卫生差，硬件较好。  建议 ：如带小孩可自带电磁炉自己做饭，房间里有抽油烟机。                     ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次入住 没有太大变化 \r\n距离海边很近', '短评打分': 5}
{'短评内容': '距离海边较近，房间面积较大，卫生条件一般，价格较贵', '短评打分': 5}
{'短评内容': '去海滩很方便，卫生还可以，下雨刮风后卫生间有些反味，价格稍高。', '短评打分': 5}
{'短评内容': '早餐垃圾', '短评打分': 1}
{'短评内容': '缺点：洗澡玻璃屋一直堵着，洗澡的时候水都下不去，水是台式饮水机，泡不开茶叶。\r\n\r\n优点：卫生尚可。离水边很近，隔条街就是。阳台是观海阳台，这点还可以。', '短评打分': 1}
{'短评内容': '从酒店开业至今，每年都要在这个酒店住一段时间，也多次推荐朋友入住该酒店。该酒店在这个地区是比较好的，硬件很好，但服务人员的素质较差，几年来也没有提高。前台最基本的微笑服务都没有做到。服务意识差，房间洗澡水受用不方便。', '短评打分': 5}
{'短评内容': '酒店不错 算是南戴河最好的酒店了  离海边很近，推荐。', '短评打分': 5}
{'短评内容': '很舒适很干净\n', '短评打分': 5}
{'短评内容': '酒店位置很好。房间内的设施比较新，铺盖很干爽，比较舒适。', '短评打分': 5}
{'短评内容': '地理位置、服务非常好，也非常干净，如果洗澡设施再提高一些就更好啦（现电热水器需要预热很长时间，并且洗一会儿水就凉了，年轻人还能接受，老年人就不行了），这样性价比也就很好了。', '短评打分': 5}
{'短评内容': '酒店的硬件条件环境确实不错，位置也挺好的，就是价格太高了，住一个晚上还算可以，要是住几天，真是挺贵的，而且房间是插卡取电的，进了房间以后要等一会才能洗澡，这个不是很方便，其他倒是还不错，如果能接受这个价位的话，可以考虑。', '短评打分': 3}
{'短评内容': '酒店的服务很一般的，设施和卫生都还可以的，酒店的位置非常好的，酒店的价格还可以的。', '短评打分': 3}
{'短评内容': '在南戴河算是不错的酒店了.位置非常好,价格也还合适.已经推荐朋友入住了.', '短评打分': 3}
{'短评内容': '酒店的条件不错，服务一般，价格优惠', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是沙滩，不用换衣服了\r\n卫生一般，就是家庭式酒店，热水有点麻烦\r\n景色的话，定到好房间还是不错的，有阳台', '短评打分': 5}
{'短评内容': '酒店挺好的.没什么意见.', '短评打分': 5}
{'短评内容': '硬件还不错，软件服务还需要提高，位置还不错，价格还算合理', '短评打分': 5}
{'短评内容': '整体感觉不错，服务和卫生条件也不错，我去的时候，应该是淡季，价格还是挺优惠的\n', '短评打分': 5}
{'短评内容': '整体感觉比较舒适的，服务、卫生条件业也不错，价格在五一期间也合适', '短评打分': 5}
{'短评内容': '这家酒店在南戴河来讲是最好的酒店，环境硬件设施都很不错，位置出行也很方便，周围环境也很好，在海边上的酒店，价格也非常优惠，值得推荐的酒店类型，如果我五一过去还是会选择这家酒店入住的。', '短评打分': 5}
{'短评内容': '客房服务态度不好,卫生环境也一般,位置也不太理想,主要是价高也偏高了,设施用起来也不太好用', '短评打分': 5}
