{'短评内容': '很好啊很好', '短评打分': 5}
{'短评内容': '地段：很方便，就在淮海路。价格：适中，性价比和旁边其他同类的酒店相比算是很高的。环境：环境挺好的，客厅和厨房很宽敞，房间稍小，不过也足够。酒店整体有重新装修过，不算很新，不过家居什么的还好。服务：因为在里面做饭招呼朋友，遇到碗碟不够的情况，服务员比较难叫，不过后来还是把东西送过来了。有待提高。', '短评打分': 5}
{'短评内容': '总体来说还是不错的，不过感觉不论是雅诗阁公寓还是万豪公寓，上海的没有北京的感觉大气。城市南北风格的差异吧~', '短评打分': 5}
{'短评内容': '去上海培训时住的，离虹桥机场很近，条件还不错，到培训的地方挺方便的', '短评打分': 5}
{'短评内容': '还不错,离各个商圈比较近, 地铁几分钟路程, 吃饭的地方也比较多.', '短评打分': 5}
{'短评内容': '酒店还是很不错的。.....................', '短评打分': 5}
{'短评内容': '不错，就是房间到地下车库太麻烦，走下去的。电梯不通。一天80块。客房打扫的不错就是态度让人接受不了。好像住在她家没交房费的感觉，', '短评打分': 5}
{'短评内容': '刚刚退房感觉虽然号称五星级服务型公寓但完全感觉不到服务在哪很一般', '短评打分': 3}
{'短评内容': '非常好的酒店，值得入住，價格也很有優勢，房間很大，還有廚房可以自己做飯，地理位置也特別好，底下就是太平洋百貨與地鐵站。如果有長期入住的話就更好了。希望可以出臺1個月到15天的那種類型的房間。', '短评打分': 5}
{'短评内容': '上海雅诗阁淮海路服务公寓总体感觉很不错，地理位置优越，对房间环境及酒店设施都很满意。', '短评打分': 5}
{'短评内容': '位置很好，楼下有太平洋百货，时代广场和很多名牌店，酒店内部设施超齐全，连锅碗瓢盆，各种酒杯都准备好了，卫生间用品都是欧舒丹的，床品质量也很好，性价比超高，', '短评打分': 5}
{'短评内容': '非常满意，交通方便，房间也很好，唯一不满意的地方就是：订的大床房，两个人入住，但是早餐只是提供一位，不知何意？', '短评打分': 5}
{'短评内容': 'Excellent atmosphere & service!! Will come back again', '短评打分': 5}
{'短评内容': '很方便，舒适，多次入住，已经推荐给朋友。', '短评打分': 5}
{'短评内容': '酒店环境交通都不错，服务态度也蛮好，性价比也挺高，出差首选', '短评打分': 5}
{'短评内容': '这次是续住，因为不错，选择续住！酒店的服务真的很不错', '短评打分': 5}
{'短评内容': '附近就这家酒店不错，交通便利，不过对比之前住的酒店，价格还是觉得有点偏高', '短评打分': 5}
{'短评内容': '酒店地理位置很方便已经入住过几次', '短评打分': 3}
{'短评内容': '感觉不错 服务蛮好的 性价比很高 位于市中心 很方便', '短评打分': 5}
{'短评内容': '酒店的地理位置就不用说了，设施还不错，有洗衣机、电磁炉、微波炉、冰箱还有滤式咖啡机，但是没有净水，房间好像不太隔音，另外就是浴缸的下水很慢，仅供后来者参考。', '短评打分': 5}
{'短评内容': '地理位置十分优越，在淮海路的中心区域，交通便利，地铁出租都很方便，购物尤其便利，房间是以公寓楼的风格显现，住在这里很放松，可以像家一样做自己喜欢的事情，以前住过，那时叫做香港广场公寓酒店，现在换了东家。不过品质更高了，当然，价格也更高了。不过还是不错的，以后只要还在这一带活动，就还会住在这里。尤其喜欢它的洗漱用品，是欧舒丹的系列，当然羊毛出在羊身上，全在费用里了。', '短评打分': 5}
{'短评内容': '酒店环境不错设施还是很齐全的很新，位置很好找标志物是很明显，态度也可以，价格还差不多毕竟是公寓式酒店环境是很不错的。', '短评打分': 5}
{'短评内容': '酒店装修挺陈旧了，出行还是蛮方便，其实酒店的也还行但是里面的设施却确实很陈旧了，服务态度还是一般。', '短评打分': 3}
{'短评内容': '很不错，价格优惠，环境不错，蛮不错的一家酒店', '短评打分': 5}
{'短评内容': '酒店的位置出行还是挺方便，服务还是蛮好的，但是价格还是略高点当然要是便宜些更好了。', '短评打分': 5}
{'短评内容': '地理位置是最让我满意的！房间也不错不过我们住的那间格局有点浪费空间！最不好就是早餐了！', '短评打分': 5}
{'短评内容': '地段很好 临近新天地 购物很方便 服务态度还是不错 还有冰箱、洗衣机和厨房 但是卫生上不够细致 特别是浴缸没有清洗干净 还留有上次客人的头发 需要加强管理 另外 洗衣机的洗衣时间特别是烘干时间太长 声音也很大 影响休息', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 3}
{'短评内容': '不错，很好', '短评打分': 3}
{'短评内容': '挺舒适的', '短评打分': 5}
{'短评内容': '周围比较繁华，商超什么的都有，购物出行比较方便。', '短评打分': 5}
{'短评内容': '无论是着装还是语言表达，看的出酒店的工作人员很专业，说明公寓对员工的培训是很到位的。', '短评打分': 5}
{'短评内容': '房间面积很不错，足够宽敞，视野开阔，很棒。', '短评打分': 5}
{'短评内容': '服务员很有礼貌，比较热情，最喜欢的是自己可以在房间里做饭，招待朋友，住了3天，很满意。', '短评打分': 5}
{'短评内容': '我们全家住的是套间，空间很大，当然价位也就高一点，但是设施相当齐全，非常棒。', '短评打分': 5}
