{'短评内容': '酒店很好 服务态度一流', '短评打分': 5}
{'短评内容': '第二次入住了，房间和服务都非常棒！', '短评打分': 3}
{'短评内容': '很新，是北海最好的酒店', '短评打分': 3}
{'短评内容': '房间环境和服务的确不错，打满分。', '短评打分': 3}
{'短评内容': '离海边确实有点距离，房间里面不错的，都很新，水压很足', '短评打分': 5}
{'短评内容': '新酒店不错，设施新配置高，近海边，值得去住。', '短评打分': 5}
{'短评内容': '工作人员服务超好，房间很新，早餐很丰富，值得入住', '短评打分': 5}
{'短评内容': '酒店非常舒适干净，服务好，环境好。', '短评打分': 3}
{'短评内容': '房间很好！！离海边自驾只有4-5KM，环境很不错，早餐也很丰富，到市区购物和吃东西都很方便，值得推荐！！！！', '短评打分': 5}
{'短评内容': '房间很好！！离海边自驾只有4-5KM，环境很不错，早餐也很丰富，到市区购物和吃东西都很方便，值得推荐', '短评打分': 5}
{'短评内容': '好，性价比很高，值得推荐，我喜欢，卫生也很好，早餐特丰富，我下次去还去住。', '短评打分': 5}
{'短评内容': '海景房有太阳晒没有霉味00对面的就很难闻了', '短评打分': 3}
{'短评内容': '很舒适.', '短评打分': 3}
{'短评内容': '房间非常干净舒服，早餐很好，性价比高，强烈推荐', '短评打分': 5}
{'短评内容': '不错,设施很新,服务热情,住的比较舒心.', '短评打分': 5}
{'短评内容': '很好的酒店，设施人性化，方便。环境优雅干净，早餐品种齐全，味道好。服务员态度亲切热情。最难得的是客房没有一般酒店房间特有的怪味，是我目前住过的最满意的酒店！唯一遗憾的是客房里有宽带没电脑！希望管理者能在这方面有所改进！', '短评打分': 5}
{'短评内容': '新开的酒店，房间设施非常好，餐厅点菜也很好，很不错，下次还住。', '短评打分': 5}
{'短评内容': '酒店设施非常好，服务人员的素质很高，很热情，具备高档酒店的服务标准。酒店的餐饮很丰盛，味道很好。酒店距离海港码头很近，步行几分钟就到了，可以乘船到涠洲岛旅游。', '短评打分': 5}
{'短评内容': '酒店房间很大，酒店内干净整洁，床铺柔软，服务人员态度很好。\n下次还会继续入住的！', '短评打分': 5}
{'短评内容': '性价比很高，离银滩很近，在侨港吃饭也很方便，北海的高档楼盘都集中在酒店旁边。但服务水平有待于进一步提高！', '短评打分': 5}
{'短评内容': '酒店非常新，干净。服务员的态度也非常好。自助餐的海鲜非常新鲜，如果早餐的品种再丰富些会更好！', '短评打分': 5}
{'短评内容': ',酒店服务挺好的，也干净。', '短评打分': 3}
{'短评内容': '去年10月新开的五星级酒店，总体感觉不错。目前性价比比较高。北海的餐食太少了，弄得我天天在酒店吃。不过还好了。但总的来说中餐的水平还是需要提高。晚餐自助感觉一般。没太多东西。总体住店感觉OK啦。', '短评打分': 5}
{'短评内容': '很不错的酒店,设施很好,酒店很新,附近最好的酒店.', '短评打分': 5}
{'短评内容': '酒店硬件条件不错，但自助餐品种不多，希望改进', '短评打分': 5}
{'短评内容': '酒店去年十一才开业，硬件设施很好，床很舒适，早餐不错。前台小姐礼貌热情，但可能是开业不久的原因，对一些流程不太熟悉。酒店离公交车站较远，门前打车很困难，趴活的司机要价挺黑的。', '短评打分': 5}
{'短评内容': '新开的，条件和环境都比较好！离海边比较近！', '短评打分': 5}
{'短评内容': '酒店新，态度好，水平差，早餐一般，中餐味道可以，', '短评打分': 5}
{'短评内容': '酒店很新，靠海，风景空气都很好，作为一家五星级的管理和服务不是很好，可能是因为过年的原因吧。。。', '短评打分': 5}
{'短评内容': '春节入住开元名都酒店，也比较了北海其他的酒店，应该说这家酒店是北海最好的酒店了，第一晚住的豪华海景房，房间很大，尤其是浴室，很漂亮，缺点是所谓海景，只能远眺。还有因为酒店才开业不久，房间还有点味道。第二晚住的高级海景房，房间设施，浴室都不错，还有阳台。酒店的早餐很一般，但中餐厅的中餐味道不错，价格也还公道。酒店唯一的缺点是离市区和海滩比较远，处于新区，人烟稀少。但是比较北海其他的酒店，我宁肯住这里', '短评打分': 5}
{'短评内容': '很好的新酒店，前台服务热情，客房服务员也很周到。初一还送了贺卡和糖果，显得很有人情味。房间很大，唯一的问题是卫生间门正对床。', '短评打分': 5}
{'短评内容': '刚刚装修的酒店。是国内的五星品牌。做得很用心。顶！', '短评打分': 5}
{'短评内容': '酒店很新，服务好，设施好，房间宽大，隔音效果好，真的很好住，下次还住', '短评打分': 3}
