{'短评内容': '酒店不错，干净整洁，经济实惠，蛮温馨的。服务也可以', '短评打分': 5}
{'短评内容': '这家酒店环境和卫生什么都不错的，已经住过很多次了', '短评打分': 5}
{'短评内容': '靠近市区，还是不错的。靠近路边有点吵，但是能接受，最郁闷的时候就是晚上 没停车位，要停就要停到对面的医院，在走过来。后面那条道路可以停，但是要挑地方，要不然有单子来。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，服务较好，就是电视旧了点，还有发名片的。', '短评打分': 5}
{'短评内容': '和同事住了商务房，比普通的标间大很多。最好的是，房间不再是朝马路的了。\n晚上睡觉清净多了。', '短评打分': 5}
{'短评内容': ' 非常好，交通方便，又有停车场。', '短评打分': 3}
{'短评内容': '还不错，房间挺大的，还有个阳台，就住了一晚上', '短评打分': 5}
{'短评内容': '地方不错，就是没有放哥的小毛驴的地方，有点纠结。', '短评打分': 5}
{'短评内容': '位置不错，房间也黑大，但是两张床拼起来的，不够档次的拉，主要是价格便宜吗', '短评打分': 5}
{'短评内容': '酒店住下来十分舒服，交通是在便利，让我们旅途很省心。', '短评打分': 3}
{'短评内容': '经济型酒店。还不错，卫生干净，还很安静~值得推荐哦', '短评打分': 5}
{'短评内容': ' 环境不错,交通也便利。性价比很高。', '短评打分': 3}
{'短评内容': '房间还不错，比较干净，就是门口小广告太多了', '短评打分': 5}
{'短评内容': '还不错，干净简单~还很安静~值得推荐哦~~~嘿嘿', '短评打分': 5}
{'短评内容': '一般，不够舒适。一般，不够舒适。一般，不够舒适。一般，不够舒适。', '短评打分': 1}
{'短评内容': '这次是和爸妈一起入住的，他们感觉也不错，也不会太吵。房间很干净，设备很全。入住时也方便，当时订了一个大床，一个双标，前台工作人员告诉我们大床和双标是不在一幢楼的，也很顺利地帮我把大床换成了双标。', '短评打分': 5}
{'短评内容': '每次来绍兴都会住这家啦，附近早点也多，交通也很便利，房间大小合适，还不错的', '短评打分': 5}
{'短评内容': '以后永远不会再去住莫泰168了，灯红红的拍鬼片一样的！电视很老，空调声音很大。。。总之很不喜欢', '短评打分': 1}
{'短评内容': '还好吧，干干净净', '短评打分': 3}
{'短评内容': '位置还马马虎虎，但住宿条件一般，太吵，小卡片太多', '短评打分': 1}
{'短评内容': '住宿还好\n\nTea Coffee', '短评打分': 3}
{'短评内容': '性价比不错，酒店服务比较专业，推荐这家，绍兴市星期6市区酒店都满，所以要定这家就要提前', '短评打分': 5}
{'短评内容': '定的是商务大床房  但是大床是2张床拼起来的 因此当中会有高低不平的地方 睡的不舒服。其他倒还好。', '短评打分': 5}
{'短评内容': '莫泰酒店，地理位置方便，周边是居民区。房间舒适，就是觉得洗手间换气不太好，有点气味。', '短评打分': 3}
{'短评内容': ' 比想象中旧一点，房间蛮大，朝向不是很好，家庭房的大床房超大，很舒服，总体满意', '短评打分': 3}
{'短评内容': '服务不是很好，前台业务部熟，房间坐向也不好。', '短评打分': 1}
{'短评内容': '基本符合三星级的标准，硬件设施一般般，衣柜都没有的。', '短评打分': 5}
{'短评内容': '酒店不错，逛街非常方便，住宿房间在此标准上也可以', '短评打分': 5}
{'短评内容': '莫泰168绍兴中兴北路店条件不错，逛街很方便，早餐到隔壁店吃或外买都可以。', '短评打分': 3}
{'短评内容': '酒店OK的，一如以往的干净整洁。 不过MS早餐水准下降了。。。', '短评打分': 5}
{'短评内容': '干净 舒适 空调的声音有点大，总比很好，交通很方便！', '短评打分': 5}
{'短评内容': '很划算的房间，网线还是根据房间床位距离留的 可以躺在床上上网，房间很大，离火车站汽车站就一个起步价，不错', '短评打分': 5}
{'短评内容': '朋友住的，不知道怎么样！应该还好！没听到什么不满！', '短评打分': 5}
{'短评内容': '布错很好  觉得ok  没有窗户', '短评打分': 1}
{'短评内容': '整体OK，简单，方便，便宜，适合出差居住。', '短评打分': 5}
{'短评内容': '酒店很好，已经记不清多少次住了。只能说是棒。比起豪华的，没什么可比性，毕竟是客栈。', '短评打分': 5}
{'短评内容': '这个价位性价比还行 离客运中心近 就是感觉空调不是很给力 晚上睡觉有点冷', '短评打分': 5}
{'短评内容': '还行，整体还算满意，就是小了点，给个好评吧', '短评打分': 5}
{'短评内容': '干净，整体上还算不错，价格合适，可以推荐……', '短评打分': 5}
{'短评内容': '灯光太暗，房间没有想象的那么大，不是很喜欢，大床房没有吹风机，还要交100元押金', '短评打分': 1}
{'短评内容': '酒店条件不错，地理位置蛮好，就是房间内灯光稍显暗淡，我喜欢亮堂一点', '短评打分': 5}
{'短评内容': '不错，离市区很近，去汽车站火车站也很方便，房间很大，虽然装修稍显陈旧，但还是比较干净的，超值了！', '短评打分': 5}
{'短评内容': '该酒店符合三星标准，地段好，方便，无早餐。其他都过得去。', '短评打分': 5}
{'短评内容': '里面还比较干净，交通方便，就是结账有点慢，稍微改进一下吧', '短评打分': 5}
{'短评内容': '还不错，不过房间给人的感觉不太温馨，希望能有改进！', '短评打分': 3}
{'短评内容': '性价比不错，交通方便', '短评打分': 3}
{'短评内容': '很好的酒店\n房间和床比想象的大，卫生设备也很干净\n相对于这个价钱，我觉得是超值的', '短评打分': 5}
{'短评内容': '房间相对来来偏小，其他都还好！无早餐，服务一般，属于经济型酒店类别。', '短评打分': 5}
{'短评内容': '一如既往的好，连锁酒店中算干净的。设备也算齐全的。出差常住', '短评打分': 5}
{'短评内容': '房间很大，楼下就是美林小厨，吃放方便，比外面还便宜点1111111111111', '短评打分': 5}
{'短评内容': ' 酒店很干净,交通很方便。   ', '短评打分': 3}
{'短评内容': '干净，交通便利', '短评打分': 3}
{'短评内容': '一直住这边，每次来绍兴都住这里。\n交通比较方便，就是隔音效果差，外面马路上很吵。', '短评打分': 5}
{'短评内容': '酒店位置还可以，虽然东西都比较旧了，但是该有的东西都还满全的。性价比还算高了！', '短评打分': 5}
{'短评内容': '说实话，这家莫泰整体感觉是中下，房间不大，整栋楼有点破烂，最奇怪的是cctv新闻频道竟然是静止状态，和前两天在萧山住的汉庭真的没有办法比，不说了', '短评打分': 1}
{'短评内容': '很干净，也很整洁，早餐也OK。朋友说不错。', '短评打分': 5}
{'短评内容': '隔音效果有点弱，别的都可以，总的来说这个价位的房间 满意的！', '短评打分': 5}
{'短评内容': '酒店干净整洁，属于ECONOMIC 酒店，离火车站，客运中心，东站距离近。但服务人员的服务态度有待提高，希望改善。', '短评打分': 5}
{'短评内容': '住的还不错，离高速路也挺方便的，推荐去住', '短评打分': 5}
{'短评内容': '交通还是比较方便的，去鲁迅故里仓桥直街都很近', '短评打分': 5}
{'短评内容': '交通比较方便，房间干净，就是在网上订便宜的额度太少，就比门市价便宜了10元', '短评打分': 5}
{'短评内容': '，很好。', '短评打分': 3}
{'短评内容': '性价比挺不错的，挺干净卫生的，符合一般连锁酒店的标准！', '短评打分': 5}
{'短评内容': '房间还是挺干净的，就是靠近马路边，窗户的密封性不好，有点吵。', '短评打分': 5}
{'短评内容': '整体来说还不错吧\n交通挺方便的，后来第二天又去开了钟点房\n那种很QQ的房间，蛮好玩的。其实想想，一个人住，那种最小的qq房就可以了', '短评打分': 5}
{'短评内容': '离火车站、市中心都比较近，方便。\n前台服务也不错的。环境么，也可以。\n就是房型很奇怪，前台和客房不在一个楼', '短评打分': 5}
{'短评内容': '酒店空调滴水，床很不舒服，硬硬的。设施都较陈旧。', '短评打分': 1}
{'短评内容': '不错的价格不错的位置 性价比挺好的 服务也还OK', '短评打分': 5}
{'短评内容': '价廉物美，交通方便，服务周到，是出差旅游休闲的最佳选择', '短评打分': 5}
{'短评内容': '一般般把，性能跟价格成正比，打车还蛮方便的', '短评打分': 5}
{'短评内容': '房间价格还是比较合理的，环境也还好，就是房间的隔音效果不理想。', '短评打分': 5}
{'短评内容': '环境不错，很实惠，服务态度好', '短评打分': 3}
{'短评内容': '太吵了，开了三个房间，两个在一楼，一个靠马路边，吵的没法睡觉', '短评打分': 1}
{'短评内容': '设施好陈旧了，比我09年去时差了好多，我在前台等了起码15分钟才办理好入住（我是15.20分这样到的）', '短评打分': 1}
{'短评内容': '\u3000比想像中的要差\u3000总台速度太慢\u3000早饭15元自助味道有点差\u3000', '短评打分': 3}
{'短评内容': '不错的啊，不是第一次入住了，很好，很大，很干净', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '为了给888其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '地理位置好，价格优惠，房间装修很时尚，还有早餐券可以送，服务优质', '短评打分': 5}
{'短评内容': '房间比较干净', '短评打分': 3}
{'短评内容': '房间还行，前台服务热情一点就更好了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间太小，又没有电脑，房间总体感觉不是很好', '短评打分': 1}
{'短评内容': '酒店不错，服务也很好，位置也不错，去市中心也不是很远', '短评打分': 5}
{'短评内容': '房间可以不错', '短评打分': 3}
{'短评内容': '地理位置不错，距离车站，和鲁迅故居什么的都很近。', '短评打分': 5}
{'短评内容': '离火车站大约2公里，打车不贵，大约12元左右。\n服务态度还可以，房间也不算太吵。\n定的是商务大床房，床宽2米，深大约只有1米8不到，比较短，身高高的朋友不推荐。\n房间比较大，但装修比较旧了，地毯和墙壁尤其感觉旧。壁橱很多。\n有网线，但网线非常短，建议有需要的自备一根。\n没有抽纸和饮用水(只有电热水壶)。\n电视机是显像管的，比较旧，不过绍兴也没啥节目看，无所谓了。\n卫生间比较大，有双洗手盆和双淋雨笼', '短评打分': 1}
{'短评内容': '环境可以,住得不错,餐厅吃的也还可以的,就是七楼水压低淋浴水流不大。', '短评打分': 3}
{'短评内容': '环境还比较好的，感觉不错，房间也很舒适。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很好，离景区、车站很近，房间干净，就是隔音差了一些', '短评打分': 5}
{'短评内容': '设施有点旧了，觉得房间脏脏的，看到其他房间干净的也有，为什么给了我这么一间。。。', '短评打分': 1}
{'短评内容': '交通方便，离汽车站两站路，就是隔音稍差，总体感觉还不错。', '短评打分': 5}
{'短评内容': '卫生间水不够大，灯市黄色的，我喜欢白色，其他还行，还算满意吧', '短评打分': 5}
{'短评内容': '總體來說很不錯，雖然一入住即發現浴室通水渠堵塞，在“漫城”中洗澡。不過向前台反映了之後，都得到了及時有效的解決。酒店工作人員也很熱情，幫我們的香港插頭電池充電器充電。感謝他們！', '短评打分': 3}
{'短评内容': '还算不错', '短评打分': 5}
{'短评内容': '+性价比颇高的一家HOTEL，除了周围少了点美食，其他方面，不论从服务还是从便捷度来说，都很不错。', '短评打分': 5}
{'短评内容': '以前住的感觉都不错.这次有几点比较不满.一次性浴帽,打开的时候居然是湿的,还有肥皂水,网络不是很好,浴室的水半夜的时候自己会开.其他没什么好说的了.', '短评打分': 1}
{'短评内容': '开房退房时间过慢！最受不了的是根本没有先来后到理念，明明我先到的，竟然先给后面的两位顾客先办理，很不爽！\r\n房间和设施都还不错，不过洗发水沐浴露三合一的，大家还是自己带吧。', '短评打分': 5}
{'短评内容': '我貌似点评过了.为什么状态里一直显示点评呢.奇怪了.\r\n\r\n房间的话还行.就是比较吵一点.', '短评打分': 3}
{'短评内容': '房间有点小.不过还蛮干净的.应该说是无功无过.比较中庸了.在绍兴的话性价比算还不错了.但是如果在大的市,选择比较多,优惠也多,这个性价比就不够看了.网络还是不错的.', '短评打分': 3}
{'短评内容': '+满意度100%', '短评打分': 5}
{'短评内容': '挺可以的，就是有点小，还是挺值得入住得。。。', '短评打分': 5}
{'短评内容': '感觉大床房有点小。 早餐一般吧，可是还是很喜欢那个餐厅的。 所以还是办了张卡，下次好优惠点。 ', '短评打分': 5}
{'短评内容': '不错,很干净,床也很舒适.布置比较紧凑,就是位置稍偏点.', '短评打分': 5}
{'短评内容': '地理位置非常好，去火车站和鲁迅故里都非常方便。到车站也就20分钟。', '短评打分': 5}
{'短评内容': '   很好', '短评打分': 5}
{'短评内容': '位置不错，打车到商圈不到十元钱。性价比高', '短评打分': 3}
{'短评内容': '家庭房很不错，适合一家三口住，一张大床，一张小床，卫生间设计的非常合理！', '短评打分': 5}
{'短评内容': '性价比高，商务大床不错', '短评打分': 3}
{'短评内容': '值得一来！', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '挺好的.就是在马路边上有点吵.', '短评打分': 5}
{'短评内容': '价钱比较低  位置还不错', '短评打分': 5}
{'短评内容': '退房结账时有点慢 交通其实还算蛮便利的 就是夜深买不到啥好吃的呵呵\r\n其余都不错不错 值得推荐', '短评打分': 5}
{'短评内容': '酒店不在市区，房间隔音不好，睡觉会听到汽车声，床不十分舒服，其它都好', '短评打分': 5}
{'短评内容': '不是很满意，房间太小，性价比不高', '短评打分': 1}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '一切都还可以，下次还会入住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '服务还不错，价格也合理，住的感觉还比较好', '短评打分': 3}
{'短评内容': '位置还不错，这边交通还是很方便的，房间的卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还是不错的', '短评打分': 3}
{'短评内容': '位置离市区远一点，不过打车还是很便宜的，卫生和设施都还是不错的，房间很干净，服务也还好，我觉得这家酒店性价比还是不错的 值得推荐', '短评打分': 3}
{'短评内容': '其它的还还可以，就是在路边，早上很早就很吵了', '短评打分': 5}
{'短评内容': '酒店的服务差,经常找不到服务员的,卫生以及设施都很一般的,酒店的位置还可以的,但是酒店的价格有点高了,性价比不是很好的酒店', '短评打分': 5}
{'短评内容': '感觉这家莫泰与其他家的房型不太一样,复式房型跟普通的没什么区别,不过酒店也还可以,性价还是不错的', '短评打分': 5}
{'短评内容': '酒店的设施很好，很新，服务也不错，挺干净的', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以,价格比较实惠,而且服务也蛮不错的,就是房间有点小', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '大床房除了房间小,就是周围晚上太吵了.可能旁边是大马路的原因吧&lt;br /&gt;\n&lt;br /&gt;\n晚上睡了一觉居然醒了三四次,硬件其实一般的,也不能说太烂吧', '短评打分': 3}
{'短评内容': '我是12月31日入住的,订的是大床房.入住时本已十分疲惫,以为到了晚上可以好好睡一觉,哪知道晚上才知道大床房下面时餐厅,那里的换气扇整天嗡嗡的开着,就象&amp;quot;大话西游&amp;quot;里唐僧念经一样.还有,虽说换气扇晚9点至早5点不会开,但是酒店旁边就是主马路,来往的汽车声听的清清楚楚,你说,如果是对睡眠环境要求高的人来说,这样的地方能睡的好吗.&lt;br /&gt;\n这里让人的', '短评打分': 1}
{'短评内容': '整体感觉还可以,卫生间很有创意,但房间墙壁太薄,隔音效果非常差,隔壁房间达鼾声就象在自己耳边,建议调整床位摆置,总体来说性价比还可以.', '短评打分': 5}
