{'descr': '离市区不远 打车起步价就可以到火车站 15元到湖南路 很干净 不吵闹 旁边还有超市 不错', 'star': 5}
{'descr': '房间设施卫生还是可以的，位置不错离汽车站也很近，前台服务不错，但是酒店的价格感觉还是有些偏高。', 'star': 5}
{'descr': '酒店还是挺好的装修也是很新，位置也不错附近也有一个公交车站出行很方便，性价比真的挺不错的。', 'star': 5}
{'descr': '交通便利，服务不错。商务间有点大，空调温度上不去，天冷时入住有点冷，需要加被子，自助早餐干净、可口。', 'star': 5}
{'descr': '还行 被子太薄 着凉了。唉~~~~~沿马路有点吵', 'star': 5}
{'descr': '酒店环境还是不错里面布置的挺好的，位置也是很好，而且房间比较大但是相比的话还是价格高了些，酒店服务还比较热情。', 'star': 5}
{'descr': '第了好几次了，还不错。价格有点贵。在120左右就OK了', 'star': 5}
{'descr': '房间的装修卫生都还可以，位置出行不是很方便没在市中心，价格的话还可以。', 'star': 5}
{'descr': '位置还好，前台的服务也还行，不过房间比较一般化。', 'star': 5}
{'descr': '位置比较好，离火车站、汽车站较近。下大桥就是了。\r\n卫生不错，较安静，就是设施很简单，电视机比较老款，但是数字电视，也就是麻雀虽小五脏俱全。有免费早餐：蛋糕、油条、包子、鸡蛋、豆浆、白米粥、黑米粥。\r\n总体还不错，推荐一下吧。', 'star': 5}
{'descr': '性价比高，卫生还是不错的！推荐此酒店!就是床有点不太舒服', 'star': 5}
{'descr': '总的来说，这家酒店还是不错的，在十一黄金周能找到这样的酒店就不错了！', 'star': 5}
{'descr': '总的来说，这家酒店还是不错的，在十一黄金周能找到这样的酒店就不错了！', 'star': 5}
{'descr': '房间里好像新装修,有异味,这一晚睡的很难受', 'star': 5}
{'descr': '房间里好像新装修,有异味,这一晚睡的很难受', 'star': 5}
{'descr': '这个房间无窗，房间设施过于简洁，电话坏了总台都联系不了。感觉还是莫泰，锦江好。', 'star': 5}
{'descr': '这个房间无窗，房间设施过于简洁，电话坏了总台都联系不了。感觉还是莫泰，锦江好。', 'star': 5}
