{'短评内容': '酒店十分好、地理位置好、房间干净舒适', '短评打分': 3}
{'短评内容': '服務態度很好,效率高;地點不太近地鐵站,但打的往市中心各區車費不貴;附近有多間食肆,對面有便利店,非常方便;房間不華麗,但舒適衛生,以一廳兩房旺季每晚680元,四人住宿來說,很是划算!', '短评打分': 5}
{'短评内容': '宾馆内外环境都很好，房间也很好，不错的地方。', '短评打分': 5}
{'短评内容': '就是走廊没空调制冷，电梯有些慢', '短评打分': 5}
{'短评内容': '房间比较大，性价比挺高的，不过位置不太好高峰时段不好叫车.', '短评打分': 5}
{'短评内容': '酒店条件还可以，当时是就近选择的酒店，为方便出行办事的.不过入住后感觉还是挺舒适的.', '短评打分': 5}
{'短评内容': '房间设备很齐全，几乎是拎包就可以入住，周围有餐厅和酒吧，很不错哦。', '短评打分': 5}
{'短评内容': '会馆是粉红色的，很漂亮，房间也收拾的干净舒服，很喜欢。', '短评打分': 5}
{'短评内容': '感觉应该是公寓式的，房间里设施很齐全，带厨房、浴室、家具、洗衣机，常住也合适。', '短评打分': 5}
{'短评内容': '感觉一家子住这里比较合适，早餐不怎么样', '短评打分': 5}
{'短评内容': '环境幽静，服务，卫生和舒适度都相当好，是虹桥地区很实惠的公寓型酒店。\n就是门口的宋园路在早高峰的时候比较堵，但是这个没办法，现在的大城市不都一样吗！', '短评打分': 5}
{'短评内容': '一开始进去给的房间味道很大，后来换了几个房间都是这样，而且房间离马路很近，早上很吵，我要的无烟房，也没有给我无烟房，前台服务还不错，一间间带着我来换房也没有怨言。', '短评打分': 3}
