{'短评内容': '别的不多少说了，都是气，京东酒店这个业务还有待提高', '短评打分': 5}
{'短评内容': '酒店硬件很新，真不愧为是做房地产的，但是做酒店的还是属于外行，这个服务实在不行，卫生间放的一次性用具就像是招待所用的，东西还不是全的，用个棉花棒还要打电话，一拿又是好长时间，通个服务电话服务人员接起电话还没问客人需要什么就把电话搁一边，万一这个客人有急事需要帮忙怎么办？这个酒店除了新，享受到的服务就像是一般小区享受的物业服务，服务和评定的星级差很大一截啊', '短评打分': 1}
{'短评内容': '第四次入住，满意。\n\n酒店性价比高，就是交通不是很便利', '短评打分': 5}
{'短评内容': '这是第三次入住，感觉挺好。值得推荐\n\n下次还会入住', '短评打分': 5}
{'短评内容': '江景十分的不错 其他不做评价。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '新开的，设施不到位，停车场电梯不能直通酒店大堂电梯。房间也不算大，周围也没什么配套设施，不是很方便。', '短评打分': 1}
{'短评内容': '老板住的，就位置而言，交通方便，但是周围似乎没有很好的娱乐场所，得打车出去，有个很好的行政吧，打印，上网，商务接待都很好，定行政房带早餐的合算，不然两百的早餐可不合算了。', '短评打分': 5}
{'短评内容': '已经第二次入住了，酒店不错，值得推荐\n\n感觉酒店一直在往好做', '短评打分': 5}
{'短评内容': '房间很新，设施也很好，江景很漂亮。\n美中不足的是感觉工作人员少了点，有时要找人略有困难。\n门口叫车也不太方便。\n另外，门童有歧视亚洲人之嫌。朋友等车，他们让后来的白人先上车，直到朋友用日语英语表示不满，才被招呼到。这点很不好。', '短评打分': 5}
{'短评内容': '非常好，领导说的以后还会去住！还会介绍其他同事去住！', '短评打分': 5}
{'短评内容': '酒店很安静，江景晚上很漂亮，房间还可以，卫生间不错\n', '短评打分': 5}
{'短评内容': '酒店很不错，房间大，设施新。值得推荐。估计是新开业，性价比比较高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '五一刚开的酒店，设施不错。我住过的万豪中不错的，就是现在地点稍偏一些，部分出租司机不知道。早餐还不错。我的房间看得到浦江景色，性价比高。', '短评打分': 5}
{'短评内容': '酒店还挺新的，所以入住率应该还不高。客房房间挺大，服务也不错。早餐选择个人觉得还不够丰富，不过还算可以。地段稍为有点偏，如果不是服务生帮忙订车，可能比较难打车。', '短评打分': 5}
{'短评内容': '环境不错，住着也舒服，前台工作人员态度很好，上网要付钱有点不方便', '短评打分': 5}
{'短评内容': '酒店配套不错，就是离地铁远了点。附近要吃东西。。有点距离', '短评打分': 5}
{'短评内容': '酒店很新, 房间不错, 很大,床也很舒服, 上网需要去前台登记为万豪会员, 这样可以免费, 就是网速太慢, 感觉手指头都要长蜘蛛网了. 交通不算便利, 因为是在绿地集团的CBD区域, 出门需要前台叫出租车, 不过车子来得很快. 酒店内的自助餐不错, 中西结合,食材丰富.', '短评打分': 5}
{'短评内容': '周边环境不错，早餐很有档次，性价比比较高！', '短评打分': 5}
