{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '装修不错，卫生干净，交通便利，服务态度好，柜台美女多。距离地铁站很近，走个10分钟左右就能到地铁。从北京站下车，乘地铁2号线、5号线或者10号线都可以到宾馆，很方便。宾馆靠近马路，安苑北里居住区门口进去就是。旁边挨着亚运村街道办事处和长白山酒店，感觉很好找。房间新装修的感觉很温馨，很整齐，设施齐全，很人性化，使用起来很方便。总的来说很舒服', '短评打分': 5}
{'短评内容': '酒店比较适合没有过多要求的学生住，我住着感觉就行，出酒店吃饭也方便。', '短评打分': 5}
{'短评内容': '挺好的，就是缺乏现代感…', '短评打分': 3}
{'短评内容': '宾馆位置虽说离大马路很近，但是由于宾馆标记不明显，连出租车司机都不知道，载着我们多转了两街，第一次比较难找。服务人员的态度还可以。距离鸟巢、有购物中心都不算远，对于一般平民出来旅游住的话，价格还算可以。', '短评打分': 5}
{'短评内容': '有点旧了，位置还不错。没有宽带，插座也不好用，电视基本不能看。对得起这个价格。要求比较高的就不用去那里了。', '短评打分': 5}
{'短评内容': '我是去鸟巢玩的，住的此酒店，环境很安静的，听前台说今年6月刚刚重新装修过的，服务也很热情，价位比较合适，楼下也有很多吃饭的地方，比较方便，交通也很好找。下次来北京还会入住此酒店。', '短评打分': 5}
{'短评内容': '一再叮嘱的要双床房，到店却被告知没有，很不爽，但走累了没精力再重新找酒店，勉强住了。还有袖珍型卫生间，实在.....，确实是向前面评论的，适合住学生', '短评打分': 1}
{'短评内容': '一再叮嘱的要双床房，到店却被告知没有，很不爽，但走累了没精力再重新找酒店，勉强住了。还有袖珍型卫生间，实在.....，确实是向前面评论的，适合住学生。', '短评打分': 1}
{'短评内容': '被子是没有洗过的,向服务员反应后才换了干净的,房间很小', '短评打分': 3}
{'短评内容': '难找，前台服务员业务能力太差，基本一问三不知。房间太小，椅子都没一个，包什么的都只能放地板上。破旧的浴室里挂着个撒尿小童般得莲蓬头。虽然188的房价算便宜，但是和我先前住的那家168元的北京华凯宾馆（鼓楼附近）比较差太远了！我强力推荐华凯宾馆，让我一直很怀念的。', '短评打分': 1}
{'短评内容': '入住比较舒服  服务人员态度也很好  周围有超市 饭店 离鸟巢也很近 \n', '短评打分': 5}
{'短评内容': '酒店还算干净，但挺简陋的，而且竟然发生预订好的房间没有预留好的事情。虽然很气愤，但酒店人员的服务态度还是很好的，提供了解决方案。希望以后不要再发生类似的问题。', '短评打分': 1}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '挺不错，满干净的，只是可惜住的是没有窗子的房间。不过反正就是睡一觉，奥体中心旁边能找到这个价钱这种条件的很不错了。老板是山东人，人很好。老板娘很热心，我喜欢~', '短评打分': 5}
{'短评内容': '我住的经济间房间小,没窗户', '短评打分': 3}
{'短评内容': '住了一晚上就退了 不敢恭维 房间里霉味很大', '短评打分': 3}
{'短评内容': '到后发现自己定的房子还有人住，又给我换了个没有卫生间的，电视也不清楚，比想象的差很多。不过地理位置还可以。', '短评打分': 3}
{'短评内容': '服务热情，房间设施很一般，不过相对于周边宾馆报价而言还算可以', '短评打分': 3}
{'短评内容': '内部挺一般的，但设备还算齐全，加上这个地段，还算对得起房价，适合学生之类的', '短评打分': 5}
{'短评内容': '酒店的硬件条件略有些陈旧了,可能是因为比较老了些,不过服务人员态度很好,很热情周到,有需要时随叫随到,很不错.', '短评打分': 3}
{'短评内容': '酒店宽敞舒适,服务人员乐于助人,住在这里让人感觉挺亲切,也很温馨的.', '短评打分': 5}
{'短评内容': '客房干净,卫生,服务人员热情礼貌,位置很好出行方便,并且周边用餐也很方便.', '短评打分': 5}
{'短评内容': '酒店性价比蛮高的,因为室内条件确认一般化,主要是位置好,所以都会选择这里住下.', '短评打分': 3}
{'短评内容': '酒店还是比较差些房间设施比较陈旧，卫生条件比较差，服务人员态度一般，价格还是可能偏高。', '短评打分': 1}
{'短评内容': '周边环境不错,吃住行都方便的很,价格也不是很贵,就是硬件条件有待提高.', '短评打分': 5}
{'短评内容': '位置不错,距离鸟巢很近,出行很方便,就是客房小了些,显得有些拥挤.其它各方面还好.', '短评打分': 5}
{'短评内容': '酒店周边服务很便利,交通出行也不错,挺畅通的,去鸟巢很方便,服务人员也很热情周到.', '短评打分': 5}
{'短评内容': '酒店还可以，设施一般，反正离我办事还是挺近，服务态度价格都还过的去。', '短评打分': 5}
{'短评内容': '酒店位于小区里面,可能找不起不是很方便,不过周边环境很好,采购之类很方便.', '短评打分': 5}
{'短评内容': '酒店是在小区里面的,不是很好找不过很安静,环境不错,而且距离鸟巢很近,出行很方便.', '短评打分': 5}
{'短评内容': '室内的硬件设施不够齐备，有空调但是没有开，有些感觉冷，位置有点偏，还好交通还算便利.', '短评打分': 5}
{'短评内容': '鸟巢附近,经济实惠类的酒店,虽然仍然有不足的地方,不过性价比很高.条件不错.', '短评打分': 5}
{'短评内容': '性价比还是可以的，特别是北京这个破地方，服务业很客气', '短评打分': 5}
{'短评内容': '非常不好，各方面也非常不好。\n一切都不好，谢谢。\n', '短评打分': 1}
{'短评内容': '环境差，房间很小，暖气不热。。。。脏，乱，差！', '短评打分': 1}
{'短评内容': '如果注重品质的人建议还是慎重吧，我定的是所谓的大床房，床很小，里面的装修比较破，没有暖气，晚上开空调，应该是很多年的老空调吧，制暖不行，还咔咔的想；也许是因为价格低的过吧！', '短评打分': 1}
{'短评内容': '房间设施还可以，在北京相对来说性价比还算可以。', '短评打分': 5}
{'短评内容': '客房面积小，环境一般，顶多属于2星。离市中心近，出门坐车方便', '短评打分': 3}
