{'descr': '交通便利，房间整洁舒适，隔音也很好，下次还会选择这里。', 'star': 5}
{'descr': '价格很便宜，不过地方真的比较偏僻，离世博园区很近，但是很荒凉，周边吃饭的地方都几乎没有', 'star': 5}
{'descr': '订的特价房,价格很实惠,服务也不错...以后还可以去', 'star': 5}
{'descr': ' 房间还可以，就是墙上有点旧，床很舒服，睡的很香！网速飞快，哈哈，不错！', 'star': 3}
{'descr': '都挺好的，没什么问题！～', 'star': 3}
{'descr': '不错,预定很流畅', 'star': 3}
{'descr': '不错!物超所值!下次一定来!哦.我又订了下一次的.套用一句经典台词:我还会回来的!!呵呵!!', 'star': 5}
{'descr': '已经在这家酒店住了八次了。酒店环境非常好。', 'star': 5}
{'descr': '我选会向朋友推荐是因为价格这块还好，环境算过的去，但唯一一点就是感觉不太正规，每天都有莫名的卡片从门下塞进来，护士妹学生妹白领妹等等，个人很烦感，', 'star': 5}
{'descr': ' 酒店还行…服务态度有待进步…房间有点潮…', 'star': 3}
{'descr': '虽然最近有看报道，但是公平说，非常不错，前台服务号，打扫的四川阿姨人也很好。酒店设施也很全。上网还是可以的。', 'star': 5}
{'descr': '不错 连续好几次都入住这家。。100元性价比超高啊！！推荐入住 ', 'star': 5}
{'descr': '预约完房间.最后被告知无房.那预约还有什么用.这种无信酒店就不应该去住…差评.最差劲的酒店.最无良的奸商', 'star': 3}
{'descr': '价格很实惠，离世博馆也近。房间干净，推荐.', 'star': 5}
{'descr': '住的100元特惠房 价格非常实惠 床很大 也很软 就是酒店地理位置有点偏了 吃饭要走一段路的。。。还有中国馆很近哈 总的来说 值得一住。。下次来还会住', 'star': 5}
{'descr': '不错，性价比高！工作人员态度好，住着舒服，满意！', 'star': 3}
{'descr': '住的是特价房，差不多一百块，环境很不错，服务也挺好，就是位置偏了点，吃的地方难找，旅馆的入口也不显眼，我打车绕了一个圈才看到后门= =', 'star': 5}
{'descr': '一如既往的干净清透，没问题= = 呵呵，总的来说，还是一家较为值得推荐的酒店', 'star': 5}
{'descr': '住的特惠房，没有窗户，难受坏了，不过价格不错。', 'star': 5}
{'descr': '   酒店很不错！但是贵网站太让我失望了！我提前5天就订房间了！去酒店服务员说没收到订单！还好有确认短信！希望以后能做好点！', 'star': 3}
{'descr': '订的特价房，主要是在奔驰中心看演唱会要在这边住一天，条件还好了。房间挺小的，没窗户有点点闷。不过100块钱再怎么也说得过去了。', 'star': 5}
{'descr': '不错环境很不错这价钱绝对值得！下次还会去的！！', 'star': 5}
{'descr': '不错的酒店，便宜且设施齐全，而且我到店时已经晚上十点半了，预定一米五大床房没有了，前台的帅哥表示免费升级到一米八的房！嘿嘿', 'star': 3}
{'descr': '地理位置还算可以的，，，，房间也比较干净。', 'star': 5}
{'descr': '感觉还可以   不过刷卡消费的顾客要注意  我从昨晚等到现在还没给我退呢 郁闷中........', 'star': 5}
{'descr': '还可以，离世博展览馆也近，去八佰伴也近，逛街吃饭都好找', 'star': 5}
{'descr': '  交通方便，电视调台不便。', 'star': 3}
{'descr': '第七次入住该酒店了，还是那么的干净整洁。下次出差，还决定入住它。', 'star': 5}
{'descr': '＋挺好的，很干净', 'star': 3}
{'descr': '很干净，环境还是很不错，位置也挺好，附近交通方便', 'star': 5}
{'descr': '这里有点偏的说…', 'star': 3}
{'descr': '宾馆挺好的,价格便宜,设施齐全,就是地方有些偏僻.', 'star': 3}
{'descr': '已入住，一般般，不是很干净', 'star': 3}
{'descr': '十分舒适', 'star': 3}
{'descr': '挺不错的，交通还算方便  就是不隔音，其他都还好', 'star': 5}
{'descr': '优点：卫生不错，服务也可以；\n缺点：吃饭不方便，洗澡时水会外溢，房间隔音差，电视偏色，房间内总是潮潮的', 'star': 1}
{'descr': '大床舒适度一般，洗澡总是导致水外溢，别的还行，就是门口吃饭太难需跑好远的地方才能吃到', 'star': 5}
{'descr': '多次入住  服务不错  ~~~~~~~~~~·', 'star': 5}
{'descr': '房间有霉味 希望改善~~~~~~~~~~', 'star': 5}
{'descr': '特价房很实惠 前台的服务人员态度很好 非常满意', 'star': 5}
{'descr': '性价比很高', 'star': 3}
{'descr': '环境不错，房间很干净，也很大，服务很好，只是隔音不是很好', 'star': 5}
{'descr': '不错，性价比较高，有机会再入住！\n\n本团队专业承接模特、礼仪、商演，路演、群演、发布会、展会、年会、开业、庆典、开盘、派发、保安以及其他各类商业活动!\n大量优质模特礼仪及各类演艺资源！\n如有需要，敬请联系13524503108！     QQ:354685957\n\n合作宗旨——以诚立业，互利共赢！', 'star': 5}
{'descr': '非常好。很干净、宽敞。以后还会选择入住这家宾馆', 'star': 5}
{'descr': '交通方便，环境不错，很满意，就是吃东西不太方便，要走好几条路才有的吃，房间很干净，推荐入住。', 'star': 5}
{'descr': '太实惠了 99rmb的酒店还在世博附近哪里找啊？？？我们是看东方神起FM去的 入住很愉快 ^^下次还有机会一定会再住的', 'star': 5}
{'descr': '环境不错，交通方便，卫生还行。', 'star': 3}
{'descr': '整体来说，这两天住的还是不错的！即使是内宾，也没有太压抑的感觉，卫生做的不错，只是隔音效果不佳！床很大，但是有些太软了，睡着不舒服~', 'star': 5}
{'descr': '房间小了。', 'star': 3}
{'descr': '很好，交通方便，去八佰伴和东方明珠有直达车！！！！', 'star': 5}
{'descr': '还可以，就是远点', 'star': 3}
{'descr': '很不错的环境，床超级大，估计睡三个人都没问题，唯一的缺点就是没窗户，隔音效果稍微差了点，不过地理位置挺好，去第一八佰伴或者换成地铁什么的都挺方便的', 'star': 5}
{'descr': '还挺方便的，距离中国馆大约2公里，在浦东南路上，还比较好找。', 'star': 5}
{'descr': '服务较好', 'star': 3}
{'descr': '感觉性加比蛮高的', 'star': 3}
{'descr': '在上海寸土寸金的地方，格林豪泰的性价比很高，只是没有自己的停车场，停车要向物业交费，而且费用偏高。', 'star': 5}
{'descr': '工作人员服务态度还不错，我们住在二楼，但是二楼楼梯口有些消毒水的味道比较重，其余都不错~', 'star': 5}
{'descr': '价格很便宜，只要99.8元，服务也很不错，就是没有窗户，太闷了！', 'star': 5}
{'descr': '为了参加展会去的 ，离世博馆非常近，打车起步价，公车三四站地，环境不错，还有窗户，性价比高，推荐入住', 'star': 5}
{'descr': '住的特价房，床挺大的！不过格林豪泰的房间隔音效果不好，而且总觉得潮潮的。', 'star': 1}
{'descr': '这里酒店环境还可以,就是停车场入口很难找,希望酒点能够找个大点的标志', 'star': 5}
{'descr': '半夜一点半火警铃响二十分钟吓死人也沒个服务员看一眼。不住了。', 'star': 3}
{'descr': '这是第二次入住，比较失望，房间内潮味太重了！不是很干净，电视也几乎不能看！以后应该不会再来了！', 'star': 3}
{'descr': '总体还可以', 'star': 3}
{'descr': '我住的是无窗大床房，比较干净，可以说能够符合需求。但是，毕竟无窗，所以有点压抑的感觉。', 'star': 5}
{'descr': '实在不怎样', 'star': 3}
{'descr': '酒店环境还是蛮不错的，离这次的嘉年华也不远，步行个十分钟就能到。。', 'star': 5}
{'descr': '环境还可以，交通也还方便的，就是离地铁比较远。性价比可以', 'star': 5}
{'descr': '房间没窗户，在酒店预订网站无显示，我不太能接受无窗户的房间。', 'star': 1}
{'descr': '蛮好的，就是电视机有一个遥控器不对着电视机可以操作，但对着电视机就不能操作，真是超级遥控器。', 'star': 5}
{'descr': '定了三天，续了一星期，特价房很划算，环境不错，交通方便', 'star': 5}
{'descr': 'okokokokokokokokokokok', 'star': 5}
{'descr': '房间不错！这个价格能有这房间可以了！网速也很快！就是房间没有放电脑的地方、房间不通风湿气比较重！', 'star': 3}
{'descr': '大半夜居然听见服务员那着房卡刷门的声音，幸亏门刮上了铁链子否则就进来了，理由是我们的定金不足，看有没有人在，早上结账时跟领班经理大吵一架，他见我们急于退房离开跟我们绕圈子，这种管理方式太差劲了，房间设施不好，每天晚上都有塞三陪女的命名，治安混乱！', 'star': 1}
{'descr': '首先，订房时正好碰上有特价房，价格是没得说了，便宜！\n其次，房间实际比网上标的12平米，感觉更宽敞，卫生间也不算小，1米8的大床，还有个书桌，用品干净，非常满意！\n不过，因为是无窗的房间，进去有股不通风产生的怪味，待一会儿倒也适应了。\n', 'star': 5}
{'descr': '缺点：房间小|声音吵\n优点：价格便宜\n其他没想到', 'star': 5}
{'descr': '\n便宜，但房间有味道', 'star': 3}
{'descr': '房间是不错，虽然没有窗户但是空调还算可以。就是刚装修完墙壁还没有完全干透。住的那一晚上洗澡没有热水，不知道什么原因？只能用凉水洗了一下。服务还算可以。', 'star': 5}
{'descr': '还好，不错……', 'star': 3}
{'descr': '家庭房挺实惠，服务态度不错，管理挺严格，没有房卡的人不能乘电梯随意进入楼上住房区的，房内设施也齐全干净，朋友、家人住过几次了，以后还会住。\n(上一条评论呢称写错了)', 'star': 5}
{'descr': '家庭房挺实惠，服务态度不错，管理挺严格，没有房卡的人不能乘电梯随意进入楼上住房区的，房内设施也齐全干净，朋友、家人住过几次了，以后还会住。', 'star': 5}
{'descr': '还不错 主要是便宜  呵呵 虽然没有窗户的  但是有空调好像也无所谓的了。。。。', 'star': 5}
{'descr': '有点脏，可能是价格便宜的原因。马桶上有小便的。电视机还是大的台式的。', 'star': 1}
{'descr': '环境还可以', 'star': 3}
{'descr': '干净，房间设施温馨', 'star': 3}
{'descr': '清洁工（打扫房间）不但服务态度差 还用浴巾擦地板 对宾馆、客人卫生极不负责', 'star': 3}
{'descr': '还可以，位置比较方便，房间比较小，还算干净，不太安静，隔音不太好，酒店有些陈旧', 'star': 5}
{'descr': '酒店整体感觉还可以,就是有气味,特价房无窗的太闷,空气不好', 'star': 5}
{'descr': '房间比较大 交通方便，光线太暗，墙壁有水印，电源插口很松', 'star': 5}
{'descr': '价格倒是蛮便宜的，只是房间不隔音，靠近电梯口，实在太吵', 'star': 5}
{'descr': '位置很好，房间干净宽敞明亮，整体感觉还不错。', 'star': 5}
{'descr': '还算可以，比世博会时降了不少钱，就是没早餐这个很烦，要自己出钱去吃。', 'star': 1}
{'descr': '为了世博选的地方。一面墙都犯潮有霉斑，让人看了不舒服。房间实在是太迷你了。有选择就不会选它。\n地方不太好找，门口另一家酒店的牌子更显眼', 'star': 1}
{'descr': '酒店环境一般、服务态度一般。房间隔音效果不好。', 'star': 1}
{'descr': '酒店的价格不菲，条件很一般。9月28号上午为245房间打扫卫生的服务员工作态度很好，提出表扬。', 'star': 5}
{'descr': '离世博5号门狠近，帮朋友定的，就是价钱有点黑了。', 'star': 5}
{'descr': '因为是要去参观世博，所以选择这家酒店。如果是商务出差，我不会选择。\r\n房间设施比较陈旧，房间比较小。\r\n在世博期间，这样的酒店只能算是凑合吧！', 'star': 1}
{'descr': '＋还行吧', 'star': 5}
{'descr': '+贵店可否预订返程火车票？', 'star': 5}
{'descr': '已入住酒店。', 'star': 5}
{'descr': '不错，很方便。离世博园很近。带着小孩走路10分钟就能到了。\r\n', 'star': 3}
{'descr': '总体来说很一般！性价比不高，就是离世博园近点！', 'star': 3}
{'descr': '格林豪泰（上海世博园酒店）入住时没有想象的好，房间设施很一般，早餐也没包，15元一人早餐还很烂很难吃，对面就是雅鑫时尚酒店，宁愿多个1,2百，舒服多了! \r\n', 'star': 3}
{'descr': '入住时没有想象的好，房间设施很一般，早餐也没包，15元一人早餐还很烂很难吃，对面就是雅鑫时尚酒店，宁愿多个1,2百，舒服多了!', 'star': 1}
{'descr': '酒店还行，我的订金什么时候打回我账户？', 'star': 5}
{'descr': '总的来说还可以，就是现在世博价格太高,位置不错，很安静。', 'star': 5}
{'descr': '+房间太小价格太贵', 'star': 5}
{'descr': '不错,去世博园很方便', 'star': 5}
{'descr': '房间不是很大，不过世博期间这个地点这个价钱还算不错了~离世博挺近~', 'star': 5}
{'descr': '离世博园很近，交通便利，经济实惠的一家酒店！', 'star': 3}
{'descr': '格林豪泰（上海世博园酒店） 好！', 'star': 3}
{'descr': '无沙发', 'star': 5}
{'descr': '距离世博会场馆非常近 ', 'star': 5}
{'descr': '附近吃饭比较方便', 'star': 3}
{'descr': '离4号门步行15分钟', 'star': 5}
{'descr': '酒店价格太高，位置倒是离世博会近些，房间也很小，性价比较差', 'star': 1}
{'descr': '位置还好，酒店里面设施方面特别陈旧了从外观看起来还是很不错但是里面的环境确实很次。卫生设施都很不好。服务也很一般。', 'star': 1}
{'descr': '世博期间酒店涨价很厉害，这个价格还算不错的了。确实离离世博园很近很方便。不知道是不是季节的原因，房间内的霉气味道特别大，墙面都有湿印。', 'star': 1}
{'descr': '酒店离世博园4号口比较近，步行即可。房间虽小，但很干净。酒店工作人员的素质有待提高。', 'star': 5}
{'descr': '酒店的位置不错挺方便出行的.不过其它各方面条件一般，总得住起来还不错.', 'star': 5}
{'descr': '房间面积小，住着有些压抑，而且当时房间里没有备用的枕头被子，服务不到位，隔音效果很差，其他都一般，价格偏高些。', 'star': 5}
{'descr': '房间面积小，住着有些压抑，而且当时房间里没有备用的枕头被子，服务不到位，隔音效果很差，其他都一般，价格偏高些。', 'star': 5}
{'descr': '地理位置不错，离世博园4号口比较近，房间环境还可以，符合商务酒店标准。', 'star': 5}
{'descr': '还不错 性价比高', 'star': 3}
{'descr': '各方面还不错,就是正赶上内部墙面粉刷,虽说是环保漆,但味道很大,感觉不太舒服.', 'star': 3}
{'descr': '离世博园大约步行5分钟,位置非常不错.里面设施也还可以,就是入住的时候内部正在粉刷,虽说使用的是环保漆对人体无害,可味道不好,影响了入住体验.', 'star': 5}
{'descr': '一般', 'star': 1}
{'descr': '早餐不丰富', 'star': 5}
{'descr': ' 卫生不错很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错，值得推荐', 'star': 3}
{'descr': '附近在做世博园建设，像个大工地，酒店还是不错，到明年世博会的时候一定很热门', 'star': 5}
{'descr': '地理位置很好,离世博园很近,出行都很方便,卫生服务方面也都不错,但就是毛巾不太好有破的地方.', 'star': 3}
{'descr': '打车太不方便了，房间太小。而且去住的时候价格是特价，只要200一夜，结果到那里一看，原来是把早餐给省掉了，餐厅在装修，害我们郁闷了半天。。。。。。', 'star': 1}
