{'短评内容': '挺不错的，美美的', '短评打分': 5}
{'短评内容': '住过后，感觉不错，就在汽车站门口，很方便，挺便宜实惠。200多住了一不错宽敞的套房。', '短评打分': 5}
{'短评内容': '总体还不错,就是不喜欢屋子里的味道,有一股呛人的烟味.', '短评打分': 3}
{'短评内容': '一般般。', '短评打分': 3}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置优越，价位不贵，但硬件落后有些90后风格！ ', '短评打分': 5}
{'短评内容': '一般般 网速 不错 就是有人无耻的用P2P终结者导致我2小时上不成网 前台也不会解决 还是我自己搞好的\r\n设施比较旧 但是还算干净 虽然楼下是客运站 但是也还挺安静的\r\n交通方便 楼下是汽车客运站\r\n也就这些了', '短评打分': 5}
{'短评内容': '房间还算干净，11层还开了个K歌的地方，应该有陪唱的小姐，就是早上楼下的客运站噪音有些大，不过我就当闹钟听了，没事。', '短评打分': 5}
{'短评内容': '先修电源，再修空调，再要商品价目表，后来都不好意思喊服务员了。', '短评打分': 3}
{'短评内容': '别的都好，离火车站超近，就是空调居然坏了，热死我了。', '短评打分': 5}
{'短评内容': '性价比不错的一家酒店！每次来阳泉我都在这儿住！', '短评打分': 5}
{'短评内容': '酒店很一般，但是到阳泉确实没地方住！', '短评打分': 3}
{'短评内容': '住着实属无奈！', '短评打分': 5}
{'短评内容': '这家酒店住的挺满意的，服务卫生方面还不错，房间里挺整洁的，设施也比较齐全，酒店位置也很好，靠近火车站，周边交通挺便利的，整体感觉性价比还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '位置不错，就是床不好', '短评打分': 5}
{'短评内容': '酒店综合水平一般，卫生和设施条件还好.就是位置不错，出行挺方便的.', '短评打分': 5}
{'短评内容': '房价偏高，没有早餐，唯独方便的就是挨着长途汽车站和火车站，但阳泉火车站每天只有两班火车路过，所以跟没有一样！不过房间还算干净，上网的速度也能接受，总听来说，凑合。', '短评打分': 5}
{'短评内容': '整体基本不错，交通方便。但我住的那间房稍微有点发霉的味道，希望酒店方面能改善。', '短评打分': 5}
